episode,timestep,reward
3,2000,0.1107
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
19,12000,0.0
22,14000,0.0
25,16000,0.0
28,18000,0.0
31,20000,0.0
34,22000,0.0
37,24000,0.0
40,26000,0.0
44,28000,0.0
47,30000,0.0
50,32000,0.0
53,34000,0.0
56,36000,0.0
59,38000,0.0
62,40000,0.0
65,42000,0.0
69,44000,0.0
72,46000,0.0
75,48000,0.0
78,50000,0.0
81,52000,0.0
84,54000,0.0
87,56000,0.0
90,58000,0.0
94,60000,0.0
97,62000,0.0
100,64000,0.0
103,66000,0.0
106,68000,0.0
110,70000,0.1231
113,72000,0.0
116,74000,0.0
119,76000,0.0
122,78000,0.0
125,80000,0.0
128,82000,0.0
131,84000,0.0
135,86000,0.0
138,88000,0.0
141,90000,0.0
144,92000,0.0
147,94000,0.0
150,96000,0.0
154,98000,0.0932
157,100000,0.0
160,102000,0.0
163,104000,0.0
166,106000,0.0
169,108000,0.0
172,110000,0.0
175,112000,0.0
179,114000,0.1927
182,116000,0.0
186,118000,0.1713
189,120000,0.0
193,122000,0.0
196,124000,0.0
199,126000,0.0
202,128000,0.1576
205,130000,0.0
209,132000,0.0
212,134000,0.0
215,136000,0.0
218,138000,0.0
222,140000,0.3063
226,142000,0.0921
229,144000,0.0
232,146000,0.0
235,148000,0.0
238,150000,0.0
242,152000,0.3133
246,154000,0.0904
250,156000,0.2715
253,158000,0.1515
257,160000,0.2075
261,162000,0.1178
264,164000,0.0638
268,166000,0.2131
272,168000,0.2296
275,170000,0.0
281,172000,0.4062
284,174000,0.0
287,176000,0.1665
292,178000,0.3069
295,180000,0.0
298,182000,0.0
303,184000,0.3019
307,186000,0.2036
311,188000,0.2148
314,190000,0.0
318,192000,0.2233
321,194000,0.1768
324,196000,0.0
329,198000,0.2591
333,200000,0.205
337,202000,0.4216
340,204000,0.0
347,206000,0.4736
352,208000,0.4853
358,210000,0.4623
363,212000,0.3728
368,214000,0.4813
375,216000,0.5632
379,218000,0.21
385,220000,0.411
394,222000,0.6859
402,224000,0.6393
411,226000,0.6917
419,228000,0.6266
427,230000,0.5872
432,232000,0.5393
439,234000,0.609
449,236000,0.6951
461,238000,0.7229
468,240000,0.5136
477,242000,0.6851
490,244000,0.7706
499,246000,0.6853
504,248000,0.51
514,250000,0.6246
527,252000,0.776
538,254000,0.7678
547,256000,0.6994
561,258000,0.7683
568,260000,0.655
580,262000,0.7184
593,264000,0.7712
607,266000,0.7813
617,268000,0.7165
638,270000,0.873
656,272000,0.838
681,274000,0.9161
690,276000,0.5667
706,278000,0.8561
741,280000,0.8976
771,282000,0.917
794,284000,0.8667
832,286000,0.9259
867,288000,0.9182
902,290000,0.9194
941,292000,0.9381
990,294000,0.9347
1011,296000,0.8612
1059,298000,0.9413
1103,300000,0.9484
1150,302000,0.9265
1185,304000,0.9173
1245,306000,0.9527
1315,308000,0.9598
1373,310000,0.9523
1437,312000,0.957
1506,314000,0.9582
1578,316000,0.9611
1628,318000,0.9409
1699,320000,0.9608
1769,322000,0.9594
1837,324000,0.9595
1908,326000,0.9596
1988,328000,0.9649
2071,330000,0.966
2149,332000,0.9641
2237,334000,0.9678
2319,336000,0.9658
2405,338000,0.9674
2501,340000,0.9707
2587,342000,0.9671
2677,344000,0.9688
2770,346000,0.9698
2860,348000,0.9686
2952,350000,0.9698
3044,352000,0.969
3133,354000,0.9685
3226,356000,0.9699
3317,358000,0.969
3413,360000,0.9708
3480,362000,0.9563
3578,364000,0.9714
3671,366000,0.9699
3766,368000,0.9702
3866,370000,0.9721
3964,372000,0.9712
4069,374000,0.9732
4171,376000,0.9723
4262,378000,0.9691
4338,380000,0.963
4428,382000,0.9689
4510,384000,0.9655
4612,386000,0.9724
4718,388000,0.9735
4829,390000,0.9748
4931,392000,0.9722
5039,394000,0.974
5142,396000,0.9727
5243,398000,0.973
5347,400000,0.9723
5448,402000,0.972
5546,404000,0.9712
5646,406000,0.9719
5744,408000,0.9714
5851,410000,0.9739
5953,412000,0.9722
6055,414000,0.9725
6158,416000,0.9727
6257,418000,0.9717
6360,420000,0.9726
6461,422000,0.972
6561,424000,0.9719
6664,426000,0.9728
6763,428000,0.9716
6866,430000,0.9728
6965,432000,0.9715
7071,434000,0.9735
7177,436000,0.9734
7280,438000,0.9726
7386,440000,0.9735
7488,442000,0.9726
7588,444000,0.9719
7695,446000,0.9736
7797,448000,0.9727
7903,450000,0.9732
8003,452000,0.9718
8102,454000,0.9716
8188,456000,0.9673
8281,458000,0.9697
8388,460000,0.9738
8497,462000,0.9742
8597,464000,0.972
8684,466000,0.9679
8776,468000,0.9692
8873,470000,0.971
8976,472000,0.9726
9073,474000,0.9715
9150,476000,0.9631
9256,478000,0.9735
9365,480000,0.9742
9463,482000,0.9712
9561,484000,0.9714
9657,486000,0.9708
9757,488000,0.9717
9861,490000,0.973
9958,492000,0.971
10060,494000,0.9724
10155,496000,0.9706
10254,498000,0.9714
10356,500000,0.9724
10462,502000,0.9735
10573,504000,0.9746
10674,506000,0.9721
10784,508000,0.9747
10889,510000,0.9729
10991,512000,0.9726
11096,514000,0.9732
11197,516000,0.972
11305,518000,0.974
11401,520000,0.9707
11508,522000,0.9736
11610,524000,0.9733
11715,526000,0.9725
11816,528000,0.9723
11919,530000,0.9725
12023,532000,0.9729
12124,534000,0.9722
12227,536000,0.9729
12331,538000,0.9727
12442,540000,0.9747
12545,542000,0.9729
12651,544000,0.9733
12756,546000,0.9737
12861,548000,0.9728
12966,550000,0.9731
13074,552000,0.974
13181,554000,0.9739
13287,556000,0.9733
13395,558000,0.9739
13499,560000,0.973
13604,562000,0.9733
13711,564000,0.9736
13814,566000,0.9728
13919,568000,0.9733
14026,570000,0.9736
14125,572000,0.9715
14232,574000,0.9738
14341,576000,0.9742
14448,578000,0.9737
14554,580000,0.9737
14659,582000,0.9731
14770,584000,0.9746
14867,586000,0.971
14969,588000,0.9726
15070,590000,0.972
15166,592000,0.9708
15267,594000,0.972
15370,596000,0.9728
15465,598000,0.9706
15568,600000,0.9726
15670,602000,0.9725
15772,604000,0.9725
15867,606000,0.9702
15968,608000,0.9723
16067,610000,0.9716
16171,612000,0.973
16276,614000,0.9729
16382,616000,0.9737
16488,618000,0.9735
16574,620000,0.9671
16678,622000,0.973
16780,624000,0.9724
16889,626000,0.9743
16991,628000,0.9724
17097,630000,0.9736
17209,632000,0.9747
17318,634000,0.9742
17400,636000,0.9658
17505,638000,0.9733
17615,640000,0.9745
17723,642000,0.9738
17832,644000,0.9743
17936,646000,0.973
18049,648000,0.975
18153,650000,0.973
18258,652000,0.9732
18344,654000,0.9674
18449,656000,0.9731
18554,658000,0.9732
18664,660000,0.9745
18768,662000,0.9729
18863,664000,0.9704
18974,666000,0.9748
19042,668000,0.9571
19121,670000,0.9729
19167,672000,0.9201
19275,674000,0.9739
19382,676000,0.9736
19485,678000,0.9731
19548,680000,0.9533
19651,682000,0.9727
19752,684000,0.9723
19861,686000,0.974
