episode,timestep,reward
7,2000,0.0
15,4000,0.0358
22,6000,0.0
29,8000,0.0
37,10000,0.0
44,12000,0.0
52,14000,0.0
59,16000,0.0
66,18000,0.0
74,20000,0.0
81,22000,0.0
89,24000,0.0
96,26000,0.0
103,28000,0.0
111,30000,0.0
118,32000,0.0
126,34000,0.0
133,36000,0.0
140,38000,0.0
148,40000,0.0
155,42000,0.0
163,44000,0.0
170,46000,0.0
177,48000,0.0
185,50000,0.0
192,52000,0.0
200,54000,0.0
207,56000,0.0
215,58000,0.0
222,60000,0.0
229,62000,0.0
237,64000,0.0
244,66000,0.0
252,68000,0.0
259,70000,0.0
266,72000,0.0
274,74000,0.0
281,76000,0.0
289,78000,0.0
296,80000,0.0
303,82000,0.0
311,84000,0.0196
318,86000,0.0
326,88000,0.0
333,90000,0.0157
341,92000,0.0
348,94000,0.0
355,96000,0.0
363,98000,0.0
370,100000,0.0
378,102000,0.0
385,104000,0.0
392,106000,0.0
400,108000,0.02
407,110000,0.0
415,112000,0.0
423,114000,0.0775
430,116000,0.0
437,118000,0.0
445,120000,0.0
452,122000,0.0
460,124000,0.0196
467,126000,0.0
475,128000,0.0
482,130000,0.0
489,132000,0.0
497,134000,0.0
504,136000,0.0
512,138000,0.0
519,140000,0.0
526,142000,0.0
534,144000,0.0
541,146000,0.0
549,148000,0.0
556,150000,0.0
563,152000,0.0
571,154000,0.0
578,156000,0.0
586,158000,0.0546
593,160000,0.0
601,162000,0.0
608,164000,0.0
616,166000,0.0
623,168000,0.0
630,170000,0.0
638,172000,0.0
645,174000,0.0
653,176000,0.0
660,178000,0.0
668,180000,0.0
675,182000,0.0
682,184000,0.0
690,186000,0.0
697,188000,0.0
705,190000,0.0396
712,192000,0.0
720,194000,0.0762
728,196000,0.0
735,198000,0.0
742,200000,0.0
750,202000,0.0
757,204000,0.0
765,206000,0.0
772,208000,0.0
780,210000,0.0575
787,212000,0.0
795,214000,0.0
802,216000,0.0
810,218000,0.0321
817,220000,0.0
824,222000,0.0
832,224000,0.0
839,226000,0.0
847,228000,0.0971
855,230000,0.0
862,232000,0.0
870,234000,0.0
877,236000,0.0
884,238000,0.0
892,240000,0.0
899,242000,0.0
907,244000,0.0
914,246000,0.0
922,248000,0.0
929,250000,0.0
936,252000,0.0
944,254000,0.0
951,256000,0.0
959,258000,0.0
966,260000,0.0
973,262000,0.0
981,264000,0.0
988,266000,0.0
996,268000,0.0
1003,270000,0.0
1010,272000,0.0
1018,274000,0.0
1025,276000,0.0
1033,278000,0.0
1040,280000,0.0
1047,282000,0.0
1055,284000,0.0
1062,286000,0.0
1070,288000,0.0
1077,290000,0.0
1084,292000,0.0
1092,294000,0.0
1099,296000,0.0
1107,298000,0.0
1114,300000,0.0
1122,302000,0.0
1129,304000,0.0
1136,306000,0.0
1144,308000,0.0
1151,310000,0.0
1159,312000,0.0
1166,314000,0.0
1173,316000,0.0
1181,318000,0.0
1188,320000,0.0
1196,322000,0.0
1203,324000,0.0
1210,326000,0.0
1218,328000,0.0
1225,330000,0.0
1233,332000,0.0
1240,334000,0.0
1247,336000,0.0
1255,338000,0.0
1262,340000,0.0
1270,342000,0.0
1277,344000,0.0
1284,346000,0.0
1292,348000,0.0
1299,350000,0.0
1307,352000,0.0
1314,354000,0.0
1322,356000,0.0
1329,358000,0.0
1336,360000,0.0
1344,362000,0.0
1351,364000,0.0
1359,366000,0.0
1366,368000,0.0
1373,370000,0.0
1381,372000,0.0
1388,374000,0.0
1396,376000,0.0
1403,378000,0.0
1410,380000,0.0
1418,382000,0.0
1425,384000,0.0
1433,386000,0.0
1440,388000,0.0
1447,390000,0.0
1455,392000,0.0
1462,394000,0.0
1470,396000,0.0
1477,398000,0.0
1484,400000,0.0
1492,402000,0.0
1499,404000,0.0
1507,406000,0.0
1514,408000,0.0
1522,410000,0.0
1529,412000,0.0
1536,414000,0.0
1544,416000,0.0
1551,418000,0.0
1559,420000,0.0
1566,422000,0.0
1573,424000,0.0
1581,426000,0.0
1588,428000,0.0
1596,430000,0.0
1603,432000,0.0
1610,434000,0.0
1618,436000,0.0
1625,438000,0.0
1633,440000,0.0
1640,442000,0.0
1647,444000,0.0
1655,446000,0.0
1662,448000,0.0
1670,450000,0.0
1677,452000,0.0
1684,454000,0.0
1692,456000,0.0
1699,458000,0.0
1707,460000,0.0
1714,462000,0.0
1722,464000,0.0
1729,466000,0.0
1736,468000,0.0
1744,470000,0.0
1751,472000,0.0
1759,474000,0.0
1766,476000,0.0
1773,478000,0.0
1781,480000,0.0
1788,482000,0.0
1796,484000,0.0
1803,486000,0.0
1810,488000,0.0
1818,490000,0.0
1825,492000,0.0
1833,494000,0.0
1840,496000,0.0
1847,498000,0.0
1855,500000,0.0
1862,502000,0.0
1870,504000,0.0
1877,506000,0.0
1884,508000,0.0
1892,510000,0.0
1899,512000,0.0
1907,514000,0.0
1914,516000,0.0
1922,518000,0.0
1929,520000,0.0
1936,522000,0.0
1944,524000,0.0
1951,526000,0.0
1959,528000,0.0
1966,530000,0.0
1973,532000,0.0
1981,534000,0.0
1988,536000,0.0
1996,538000,0.0
2003,540000,0.0
2010,542000,0.0
2018,544000,0.0
2025,546000,0.0
2033,548000,0.0
2040,550000,0.0
2047,552000,0.0
2055,554000,0.0
2062,556000,0.0
2070,558000,0.0
2077,560000,0.0
2084,562000,0.0
2092,564000,0.0
2099,566000,0.0
2107,568000,0.0
2115,570000,0.0779
2122,572000,0.0
2130,574000,0.0
2137,576000,0.0
2144,578000,0.0
2152,580000,0.0
2159,582000,0.0
2167,584000,0.0
2174,586000,0.0
2181,588000,0.0
2189,590000,0.0
2196,592000,0.0
2204,594000,0.0
2211,596000,0.0
2218,598000,0.0
2226,600000,0.0
2233,602000,0.0
2241,604000,0.0
2248,606000,0.0
2255,608000,0.0
2263,610000,0.0
2270,612000,0.0
2278,614000,0.0
2285,616000,0.0
2292,618000,0.0
2300,620000,0.0
2307,622000,0.0271
2315,624000,0.0
2322,626000,0.0
2330,628000,0.0
2337,630000,0.0
2344,632000,0.0
2352,634000,0.0
2359,636000,0.0
2367,638000,0.0
2374,640000,0.0
2381,642000,0.0
2389,644000,0.0
2396,646000,0.0
2404,648000,0.0
2411,650000,0.0
2418,652000,0.0
2426,654000,0.0
2433,656000,0.0
2441,658000,0.0
2448,660000,0.0
2456,662000,0.0
2463,664000,0.0
2470,666000,0.0
2478,668000,0.0
2485,670000,0.0
2493,672000,0.0
2500,674000,0.0
2507,676000,0.0
2515,678000,0.0
2522,680000,0.0
2530,682000,0.0
2537,684000,0.0
2544,686000,0.0
2552,688000,0.0
2559,690000,0.0
2567,692000,0.0
2574,694000,0.0
2581,696000,0.0
