episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
24,16000,0.0
28,18000,0.0
31,20000,0.0
34,22000,0.0938
37,24000,0.0
40,26000,0.0
43,28000,0.0
47,30000,0.0
50,32000,0.0
53,34000,0.0699
57,36000,0.1308
60,38000,0.1833
64,40000,0.1273
68,42000,0.3734
73,44000,0.3826
80,46000,0.599
85,48000,0.3204
90,50000,0.2827
95,52000,0.5427
101,54000,0.3936
104,56000,0.0
108,58000,0.2838
114,60000,0.584
121,62000,0.4957
131,64000,0.7391
138,66000,0.5898
146,68000,0.6222
154,70000,0.5921
160,72000,0.5104
170,74000,0.7439
177,76000,0.6269
190,78000,0.7754
200,80000,0.7218
209,82000,0.612
218,84000,0.6656
233,86000,0.8477
248,88000,0.7933
260,90000,0.7295
277,92000,0.8225
300,94000,0.8785
313,96000,0.7762
346,98000,0.9106
366,100000,0.8736
403,102000,0.9167
435,104000,0.9127
471,106000,0.9244
506,108000,0.914
559,110000,0.9474
611,112000,0.9461
663,114000,0.9452
715,116000,0.9459
760,118000,0.9372
797,120000,0.9365
850,122000,0.9363
914,124000,0.9595
963,126000,0.9382
1016,128000,0.9467
1081,130000,0.9571
1147,132000,0.9571
1224,134000,0.9635
1296,136000,0.9615
1354,138000,0.9532
1426,140000,0.9592
1510,142000,0.9665
1588,144000,0.9641
1670,146000,0.9656
1747,148000,0.9636
1826,150000,0.9642
1903,152000,0.9633
1987,154000,0.9669
2071,156000,0.9663
2163,158000,0.9697
2246,160000,0.966
2336,162000,0.9687
2423,164000,0.9683
2514,166000,0.9684
2609,168000,0.9706
2705,170000,0.9705
2799,172000,0.9701
2887,174000,0.9679
2977,176000,0.9688
3067,178000,0.9687
3158,180000,0.9691
3251,182000,0.9698
3344,184000,0.97
3407,186000,0.9536
3503,188000,0.9708
3593,190000,0.9686
3682,192000,0.9685
3777,194000,0.9704
3870,196000,0.9697
3967,198000,0.9709
4057,200000,0.9687
4131,202000,0.97
4221,204000,0.9622
4313,206000,0.9696
4407,208000,0.97
4509,210000,0.9726
4604,212000,0.9702
4691,214000,0.9677
4792,216000,0.9722
4867,218000,0.9722
4946,220000,0.9538
5042,222000,0.9707
5141,224000,0.9717
5238,226000,0.9708
5334,228000,0.9708
5435,230000,0.9721
5535,232000,0.9718
5636,234000,0.9723
5707,236000,0.9589
5807,238000,0.972
5907,240000,0.9718
6009,242000,0.9724
6108,244000,0.9714
6181,246000,0.9603
6255,248000,0.9604
6357,250000,0.9726
6463,252000,0.9734
6564,254000,0.9723
6666,256000,0.9723
6770,258000,0.9732
6869,260000,0.9713
6975,262000,0.9736
7085,264000,0.9745
7156,266000,0.9589
7261,268000,0.9733
7364,270000,0.9724
7468,272000,0.9729
7574,274000,0.9734
7677,276000,0.9729
7784,278000,0.9736
7893,280000,0.9743
8002,282000,0.9743
8073,284000,0.959
8184,286000,0.9745
8295,288000,0.9746
8394,290000,0.9718
8495,292000,0.9722
8603,294000,0.9739
8710,296000,0.9736
8819,298000,0.9744
8931,300000,0.9747
9036,302000,0.9732
9140,304000,0.973
9243,306000,0.9726
9347,308000,0.973
9455,310000,0.974
9568,312000,0.9751
9676,314000,0.9739
9782,316000,0.9735
9883,318000,0.9721
9991,320000,0.9741
10098,322000,0.9739
10208,324000,0.9743
10306,326000,0.9712
10407,328000,0.9723
10510,330000,0.9745
10612,332000,0.9705
10706,334000,0.97
10808,336000,0.9729
10913,338000,0.9728
11018,340000,0.9733
11126,342000,0.9739
11209,344000,0.966
11311,346000,0.9726
11420,348000,0.9742
11525,350000,0.9731
11632,352000,0.9736
11737,354000,0.9736
11843,356000,0.9731
11943,358000,0.9719
12049,360000,0.9734
12157,362000,0.974
12266,364000,0.9743
12375,366000,0.9742
12481,368000,0.9735
12585,370000,0.9729
12692,372000,0.9737
12796,374000,0.9729
12901,376000,0.9732
13008,378000,0.9737
13109,380000,0.9722
13215,382000,0.9735
13322,384000,0.9736
13397,386000,0.9611
13499,388000,0.9726
13604,390000,0.9731
13712,392000,0.9739
13817,394000,0.9735
13888,396000,0.959
13931,398000,0.9541
14011,400000,0.9529
14052,402000,0.9495
14084,404000,0.8825
14106,406000,0.8548
14139,408000,0.9345
14152,410000,0.7456
14170,412000,0.8494
14203,414000,0.879
14222,416000,0.867
14262,418000,0.9249
14286,420000,0.85
14363,422000,0.9635
14407,424000,0.9523
14490,426000,0.9583
14582,428000,0.969
14686,430000,0.9729
14783,432000,0.9713
14876,434000,0.9692
14970,436000,0.9701
15075,438000,0.9733
15173,440000,0.9713
15278,442000,0.9733
15383,444000,0.9732
15490,446000,0.9738
15595,448000,0.9731
15668,450000,0.9689
15772,452000,0.9677
15878,454000,0.9736
15984,456000,0.9734
16085,458000,0.9722
16183,460000,0.9712
16291,462000,0.974
16397,464000,0.9734
16499,466000,0.9724
16599,468000,0.9721
16702,470000,0.9725
16806,472000,0.9731
16915,474000,0.9741
17008,476000,0.9698
17112,478000,0.9729
17220,480000,0.9739
17314,482000,0.9701
17413,484000,0.9719
17512,486000,0.9715
17604,488000,0.9692
17710,490000,0.9735
17813,492000,0.9726
17915,494000,0.9725
18020,496000,0.9732
18130,498000,0.9744
18238,500000,0.9739
18344,502000,0.9735
18453,504000,0.9743
18527,506000,0.962
18636,508000,0.9742
18739,510000,0.9726
18844,512000,0.9733
18918,514000,0.9605
19027,516000,0.9742
19111,518000,0.9665
19215,520000,0.9732
19320,522000,0.973
19428,524000,0.974
19531,526000,0.9728
19637,528000,0.9735
19735,530000,0.9716
19836,532000,0.9719
19941,534000,0.9731
20050,536000,0.9742
20150,538000,0.972
20251,540000,0.972
20358,542000,0.9738
20465,544000,0.9737
20575,546000,0.9745
20686,548000,0.9745
20795,550000,0.9743
20903,552000,0.9739
21009,554000,0.9734
21120,556000,0.9746
21225,558000,0.9733
21334,560000,0.9744
21438,562000,0.9731
21549,564000,0.9743
21658,566000,0.9744
21762,568000,0.973
21867,570000,0.973
21975,572000,0.974
22075,574000,0.9718
22182,576000,0.9739
22286,578000,0.9728
22389,580000,0.9728
22494,582000,0.973
22601,584000,0.9737
22711,586000,0.9748
22808,588000,0.9706
22918,590000,0.9744
23027,592000,0.9741
23116,594000,0.9688
23219,596000,0.9727
23324,598000,0.973
23432,600000,0.9739
23537,602000,0.9732
23644,604000,0.9738
23745,606000,0.972
23844,608000,0.9724
23944,610000,0.971
24017,612000,0.9627
24117,614000,0.9711
24219,616000,0.9727
24324,618000,0.973
24435,620000,0.9745
24547,622000,0.975
24650,624000,0.9726
24749,626000,0.9715
24856,628000,0.9738
24960,630000,0.9729
25068,632000,0.974
25173,634000,0.9731
25278,636000,0.9736
25379,638000,0.9718
25487,640000,0.974
25594,642000,0.9738
25699,644000,0.9731
25811,646000,0.9748
25914,648000,0.9727
26019,650000,0.9733
26124,652000,0.9733
26232,654000,0.9738
26339,656000,0.9738
26452,658000,0.975
