episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
24,16000,0.0
28,18000,0.0
31,20000,0.0
34,22000,0.0
37,24000,0.0
40,26000,0.0
43,28000,0.0
46,30000,0.0
49,32000,0.0
53,34000,0.0
56,36000,0.0
59,38000,0.0
62,40000,0.0
66,42000,0.1154
69,44000,0.0
72,46000,0.1618
75,48000,0.0
78,50000,0.0
82,52000,0.0
85,54000,0.0
88,56000,0.0
91,58000,0.1093
95,60000,0.1906
99,62000,0.294
102,64000,0.0
106,66000,0.2412
109,68000,0.0
113,70000,0.2493
119,72000,0.3819
123,74000,0.2479
128,76000,0.5103
131,78000,0.0385
135,80000,0.0943
139,82000,0.3046
144,84000,0.5297
148,86000,0.0823
154,88000,0.5518
160,90000,0.4689
166,92000,0.4885
172,94000,0.5249
176,96000,0.1786
181,98000,0.4639
190,100000,0.658
198,102000,0.7307
206,104000,0.5289
210,106000,0.3791
215,108000,0.3472
225,110000,0.7179
231,112000,0.4538
240,114000,0.7392
247,116000,0.5138
252,118000,0.4031
260,120000,0.5865
271,122000,0.7622
279,124000,0.6106
288,126000,0.6482
295,128000,0.6824
304,130000,0.6137
319,132000,0.7958
342,134000,0.8999
358,136000,0.8244
381,138000,0.8747
390,140000,0.619
397,142000,0.524
428,144000,0.9218
451,146000,0.8537
479,148000,0.8924
493,150000,0.8553
524,152000,0.8837
553,154000,0.9084
582,156000,0.8971
642,158000,0.9533
679,160000,0.9212
733,162000,0.9476
791,164000,0.9513
840,166000,0.9426
901,168000,0.954
971,170000,0.9599
1034,172000,0.9552
1099,174000,0.9571
1180,176000,0.9649
1244,178000,0.9564
1320,180000,0.9631
1403,182000,0.9659
1486,184000,0.9662
1568,186000,0.9654
1652,188000,0.9671
1735,190000,0.9658
1814,192000,0.9642
1899,194000,0.9668
1984,196000,0.9669
2078,198000,0.9702
2139,200000,0.9523
2231,202000,0.9696
2316,204000,0.9669
2406,206000,0.9687
2500,208000,0.9699
2598,210000,0.9713
2691,212000,0.9699
2787,214000,0.9706
2883,216000,0.9708
2979,218000,0.9709
3070,220000,0.969
3168,222000,0.9714
3258,224000,0.9687
3325,226000,0.9563
3424,228000,0.9717
3453,230000,0.9032
3478,232000,0.8707
3499,234000,0.8999
3522,236000,0.8473
3618,238000,0.9664
3718,240000,0.972
3815,242000,0.9708
3903,244000,0.9682
3990,246000,0.9714
4086,248000,0.9674
4174,250000,0.9679
4251,252000,0.964
4344,254000,0.9693
4430,256000,0.9675
4525,258000,0.9703
4623,260000,0.9712
4710,262000,0.9687
4799,264000,0.9674
4899,266000,0.9719
4995,268000,0.9708
5095,270000,0.9717
5187,272000,0.9697
5290,274000,0.9725
5393,276000,0.9729
5498,278000,0.973
5599,280000,0.9722
5700,282000,0.972
5802,284000,0.9724
5874,286000,0.9597
5981,288000,0.9738
6086,290000,0.9731
6194,292000,0.9738
6295,294000,0.9724
6399,296000,0.973
6500,298000,0.972
6603,300000,0.9726
6700,302000,0.971
6798,304000,0.9714
6909,306000,0.9746
7007,308000,0.9716
7103,310000,0.9705
7206,312000,0.9728
7304,314000,0.9712
7403,316000,0.9734
7509,318000,0.9718
7613,320000,0.973
7717,322000,0.973
7826,324000,0.974
7933,326000,0.9738
8007,328000,0.9606
8111,330000,0.973
8219,332000,0.974
8318,334000,0.9715
8427,336000,0.9741
8531,338000,0.973
8635,340000,0.9729
8734,342000,0.9717
8839,344000,0.9732
8942,346000,0.9725
9048,348000,0.9735
9119,350000,0.9592
9231,352000,0.9748
9334,354000,0.9728
9436,356000,0.9723
9542,358000,0.9736
9649,360000,0.9737
9719,362000,0.9585
9808,364000,0.9683
9914,366000,0.9736
10024,368000,0.9745
10121,370000,0.9713
10193,372000,0.9589
10299,374000,0.9735
10406,376000,0.9738
10513,378000,0.9736
10616,380000,0.9728
10715,382000,0.9714
10824,384000,0.9743
10926,386000,0.9724
11020,388000,0.9701
11125,390000,0.9732
11221,392000,0.9706
11321,394000,0.972
11419,396000,0.9714
11523,398000,0.9729
11632,400000,0.9741
11733,402000,0.9724
11836,404000,0.9726
11943,406000,0.9736
12050,408000,0.9738
12158,410000,0.9738
12258,412000,0.9719
12359,414000,0.9721
12464,416000,0.9733
12574,418000,0.9743
12677,420000,0.9727
12784,422000,0.9738
12885,424000,0.9721
12984,426000,0.9717
13091,428000,0.9736
13199,430000,0.9742
13303,432000,0.9728
13403,434000,0.9723
13503,436000,0.9713
13607,438000,0.9731
13710,440000,0.9726
13811,442000,0.9723
13899,444000,0.9681
14007,446000,0.9737
14112,448000,0.9732
14219,450000,0.9739
14292,452000,0.9612
14395,454000,0.9728
14495,456000,0.9722
14584,458000,0.9681
14691,460000,0.9737
14797,462000,0.9734
14870,464000,0.9724
14978,466000,0.9665
15048,468000,0.9585
15154,470000,0.9733
15264,472000,0.9745
15373,474000,0.9742
15482,476000,0.9741
15584,478000,0.9724
15689,480000,0.9733
15799,482000,0.9747
15898,484000,0.9727
16000,486000,0.971
16093,488000,0.9744
16134,490000,0.9164
16153,492000,0.8664
16240,494000,0.9612
16352,496000,0.9747
16456,498000,0.973
16529,500000,0.9603
16632,502000,0.9725
16736,504000,0.9732
16838,506000,0.9722
16936,508000,0.9713
17037,510000,0.9723
17139,512000,0.9722
17237,514000,0.9715
17308,516000,0.9587
17416,518000,0.9741
17525,520000,0.9743
17630,522000,0.9732
17722,524000,0.9695
17831,526000,0.974
17939,528000,0.974
18046,530000,0.9737
18158,532000,0.9748
18263,534000,0.9732
18368,536000,0.9733
18475,538000,0.9738
18580,540000,0.9733
18685,542000,0.973
18790,544000,0.9733
18892,546000,0.9723
18989,548000,0.971
19105,550000,0.9758
19211,552000,0.9736
19303,554000,0.9706
19399,556000,0.9696
19502,558000,0.9725
19602,560000,0.9721
19709,562000,0.9735
19816,564000,0.9738
19924,566000,0.9739
20032,568000,0.974
20134,570000,0.9723
20238,572000,0.9732
20348,574000,0.9742
20455,576000,0.9739
20565,578000,0.9742
20672,580000,0.9741
20785,582000,0.9748
20892,584000,0.9738
20999,586000,0.9737
21106,588000,0.9737
21211,590000,0.9733
21316,592000,0.9732
21424,594000,0.974
21534,596000,0.9743
21641,598000,0.9738
21753,600000,0.9749
21866,602000,0.975
21971,604000,0.9732
22072,606000,0.9721
22155,608000,0.9662
22259,610000,0.9731
22370,612000,0.9748
22475,614000,0.9732
22587,616000,0.9748
22700,618000,0.9751
22811,620000,0.9746
22916,622000,0.9734
23023,624000,0.9736
23131,626000,0.974
23237,628000,0.9734
23351,630000,0.9753
23456,632000,0.9731
23562,634000,0.9736
23665,636000,0.9728
23769,638000,0.9728
23874,640000,0.9732
23980,642000,0.9735
24087,644000,0.9737
24194,646000,0.9737
24300,648000,0.9734
24406,650000,0.9737
24516,652000,0.9743
24626,654000,0.9745
24737,656000,0.9747
24846,658000,0.9741
24954,660000,0.974
25058,662000,0.9729
