episode,timestep,reward
1,2000,0.0
3,4000,0.0
5,6000,0.0
7,8000,0.0
9,10000,0.0
11,12000,0.0
13,14000,0.0
15,16000,0.0
17,18000,0.0
19,20000,0.0
21,22000,0.0
23,24000,0.0
25,26000,0.0
27,28000,0.0
29,30000,0.0
31,32000,0.0
33,34000,0.0
35,36000,0.0
37,38000,0.0
40,40000,0.0887
42,42000,0.1792
44,44000,0.1854
46,46000,0.1023
49,48000,0.2826
52,50000,0.5312
57,52000,0.4927
66,54000,0.7978
76,56000,0.825
84,58000,0.7812
95,60000,0.8541
106,62000,0.837
121,64000,0.8761
142,66000,0.9142
165,68000,0.921
195,70000,0.9417
222,72000,0.9351
255,74000,0.9472
290,76000,0.9492
331,78000,0.9575
371,80000,0.9557
417,82000,0.9622
465,84000,0.9632
518,86000,0.9664
569,88000,0.9657
625,90000,0.9689
682,92000,0.9688
741,94000,0.9703
800,96000,0.9704
863,98000,0.9718
924,100000,0.9712
987,102000,0.972
1049,104000,0.972
1114,106000,0.9729
1178,108000,0.9727
1243,110000,0.9728
1309,112000,0.9733
1377,114000,0.9739
1442,116000,0.9733
1510,118000,0.9741
1578,120000,0.9742
1647,122000,0.9744
1716,124000,0.9745
1785,126000,0.9746
1855,128000,0.9748
1925,130000,0.9748
1995,132000,0.9748
2065,134000,0.9751
2135,136000,0.9749
2206,138000,0.9753
2278,140000,0.9753
2349,142000,0.9754
2420,144000,0.9751
2491,146000,0.9754
2560,148000,0.9746
2632,150000,0.9752
2703,152000,0.9754
2775,154000,0.9755
2847,156000,0.9756
2919,158000,0.9755
2991,160000,0.9757
3062,162000,0.9754
3134,164000,0.9756
3207,166000,0.9758
3280,168000,0.9758
3353,170000,0.9759
3425,172000,0.9756
3497,174000,0.9758
3570,176000,0.9758
3642,178000,0.9758
3716,180000,0.976
3788,182000,0.9759
3861,184000,0.9758
3934,186000,0.9757
4007,188000,0.9759
4079,190000,0.9758
4152,192000,0.9758
4224,194000,0.9757
4297,196000,0.9759
