episode,timestep,reward
7,2000,0.0
14,4000,0.0
22,6000,0.0
29,8000,0.0
37,10000,0.0
44,12000,0.0
51,14000,0.0
59,16000,0.0146
66,18000,0.0
74,20000,0.0
81,22000,0.0
88,24000,0.0
96,26000,0.0
103,28000,0.0
111,30000,0.0
118,32000,0.0
125,34000,0.0
133,36000,0.0
140,38000,0.0
148,40000,0.0
155,42000,0.0
162,44000,0.0
170,46000,0.0
177,48000,0.0
185,50000,0.0
192,52000,0.0
200,54000,0.0
207,56000,0.0
214,58000,0.0
222,60000,0.0
229,62000,0.0
237,64000,0.0
244,66000,0.0914
252,68000,0.0
259,70000,0.0
267,72000,0.0
274,74000,0.0
281,76000,0.0
289,78000,0.0433
296,80000,0.0
304,82000,0.0
311,84000,0.0
319,86000,0.0
326,88000,0.0
334,90000,0.0
341,92000,0.0
348,94000,0.0
356,96000,0.0188
363,98000,0.0
371,100000,0.0
378,102000,0.0
385,104000,0.0
393,106000,0.0
401,108000,0.0504
408,110000,0.0
415,112000,0.0
423,114000,0.0
430,116000,0.0
438,118000,0.0
445,120000,0.0
452,122000,0.0
460,124000,0.0
467,126000,0.0
475,128000,0.0
482,130000,0.0
489,132000,0.0
497,134000,0.0
504,136000,0.0348
512,138000,0.0
519,140000,0.0
527,142000,0.0
534,144000,0.0
541,146000,0.0
549,148000,0.0321
557,150000,0.0325
564,152000,0.0733
572,154000,0.0363
580,156000,0.0
587,158000,0.0
594,160000,0.0
602,162000,0.0404
611,164000,0.1767
618,166000,0.0
626,168000,0.0529
634,170000,0.1029
642,172000,0.0975
650,174000,0.0867
658,176000,0.0825
666,178000,0.0
673,180000,0.0
681,182000,0.0
688,184000,0.0
695,186000,0.0
703,188000,0.075
711,190000,0.0
718,192000,0.0
726,194000,0.0
733,196000,0.0
740,198000,0.0
748,200000,0.0
756,202000,0.1479
764,204000,0.0
771,206000,0.0
778,208000,0.0238
786,210000,0.0
794,212000,0.0442
801,214000,0.0538
809,216000,0.0717
817,218000,0.0
825,220000,0.1846
833,222000,0.0821
841,224000,0.0246
849,226000,0.0858
857,228000,0.1162
865,230000,0.0254
873,232000,0.165
881,234000,0.0729
889,236000,0.0
896,238000,0.0967
904,240000,0.0
912,242000,0.1588
920,244000,0.0812
928,246000,0.0475
937,248000,0.1637
945,250000,0.0967
953,252000,0.0692
960,254000,0.0
968,256000,0.0
976,258000,0.0517
984,260000,0.0992
992,262000,0.1713
1001,264000,0.0944
1009,266000,0.0938
1016,268000,0.0
1025,270000,0.1326
1032,272000,0.0338
1041,274000,0.1285
1048,276000,0.0314
1056,278000,0.0175
1063,280000,0.0
1070,282000,0.0
1079,284000,0.1322
1086,286000,0.0338
1094,288000,0.0404
1102,290000,0.0
1110,292000,0.1429
1119,294000,0.1359
1128,296000,0.1963
1135,298000,0.0
1144,300000,0.1719
1153,302000,0.1611
1161,304000,0.0904
1170,306000,0.1811
1178,308000,0.0996
1187,310000,0.16
1194,312000,0.051
1204,314000,0.1903
1212,316000,0.1304
1220,318000,0.0917
1229,320000,0.1452
1237,322000,0.0879
1245,324000,0.0896
1254,326000,0.2196
1263,328000,0.1981
1271,330000,0.0746
1279,332000,0.0712
1288,334000,0.2052
1297,336000,0.1667
1306,338000,0.1956
1314,340000,0.0783
1321,342000,0.0
1329,344000,0.0825
1337,346000,0.0625
1345,348000,0.1621
1354,350000,0.1167
1361,352000,0.0367
1370,354000,0.1722
1378,356000,0.0
1386,358000,0.1688
1395,360000,0.1148
1402,362000,0.0
1409,364000,0.0
1419,366000,0.1827
1426,368000,0.0
1434,370000,0.1342
1442,372000,0.0
1449,374000,0.0
1457,376000,0.0
1466,378000,0.233
1475,380000,0.1663
1482,382000,0.0
1492,384000,0.2287
1500,386000,0.0992
1507,388000,0.0352
1516,390000,0.1537
1525,392000,0.1459
1532,394000,0.0
1540,396000,0.0608
1548,398000,0.105
1556,400000,0.0
1564,402000,0.0996
1572,404000,0.0883
1579,406000,0.0
1587,408000,0.0
1596,410000,0.2107
1605,412000,0.1467
1612,414000,0.0886
1620,416000,0.0179
1627,418000,0.0
1635,420000,0.0433
1644,422000,0.1515
1652,424000,0.0921
1662,426000,0.2533
1670,428000,0.1004
1677,430000,0.0171
1685,432000,0.085
1693,434000,0.0842
1701,436000,0.0
1709,438000,0.1508
1720,440000,0.31
1728,442000,0.1558
1738,444000,0.1987
1746,446000,0.1087
1756,448000,0.3287
1764,450000,0.0513
1773,452000,0.1589
1781,454000,0.0525
1788,456000,0.0543
1796,458000,0.0975
1804,460000,0.0562
1812,462000,0.1108
1821,464000,0.103
1829,466000,0.0954
1839,468000,0.3403
1848,470000,0.0963
1856,472000,0.1558
1867,474000,0.2848
1876,476000,0.2515
1886,478000,0.2517
1893,480000,0.0
1901,482000,0.0308
1910,484000,0.2193
1918,486000,0.0788
1926,488000,0.05
1933,490000,0.0
1941,492000,0.1458
1950,494000,0.0781
1958,496000,0.105
1966,498000,0.0988
1976,500000,0.2347
1984,502000,0.1013
1994,504000,0.3423
2003,506000,0.1181
2012,508000,0.1796
2021,510000,0.1674
2029,512000,0.1642
2038,514000,0.1778
2046,516000,0.0158
2055,518000,0.2437
2064,520000,0.2404
2073,522000,0.1285
2080,524000,0.0
2091,526000,0.3285
2101,528000,0.3213
2109,530000,0.0
2117,532000,0.1812
2125,534000,0.0938
2133,536000,0.0
2142,538000,0.1837
2152,540000,0.27
