episode,timestep,reward
7,2000,0.0
14,4000,0.0
22,6000,0.0
29,8000,0.0
37,10000,0.0
44,12000,0.0
51,14000,0.0
59,16000,0.0
66,18000,0.0
74,20000,0.0
81,22000,0.0
88,24000,0.0
96,26000,0.0
103,28000,0.0
111,30000,0.0
118,32000,0.0
125,34000,0.0
133,36000,0.0
140,38000,0.0
148,40000,0.0
155,42000,0.0
162,44000,0.0
170,46000,0.0
177,48000,0.0
185,50000,0.0
192,52000,0.0
199,54000,0.0
207,56000,0.0
214,58000,0.0
222,60000,0.0
229,62000,0.0
237,64000,0.0
244,66000,0.0
251,68000,0.0
259,70000,0.0
266,72000,0.0
274,74000,0.0
281,76000,0.071
289,78000,0.0137
296,80000,0.0
304,82000,0.0
311,84000,0.0
318,86000,0.0
326,88000,0.0
333,90000,0.0
341,92000,0.0
348,94000,0.0
355,96000,0.0
363,98000,0.0
370,100000,0.0
378,102000,0.055
385,104000,0.04
393,106000,0.0
400,108000,0.0
408,110000,0.0
415,112000,0.0
423,114000,0.0
430,116000,0.0
437,118000,0.0
445,120000,0.0
452,122000,0.0514
460,124000,0.0
467,126000,0.0
475,128000,0.0
482,130000,0.0
489,132000,0.0
497,134000,0.0
504,136000,0.0
512,138000,0.0
520,140000,0.0867
527,142000,0.0
535,144000,0.0
542,146000,0.0
550,148000,0.0392
557,150000,0.0357
565,152000,0.0
572,154000,0.0
579,156000,0.0
587,158000,0.0
595,160000,0.0733
602,162000,0.0
610,164000,0.0
617,166000,0.0
624,168000,0.0
632,170000,0.02
639,172000,0.0
647,174000,0.0
654,176000,0.0
662,178000,0.0
669,180000,0.0
677,182000,0.0346
684,184000,0.0
691,186000,0.0
699,188000,0.0
706,190000,0.0148
714,192000,0.0562
721,194000,0.0
729,196000,0.0
736,198000,0.0
744,200000,0.0
751,202000,0.0
758,204000,0.0
766,206000,0.0358
773,208000,0.0
781,210000,0.0
789,212000,0.0692
796,214000,0.0
804,216000,0.0
811,218000,0.0
818,220000,0.0
826,222000,0.0
833,224000,0.0
841,226000,0.0
848,228000,0.0
855,230000,0.0
863,232000,0.0
870,234000,0.0
878,236000,0.0846
886,238000,0.0
894,240000,0.0746
901,242000,0.0
909,244000,0.0396
916,246000,0.0
924,248000,0.0
931,250000,0.0538
939,252000,0.0
947,254000,0.0725
955,256000,0.0721
962,258000,0.0
969,260000,0.0
977,262000,0.0
984,264000,0.0567
992,266000,0.0
999,268000,0.0286
1007,270000,0.0592
1015,272000,0.0
1023,274000,0.0867
1030,276000,0.0
1038,278000,0.0467
1045,280000,0.0
1054,282000,0.1507
1061,284000,0.0
1070,286000,0.1248
1077,288000,0.0
1086,290000,0.1356
1094,292000,0.1096
1101,294000,0.0
1109,296000,0.0
1117,298000,0.0725
1124,300000,0.0
1131,302000,0.0
1139,304000,0.0646
1147,306000,0.0879
1155,308000,0.0667
1164,310000,0.1222
1171,312000,0.0
1179,314000,0.0329
1186,316000,0.0
1194,318000,0.0367
1201,320000,0.0433
1209,322000,0.1046
1217,324000,0.0
1224,326000,0.0333
1232,328000,0.0833
1240,330000,0.0
1249,332000,0.2244
1257,334000,0.1217
1265,336000,0.0125
1272,338000,0.0438
1280,340000,0.0
1287,342000,0.0
1295,344000,0.0821
1303,346000,0.0663
1311,348000,0.0175
1320,350000,0.1926
1328,352000,0.1017
1336,354000,0.0912
1344,356000,0.0667
1352,358000,0.0525
1360,360000,0.1233
1367,362000,0.0452
1375,364000,0.0
1384,366000,0.1678
1391,368000,0.0519
1400,370000,0.153
1408,372000,0.0329
1415,374000,0.0
1423,376000,0.0854
1432,378000,0.1633
1441,380000,0.18
1448,382000,0.0
1456,384000,0.0
1464,386000,0.1
1471,388000,0.0381
1480,390000,0.0781
1489,392000,0.227
1496,394000,0.0
1505,396000,0.2019
1513,398000,0.1033
1523,400000,0.1747
1532,402000,0.2644
1542,404000,0.2777
1552,406000,0.2123
1560,408000,0.0521
1570,410000,0.2677
1579,412000,0.2778
1590,414000,0.3427
1599,416000,0.1552
1607,418000,0.1233
1615,420000,0.0912
1623,422000,0.0929
1632,424000,0.1144
1640,426000,0.1412
1649,428000,0.1144
1657,430000,0.1742
1666,432000,0.0985
1674,434000,0.1321
1682,436000,0.0725
1689,438000,0.0148
1697,440000,0.0792
1705,442000,0.0696
1714,444000,0.1522
1723,446000,0.1852
1731,448000,0.0892
1739,450000,0.1162
1747,452000,0.0567
1754,454000,0.0
1762,456000,0.0
1770,458000,0.1492
1779,460000,0.2352
1788,462000,0.1381
1797,464000,0.1533
1808,466000,0.3315
1817,468000,0.2156
1827,470000,0.281
1835,472000,0.165
1843,474000,0.0883
1851,476000,0.0788
1860,478000,0.0944
1869,480000,0.2211
1876,482000,0.0
1884,484000,0.095
1893,486000,0.0833
1901,488000,0.1483
1911,490000,0.2173
1919,492000,0.1467
1929,494000,0.2987
1937,496000,0.0129
1946,498000,0.1793
1954,500000,0.1321
1962,502000,0.1371
1971,504000,0.1
1982,506000,0.387
1990,508000,0.0
1999,510000,0.2848
2008,512000,0.0893
2016,514000,0.2258
2024,516000,0.0
2031,518000,0.0
2042,520000,0.3012
2052,522000,0.247
2062,524000,0.2533
2069,526000,0.0467
2077,528000,0.0
2085,530000,0.0942
2095,532000,0.2423
2104,534000,0.2733
2113,536000,0.1604
2121,538000,0.065
2131,540000,0.234
2141,542000,0.3197
2150,544000,0.2226
2161,546000,0.2688
