episode,timestep,reward
42,2000,0.0
75,4000,0.0
123,6000,0.0
183,8000,0.0
235,10000,0.0
277,12000,0.0
318,14000,0.0188
355,16000,0.0
382,18000,0.0
410,20000,0.0
442,22000,0.0
469,24000,0.0451
499,26000,0.0154
525,28000,0.0
557,30000,0.0262
572,32000,0.0
584,34000,0.0
597,36000,0.0
610,38000,0.0628
621,40000,0.0
634,42000,0.1013
644,44000,0.08
653,46000,0.0599
663,48000,0.22
673,50000,0.1356
683,52000,0.2289
694,54000,0.0098
710,56000,0.0
723,58000,0.1169
739,60000,0.2092
747,62000,0.017
759,64000,0.141
766,66000,0.1317
774,68000,0.0976
783,70000,0.0759
790,72000,0.1905
803,74000,0.0823
811,76000,0.2601
822,78000,0.1157
830,80000,0.0903
840,82000,0.2828
852,84000,0.3326
861,86000,0.1235
872,88000,0.0369
879,90000,0.0837
888,92000,0.0821
896,94000,0.2122
906,96000,0.1767
917,98000,0.3399
925,100000,0.1306
934,102000,0.1586
945,104000,0.2285
956,106000,0.3641
963,108000,0.1865
974,110000,0.2745
983,112000,0.2275
997,114000,0.5528
1006,116000,0.0472
1015,118000,0.2534
1023,120000,0.2243
1035,122000,0.4343
1049,124000,0.4016
1060,126000,0.1581
1072,128000,0.3954
1087,130000,0.3978
1098,132000,0.3591
1115,134000,0.4209
1126,136000,0.3753
1136,138000,0.4008
1146,140000,0.3775
1156,142000,0.2678
1168,144000,0.4479
1180,146000,0.3093
1200,148000,0.661
1216,150000,0.5288
1228,152000,0.4412
1242,154000,0.4825
1251,156000,0.3022
1265,158000,0.6091
1283,160000,0.5239
1298,162000,0.48
1310,164000,0.4144
1323,166000,0.4053
1333,168000,0.4025
1344,170000,0.3763
1355,172000,0.3434
1363,174000,0.2274
1380,176000,0.5374
1393,178000,0.5553
1402,180000,0.3682
1415,182000,0.5538
1427,184000,0.1938
1438,186000,0.5111
1450,188000,0.5049
1465,190000,0.5561
1476,192000,0.3808
1489,194000,0.3974
1505,196000,0.6521
1515,198000,0.3364
1533,200000,0.667
1545,202000,0.5627
1560,204000,0.5733
1577,206000,0.6296
1588,208000,0.5333
1600,210000,0.4475
1613,212000,0.4929
1629,214000,0.6264
1649,216000,0.6588
1661,218000,0.4144
1673,220000,0.4079
1683,222000,0.3861
1698,224000,0.5939
1709,226000,0.4366
1720,228000,0.446
1729,230000,0.3269
1738,232000,0.3417
1753,234000,0.5811
1765,236000,0.4701
1777,238000,0.4005
1788,240000,0.3816
1801,242000,0.5547
1813,244000,0.5153
1824,246000,0.4033
1837,248000,0.6064
1848,250000,0.3409
1859,252000,0.422
1875,254000,0.5887
1893,256000,0.408
1901,258000,0.2368
1916,260000,0.5219
1930,262000,0.5028
1939,264000,0.337
1952,266000,0.4855
1963,268000,0.3232
1976,270000,0.5218
1990,272000,0.523
2010,274000,0.6769
2023,276000,0.538
2041,278000,0.6151
2054,280000,0.5365
2067,282000,0.469
2083,284000,0.6528
2100,286000,0.5538
2117,288000,0.6399
2130,290000,0.5325
2143,292000,0.5385
2153,294000,0.3925
2171,296000,0.6383
2183,298000,0.5248
2198,300000,0.5357
2213,302000,0.5574
2232,304000,0.6734
2243,306000,0.4715
2259,308000,0.6424
2274,310000,0.5856
2288,312000,0.5724
2304,314000,0.626
2324,316000,0.705
2334,318000,0.4222
2346,320000,0.4553
2359,322000,0.5203
2371,324000,0.4972
2383,326000,0.472
2402,328000,0.6936
2419,330000,0.6492
2442,332000,0.6527
2457,334000,0.5741
2468,336000,0.4864
2483,338000,0.6069
2494,340000,0.4586
2517,342000,0.7316
2533,344000,0.621
2545,346000,0.4745
2564,348000,0.6956
2584,350000,0.6642
2595,352000,0.4619
2617,354000,0.7369
2628,356000,0.4952
2650,358000,0.6888
2667,360000,0.6727
2679,362000,0.5218
2701,364000,0.6939
2719,366000,0.6633
2735,368000,0.6623
2756,370000,0.6611
2777,372000,0.7454
2793,374000,0.6408
2818,376000,0.7518
2838,378000,0.6525
2858,380000,0.6983
2869,382000,0.5131
2884,384000,0.5717
2903,386000,0.6871
2918,388000,0.6096
2937,390000,0.6589
2952,392000,0.4883
2978,394000,0.7659
3004,396000,0.7751
3016,398000,0.4634
3027,400000,0.4159
3042,402000,0.5852
3057,404000,0.6128
3076,406000,0.7079
3102,408000,0.7592
3121,410000,0.7001
3140,412000,0.6912
3161,414000,0.6843
3180,416000,0.7009
3197,418000,0.6268
3211,420000,0.5643
3232,422000,0.679
3247,424000,0.6094
3267,426000,0.6986
3288,428000,0.639
3318,430000,0.6843
3338,432000,0.5851
3364,434000,0.6996
3383,436000,0.583
3397,438000,0.5567
3421,440000,0.7139
3437,442000,0.6418
3454,444000,0.576
3483,446000,0.7397
3500,448000,0.6454
3520,450000,0.6439
3544,452000,0.6983
3569,454000,0.7332
3588,456000,0.6335
3618,458000,0.7626
3645,460000,0.7247
3662,462000,0.6534
3684,464000,0.6081
3703,466000,0.6329
3728,468000,0.751
3753,470000,0.7659
3771,472000,0.6284
3794,474000,0.7554
3812,476000,0.7037
3834,478000,0.6638
3850,480000,0.5859
3871,482000,0.6976
3888,484000,0.644
3906,486000,0.6719
3926,488000,0.6479
3958,490000,0.7598
3984,492000,0.7326
4006,494000,0.659
4021,496000,0.5683
4036,498000,0.603
4061,500000,0.7311
4087,502000,0.7812
4098,504000,0.4101
4112,506000,0.4173
4126,508000,0.5163
4144,510000,0.5806
4163,512000,0.593
4184,514000,0.6495
4204,516000,0.6779
4221,518000,0.6464
4232,520000,0.4687
4257,522000,0.7176
4271,524000,0.5768
4288,526000,0.6415
4308,528000,0.6051
4330,530000,0.69
4350,532000,0.6689
4360,534000,0.4028
4373,536000,0.59
4389,538000,0.5691
4423,540000,0.7868
4438,542000,0.5843
4467,544000,0.642
4488,546000,0.6015
4516,548000,0.772
4531,550000,0.5485
4548,552000,0.6611
4569,554000,0.6877
4594,556000,0.7703
4610,558000,0.5497
4622,560000,0.569
4636,562000,0.5075
4658,564000,0.7258
4672,566000,0.6143
4697,568000,0.7104
4711,570000,0.5246
4731,572000,0.7432
4747,574000,0.5769
4770,576000,0.6746
4784,578000,0.5181
4801,580000,0.5806
4825,582000,0.7674
4844,584000,0.6396
4860,586000,0.6293
4878,588000,0.6665
4894,590000,0.6151
4913,592000,0.6478
4934,594000,0.7356
4951,596000,0.4866
4965,598000,0.577
4991,600000,0.7465
5000,602000,0.2346
5015,604000,0.5883
5029,606000,0.5288
5045,608000,0.6111
5065,610000,0.7135
5077,612000,0.3731
5090,614000,0.4502
5107,616000,0.682
5126,618000,0.5972
5149,620000,0.6967
5170,622000,0.6619
5183,624000,0.59
5218,626000,0.7929
5231,628000,0.6201
5256,630000,0.6586
5284,632000,0.7819
5300,634000,0.5613
5314,636000,0.4516
5334,638000,0.6874
5346,640000,0.4873
5363,642000,0.5408
5382,644000,0.6161
5400,646000,0.6586
5418,648000,0.6727
5434,650000,0.6372
5448,652000,0.5562
5468,654000,0.6714
5488,656000,0.6815
5509,658000,0.7392
5531,660000,0.6804
5554,662000,0.6807
5578,664000,0.7126
5601,666000,0.6472
5616,668000,0.6033
5631,670000,0.6302
5648,672000,0.6381
5673,674000,0.7656
5691,676000,0.589
5710,678000,0.5652
5736,680000,0.7212
5752,682000,0.6674
5776,684000,0.7052
5794,686000,0.6319
5807,688000,0.4844
5830,690000,0.7663
5853,692000,0.7178
5865,694000,0.534
5886,696000,0.6462
5908,698000,0.7307
5924,700000,0.5748
5942,702000,0.671
5961,704000,0.6803
5982,706000,0.7143
6003,708000,0.6786
6022,710000,0.6652
6041,712000,0.6784
6064,714000,0.6994
6082,716000,0.5373
6101,718000,0.7015
6125,720000,0.7102
6147,722000,0.6706
6163,724000,0.5965
6189,726000,0.7323
6218,728000,0.7777
6235,730000,0.6433
6251,732000,0.6582
6267,734000,0.6313
6284,736000,0.5533
6307,738000,0.7329
6324,740000,0.6485
6345,742000,0.695
6377,744000,0.7753
6397,746000,0.7037
6418,748000,0.6484
6434,750000,0.6352
6451,752000,0.6221
6470,754000,0.6775
6504,756000,0.8361
6526,758000,0.6452
