episode,timestep,reward
32,2000,0.0
78,4000,0.0
104,6000,0.0
143,8000,0.0
155,10000,0.0
173,12000,0.0
181,14000,0.0
188,16000,0.0
198,18000,0.0
208,20000,0.0
214,22000,0.0
223,24000,0.0
230,26000,0.0
237,28000,0.0
243,30000,0.0
253,32000,0.0
261,34000,0.0
270,36000,0.0
277,38000,0.0
286,40000,0.0
293,42000,0.0
301,44000,0.0
308,46000,0.0
317,48000,0.0611
324,50000,0.0
330,52000,0.0
337,54000,0.0
344,56000,0.0
350,58000,0.0
359,60000,0.0
365,62000,0.0
372,64000,0.0
378,66000,0.0
384,68000,0.0
390,70000,0.0
398,72000,0.0
405,74000,0.0
412,76000,0.0
419,78000,0.0
425,80000,0.0
432,82000,0.0
438,84000,0.0
445,86000,0.0
452,88000,0.0
459,90000,0.0
466,92000,0.0
472,94000,0.0
479,96000,0.0
485,98000,0.0
493,100000,0.0
500,102000,0.0
507,104000,0.0
513,106000,0.0
521,108000,0.0
528,110000,0.0
534,112000,0.0
540,114000,0.0
546,116000,0.0
554,118000,0.0
560,120000,0.0
567,122000,0.0
573,124000,0.0
579,126000,0.0
587,128000,0.0
593,130000,0.0
599,132000,0.0
605,134000,0.0
612,136000,0.0
618,138000,0.0
624,140000,0.0
630,142000,0.0
637,144000,0.0
644,146000,0.0
650,148000,0.0
656,150000,0.0
662,152000,0.0
669,154000,0.0
676,156000,0.0
683,158000,0.0
691,160000,0.0
697,162000,0.0
705,164000,0.0
712,166000,0.0
719,168000,0.0
725,170000,0.0
732,172000,0.0
738,174000,0.0
744,176000,0.0
750,178000,0.0
757,180000,0.0
763,182000,0.0
769,184000,0.0
775,186000,0.0
781,188000,0.0
788,190000,0.0
794,192000,0.0
801,194000,0.0
807,196000,0.0
813,198000,0.0
820,200000,0.0
827,202000,0.0
833,204000,0.0
839,206000,0.0
846,208000,0.0
852,210000,0.0
858,212000,0.0
864,214000,0.0
870,216000,0.0
877,218000,0.0
883,220000,0.0
889,222000,0.0
896,224000,0.0
902,226000,0.0
909,228000,0.0
915,230000,0.0
921,232000,0.0
927,234000,0.0
933,236000,0.0
939,238000,0.0
946,240000,0.0
952,242000,0.0
958,244000,0.0
964,246000,0.0
970,248000,0.0
976,250000,0.0
983,252000,0.0
989,254000,0.0
995,256000,0.0
1001,258000,0.0
1007,260000,0.0
1013,262000,0.0
1020,264000,0.0
1026,266000,0.0
1032,268000,0.0
1038,270000,0.0
1044,272000,0.0
1051,274000,0.0
1057,276000,0.0
1064,278000,0.0
1070,280000,0.0
1076,282000,0.0
1082,284000,0.0
1088,286000,0.0
1095,288000,0.0
1101,290000,0.0
1107,292000,0.0
1115,294000,0.0
1121,296000,0.0
1127,298000,0.0
1133,300000,0.0
1140,302000,0.0
1146,304000,0.0
1153,306000,0.0
1159,308000,0.0
1165,310000,0.0
1171,312000,0.0
1178,314000,0.0
1184,316000,0.0
1190,318000,0.0
1196,320000,0.0
1204,322000,0.0
1210,324000,0.0
1216,326000,0.0
1222,328000,0.0
1228,330000,0.0
1234,332000,0.0
1241,334000,0.0
1247,336000,0.0
1253,338000,0.0
1259,340000,0.0
1265,342000,0.0
1272,344000,0.0
1278,346000,0.0
1284,348000,0.0
1291,350000,0.0
1297,352000,0.0
1304,354000,0.0
1310,356000,0.0
1316,358000,0.0
1322,360000,0.0
1328,362000,0.0
1335,364000,0.0
1342,366000,0.0
1348,368000,0.0
1354,370000,0.0
1360,372000,0.0
1366,374000,0.0
1373,376000,0.0
1379,378000,0.0
1386,380000,0.0
1392,382000,0.0
1399,384000,0.0
1406,386000,0.0
1412,388000,0.0
1419,390000,0.0
1425,392000,0.0
1431,394000,0.0
1437,396000,0.0
1443,398000,0.0
1450,400000,0.0
1456,402000,0.0
1464,404000,0.0
1471,406000,0.0
1478,408000,0.0
1485,410000,0.0
1492,412000,0.0
1498,414000,0.0
1504,416000,0.0
1510,418000,0.0
1516,420000,0.0
1522,422000,0.0
1529,424000,0.0
1535,426000,0.0
1542,428000,0.0
1548,430000,0.0
1555,432000,0.0
1561,434000,0.0
1567,436000,0.0
1574,438000,0.0
1580,440000,0.0
1587,442000,0.0
1594,444000,0.0
1600,446000,0.0
1607,448000,0.0
1614,450000,0.0
1621,452000,0.0
1627,454000,0.0
1634,456000,0.0
1641,458000,0.0
1648,460000,0.0
1654,462000,0.0
1661,464000,0.0
1668,466000,0.0
1674,468000,0.0
1680,470000,0.0
1687,472000,0.0
1694,474000,0.0
1701,476000,0.0
1709,478000,0.0
1715,480000,0.0
1721,482000,0.0
1728,484000,0.0
1734,486000,0.0
1741,488000,0.0
1748,490000,0.0
1756,492000,0.0
1764,494000,0.0
1770,496000,0.0
1776,498000,0.0
1782,500000,0.0
1789,502000,0.0
1795,504000,0.0
1801,506000,0.0
1808,508000,0.0
1814,510000,0.0
1820,512000,0.0
1827,514000,0.0
1834,516000,0.0
1840,518000,0.0
1846,520000,0.0
1853,522000,0.0
1859,524000,0.0
1866,526000,0.0
1872,528000,0.0
1879,530000,0.0
1886,532000,0.0
1893,534000,0.0
1899,536000,0.0
1905,538000,0.0
1911,540000,0.0
1918,542000,0.0
1924,544000,0.0
1930,546000,0.0
1936,548000,0.0
1942,550000,0.0
1950,552000,0.0
1956,554000,0.0
1962,556000,0.0
1969,558000,0.0
1975,560000,0.0
1983,562000,0.0
1989,564000,0.0
1996,566000,0.0
2002,568000,0.0
2008,570000,0.0
2014,572000,0.0
2021,574000,0.0
2027,576000,0.0
2033,578000,0.0
2039,580000,0.0
2045,582000,0.0
2052,584000,0.0
2058,586000,0.0
2065,588000,0.0
2071,590000,0.0
2078,592000,0.0
2084,594000,0.0
2093,596000,0.0
2100,598000,0.0
2108,600000,0.0
2114,602000,0.0
2121,604000,0.0
2127,606000,0.0
2134,608000,0.0
2140,610000,0.0
2146,612000,0.0
2153,614000,0.0
2161,616000,0.0
2168,618000,0.0
2174,620000,0.0
2181,622000,0.0
2188,624000,0.0
2194,626000,0.0
2200,628000,0.0
2206,630000,0.0
2213,632000,0.0
2219,634000,0.0
2225,636000,0.0
2233,638000,0.0
2241,640000,0.0
2247,642000,0.0
2253,644000,0.0
2260,646000,0.0
2266,648000,0.0
2272,650000,0.0
2279,652000,0.0
2285,654000,0.0
2291,656000,0.0
2297,658000,0.0
2304,660000,0.0
2310,662000,0.0
2317,664000,0.0
2323,666000,0.0
2329,668000,0.0
2335,670000,0.0
2342,672000,0.0
2348,674000,0.0
2354,676000,0.0
2361,678000,0.0
2369,680000,0.0
2376,682000,0.0
2383,684000,0.0
2389,686000,0.0
2396,688000,0.0
2403,690000,0.0
2409,692000,0.0
2415,694000,0.0
2421,696000,0.0
2430,698000,0.0
2436,700000,0.0
2442,702000,0.0
2448,704000,0.0
2455,706000,0.0
2461,708000,0.0
2468,710000,0.0
2474,712000,0.0
2480,714000,0.0
2486,716000,0.0
2493,718000,0.0
2499,720000,0.0
2505,722000,0.0
2512,724000,0.0
2518,726000,0.0
2524,728000,0.0
2531,730000,0.0
2538,732000,0.0
2544,734000,0.0
2550,736000,0.0
2557,738000,0.0
2563,740000,0.0
2569,742000,0.0
2575,744000,0.0
2581,746000,0.0
2587,748000,0.0
2594,750000,0.0
2600,752000,0.0
2606,754000,0.0
2612,756000,0.0
2618,758000,0.0
2625,760000,0.0
2631,762000,0.0
2638,764000,0.0
2644,766000,0.0
2650,768000,0.0
2657,770000,0.0
2663,772000,0.0
2670,774000,0.0
2676,776000,0.0
2683,778000,0.0
2689,780000,0.0
2695,782000,0.0
2701,784000,0.0
2708,786000,0.0
2715,788000,0.0
2721,790000,0.0
2727,792000,0.0
2734,794000,0.0
2741,796000,0.0
2747,798000,0.0
2753,800000,0.0
2760,802000,0.0
2767,804000,0.0
2774,806000,0.0
2781,808000,0.0
2789,810000,0.0
2795,812000,0.0
2802,814000,0.0
2808,816000,0.0
2815,818000,0.0
2821,820000,0.0
2827,822000,0.0
2834,824000,0.0
2840,826000,0.0
2846,828000,0.0
2852,830000,0.0
2858,832000,0.0
2864,834000,0.0
2871,836000,0.0
2878,838000,0.0
2884,840000,0.0
2890,842000,0.0
2896,844000,0.0
2902,846000,0.0
2908,848000,0.0
2915,850000,0.0
2921,852000,0.0
2927,854000,0.0
2933,856000,0.0
2939,858000,0.0
2945,860000,0.0
2952,862000,0.0
2958,864000,0.0
2964,866000,0.0
2970,868000,0.0
2976,870000,0.0
2982,872000,0.0
2989,874000,0.0
2995,876000,0.0
3002,878000,0.0
3008,880000,0.0
3014,882000,0.0
3020,884000,0.0
3026,886000,0.0
3032,888000,0.0
3039,890000,0.0
3045,892000,0.0
3051,894000,0.0
3057,896000,0.0
3063,898000,0.0
3070,900000,0.0
3076,902000,0.0
3083,904000,0.0
3090,906000,0.0
3096,908000,0.0
3103,910000,0.0
3109,912000,0.0
3115,914000,0.0
3121,916000,0.0
3127,918000,0.0
3134,920000,0.0
3141,922000,0.0
3147,924000,0.0
3154,926000,0.0
3160,928000,0.0
3166,930000,0.0
3172,932000,0.0
3179,934000,0.0
3185,936000,0.0
3191,938000,0.0
3198,940000,0.0
3204,942000,0.0
3210,944000,0.0
3216,946000,0.0
3223,948000,0.0
3229,950000,0.0
3236,952000,0.0
3243,954000,0.0
3249,956000,0.0
3255,958000,0.0
3262,960000,0.0
3268,962000,0.0
3274,964000,0.0
3281,966000,0.0
3287,968000,0.0
3294,970000,0.0
3301,972000,0.0
3308,974000,0.0
3314,976000,0.0
3320,978000,0.0
3326,980000,0.0
3333,982000,0.0
3339,984000,0.0
3345,986000,0.0
3352,988000,0.0
3359,990000,0.0
3366,992000,0.0
3373,994000,0.0
3379,996000,0.0
3385,998000,0.0
3392,1000000,0.0
