episode,timestep,reward
3,2000,0.0
5,4000,0.0
8,6000,0.0
11,8000,0.0
14,10000,0.0
17,12000,0.1547
19,14000,0.1555
23,16000,0.3249
31,18000,0.0892
33,20000,0.0
37,22000,0.2099
41,24000,0.0
45,26000,0.1983
50,28000,0.4223
52,30000,0.1565
58,32000,0.4084
61,34000,0.0
68,36000,0.1199
72,38000,0.3905
80,40000,0.3525
88,42000,0.1156
93,44000,0.4075
104,46000,0.0
113,48000,0.2385
119,50000,0.1421
122,52000,0.4084
131,54000,0.3406
143,56000,0.2301
153,58000,0.1696
162,60000,0.3284
177,62000,0.2208
188,64000,0.6923
199,66000,0.4533
208,68000,0.5245
217,70000,0.7233
234,72000,0.4647
246,74000,0.5297
267,76000,0.4734
280,78000,0.5828
294,80000,0.4564
315,82000,0.4353
322,84000,0.5097
338,86000,0.2944
350,88000,0.603
362,90000,0.3871
379,92000,0.3674
409,94000,0.433
445,96000,0.4953
480,98000,0.4306
509,100000,0.4712
540,102000,0.5442
571,104000,0.5407
605,106000,0.4392
644,108000,0.5069
673,110000,0.5137
718,112000,0.5529
759,114000,0.4856
801,116000,0.474
844,118000,0.6923
883,120000,0.6348
918,122000,0.6229
957,124000,0.6351
1014,126000,0.5079
1062,128000,0.5601
1119,130000,0.5423
1173,132000,0.5702
1228,134000,0.4737
1276,136000,0.5805
1321,138000,0.5996
1361,140000,0.5733
1410,142000,0.5901
1473,144000,0.5387
1531,146000,0.5331
1592,148000,0.4757
1649,150000,0.577
1712,152000,0.4128
1765,154000,0.4707
1819,156000,0.6276
1870,158000,0.6419
1921,160000,0.6049
1953,162000,0.7073
2012,164000,0.5752
2060,166000,0.684
2109,168000,0.5896
2173,170000,0.4995
2237,172000,0.6072
2300,174000,0.4449
2367,176000,0.4353
2417,178000,0.6356
2471,180000,0.5734
2527,182000,0.6392
2596,184000,0.463
2649,186000,0.6933
2712,188000,0.4924
2774,190000,0.4837
2835,192000,0.6524
2886,194000,0.7032
2949,196000,0.6154
3015,198000,0.4405
3070,200000,0.5977
3129,202000,0.5564
3184,204000,0.5606
3246,206000,0.531
3307,208000,0.604
3377,210000,0.57
3446,212000,0.5502
3511,214000,0.538
3572,216000,0.6027
3632,218000,0.6967
3686,220000,0.6637
3764,222000,0.3729
3837,224000,0.5063
3899,226000,0.5951
3951,228000,0.6323
4010,230000,0.6408
4070,232000,0.5809
4133,234000,0.5702
4204,236000,0.5341
4269,238000,0.5824
4310,240000,0.6756
4366,242000,0.7105
4436,244000,0.556
4505,246000,0.5358
4563,248000,0.6177
4622,250000,0.6078
4678,252000,0.6409
4733,254000,0.6136
4799,256000,0.5746
4864,258000,0.5984
4924,260000,0.5479
4980,262000,0.6749
5042,264000,0.5783
5094,266000,0.7259
5152,268000,0.6181
5206,270000,0.5909
5275,272000,0.5923
5324,274000,0.7295
5376,276000,0.5925
5426,278000,0.6752
5465,280000,0.787
5522,282000,0.593
5576,284000,0.6639
5626,286000,0.6951
5684,288000,0.5493
5731,290000,0.6548
5797,292000,0.6932
5861,294000,0.6375
5928,296000,0.6541
5995,298000,0.5802
6062,300000,0.6239
6116,302000,0.6445
6182,304000,0.5143
6240,306000,0.6853
6298,308000,0.6854
6359,310000,0.7007
6415,312000,0.6745
6465,314000,0.7549
6519,316000,0.6805
6580,318000,0.6196
6643,320000,0.6327
6713,322000,0.5556
6779,324000,0.6635
6842,326000,0.5849
6901,328000,0.708
6955,330000,0.7904
7014,332000,0.6904
7072,334000,0.6026
7124,336000,0.7071
7180,338000,0.6925
7229,340000,0.6489
7283,342000,0.6249
7338,344000,0.7407
7388,346000,0.6951
7442,348000,0.6998
7507,350000,0.6584
7562,352000,0.6506
7612,354000,0.6951
7674,356000,0.5469
7728,358000,0.6814
7786,360000,0.7701
7841,362000,0.6337
7890,364000,0.7697
7949,366000,0.5576
7998,368000,0.7497
8059,370000,0.6056
8106,372000,0.739
8172,374000,0.6039
8222,376000,0.7745
8273,378000,0.6815
8326,380000,0.5833
8389,382000,0.5852
8451,384000,0.7222
8504,386000,0.6561
8557,388000,0.6933
8614,390000,0.6462
8650,392000,0.7432
8710,394000,0.7279
8764,396000,0.7724
8792,398000,0.6923
8847,400000,0.7054
8905,402000,0.7373
8955,404000,0.6955
9008,406000,0.6761
9063,408000,0.7047
9124,410000,0.6536
9174,412000,0.6559
9239,414000,0.719
9302,416000,0.6794
9355,418000,0.7873
9414,420000,0.692
9472,422000,0.7203
9533,424000,0.6685
9585,426000,0.6872
9651,428000,0.6029
9721,430000,0.5839
9784,432000,0.6945
9841,434000,0.5773
9892,436000,0.7791
9945,438000,0.6574
10005,440000,0.7621
10060,442000,0.7224
10108,444000,0.7035
10157,446000,0.7087
10211,448000,0.7544
10262,450000,0.682
10309,452000,0.7387
10356,454000,0.7597
10407,456000,0.7387
10457,458000,0.7339
10504,460000,0.654
10560,462000,0.6581
10605,464000,0.7731
10659,466000,0.7719
10723,468000,0.6835
10780,470000,0.6811
10834,472000,0.7168
10887,474000,0.5824
10947,476000,0.6791
10999,478000,0.7832
11053,480000,0.7371
11117,482000,0.6526
11171,484000,0.8271
11226,486000,0.7772
11284,488000,0.5836
11344,490000,0.7128
11399,492000,0.7224
11449,494000,0.7543
11511,496000,0.642
11575,498000,0.6687
11634,500000,0.7244
11693,502000,0.6917
11750,504000,0.6626
11808,506000,0.6521
11859,508000,0.7997
11915,510000,0.7098
11975,512000,0.7789
12036,514000,0.6689
12093,516000,0.6293
12146,518000,0.767
12204,520000,0.7033
12258,522000,0.7
12316,524000,0.8046
12380,526000,0.762
12435,528000,0.813
12499,530000,0.6984
12556,532000,0.7322
12609,534000,0.8802
12671,536000,0.7053
12736,538000,0.6281
12793,540000,0.8018
12854,542000,0.6849
12913,544000,0.7589
12972,546000,0.658
13026,548000,0.8095
13072,550000,0.7772
13124,552000,0.8587
13180,554000,0.6045
13241,556000,0.7499
13298,558000,0.7329
13361,560000,0.726
13427,562000,0.7237
13489,564000,0.6905
13546,566000,0.698
13601,568000,0.6342
13651,570000,0.6944
13710,572000,0.7413
13771,574000,0.7662
13832,576000,0.7
13892,578000,0.7293
13945,580000,0.8052
13996,582000,0.7013
14059,584000,0.6481
14108,586000,0.8096
14167,588000,0.6927
14195,590000,0.5876
14254,592000,0.7071
14304,594000,0.735
14354,596000,0.7547
14411,598000,0.7498
14469,600000,0.6702
14524,602000,0.7044
14580,604000,0.7459
14632,606000,0.6495
14683,608000,0.7978
14736,610000,0.6941
14790,612000,0.7349
14828,614000,0.5745
14873,616000,0.8153
14919,618000,0.6692
14968,620000,0.7894
15016,622000,0.8057
15067,624000,0.7199
15118,626000,0.7213
15170,628000,0.7638
15228,630000,0.6689
15280,632000,0.7835
15327,634000,0.7816
15378,636000,0.7792
15429,638000,0.6634
15485,640000,0.7104
15541,642000,0.7285
15593,644000,0.765
15642,646000,0.7707
15700,648000,0.6859
15755,650000,0.8129
15816,652000,0.6683
15868,654000,0.7655
15922,656000,0.8457
15979,658000,0.7497
16035,660000,0.7287
16103,662000,0.6585
16161,664000,0.84
16217,666000,0.7288
16265,668000,0.8066
16324,670000,0.7258
16393,672000,0.6213
16448,674000,0.7234
16508,676000,0.7784
16568,678000,0.7619
16628,680000,0.6965
16693,682000,0.7038
16745,684000,0.8779
16803,686000,0.7043
16860,688000,0.6798
16917,690000,0.7668
16973,692000,0.6771
17025,694000,0.7642
17077,696000,0.84
17138,698000,0.7335
17197,700000,0.7418
17249,702000,0.7093
17300,704000,0.8561
17358,706000,0.7211
17415,708000,0.7317
17478,710000,0.6946
17536,712000,0.7198
17596,714000,0.7131
17649,716000,0.8058
17705,718000,0.6925
17760,720000,0.7765
17816,722000,0.7285
17875,724000,0.7589
17924,726000,0.7897
17979,728000,0.7229
18033,730000,0.8465
18091,732000,0.8049
18144,734000,0.7879
18203,736000,0.742
18260,738000,0.7326
18312,740000,0.8402
18369,742000,0.7148
18429,744000,0.697
18471,746000,0.8254
18523,748000,0.7071
18587,750000,0.6536
18643,752000,0.7462
18694,754000,0.7989
18746,756000,0.8213
18800,758000,0.6632
18852,760000,0.7826
18909,762000,0.6627
18970,764000,0.6536
19021,766000,0.8754
19069,768000,0.8281
19131,770000,0.6726
19190,772000,0.6751
19247,774000,0.7489
19302,776000,0.7408
19356,778000,0.7006
19410,780000,0.754
19460,782000,0.7942
19515,784000,0.7231
19573,786000,0.7537
19617,788000,0.7447
19670,790000,0.8242
19721,792000,0.6642
19768,794000,0.7369
19821,796000,0.7496
19866,798000,0.7269
19916,800000,0.7548
19969,802000,0.6948
20019,804000,0.6935
20064,806000,0.7725
20106,808000,0.8271
20158,810000,0.7067
20201,812000,0.6937
20252,814000,0.7211
20304,816000,0.6701
20357,818000,0.6925
20419,820000,0.6422
20470,822000,0.6834
20508,824000,0.807
20560,826000,0.7257
20610,828000,0.7144
20653,830000,0.6928
20690,832000,0.7528
20734,834000,0.7852
20780,836000,0.7985
20831,838000,0.7592
20888,840000,0.6989
20936,842000,0.6422
20985,844000,0.7298
21036,846000,0.836
21081,848000,0.8381
21138,850000,0.733
21193,852000,0.7239
21245,854000,0.6867
21300,856000,0.7234
21353,858000,0.7866
21398,860000,0.7712
21452,862000,0.8092
21505,864000,0.7685
21559,866000,0.7917
21609,868000,0.8137
21667,870000,0.7365
21720,872000,0.7869
21778,874000,0.7376
21829,876000,0.8364
21884,878000,0.7951
21929,880000,0.8144
21980,882000,0.7983
22046,884000,0.7538
22105,886000,0.7918
22172,888000,0.7719
22233,890000,0.7509
22297,892000,0.7144
22340,894000,0.7843
22398,896000,0.7358
22455,898000,0.7153
22512,900000,0.8012
22564,902000,0.8025
22622,904000,0.7534
22673,906000,0.8373
22726,908000,0.7864
22776,910000,0.854
22834,912000,0.7711
22893,914000,0.741
22957,916000,0.7152
23015,918000,0.8057
23070,920000,0.8125
23128,922000,0.8561
23197,924000,0.7496
23259,926000,0.7864
23317,928000,0.8051
23377,930000,0.8449
23433,932000,0.7983
23482,934000,0.8304
23533,936000,0.8754
23586,938000,0.8623
23641,940000,0.8305
23700,942000,0.758
23756,944000,0.7625
23814,946000,0.822
23872,948000,0.8061
23937,950000,0.719
23982,952000,0.8607
24033,954000,0.758
24086,956000,0.8434
24141,958000,0.8298
24196,960000,0.7044
24257,962000,0.847
24307,964000,0.8922
24363,966000,0.8346
24429,968000,0.7548
24491,970000,0.7227
24547,972000,0.8347
24610,974000,0.7884
24665,976000,0.8484
24723,978000,0.8221
24779,980000,0.8164
24842,982000,0.7738
24900,984000,0.8052
24956,986000,0.8507
25010,988000,0.8818
25066,990000,0.8332
25127,992000,0.7664
25187,994000,0.6975
25244,996000,0.8359
25294,998000,0.8135
25353,1000000,0.7084
