episode,timestep,reward
4,2000,0.0
6,4000,0.0
8,6000,0.0
10,8000,0.0
12,10000,0.0
15,12000,0.0
17,14000,0.0
20,16000,0.0
22,18000,0.0
24,20000,0.0
26,22000,0.0
28,24000,0.0
30,26000,0.0
32,28000,0.0
34,30000,0.0
36,32000,0.0
38,34000,0.0
40,36000,0.0
43,38000,0.0
45,40000,0.0
47,42000,0.0
49,44000,0.0
52,46000,0.0
54,48000,0.0
56,50000,0.0
58,52000,0.0
60,54000,0.0
62,56000,0.0
64,58000,0.0
66,60000,0.0
68,62000,0.0
70,64000,0.0
72,66000,0.0
74,68000,0.0
76,70000,0.0
78,72000,0.0
80,74000,0.0
82,76000,0.0
84,78000,0.0
86,80000,0.0
88,82000,0.0
90,84000,0.0
92,86000,0.0
94,88000,0.0
96,90000,0.0
98,92000,0.0
100,94000,0.0
102,96000,0.0
104,98000,0.0
106,100000,0.0
108,102000,0.0
110,104000,0.0
112,106000,0.0
114,108000,0.0
116,110000,0.0
118,112000,0.0
120,114000,0.0
122,116000,0.0
124,118000,0.0
126,120000,0.0
128,122000,0.0
130,124000,0.0
132,126000,0.0
134,128000,0.0
136,130000,0.0
138,132000,0.0
140,134000,0.0
142,136000,0.0
144,138000,0.0
146,140000,0.0
148,142000,0.0
150,144000,0.0
152,146000,0.0
154,148000,0.0
156,150000,0.0
158,152000,0.0
160,154000,0.0
162,156000,0.0
164,158000,0.0
166,160000,0.0
168,162000,0.0
170,164000,0.0
172,166000,0.0
174,168000,0.0
177,170000,0.0
179,172000,0.0
181,174000,0.0
183,176000,0.0
185,178000,0.0
187,180000,0.0
189,182000,0.0
191,184000,0.0
193,186000,0.0
195,188000,0.0
197,190000,0.0
199,192000,0.0
201,194000,0.0
203,196000,0.0
205,198000,0.0
207,200000,0.0
209,202000,0.0
211,204000,0.0
213,206000,0.0
215,208000,0.0
217,210000,0.0
219,212000,0.0
221,214000,0.0
223,216000,0.0
225,218000,0.0
227,220000,0.0
229,222000,0.0
231,224000,0.0
233,226000,0.0
235,228000,0.0
237,230000,0.0
239,232000,0.0
241,234000,0.0
243,236000,0.0
245,238000,0.0
247,240000,0.0
249,242000,0.0
251,244000,0.0
253,246000,0.0
255,248000,0.0
257,250000,0.0
259,252000,0.0
261,254000,0.0
263,256000,0.0
265,258000,0.0
267,260000,0.0
269,262000,0.0
271,264000,0.0
273,266000,0.0
275,268000,0.0
277,270000,0.0
279,272000,0.0
281,274000,0.0
283,276000,0.0
285,278000,0.0
287,280000,0.0
289,282000,0.0
291,284000,0.0
293,286000,0.0
295,288000,0.0
297,290000,0.0
299,292000,0.0
301,294000,0.0
303,296000,0.0
305,298000,0.0
307,300000,0.0
309,302000,0.0
311,304000,0.0
313,306000,0.0
315,308000,0.0
317,310000,0.0
319,312000,0.0
321,314000,0.0
323,316000,0.0
325,318000,0.0
327,320000,0.0
329,322000,0.0
331,324000,0.0
333,326000,0.0
335,328000,0.0
337,330000,0.0
339,332000,0.0
341,334000,0.0
343,336000,0.0
345,338000,0.0
347,340000,0.0
349,342000,0.0
351,344000,0.0
353,346000,0.0
355,348000,0.0
357,350000,0.0
359,352000,0.0
