episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
34,10000,0.0
41,12000,0.0
48,14000,0.0
55,16000,0.0
62,18000,0.0
69,20000,0.0
76,22000,0.0
83,24000,0.0
90,26000,0.0
97,28000,0.0
104,30000,0.0576
111,32000,0.0
118,34000,0.0
125,36000,0.0
132,38000,0.0
139,40000,0.0
146,42000,0.0
153,44000,0.0
160,46000,0.0
167,48000,0.0
173,50000,0.0
180,52000,0.0
187,54000,0.0
194,56000,0.0
201,58000,0.0156
208,60000,0.0
215,62000,0.0317
222,64000,0.0491
229,66000,0.0
236,68000,0.0
243,70000,0.0
250,72000,0.0
257,74000,0.0
264,76000,0.0
271,78000,0.0
278,80000,0.0
285,82000,0.0
292,84000,0.0
299,86000,0.0
306,88000,0.0
313,90000,0.0
320,92000,0.0
327,94000,0.0
334,96000,0.1009
341,98000,0.0388
348,100000,0.0
355,102000,0.0
362,104000,0.0
369,106000,0.0
377,108000,0.1266
384,110000,0.0
391,112000,0.0
398,114000,0.0375
405,116000,0.0884
412,118000,0.0
420,120000,0.1305
427,122000,0.0
434,124000,0.0
441,126000,0.0487
449,128000,0.0793
456,130000,0.0
463,132000,0.0326
470,134000,0.0491
478,136000,0.0984
485,138000,0.0
492,140000,0.0
499,142000,0.0299
507,144000,0.1848
514,146000,0.0
521,148000,0.0732
529,150000,0.1613
538,152000,0.1997
545,154000,0.0
552,156000,0.0
559,158000,0.0
566,160000,0.0
573,162000,0.1165
580,164000,0.0
590,166000,0.355
598,168000,0.1316
607,170000,0.1733
614,172000,0.0754
624,174000,0.2991
631,176000,0.117
639,178000,0.0602
647,180000,0.2152
655,182000,0.0938
664,184000,0.2441
672,186000,0.1754
682,188000,0.3756
692,190000,0.2856
699,192000,0.079
707,194000,0.1848
715,196000,0.1223
724,198000,0.2194
731,200000,0.1183
740,202000,0.2073
749,204000,0.2486
758,206000,0.2014
768,208000,0.405
778,210000,0.2859
787,212000,0.2483
797,214000,0.34
807,216000,0.3759
815,218000,0.0953
822,220000,0.0295
831,222000,0.2087
841,224000,0.4059
852,226000,0.4182
863,228000,0.3972
876,230000,0.4844
886,232000,0.3397
896,234000,0.3125
906,236000,0.2725
920,238000,0.5232
932,240000,0.4602
943,242000,0.3929
953,244000,0.3956
965,246000,0.3914
974,248000,0.3153
984,250000,0.2953
999,252000,0.55
1013,254000,0.5775
1023,256000,0.3103
1035,258000,0.4529
1048,260000,0.4452
1060,262000,0.45
1074,264000,0.5201
1091,266000,0.65
1114,268000,0.687
1131,270000,0.6206
1147,272000,0.6199
1158,274000,0.3858
1172,276000,0.4886
1187,278000,0.5729
1206,280000,0.6589
1227,282000,0.7189
1242,284000,0.5256
1258,286000,0.577
1277,288000,0.6852
1300,290000,0.6977
1321,292000,0.6698
1336,294000,0.5998
1353,296000,0.5991
1366,298000,0.4962
1383,300000,0.5737
1405,302000,0.7192
1428,304000,0.7014
1457,306000,0.782
1470,308000,0.4772
1493,310000,0.7038
1519,312000,0.7691
1537,314000,0.6179
1557,316000,0.6798
1573,318000,0.5486
1592,320000,0.6452
1618,322000,0.7478
1644,324000,0.7594
1673,326000,0.7915
1702,328000,0.77
1727,330000,0.713
1755,332000,0.765
1773,334000,0.6288
1806,336000,0.7969
1827,338000,0.6765
1851,340000,0.7259
1878,342000,0.772
1914,344000,0.7997
1941,346000,0.7876
1970,348000,0.7751
2017,350000,0.8542
2053,352000,0.8275
2077,354000,0.6922
2115,356000,0.8303
2159,358000,0.8553
2193,360000,0.8115
2225,362000,0.7877
2250,364000,0.7302
2282,366000,0.7962
2327,368000,0.8682
2364,370000,0.8098
2405,372000,0.8471
2439,374000,0.797
2466,376000,0.751
2500,378000,0.8234
2533,380000,0.778
2585,382000,0.8802
2615,384000,0.7867
2644,386000,0.7739
2675,388000,0.791
2699,390000,0.6832
2731,392000,0.8122
2759,394000,0.743
2785,396000,0.7671
2817,398000,0.7743
2851,400000,0.7993
2892,402000,0.8409
2927,404000,0.8112
2967,406000,0.8364
2999,408000,0.7918
3041,410000,0.8465
3056,412000,0.5969
3107,414000,0.8581
3144,416000,0.8207
3181,418000,0.8207
3229,420000,0.8652
3262,422000,0.815
3295,424000,0.7845
3338,426000,0.8551
3369,428000,0.7759
3384,430000,0.5377
3420,432000,0.8135
3455,434000,0.812
3484,436000,0.7789
3507,438000,0.7198
3542,440000,0.7937
3587,442000,0.8535
3607,444000,0.6753
3645,446000,0.8197
3680,448000,0.8113
3716,450000,0.8143
3761,452000,0.8612
3792,454000,0.7786
3820,456000,0.7944
3861,458000,0.8283
3900,460000,0.8179
3934,462000,0.8093
3969,464000,0.8116
4014,466000,0.8545
4039,468000,0.7462
4065,470000,0.7304
4109,472000,0.8586
4150,474000,0.8296
4183,476000,0.8142
4227,478000,0.8404
4263,480000,0.8317
4296,482000,0.782
4324,484000,0.758
4365,486000,0.8456
4408,488000,0.8401
4432,490000,0.7188
4464,492000,0.811
4510,494000,0.8456
4544,496000,0.8293
4589,498000,0.834
4625,500000,0.8412
4659,502000,0.7777
4694,504000,0.8112
4722,506000,0.7847
4770,508000,0.8473
4806,510000,0.828
4842,512000,0.8069
4881,514000,0.8314
4919,516000,0.8382
4967,518000,0.855
4987,520000,0.6625
5028,522000,0.8492
5078,524000,0.8669
5118,526000,0.8266
5167,528000,0.8668
5204,530000,0.822
5244,532000,0.8491
5290,534000,0.8639
5329,536000,0.8152
5356,538000,0.742
5400,540000,0.8509
5444,542000,0.8615
5488,544000,0.8383
5526,546000,0.8248
5572,548000,0.862
5607,550000,0.8057
5646,552000,0.8496
5699,554000,0.8804
5750,556000,0.8542
5786,558000,0.8146
5835,560000,0.8686
5860,562000,0.733
5899,564000,0.8304
5940,566000,0.8534
5994,568000,0.8799
6025,570000,0.7602
6072,572000,0.8609
6098,574000,0.7388
6145,576000,0.8606
6191,578000,0.8764
6227,580000,0.8106
6261,582000,0.7861
6314,584000,0.8837
6346,586000,0.7792
6394,588000,0.866
6453,590000,0.8909
6492,592000,0.8298
6515,594000,0.705
6548,596000,0.7983
6611,598000,0.91
6648,600000,0.8153
6701,602000,0.8671
6733,604000,0.8048
6784,606000,0.8645
6832,608000,0.8666
6870,610000,0.8276
6905,612000,0.821
6956,614000,0.8757
7011,616000,0.8656
7056,618000,0.8749
7086,620000,0.747
7140,622000,0.892
7185,624000,0.8381
7239,626000,0.8806
7278,628000,0.8543
7319,630000,0.8143
7356,632000,0.8427
7415,634000,0.877
7484,636000,0.9084
7520,638000,0.8249
7574,640000,0.8745
7601,642000,0.7457
7636,644000,0.8207
7673,646000,0.809
7723,648000,0.8687
7763,650000,0.8346
7784,652000,0.7098
7824,654000,0.8295
7863,656000,0.8313
7920,658000,0.8861
7960,660000,0.8233
8002,662000,0.8531
8053,664000,0.8646
8070,666000,0.6243
8134,668000,0.8929
8193,670000,0.891
8220,672000,0.7558
8265,674000,0.8524
8311,676000,0.8587
8363,678000,0.8744
8391,680000,0.7593
8431,682000,0.8327
8464,684000,0.7978
8512,686000,0.873
8545,688000,0.7853
8578,690000,0.8152
8632,692000,0.8684
8674,694000,0.862
8703,696000,0.7372
8727,698000,0.759
8756,700000,0.737
8800,702000,0.8627
8836,704000,0.7973
8875,706000,0.8287
8914,708000,0.8503
8954,710000,0.8227
8985,712000,0.7771
9017,714000,0.792
9057,716000,0.8573
9088,718000,0.7631
9133,720000,0.8463
9182,722000,0.8665
9233,724000,0.8711
9271,726000,0.8254
9313,728000,0.8559
9349,730000,0.8026
9378,732000,0.7987
9444,734000,0.889
9504,736000,0.8934
9550,738000,0.86
9589,740000,0.8259
9634,742000,0.8606
9666,744000,0.8107
9714,746000,0.8431
9764,748000,0.8694
9827,750000,0.9052
9867,752000,0.8325
9901,754000,0.8119
9942,756000,0.827
9982,758000,0.8513
10003,760000,0.6838
10046,762000,0.8398
10095,764000,0.8569
10154,766000,0.8941
10209,768000,0.8766
10277,770000,0.9132
10344,772000,0.8948
10399,774000,0.8828
10447,776000,0.882
10508,778000,0.8838
10535,780000,0.7407
10572,782000,0.8214
10632,784000,0.892
10675,786000,0.8512
10711,788000,0.8155
10766,790000,0.8923
10801,792000,0.7914
10849,794000,0.8668
10917,796000,0.9056
