episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
34,10000,0.0
41,12000,0.0
48,14000,0.0
55,16000,0.0
62,18000,0.0
69,20000,0.0
76,22000,0.0
83,24000,0.0
90,26000,0.0
97,28000,0.0
104,30000,0.0
111,32000,0.0415
118,34000,0.0
125,36000,0.0558
132,38000,0.0
139,40000,0.0821
147,42000,0.1184
154,44000,0.0
161,46000,0.0152
168,48000,0.0
175,50000,0.0
183,52000,0.0977
190,54000,0.0
197,56000,0.0237
204,58000,0.0652
211,60000,0.0
218,62000,0.0277
225,64000,0.0
233,66000,0.0957
240,68000,0.0388
247,70000,0.0388
254,72000,0.0772
261,74000,0.0451
270,76000,0.1372
277,78000,0.0879
284,80000,0.0254
292,82000,0.1676
300,84000,0.0809
307,86000,0.0
315,88000,0.1992
323,90000,0.1469
330,92000,0.0
337,94000,0.0424
345,96000,0.1566
353,98000,0.1848
362,100000,0.1844
369,102000,0.0562
376,104000,0.0
385,106000,0.309
397,108000,0.3927
407,110000,0.3566
417,112000,0.3425
427,114000,0.3328
434,116000,0.0594
443,118000,0.2351
452,120000,0.25
461,122000,0.2681
469,124000,0.1168
479,126000,0.2944
488,128000,0.2375
496,130000,0.1285
505,132000,0.2479
517,134000,0.475
528,136000,0.3483
539,138000,0.4909
549,140000,0.255
564,142000,0.6017
574,144000,0.265
585,146000,0.3815
598,148000,0.5159
608,150000,0.3231
617,152000,0.2285
632,154000,0.5813
642,156000,0.3359
658,158000,0.5521
675,160000,0.6285
692,162000,0.5877
704,164000,0.5125
719,166000,0.5188
736,168000,0.6257
756,170000,0.6472
778,172000,0.7341
794,174000,0.5516
816,176000,0.7185
833,178000,0.5798
845,180000,0.4669
865,182000,0.6512
880,184000,0.5781
894,186000,0.5123
921,188000,0.7544
938,190000,0.6522
960,192000,0.6609
986,194000,0.7532
1016,196000,0.7968
1045,198000,0.762
1062,200000,0.6366
1083,202000,0.6603
1111,204000,0.7655
1146,206000,0.8214
1172,208000,0.7358
1193,210000,0.6786
1217,212000,0.7543
1258,214000,0.827
1274,216000,0.5799
1299,218000,0.755
1329,220000,0.7581
1353,222000,0.7602
1386,224000,0.7786
1410,226000,0.743
1443,228000,0.8
1465,230000,0.7068
1488,232000,0.6734
1510,234000,0.6963
1543,236000,0.8256
1572,238000,0.7673
1603,240000,0.7636
1636,242000,0.8055
1657,244000,0.6741
1697,246000,0.8394
1725,248000,0.7537
1750,250000,0.7314
1800,252000,0.87
1842,254000,0.8453
1873,256000,0.7956
1900,258000,0.752
1928,260000,0.7442
1974,262000,0.8624
2000,264000,0.7722
2043,266000,0.8348
2072,268000,0.7962
2099,270000,0.7199
2130,272000,0.7891
2167,274000,0.8167
2202,276000,0.8114
2227,278000,0.7298
2271,280000,0.8507
2325,282000,0.898
2360,284000,0.7852
2396,286000,0.8344
2427,288000,0.7738
2446,290000,0.6288
2470,292000,0.7156
2512,294000,0.8579
2556,296000,0.8455
2600,298000,0.8464
2628,300000,0.7576
2655,302000,0.752
2685,304000,0.787
2719,306000,0.7943
2751,308000,0.7933
2802,310000,0.8782
2848,312000,0.8544
2888,314000,0.8328
2922,316000,0.8103
2958,318000,0.8109
3011,320000,0.876
3058,322000,0.8677
3096,324000,0.8166
3135,326000,0.8357
3167,328000,0.7805
3204,330000,0.8441
3241,332000,0.8036
3293,334000,0.869
3319,336000,0.7454
3354,338000,0.8094
3390,340000,0.8189
3429,342000,0.8317
3460,344000,0.7887
3494,346000,0.7924
3541,348000,0.8616
3588,350000,0.8601
3635,352000,0.8612
3670,354000,0.8176
3725,356000,0.876
3766,358000,0.8412
3803,360000,0.8254
3844,362000,0.8287
3906,364000,0.8961
3957,366000,0.8722
3984,368000,0.7581
4036,370000,0.874
4112,372000,0.9183
4165,374000,0.8753
4196,376000,0.7777
4222,378000,0.7381
4264,380000,0.8438
4295,382000,0.7971
4341,384000,0.8466
4384,386000,0.8434
4399,388000,0.545
4451,390000,0.8775
4495,392000,0.8441
4536,394000,0.8385
4566,396000,0.7769
4609,398000,0.8437
4649,400000,0.8341
4693,402000,0.8683
4718,404000,0.7296
4760,406000,0.8415
4807,408000,0.8487
4864,410000,0.8832
4918,412000,0.8791
4958,414000,0.8332
4994,416000,0.8158
5038,418000,0.8508
5075,420000,0.818
5108,422000,0.8084
5142,424000,0.7931
5160,426000,0.6217
5201,428000,0.8367
5225,430000,0.7408
5261,432000,0.81
5304,434000,0.8366
5364,436000,0.9052
5412,438000,0.8475
5450,440000,0.8501
5496,442000,0.8461
5533,444000,0.8063
5591,446000,0.8892
5633,448000,0.8406
5671,450000,0.8283
5721,452000,0.8677
5773,454000,0.8741
5815,456000,0.8568
5858,458000,0.8322
5910,460000,0.8912
5963,462000,0.8594
6021,464000,0.8895
6065,466000,0.8486
6107,468000,0.8638
6158,470000,0.8547
6190,472000,0.7937
6242,474000,0.8918
6313,476000,0.8975
6361,478000,0.8702
6400,480000,0.8357
6439,482000,0.8112
6503,484000,0.9062
6547,486000,0.8428
6611,488000,0.8983
6663,490000,0.8874
6710,492000,0.8654
6753,494000,0.8323
6797,496000,0.8429
6838,498000,0.8443
6892,500000,0.8743
6939,502000,0.8601
6972,504000,0.7949
7031,506000,0.8908
7085,508000,0.8943
7125,510000,0.813
7177,512000,0.874
7220,514000,0.8446
7261,516000,0.8383
7300,518000,0.83
7377,520000,0.9172
7399,522000,0.7274
7443,524000,0.8303
7486,526000,0.8451
7513,528000,0.7514
7568,530000,0.8807
7597,532000,0.7653
7638,534000,0.8377
7674,536000,0.8256
7721,538000,0.8668
7757,540000,0.7983
7805,542000,0.8613
7854,544000,0.8848
7907,546000,0.8667
7950,548000,0.8576
7996,550000,0.8524
8062,552000,0.8931
8124,554000,0.9096
8164,556000,0.8173
8190,558000,0.7519
8235,560000,0.8467
8279,562000,0.8606
8326,564000,0.8491
8356,566000,0.8002
8427,568000,0.8987
8489,570000,0.8952
8525,572000,0.8152
8561,574000,0.8246
8622,576000,0.8918
8675,578000,0.8741
8703,580000,0.7799
8732,582000,0.7665
8773,584000,0.8408
8835,586000,0.8883
8875,588000,0.8474
8914,590000,0.8119
8958,592000,0.8538
8996,594000,0.8324
9035,596000,0.8373
9082,598000,0.8501
9133,600000,0.8863
9207,602000,0.9046
9265,604000,0.8984
9317,606000,0.8649
9348,608000,0.7806
9392,610000,0.8535
9435,612000,0.8477
9479,614000,0.8723
9541,616000,0.8832
9589,618000,0.8669
9633,620000,0.8511
9662,622000,0.7666
9707,624000,0.8572
9739,626000,0.7921
9797,628000,0.8948
9847,630000,0.8624
9898,632000,0.8749
9952,634000,0.8784
10006,636000,0.8778
10085,638000,0.9209
10131,640000,0.855
10209,642000,0.9198
10249,644000,0.8346
10300,646000,0.8726
10362,648000,0.8959
10402,650000,0.8348
10450,652000,0.8633
10489,654000,0.83
10526,656000,0.8191
10573,658000,0.8621
10624,660000,0.871
10685,662000,0.8985
10721,664000,0.8111
10778,666000,0.8844
10820,668000,0.8414
10863,670000,0.8658
10912,672000,0.8492
10975,674000,0.899
11047,676000,0.9126
11087,678000,0.832
11144,680000,0.8892
11204,682000,0.8912
11260,684000,0.8824
11309,686000,0.871
11349,688000,0.8456
11392,690000,0.8359
11454,692000,0.8958
11513,694000,0.8943
11596,696000,0.921
11666,698000,0.9085
11718,700000,0.8817
11767,702000,0.8709
11840,704000,0.9035
11894,706000,0.8788
11981,708000,0.927
12032,710000,0.8717
12117,712000,0.9256
12167,714000,0.8689
12233,716000,0.9019
12288,718000,0.8818
12354,720000,0.9037
12408,722000,0.8783
12467,724000,0.8941
12521,726000,0.8771
12595,728000,0.92
12666,730000,0.9028
12729,732000,0.8981
12789,734000,0.9031
12826,736000,0.8058
12888,738000,0.8951
12956,740000,0.9178
13036,742000,0.9104
13108,744000,0.9121
13164,746000,0.8825
13240,748000,0.9162
13311,750000,0.913
13378,752000,0.9027
13456,754000,0.9185
13523,756000,0.9039
13559,758000,0.8218
13595,760000,0.8319
13677,762000,0.9114
13718,764000,0.8607
13787,766000,0.8924
13850,768000,0.8976
13929,770000,0.9213
14008,772000,0.9179
14086,774000,0.9186
14170,776000,0.9247
14243,778000,0.9113
14327,780000,0.9243
14396,782000,0.9191
