episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
24,16000,0.0
28,18000,0.0
31,20000,0.0
34,22000,0.0
37,24000,0.0
40,26000,0.0
43,28000,0.0
46,30000,0.0
50,32000,0.1354
53,34000,0.0
56,36000,0.0
59,38000,0.0
62,40000,0.0
67,42000,0.2558
72,44000,0.5753
77,46000,0.2757
82,48000,0.3711
87,50000,0.4408
92,52000,0.3972
96,54000,0.4016
101,56000,0.3725
108,58000,0.545
113,60000,0.3913
117,62000,0.2441
122,64000,0.5005
128,66000,0.4764
135,68000,0.6205
143,70000,0.6013
150,72000,0.6004
164,74000,0.7865
176,76000,0.7762
194,78000,0.8313
213,80000,0.8515
240,82000,0.8955
264,84000,0.8825
291,86000,0.8965
320,88000,0.9029
349,90000,0.9029
384,92000,0.9194
414,94000,0.9073
454,96000,0.9307
486,98000,0.9084
522,100000,0.9208
580,102000,0.9513
631,104000,0.9469
696,106000,0.9552
755,108000,0.9534
815,110000,0.952
881,112000,0.9574
944,114000,0.9568
1005,116000,0.9533
1081,118000,0.9623
1139,120000,0.9515
1211,122000,0.9615
1290,124000,0.9639
1376,126000,0.9673
1451,128000,0.9625
1535,130000,0.9668
1623,132000,0.9681
1702,134000,0.9645
1786,136000,0.9661
1863,138000,0.9636
1946,140000,0.9661
2041,142000,0.9703
2136,144000,0.9704
2232,146000,0.9706
2329,148000,0.9711
2422,150000,0.9698
2517,152000,0.9702
2616,154000,0.9716
2709,156000,0.9698
2806,158000,0.9711
2904,160000,0.9712
3000,162000,0.9706
3091,164000,0.9691
3181,166000,0.9688
3276,168000,0.9702
3375,170000,0.9718
3473,172000,0.9711
3570,174000,0.9711
3668,176000,0.9711
3765,178000,0.9711
3860,180000,0.9704
3961,182000,0.9721
4059,184000,0.9715
4153,186000,0.9699
4247,188000,0.97
4351,190000,0.9731
4453,192000,0.9726
4551,194000,0.971
4645,196000,0.9699
4740,198000,0.9706
4834,200000,0.9698
4930,202000,0.9707
5028,204000,0.9713
5131,206000,0.9728
5233,208000,0.9723
5337,210000,0.973
5442,212000,0.9732
5544,214000,0.9727
5649,216000,0.9731
5753,218000,0.9729
5855,220000,0.9723
5950,222000,0.9707
6019,224000,0.9578
6122,226000,0.9731
6226,228000,0.9726
6333,230000,0.9735
6432,232000,0.9716
6538,234000,0.9735
6641,236000,0.9728
6746,238000,0.9733
6848,240000,0.9724
6955,242000,0.9735
7063,244000,0.974
7168,246000,0.9734
7276,248000,0.9739
7377,250000,0.9724
7455,252000,0.9634
7559,254000,0.9731
7662,256000,0.9727
7766,258000,0.973
7872,260000,0.9735
7979,262000,0.9737
8085,264000,0.9733
8193,266000,0.9739
8298,268000,0.9733
8375,270000,0.9634
8472,272000,0.971
8569,274000,0.9709
8672,276000,0.9728
8774,278000,0.9723
8872,280000,0.9713
8980,282000,0.9739
9084,284000,0.9732
9185,286000,0.972
9294,288000,0.9742
9399,290000,0.9732
9507,292000,0.974
9614,294000,0.9738
9716,296000,0.9723
9822,298000,0.9735
9921,300000,0.9715
9989,302000,0.9575
10098,304000,0.9741
10208,306000,0.9743
10312,308000,0.973
10409,310000,0.9712
10509,312000,0.9718
10615,314000,0.9735
10717,316000,0.9722
10806,318000,0.9685
10906,320000,0.9718
10982,322000,0.9684
11072,324000,0.9632
11179,326000,0.9736
11278,328000,0.9716
11384,330000,0.9736
11486,332000,0.9723
11591,334000,0.9733
11680,336000,0.9685
11784,338000,0.9727
11891,340000,0.974
11993,342000,0.9723
12097,344000,0.9732
12209,346000,0.9746
12312,348000,0.9727
12419,350000,0.9738
12522,352000,0.9726
12613,354000,0.9693
12719,356000,0.9735
12801,358000,0.9657
12898,360000,0.971
13010,362000,0.9748
13117,364000,0.9737
13219,366000,0.9726
13323,368000,0.9728
13429,370000,0.9734
13531,372000,0.9727
13633,374000,0.9723
13741,376000,0.9738
13844,378000,0.9728
13945,380000,0.9722
14049,382000,0.9729
14154,384000,0.9732
14259,386000,0.9733
14365,388000,0.9734
14461,390000,0.9706
14567,392000,0.9737
14674,394000,0.9735
14777,396000,0.9727
14882,398000,0.9734
14986,400000,0.973
15088,402000,0.9725
15196,404000,0.9739
15303,406000,0.9736
15414,408000,0.9747
15521,410000,0.9737
15634,412000,0.9752
15725,414000,0.9699
15821,416000,0.97
15928,418000,0.9736
16034,420000,0.9735
16137,422000,0.9727
16246,424000,0.9742
16357,426000,0.9745
16470,428000,0.9752
16575,430000,0.9732
16678,432000,0.9726
16780,434000,0.973
16891,436000,0.9744
16999,438000,0.9737
17103,440000,0.9729
17198,442000,0.9705
17300,444000,0.9724
17405,446000,0.9732
17511,448000,0.9734
17620,450000,0.9742
17723,452000,0.9728
17830,454000,0.9737
17932,456000,0.9724
18037,458000,0.9731
18146,460000,0.9743
18255,462000,0.9741
18360,464000,0.9733
18465,466000,0.9731
18575,468000,0.9744
18680,470000,0.9732
18784,472000,0.9737
18892,474000,0.9732
18997,476000,0.9731
19100,478000,0.9727
19202,480000,0.9726
19311,482000,0.9741
19416,484000,0.9735
19524,486000,0.9738
19628,488000,0.9728
19731,490000,0.973
19824,492000,0.9697
19933,494000,0.974
20038,496000,0.9731
20137,498000,0.9717
20239,500000,0.9724
20349,502000,0.9744
20442,504000,0.9698
20546,506000,0.9732
20652,508000,0.9732
20760,510000,0.9741
20869,512000,0.9742
20972,514000,0.9726
21081,516000,0.9742
21184,518000,0.9728
21295,520000,0.9745
21403,522000,0.974
21511,524000,0.9739
21621,526000,0.9744
21725,528000,0.9731
21828,530000,0.9727
21939,532000,0.9745
22042,534000,0.9727
22145,536000,0.9727
22253,538000,0.974
22356,540000,0.9726
22459,542000,0.9729
22563,544000,0.9733
22672,546000,0.974
22779,548000,0.9736
22883,550000,0.973
22987,552000,0.9729
23090,554000,0.9726
23201,556000,0.9748
23301,558000,0.9719
23401,560000,0.9718
23509,562000,0.9738
23612,564000,0.9727
23708,566000,0.9708
23800,568000,0.9695
23899,570000,0.9719
23994,572000,0.9701
24095,574000,0.9721
24206,576000,0.9747
24311,578000,0.9732
24420,580000,0.9741
24533,582000,0.9751
24643,584000,0.9744
24748,586000,0.9737
24856,588000,0.9737
24962,590000,0.9733
25073,592000,0.9746
25182,594000,0.9744
25291,596000,0.9742
25364,598000,0.9599
25473,600000,0.9743
25584,602000,0.9747
25696,604000,0.9748
25807,606000,0.9747
25912,608000,0.9732
26019,610000,0.9738
26122,612000,0.9726
26231,614000,0.9743
26341,616000,0.9743
26456,618000,0.9756
26565,620000,0.9741
26674,622000,0.9744
26789,624000,0.9754
26896,626000,0.9739
27004,628000,0.9737
27115,630000,0.9748
27225,632000,0.9744
27325,634000,0.972
27425,636000,0.9716
27533,638000,0.9739
27637,640000,0.9731
27744,642000,0.9736
27851,644000,0.9739
27957,646000,0.9735
28072,648000,0.9754
28176,650000,0.9731
28282,652000,0.9733
28353,654000,0.9726
