episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
24,16000,0.0
28,18000,0.0
31,20000,0.0
34,22000,0.0
37,24000,0.0
40,26000,0.0
44,28000,0.1477
47,30000,0.0
50,32000,0.0
53,34000,0.0
56,36000,0.0
59,38000,0.0
63,40000,0.0
66,42000,0.0
69,44000,0.0
72,46000,0.1458
75,48000,0.0
79,50000,0.0
82,52000,0.159
85,54000,0.0821
89,56000,0.0
92,58000,0.0
95,60000,0.0
98,62000,0.0
101,64000,0.0
104,66000,0.0
107,68000,0.0732
111,70000,0.0
114,72000,0.2016
117,74000,0.0
120,76000,0.0
124,78000,0.0
127,80000,0.0
130,82000,0.0
133,84000,0.0
136,86000,0.1215
139,88000,0.0
143,90000,0.0
146,92000,0.0
149,94000,0.1543
152,96000,0.0
156,98000,0.0
159,100000,0.0994
162,102000,0.1379
165,104000,0.0
169,106000,0.1934
172,108000,0.0
176,110000,0.0988
179,112000,0.0
182,114000,0.0
185,116000,0.0
189,118000,0.1758
192,120000,0.0
195,122000,0.0
199,124000,0.2131
202,126000,0.0
205,128000,0.0
209,130000,0.0
212,132000,0.0
215,134000,0.0
218,136000,0.0
221,138000,0.0
224,140000,0.0
229,142000,0.2982
233,144000,0.193
236,146000,0.2026
240,148000,0.1498
243,150000,0.0
246,152000,0.1041
249,154000,0.0
252,156000,0.0
256,158000,0.0595
259,160000,0.0
263,162000,0.1371
266,164000,0.0
269,166000,0.0643
272,168000,0.2007
276,170000,0.0
280,172000,0.2212
284,174000,0.3161
288,176000,0.1396
292,178000,0.41
295,180000,0.0
300,182000,0.3356
304,184000,0.2054
308,186000,0.1646
311,188000,0.0751
315,190000,0.2746
319,192000,0.2145
324,194000,0.395
327,196000,0.0
332,198000,0.3426
337,200000,0.3677
343,202000,0.482
347,204000,0.3987
352,206000,0.2788
357,208000,0.3007
362,210000,0.3989
366,212000,0.3478
373,214000,0.5435
377,216000,0.2145
386,218000,0.7714
402,220000,0.7712
412,222000,0.7366
428,224000,0.8195
447,226000,0.8801
462,228000,0.7518
477,230000,0.8162
498,232000,0.8734
527,234000,0.8964
559,236000,0.9115
596,238000,0.9238
625,240000,0.9026
664,242000,0.9341
692,244000,0.8925
720,246000,0.9067
759,248000,0.9213
797,250000,0.9297
838,252000,0.9283
885,254000,0.9407
931,256000,0.938
987,258000,0.9499
1034,260000,0.9409
1085,262000,0.9452
1140,264000,0.948
1208,266000,0.9585
1266,268000,0.9522
1334,270000,0.9582
1397,272000,0.9553
1470,274000,0.9615
1542,276000,0.9611
1610,278000,0.9585
1687,280000,0.9633
1757,282000,0.9601
1834,284000,0.9632
1903,286000,0.9593
1983,288000,0.965
2065,290000,0.9656
2141,292000,0.9635
2225,294000,0.9661
2303,296000,0.964
2385,298000,0.9659
2469,300000,0.9663
2551,302000,0.9658
2642,304000,0.9689
2727,306000,0.967
2814,308000,0.968
2905,310000,0.9689
2993,312000,0.9679
3083,314000,0.9687
3174,316000,0.9694
3262,318000,0.9681
3354,320000,0.9693
3449,322000,0.9705
3507,324000,0.9496
3596,326000,0.9687
3684,328000,0.9678
3782,330000,0.9712
3876,332000,0.9701
3972,334000,0.9705
4057,336000,0.9669
4151,338000,0.9701
4246,340000,0.9708
4339,342000,0.9693
4439,344000,0.9721
4536,346000,0.9708
4634,348000,0.9716
4727,350000,0.9694
4824,352000,0.971
4924,354000,0.9721
5022,356000,0.9711
5112,358000,0.9689
5208,360000,0.9706
5310,362000,0.9724
5406,364000,0.9708
5503,366000,0.971
5605,368000,0.9724
5702,370000,0.971
5805,372000,0.9729
5909,374000,0.9728
6008,376000,0.9715
6108,378000,0.9719
6202,380000,0.9703
6299,382000,0.9709
6400,384000,0.9721
6501,386000,0.9722
6600,388000,0.9716
6701,390000,0.9722
6800,392000,0.9714
6901,394000,0.9723
7000,396000,0.9715
7103,398000,0.9727
7206,400000,0.9729
7307,402000,0.9719
7406,404000,0.9717
7466,406000,0.9516
7562,408000,0.9709
7663,410000,0.9718
7762,412000,0.9718
7857,414000,0.9704
7961,416000,0.9731
8032,418000,0.9589
8136,420000,0.9729
8242,422000,0.9733
8345,424000,0.9729
8446,426000,0.9722
8552,428000,0.9734
8652,430000,0.972
8755,432000,0.9725
8854,434000,0.9717
8956,436000,0.9722
9064,438000,0.9739
9160,440000,0.9709
9258,442000,0.9716
9361,444000,0.9723
9465,446000,0.9733
9569,448000,0.9728
9680,450000,0.9744
9781,452000,0.9722
9888,454000,0.9739
9995,456000,0.9737
10102,458000,0.9737
10202,460000,0.9718
10304,462000,0.9724
10411,464000,0.9738
10517,466000,0.9734
10621,468000,0.9731
10730,470000,0.9741
10836,472000,0.9735
10943,474000,0.9738
11050,476000,0.9739
11154,478000,0.9726
11264,480000,0.9744
11370,482000,0.9735
11477,484000,0.9737
11581,486000,0.973
11683,488000,0.9724
11792,490000,0.9742
11883,492000,0.969
11989,494000,0.9737
12089,496000,0.9717
12193,498000,0.9729
12296,500000,0.9728
12405,502000,0.9744
12510,504000,0.9729
12614,506000,0.9731
12712,508000,0.9716
12782,510000,0.9581
12888,512000,0.9733
12977,514000,0.9729
13066,516000,0.9628
13169,518000,0.9728
13265,520000,0.9707
13370,522000,0.9732
13480,524000,0.9743
13585,526000,0.9735
13689,528000,0.9726
13790,530000,0.9724
13893,532000,0.9725
13993,534000,0.9719
14095,536000,0.9726
14202,538000,0.9735
14287,540000,0.9702
14369,542000,0.9612
14480,544000,0.9747
14585,546000,0.9731
14700,548000,0.9755
14811,550000,0.9746
14921,552000,0.9744
15029,554000,0.974
15117,556000,0.9683
15228,558000,0.9743
15335,560000,0.9738
15445,562000,0.9745
15550,564000,0.9733
15656,566000,0.9733
15761,568000,0.9734
15853,570000,0.9695
15959,572000,0.9734
16061,574000,0.9724
16167,576000,0.9736
16273,578000,0.9734
16377,580000,0.973
16477,582000,0.9717
16586,584000,0.9743
16680,586000,0.9705
16787,588000,0.9732
16895,590000,0.9741
17002,592000,0.9739
17109,594000,0.9734
17216,596000,0.9738
17325,598000,0.9741
17431,600000,0.9734
17533,602000,0.9724
17633,604000,0.9719
17737,606000,0.973
17842,608000,0.9732
17950,610000,0.9741
18057,612000,0.9736
18166,614000,0.9743
18277,616000,0.9747
18345,618000,0.9595
18436,620000,0.9685
18542,622000,0.9732
18646,624000,0.9731
18745,626000,0.9715
18819,628000,0.9608
18924,630000,0.9733
19025,632000,0.9721
19129,634000,0.9728
19236,636000,0.9737
19333,638000,0.9713
19435,640000,0.9722
19535,642000,0.972
19633,644000,0.9713
19737,646000,0.9729
19839,648000,0.9723
19941,650000,0.9724
20052,652000,0.9748
20156,654000,0.9729
20261,656000,0.9735
20363,658000,0.9723
20469,660000,0.9735
20570,662000,0.972
20678,664000,0.974
20787,666000,0.9742
20899,668000,0.9749
21003,670000,0.973
21113,672000,0.9746
21220,674000,0.9737
21324,676000,0.9729
