episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
25,16000,0.0823
28,18000,0.0394
32,20000,0.1684
35,22000,0.0
38,24000,0.0455
41,26000,0.0
44,28000,0.0
47,30000,0.0558
51,32000,0.0
54,34000,0.0896
57,36000,0.0
61,38000,0.2089
64,40000,0.0
68,42000,0.1519
71,44000,0.1932
75,46000,0.0542
78,48000,0.1491
81,50000,0.0
84,52000,0.0
88,54000,0.0531
91,56000,0.0
94,58000,0.1927
99,60000,0.3047
102,62000,0.1547
107,64000,0.2178
110,66000,0.0
113,68000,0.0
117,70000,0.3161
121,72000,0.0974
124,74000,0.0
127,76000,0.0
130,78000,0.0
134,80000,0.1459
137,82000,0.1852
143,84000,0.4417
148,86000,0.4549
151,88000,0.0
155,90000,0.1698
159,92000,0.1705
162,94000,0.0596
166,96000,0.1825
169,98000,0.0
173,100000,0.1389
177,102000,0.2321
180,104000,0.0929
184,106000,0.3291
190,108000,0.4552
199,110000,0.6192
204,112000,0.4515
208,114000,0.2261
212,116000,0.2666
215,118000,0.0
221,120000,0.3971
226,122000,0.5311
230,124000,0.2739
234,126000,0.2458
242,128000,0.5443
246,130000,0.2887
249,132000,0.0
253,134000,0.2581
258,136000,0.3196
263,138000,0.4456
268,140000,0.303
272,142000,0.2771
279,144000,0.57
287,146000,0.6285
293,148000,0.5197
298,150000,0.3657
303,152000,0.4273
313,154000,0.7197
319,156000,0.417
323,158000,0.4065
335,160000,0.7328
347,162000,0.7469
361,164000,0.8405
370,166000,0.5814
381,168000,0.7282
386,170000,0.4768
394,172000,0.6544
399,174000,0.3812
413,176000,0.7506
426,178000,0.812
439,180000,0.712
451,182000,0.7564
458,184000,0.6967
474,186000,0.8094
479,188000,0.2872
498,190000,0.8412
511,192000,0.8181
525,194000,0.7571
542,196000,0.8359
562,198000,0.8893
578,200000,0.8028
597,202000,0.8199
623,204000,0.8927
638,206000,0.8679
655,208000,0.7826
684,210000,0.9226
727,212000,0.9173
755,214000,0.9017
787,216000,0.9089
832,218000,0.9369
861,220000,0.9022
903,222000,0.9333
961,224000,0.9519
1012,226000,0.944
1066,228000,0.948
1134,230000,0.9592
1194,232000,0.9551
1249,234000,0.9465
1306,236000,0.9504
1376,238000,0.9597
1447,240000,0.9601
1517,242000,0.9597
1580,244000,0.9555
1660,246000,0.9649
1722,248000,0.9545
1799,250000,0.9633
1870,252000,0.9609
1946,254000,0.9627
2035,256000,0.9686
2120,258000,0.9666
2211,260000,0.9691
2294,262000,0.9663
2377,264000,0.966
2437,266000,0.9678
2531,268000,0.9596
2621,270000,0.9692
2704,272000,0.966
2800,274000,0.9704
2894,276000,0.9704
2985,278000,0.9689
3067,280000,0.9657
3166,282000,0.9714
3256,284000,0.9688
3351,286000,0.9704
3449,288000,0.9715
3544,290000,0.9702
3637,292000,0.9696
3743,294000,0.9735
3831,296000,0.9681
3926,298000,0.9704
4018,300000,0.9696
4119,302000,0.9719
4204,304000,0.9671
4294,306000,0.9687
4394,308000,0.972
4489,310000,0.9702
4587,312000,0.9712
4683,314000,0.9708
4774,316000,0.9692
4869,318000,0.9701
4963,320000,0.9703
5029,322000,0.956
5098,324000,0.9576
5190,326000,0.9694
5294,328000,0.9732
5400,330000,0.9732
5500,332000,0.9721
5598,334000,0.9711
5696,336000,0.9713
5787,338000,0.9695
5884,340000,0.9706
5973,342000,0.9684
6063,344000,0.9686
6153,346000,0.9691
6246,348000,0.9695
6320,350000,0.962
6414,352000,0.9701
6455,354000,0.9304
6510,356000,0.9457
6575,358000,0.9552
6665,360000,0.9689
6763,362000,0.9712
6863,364000,0.9719
6942,366000,0.9667
7008,368000,0.956
7060,370000,0.9423
7144,372000,0.967
7207,374000,0.9548
7293,376000,0.9674
7382,378000,0.9694
7474,380000,0.9686
7560,382000,0.9673
7654,384000,0.9699
7721,386000,0.9566
7815,388000,0.97
7877,390000,0.9547
7963,392000,0.9674
8031,394000,0.9585
8108,396000,0.9634
8175,398000,0.9583
8244,400000,0.9669
8293,402000,0.9324
8361,404000,0.9582
8429,406000,0.9585
8457,408000,0.9041
8498,410000,0.9329
8515,412000,0.8364
8532,414000,0.8452
8576,416000,0.9171
8633,418000,0.9494
8666,420000,0.9127
8695,422000,0.9046
8727,424000,0.9051
8755,426000,0.9155
8784,428000,0.8928
8805,430000,0.834
8824,432000,0.8469
8849,434000,0.8821
8864,436000,0.8578
8897,438000,0.8822
8949,440000,0.9459
8999,442000,0.9508
9040,444000,0.9229
9074,446000,0.9229
9104,448000,0.8941
9171,450000,0.9581
9212,452000,0.9281
9243,454000,0.9227
9278,456000,0.9019
9302,458000,0.8867
9361,460000,0.9499
9384,462000,0.908
9444,464000,0.9382
9472,466000,0.9054
9514,468000,0.9243
9528,470000,0.8484
9537,472000,0.6478
9568,474000,0.8964
9585,476000,0.8237
9599,478000,0.7874
9606,480000,0.5807
9622,482000,0.7937
9642,484000,0.8663
9660,486000,0.8534
9689,488000,0.8816
9696,490000,0.5723
9715,492000,0.8498
9739,494000,0.878
9764,496000,0.8804
9783,498000,0.8717
9837,500000,0.9355
9882,502000,0.9359
9890,504000,0.6915
9954,506000,0.947
10007,508000,0.9477
10057,510000,0.9437
10131,512000,0.9607
10175,514000,0.9331
10206,516000,0.9098
10234,518000,0.9005
10290,520000,0.9475
10340,522000,0.9501
10376,524000,0.9041
10421,526000,0.9357
10500,528000,0.9646
10553,530000,0.9464
10621,532000,0.9599
10686,534000,0.9624
10757,536000,0.9524
10844,538000,0.9677
10932,540000,0.968
11020,542000,0.9683
11104,544000,0.9704
11178,546000,0.9561
11245,548000,0.9586
11332,550000,0.9671
11426,552000,0.9703
11523,554000,0.972
11598,556000,0.9609
11695,558000,0.9712
11792,560000,0.9708
11890,562000,0.9714
11988,564000,0.9715
12089,566000,0.9719
12162,568000,0.9616
12258,570000,0.9707
12352,572000,0.9701
12453,574000,0.9721
12557,576000,0.9729
12652,578000,0.9704
12738,580000,0.9675
12841,582000,0.9726
12934,584000,0.97
13034,586000,0.9717
13135,588000,0.9722
13232,590000,0.9708
13331,592000,0.9715
13424,594000,0.9699
13519,596000,0.9704
13619,598000,0.9717
13716,600000,0.9711
13809,602000,0.9697
13904,604000,0.9703
14009,606000,0.9732
14111,608000,0.9725
14213,610000,0.9725
14314,612000,0.9722
14412,614000,0.9712
14513,616000,0.9723
14609,618000,0.9707
14710,620000,0.972
14813,622000,0.9726
14915,624000,0.9724
15022,626000,0.9737
15128,628000,0.9735
15230,630000,0.9725
15330,632000,0.9718
15432,634000,0.9725
15527,636000,0.9703
15627,638000,0.9721
15732,640000,0.9732
15835,642000,0.9726
15933,644000,0.9714
16036,646000,0.9726
16144,648000,0.9739
16245,650000,0.9724
16354,652000,0.9741
16459,654000,0.9732
16566,656000,0.9737
16666,658000,0.972
16770,660000,0.9728
16867,662000,0.9711
16967,664000,0.9717
17067,666000,0.9718
