episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
24,16000,0.0
28,18000,0.0
31,20000,0.0
34,22000,0.0
37,24000,0.0
40,26000,0.0
43,28000,0.0
46,30000,0.0
49,32000,0.0
53,34000,0.0
56,36000,0.0
59,38000,0.0
62,40000,0.0751
65,42000,0.0
69,44000,0.1097
72,46000,0.0
75,48000,0.0
78,50000,0.0
81,52000,0.0
84,54000,0.0
88,56000,0.0
91,58000,0.0
94,60000,0.0526
97,62000,0.0783
101,64000,0.1087
104,66000,0.0
107,68000,0.0
110,70000,0.0
113,72000,0.0526
116,74000,0.0
120,76000,0.1825
124,78000,0.1421
128,80000,0.3527
133,82000,0.2678
136,84000,0.0
139,86000,0.0
142,88000,0.0
145,90000,0.0
148,92000,0.0
151,94000,0.0
154,96000,0.0
158,98000,0.1273
161,100000,0.0
164,102000,0.0
167,104000,0.0
171,106000,0.0
174,108000,0.0
177,110000,0.0
180,112000,0.0
183,114000,0.0
186,116000,0.0
190,118000,0.0953
193,120000,0.0
196,122000,0.0
199,124000,0.0
203,126000,0.1846
206,128000,0.0
209,130000,0.0361
213,132000,0.108
216,134000,0.0
219,136000,0.0
223,138000,0.3478
226,140000,0.0
230,142000,0.0
233,144000,0.0
236,146000,0.0
241,148000,0.4335
244,150000,0.0
248,152000,0.2441
252,154000,0.2652
256,156000,0.1642
260,158000,0.2244
263,160000,0.0
266,162000,0.0
269,164000,0.0
272,166000,0.0
276,168000,0.1136
279,170000,0.0
282,172000,0.0
286,174000,0.0988
289,176000,0.0
292,178000,0.0
295,180000,0.1327
299,182000,0.0602
302,184000,0.0
305,186000,0.0
308,188000,0.0
311,190000,0.0
315,192000,0.205
318,194000,0.0
321,196000,0.0
324,198000,0.0
328,200000,0.1146
332,202000,0.2071
335,204000,0.0
339,206000,0.2004
343,208000,0.2296
348,210000,0.3609
353,212000,0.447
358,214000,0.3047
361,216000,0.0858
365,218000,0.2275
369,220000,0.1836
373,222000,0.2441
377,224000,0.2317
380,226000,0.0
383,228000,0.1351
389,230000,0.4196
395,232000,0.55
400,234000,0.3505
403,236000,0.0
407,238000,0.3369
417,240000,0.6495
426,242000,0.6614
430,244000,0.4614
441,246000,0.7181
446,248000,0.4124
457,250000,0.6745
462,252000,0.4211
481,254000,0.8471
493,256000,0.7505
504,258000,0.7847
514,260000,0.6781
522,262000,0.6189
533,264000,0.7327
548,266000,0.8236
559,268000,0.7556
574,270000,0.7809
585,272000,0.7581
614,274000,0.8923
636,276000,0.8665
652,278000,0.8204
675,280000,0.8819
697,282000,0.8662
721,284000,0.8889
751,286000,0.9087
787,288000,0.9163
826,290000,0.9282
874,292000,0.9409
916,294000,0.9339
957,296000,0.937
998,298000,0.9245
1052,300000,0.9484
1107,302000,0.9492
1165,304000,0.9508
1229,306000,0.9564
1290,308000,0.9543
1362,310000,0.9603
1425,312000,0.9555
1497,314000,0.9611
1569,316000,0.9608
1643,318000,0.9618
1721,320000,0.964
1800,322000,0.9643
1878,324000,0.964
1960,326000,0.9656
2036,328000,0.9634
2122,330000,0.9672
2212,332000,0.9685
2297,334000,0.967
2388,336000,0.969
2470,338000,0.9658
2562,340000,0.9694
2661,342000,0.9718
2753,344000,0.9694
2853,346000,0.9717
2949,348000,0.9708
3048,350000,0.9718
3139,352000,0.9688
3231,354000,0.9694
3323,356000,0.9695
3422,358000,0.9715
3518,360000,0.9707
3620,362000,0.9724
3713,364000,0.9699
3816,366000,0.9726
3917,368000,0.9721
4021,370000,0.973
4122,372000,0.9722
4222,374000,0.9718
4319,376000,0.971
4406,378000,0.9676
4501,380000,0.9707
4605,382000,0.9726
4707,384000,0.9725
4813,386000,0.9735
4914,388000,0.9722
5024,390000,0.9744
5124,392000,0.9719
5218,394000,0.9702
5322,396000,0.9729
5422,398000,0.9718
5524,400000,0.9725
5632,402000,0.9737
5738,404000,0.9735
5835,406000,0.9713
5937,408000,0.9723
6041,410000,0.973
6113,412000,0.9595
6211,414000,0.9712
6310,416000,0.9715
6410,418000,0.972
6504,420000,0.97
6611,422000,0.9736
6722,424000,0.9747
6823,426000,0.9723
6928,428000,0.9732
7036,430000,0.9737
7140,432000,0.973
7245,434000,0.9732
7350,436000,0.9735
7452,438000,0.9723
7562,440000,0.9743
7671,442000,0.9743
7779,444000,0.974
7887,446000,0.974
7993,448000,0.9733
8102,450000,0.9742
8209,452000,0.9737
8314,454000,0.9736
8418,456000,0.9725
8528,458000,0.9745
8638,460000,0.9746
8746,462000,0.9739
8851,464000,0.9731
8951,466000,0.9721
9054,468000,0.9727
9164,470000,0.9742
9272,472000,0.9742
9377,474000,0.9729
9471,476000,0.9702
9579,478000,0.974
9690,480000,0.9745
9795,482000,0.9732
9900,484000,0.9732
10003,486000,0.9728
10113,488000,0.9745
10218,490000,0.973
10312,492000,0.9703
10421,494000,0.9741
10527,496000,0.9735
10635,498000,0.974
10739,500000,0.9731
10847,502000,0.9737
10953,504000,0.9735
11055,506000,0.9724
11157,508000,0.9726
11271,510000,0.9751
11382,512000,0.9748
11488,514000,0.9734
11597,516000,0.9741
11705,518000,0.9742
11815,520000,0.9744
11914,522000,0.9716
12020,524000,0.9735
12128,526000,0.9738
12241,528000,0.9752
12336,530000,0.9705
12438,532000,0.9724
12548,534000,0.9744
12634,536000,0.9672
12735,538000,0.9723
12828,540000,0.9731
12918,542000,0.964
13029,544000,0.9747
13135,546000,0.9736
13245,548000,0.9743
13353,550000,0.9738
13464,552000,0.9748
13576,554000,0.9749
13686,556000,0.9745
13795,558000,0.9741
13899,560000,0.9729
13999,562000,0.9719
14106,564000,0.9738
14213,566000,0.9736
14278,568000,0.959
14294,570000,0.791
14317,572000,0.9074
14340,574000,0.8454
14413,576000,0.9569
14460,578000,0.9428
14522,580000,0.9526
14548,582000,0.8834
14612,584000,0.955
14719,586000,0.9735
14809,588000,0.9693
14912,590000,0.9724
15012,592000,0.9719
15086,594000,0.962
15183,596000,0.9709
15287,598000,0.973
15395,600000,0.974
15470,602000,0.9611
15568,604000,0.9714
15669,606000,0.9719
15770,608000,0.9722
15849,610000,0.9645
15941,612000,0.9747
16012,614000,0.957
16115,616000,0.9695
16186,618000,0.9588
16299,620000,0.975
16409,622000,0.9744
16522,624000,0.9751
16624,626000,0.9724
16731,628000,0.9737
16831,630000,0.9719
16939,632000,0.9741
17042,634000,0.9727
17153,636000,0.9745
17258,638000,0.9733
17370,640000,0.9749
17480,642000,0.9743
17589,644000,0.9742
17699,646000,0.9744
17810,648000,0.9747
17919,650000,0.9742
18021,652000,0.9726
18131,654000,0.9743
18238,656000,0.9738
18348,658000,0.9745
18461,660000,0.975
18569,662000,0.974
18683,664000,0.9752
18794,666000,0.9748
18902,668000,0.974
19011,670000,0.9741
19122,672000,0.9747
19226,674000,0.973
19340,676000,0.9752
19450,678000,0.9745
19555,680000,0.9731
19664,682000,0.9743
19769,684000,0.9732
