episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
25,16000,0.1034
28,18000,0.0
32,20000,0.1182
35,22000,0.0849
39,24000,0.1846
42,26000,0.1566
45,28000,0.0
48,30000,0.0
51,32000,0.0
55,34000,0.0
58,36000,0.0
61,38000,0.0554
64,40000,0.0
68,42000,0.1255
71,44000,0.2518
75,46000,0.0774
78,48000,0.0
81,50000,0.0
85,52000,0.1688
88,54000,0.0
92,56000,0.2796
95,58000,0.0
99,60000,0.2117
103,62000,0.3686
108,64000,0.2703
112,66000,0.269
116,68000,0.2405
121,70000,0.4428
126,72000,0.3812
131,74000,0.4003
139,76000,0.6284
148,78000,0.6393
156,80000,0.6753
168,82000,0.748
182,84000,0.7852
202,86000,0.865
219,88000,0.8642
236,90000,0.7913
254,92000,0.8677
281,94000,0.8789
313,96000,0.9113
338,98000,0.8896
371,100000,0.913
397,102000,0.8953
415,104000,0.8429
459,106000,0.9346
494,108000,0.9249
543,110000,0.9388
593,112000,0.9436
643,114000,0.947
686,116000,0.9322
751,118000,0.9559
809,120000,0.9514
872,122000,0.9553
939,124000,0.9582
1010,126000,0.9601
1082,128000,0.9619
1153,130000,0.9595
1230,132000,0.9638
1311,134000,0.965
1361,136000,0.9419
1443,138000,0.9656
1528,140000,0.9668
1616,142000,0.9684
1704,144000,0.968
1796,146000,0.9694
1881,148000,0.9668
1960,150000,0.9658
2044,152000,0.965
2135,154000,0.9692
2221,156000,0.9672
2313,158000,0.9695
2403,160000,0.969
2488,162000,0.9669
2587,164000,0.9713
2680,166000,0.9703
2774,168000,0.9695
2872,170000,0.9714
2964,172000,0.9693
3058,174000,0.9701
3158,176000,0.9718
3253,178000,0.9704
3353,180000,0.972
3461,182000,0.9739
3561,184000,0.9718
3657,186000,0.9707
3752,188000,0.9704
3848,190000,0.9708
3943,192000,0.9703
4044,194000,0.9721
4139,196000,0.9706
4244,198000,0.9732
4343,200000,0.9717
4442,202000,0.9714
4545,204000,0.9727
4646,206000,0.9721
4743,208000,0.971
4844,210000,0.9723
4946,212000,0.9723
5047,214000,0.9724
5146,216000,0.9714
5248,218000,0.9724
5351,220000,0.9728
5451,222000,0.9719
5558,224000,0.9737
5653,226000,0.9703
5757,228000,0.9731
5859,230000,0.9725
5959,232000,0.9716
6059,234000,0.9718
6152,236000,0.9703
6239,238000,0.9672
6341,240000,0.9727
6446,242000,0.9732
6546,244000,0.9716
6646,246000,0.9718
6743,248000,0.9711
6841,250000,0.9713
6946,252000,0.9734
7045,254000,0.9714
7150,256000,0.9732
7253,258000,0.9727
7356,260000,0.9728
7458,262000,0.9722
7560,264000,0.9729
7664,266000,0.9726
7764,268000,0.9717
7861,270000,0.9711
7959,272000,0.9713
8070,274000,0.9747
8174,276000,0.9729
8271,278000,0.9713
8358,280000,0.9673
8460,282000,0.9726
8567,284000,0.9736
8656,286000,0.9684
8763,288000,0.9737
8864,290000,0.9721
8968,292000,0.9731
9074,294000,0.9733
9177,296000,0.9728
9280,298000,0.9726
9386,300000,0.9735
9489,302000,0.9728
9596,304000,0.9736
9700,306000,0.973
9803,308000,0.9727
9911,310000,0.974
10018,312000,0.9735
10127,314000,0.9741
10233,316000,0.9735
10329,318000,0.9708
10430,320000,0.9721
10527,322000,0.971
10628,324000,0.9722
10730,326000,0.9724
10830,328000,0.9718
10927,330000,0.971
11031,332000,0.9732
11128,334000,0.9709
11228,336000,0.972
11328,338000,0.9718
11426,340000,0.9712
11519,342000,0.9699
11615,344000,0.9707
11717,346000,0.9723
11820,348000,0.9726
11925,350000,0.9733
12002,352000,0.9635
12065,354000,0.9541
12094,356000,0.8954
12197,358000,0.9729
12295,360000,0.9711
12398,362000,0.9728
12499,364000,0.9721
12603,366000,0.9731
12705,368000,0.9723
12810,370000,0.9733
12914,372000,0.9731
13018,374000,0.9727
13128,376000,0.9745
13233,378000,0.9731
13343,380000,0.9747
13446,382000,0.9725
13554,384000,0.9738
13662,386000,0.974
13764,388000,0.9726
13872,390000,0.9739
13979,392000,0.9736
14082,394000,0.9729
14185,396000,0.9727
14287,398000,0.9723
14393,400000,0.9735
14494,402000,0.9725
14602,404000,0.9735
14712,406000,0.9745
14820,408000,0.974
14926,410000,0.9735
15035,412000,0.9741
15141,414000,0.9735
15239,416000,0.9713
15345,418000,0.9735
15453,420000,0.9739
15558,422000,0.9734
15663,424000,0.9732
15765,426000,0.9724
15864,428000,0.9715
15968,430000,0.9732
16067,432000,0.9713
16157,434000,0.9687
16260,436000,0.973
16367,438000,0.9735
16470,440000,0.9728
16574,442000,0.973
16672,444000,0.9712
16785,446000,0.9751
16895,448000,0.9747
17002,450000,0.9735
17105,452000,0.9727
17205,454000,0.9719
17313,456000,0.9738
17422,458000,0.9744
17530,460000,0.974
17638,462000,0.9739
17745,464000,0.9736
17854,466000,0.9741
17961,468000,0.9738
18068,470000,0.9738
18177,472000,0.9743
18286,474000,0.9741
18389,476000,0.9727
18479,478000,0.9738
18571,480000,0.9632
18676,482000,0.9734
18785,484000,0.9741
18890,486000,0.9733
18995,488000,0.9732
19092,490000,0.9708
19196,492000,0.973
19299,494000,0.973
19407,496000,0.9737
19507,498000,0.9719
19612,500000,0.9733
19718,502000,0.9734
19823,504000,0.9732
19928,506000,0.9732
20039,508000,0.9747
20138,510000,0.9719
20242,512000,0.9727
20350,514000,0.974
20456,516000,0.9735
20555,518000,0.9715
20660,520000,0.9733
20768,522000,0.9741
20878,524000,0.9742
20986,526000,0.9739
21093,528000,0.9737
21201,530000,0.9739
21305,532000,0.9731
21413,534000,0.9739
21520,536000,0.9737
21622,538000,0.9725
21728,540000,0.9736
21836,542000,0.9738
21942,544000,0.9735
22041,546000,0.9718
22150,548000,0.974
22255,550000,0.9733
22359,552000,0.973
22471,554000,0.9748
22575,556000,0.9732
22684,558000,0.9741
22796,560000,0.9748
22900,562000,0.9731
23001,564000,0.9723
23102,566000,0.9719
23207,568000,0.9733
23317,570000,0.9744
23418,572000,0.9723
23523,574000,0.973
23630,576000,0.9738
23733,578000,0.9725
23836,580000,0.9727
23932,582000,0.9709
24042,584000,0.9744
24151,586000,0.9742
24257,588000,0.9735
24363,590000,0.9736
24466,592000,0.9725
24573,594000,0.974
24675,596000,0.9722
24781,598000,0.9735
24889,600000,0.9739
25001,602000,0.975
25102,604000,0.9721
25205,606000,0.9729
25310,608000,0.973
25416,610000,0.9737
25520,612000,0.9728
25629,614000,0.9742
25738,616000,0.9743
25851,618000,0.975
25958,620000,0.9737
26067,622000,0.9742
26175,624000,0.974
26278,626000,0.9726
26383,628000,0.9734
26483,630000,0.9718
26590,632000,0.9738
26693,634000,0.9724
26800,636000,0.9737
26904,638000,0.9731
27006,640000,0.9722
27116,642000,0.9745
27223,644000,0.9738
27293,646000,0.9601
27404,648000,0.9745
27514,650000,0.9744
27624,652000,0.9744
27726,654000,0.9726
27829,656000,0.9732
