episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
24,16000,0.0
28,18000,0.0
31,20000,0.0
34,22000,0.1482
37,24000,0.0
41,26000,0.0
44,28000,0.0
47,30000,0.0
51,32000,0.3471
55,34000,0.0791
58,36000,0.0901
62,38000,0.1579
66,40000,0.3077
69,42000,0.129
72,44000,0.0
76,46000,0.14
80,48000,0.2219
84,50000,0.2008
87,52000,0.0
90,54000,0.0
95,56000,0.3964
98,58000,0.1055
102,60000,0.1814
106,62000,0.1034
112,64000,0.5542
118,66000,0.4515
123,68000,0.5089
128,70000,0.3002
133,72000,0.4253
137,74000,0.2792
142,76000,0.3078
147,78000,0.4914
152,80000,0.3755
158,82000,0.5028
163,84000,0.2976
167,86000,0.2314
171,88000,0.1895
176,90000,0.4844
179,92000,0.0
183,94000,0.2279
190,96000,0.4668
197,98000,0.5859
203,100000,0.6053
209,102000,0.4259
214,104000,0.3553
218,106000,0.224
222,108000,0.2546
228,110000,0.6358
234,112000,0.4341
242,114000,0.5721
247,116000,0.4656
252,118000,0.3423
262,120000,0.6858
267,122000,0.5302
279,124000,0.727
294,126000,0.7832
299,128000,0.5348
309,130000,0.6505
316,132000,0.6207
332,134000,0.8037
344,136000,0.7236
353,138000,0.6805
367,140000,0.803
379,142000,0.8043
396,144000,0.7971
413,146000,0.8284
425,148000,0.8097
441,150000,0.7626
