episode,timestep,reward
1,2000,0.0
3,4000,0.0
5,6000,0.0
7,8000,0.0
9,10000,0.0
11,12000,0.0
13,14000,0.0
15,16000,0.0
17,18000,0.0
19,20000,0.0
21,22000,0.0
23,24000,0.0
25,26000,0.0
27,28000,0.0
29,30000,0.0
31,32000,0.0
33,34000,0.0
35,36000,0.0
37,38000,0.0
39,40000,0.0
41,42000,0.0
43,44000,0.0
45,46000,0.0
47,48000,0.0
49,50000,0.0
51,52000,0.0
53,54000,0.0
55,56000,0.0
57,58000,0.0
59,60000,0.0
61,62000,0.0
63,64000,0.0
65,66000,0.0
67,68000,0.0
70,70000,0.1491
72,72000,0.0
74,74000,0.0
76,76000,0.271
79,78000,0.2566
81,80000,0.0
83,82000,0.0
85,84000,0.0953
87,86000,0.1019
90,88000,0.3028
92,90000,0.0
94,92000,0.0
97,94000,0.2232
99,96000,0.4007
102,98000,0.3845
108,100000,0.5828
111,102000,0.2876
115,104000,0.5975
124,106000,0.7829
130,108000,0.704
139,110000,0.8104
149,112000,0.8183
164,114000,0.8876
175,116000,0.8417
193,118000,0.9048
214,120000,0.9121
241,122000,0.9341
268,124000,0.9359
307,126000,0.9537
336,128000,0.9401
376,130000,0.9553
417,132000,0.9582
466,134000,0.9638
518,136000,0.966
573,138000,0.968
624,140000,0.9658
680,142000,0.9682
738,144000,0.9696
800,146000,0.9717
861,148000,0.9712
923,150000,0.9718
985,152000,0.9714
1048,154000,0.9722
1111,156000,0.9722
1175,158000,0.9723
1239,160000,0.9727
1305,162000,0.9733
1371,164000,0.9733
1437,166000,0.9735
1504,168000,0.9737
1571,170000,0.9738
1638,172000,0.9737
1704,174000,0.9732
1771,176000,0.9739
1838,178000,0.9739
1906,180000,0.974
1974,182000,0.974
2039,184000,0.9733
2107,186000,0.9741
2175,188000,0.9741
2244,190000,0.9742
2312,192000,0.9741
2371,194000,0.9705
2433,196000,0.9717
2497,198000,0.9724
2561,200000,0.9723
2625,202000,0.9729
2690,204000,0.9727
