episode,timestep,reward
1,2000,0.0
4,4000,0.084
6,6000,0.3537
8,8000,0.0
10,10000,0.0
12,12000,0.0
14,14000,0.0
17,16000,0.2261
20,18000,0.3277
22,20000,0.1054
26,22000,0.463
29,24000,0.3737
33,26000,0.5217
36,28000,0.3593
40,30000,0.6627
44,32000,0.5643
53,34000,0.7639
60,36000,0.7473
74,38000,0.8801
91,40000,0.8903
110,42000,0.9094
128,44000,0.9062
153,46000,0.9256
178,48000,0.9307
213,50000,0.9496
246,52000,0.9459
287,54000,0.958
330,56000,0.9583
377,58000,0.9629
425,60000,0.9633
477,62000,0.9663
531,64000,0.9671
587,66000,0.9686
644,68000,0.969
701,70000,0.9696
760,72000,0.9701
822,74000,0.9714
882,76000,0.9711
946,78000,0.9723
1007,80000,0.9711
1071,82000,0.9727
1135,84000,0.9726
1201,86000,0.9731
1264,88000,0.9724
1328,90000,0.9726
1395,92000,0.9736
1462,94000,0.9737
1530,96000,0.974
1597,98000,0.974
1665,100000,0.9742
1733,102000,0.9741
1802,104000,0.9743
1870,106000,0.9743
1939,108000,0.9744
2006,110000,0.974
2074,112000,0.9741
2142,114000,0.974
2210,116000,0.9743
2278,118000,0.9742
2347,120000,0.9743
2416,122000,0.9745
2484,124000,0.9743
2553,126000,0.9742
2621,128000,0.9744
2690,130000,0.9743
2759,132000,0.9745
2827,134000,0.9744
2896,136000,0.9745
2965,138000,0.9745
3034,140000,0.9744
3103,142000,0.9744
3172,144000,0.9747
3242,146000,0.9746
3311,148000,0.9746
3380,150000,0.9745
3449,152000,0.9748
3519,154000,0.9748
3589,156000,0.9748
3658,158000,0.9747
3728,160000,0.9747
3798,162000,0.9749
3868,164000,0.975
3938,166000,0.9749
4008,168000,0.9747
4078,170000,0.9749
4147,172000,0.9748
4217,174000,0.9749
4287,176000,0.9748
4357,178000,0.9749
4427,180000,0.9748
4495,182000,0.9744
4566,184000,0.9751
4637,186000,0.9751
4707,188000,0.9751
4778,190000,0.9751
4848,192000,0.975
4919,194000,0.9752
4990,196000,0.9751
5060,198000,0.9752
5131,200000,0.9752
5201,202000,0.9749
5271,204000,0.975
5342,206000,0.9751
5412,208000,0.9751
5483,210000,0.9752
5554,212000,0.9752
5625,214000,0.9752
5696,216000,0.9753
5767,218000,0.9753
5839,220000,0.9753
5909,222000,0.9752
5980,224000,0.9753
6051,226000,0.9753
6122,228000,0.9752
6193,230000,0.9752
6264,232000,0.9752
6332,234000,0.974
6400,236000,0.9741
