episode,timestep,reward
1,2000,0.0
4,4000,0.084
6,6000,0.0
8,8000,0.0
10,10000,0.0
12,12000,0.0
14,14000,0.0
16,16000,0.0
18,18000,0.0
20,20000,0.26
22,22000,0.0
24,24000,0.2776
26,26000,0.0
28,28000,0.0
30,30000,0.0
32,32000,0.0
34,34000,0.0
36,36000,0.0
38,38000,0.0
40,40000,0.0
42,42000,0.0
44,44000,0.0
46,46000,0.0
48,48000,0.0
50,50000,0.0
52,52000,0.0
54,54000,0.0
56,56000,0.0
58,58000,0.0
60,60000,0.0
62,62000,0.0
64,64000,0.0
66,66000,0.0
68,68000,0.0
70,70000,0.0
72,72000,0.0
74,74000,0.0
76,76000,0.0
78,78000,0.0
80,80000,0.0
82,82000,0.0
84,84000,0.0
86,86000,0.0
89,88000,0.1326
91,90000,0.0
93,92000,0.0
96,94000,0.3418
98,96000,0.3712
103,98000,0.5398
107,100000,0.467
114,102000,0.7688
118,104000,0.6902
121,106000,0.335
126,108000,0.4912
133,110000,0.7197
148,112000,0.8951
164,114000,0.8862
190,116000,0.9292
224,118000,0.9473
258,120000,0.9495
299,122000,0.9563
339,124000,0.9566
385,126000,0.9617
434,128000,0.9635
489,130000,0.968
543,132000,0.9677
601,134000,0.9698
661,136000,0.9705
721,138000,0.9708
783,140000,0.9714
847,142000,0.9728
911,144000,0.9724
977,146000,0.9734
1043,148000,0.9734
1106,150000,0.9723
1171,152000,0.9727
1236,154000,0.9732
1302,156000,0.9731
1366,158000,0.9727
1431,160000,0.973
1498,162000,0.9735
1563,164000,0.9732
1630,166000,0.9735
1694,168000,0.9728
1758,170000,0.9727
1823,172000,0.9727
1888,174000,0.9732
1952,176000,0.9721
2014,178000,0.9719
2077,180000,0.9722
2140,182000,0.9721
2203,184000,0.972
2263,186000,0.9705
2322,188000,0.9703
2386,190000,0.9725
2449,192000,0.972
2512,194000,0.9724
2578,196000,0.9731
2644,198000,0.9736
2713,200000,0.9744
2779,202000,0.9736
2848,204000,0.9745
2902,206000,0.9675
2964,208000,0.9714
3028,210000,0.9725
3092,212000,0.9726
3153,214000,0.9713
3216,216000,0.9719
3277,218000,0.9714
3338,220000,0.9709
3400,222000,0.9716
3462,224000,0.9718
3529,226000,0.9738
3593,228000,0.9725
3658,230000,0.9728
3723,232000,0.9729
3789,234000,0.9735
3855,236000,0.9732
3920,238000,0.9733
3985,240000,0.973
4052,242000,0.9735
4117,244000,0.9731
4180,246000,0.9723
4245,248000,0.9726
4311,250000,0.9736
