episode,timestep,reward
1,2000,0.0
3,4000,0.0
5,6000,0.0
7,8000,0.0
9,10000,0.0
11,12000,0.0
13,14000,0.0
15,16000,0.0
17,18000,0.0
19,20000,0.0
21,22000,0.0
23,24000,0.0
25,26000,0.0
27,28000,0.0
29,30000,0.0
31,32000,0.0
33,34000,0.0
35,36000,0.0
37,38000,0.0
39,40000,0.0
41,42000,0.0
44,44000,0.0849
46,46000,0.0
48,48000,0.2319
50,50000,0.0
52,52000,0.0689
55,54000,0.273
59,56000,0.4534
62,58000,0.5866
64,60000,0.213
70,62000,0.5694
73,64000,0.4727
80,66000,0.7171
87,68000,0.7382
104,70000,0.8931
118,72000,0.8744
140,74000,0.9183
161,76000,0.9165
188,78000,0.9345
216,80000,0.9384
249,82000,0.9453
283,84000,0.95
324,86000,0.957
366,88000,0.9576
414,90000,0.9631
462,92000,0.9634
517,94000,0.9681
571,96000,0.9673
627,98000,0.9685
682,100000,0.9682
741,102000,0.97
798,104000,0.9693
861,106000,0.9722
923,108000,0.9716
986,110000,0.972
1050,112000,0.9726
1117,114000,0.9739
1182,116000,0.9727
1249,118000,0.9739
1315,120000,0.9734
1384,122000,0.9744
1453,124000,0.9744
1521,126000,0.9743
1590,128000,0.9746
1660,130000,0.9748
1730,132000,0.975
1801,134000,0.9752
1872,136000,0.9751
1942,138000,0.975
2013,140000,0.9754
2084,142000,0.975
2153,144000,0.9748
2224,146000,0.9752
2292,148000,0.9741
2362,150000,0.9747
2431,152000,0.9745
2502,154000,0.9752
2573,156000,0.9753
2644,158000,0.9755
2716,160000,0.9754
2787,162000,0.9755
2859,164000,0.9755
2932,166000,0.9757
3004,168000,0.9757
3077,170000,0.9758
3149,172000,0.9756
3221,174000,0.9758
3294,176000,0.9758
3367,178000,0.9758
3439,180000,0.9758
3512,182000,0.9758
3585,184000,0.976
3658,186000,0.9759
3731,188000,0.9759
3804,190000,0.9759
3878,192000,0.976
3950,194000,0.9759
4024,196000,0.9761
4097,198000,0.976
