episode,timestep,reward
7,2000,0.0
14,4000,0.0
22,6000,0.0
29,8000,0.0
37,10000,0.0
44,12000,0.0733
52,14000,0.0
59,16000,0.0
67,18000,0.0
75,20000,0.0683
82,22000,0.0
89,24000,0.0
97,26000,0.0
105,28000,0.075
112,30000,0.0
119,32000,0.0
127,34000,0.0
134,36000,0.0
142,38000,0.0
149,40000,0.0
157,42000,0.0317
165,44000,0.0854
172,46000,0.0
179,48000,0.0
187,50000,0.0
195,52000,0.0675
203,54000,0.0696
210,56000,0.0
218,58000,0.0
225,60000,0.0
233,62000,0.085
240,64000,0.0
248,66000,0.0267
256,68000,0.0596
263,70000,0.0
271,72000,0.0
278,74000,0.0
285,76000,0.0
293,78000,0.0
300,80000,0.0443
308,82000,0.0
315,84000,0.0
323,86000,0.0
330,88000,0.0
338,90000,0.0329
345,92000,0.0
352,94000,0.0
360,96000,0.0
368,98000,0.0529
375,100000,0.0348
383,102000,0.0
390,104000,0.0
397,106000,0.0
405,108000,0.0462
413,110000,0.0513
420,112000,0.0
428,114000,0.0837
436,116000,0.0
443,118000,0.0
450,120000,0.0
458,122000,0.0
465,124000,0.0
473,126000,0.0
480,128000,0.0
487,130000,0.0
495,132000,0.0
502,134000,0.0
510,136000,0.0
517,138000,0.0
525,140000,0.0296
532,142000,0.0624
541,144000,0.08
548,146000,0.0176
555,148000,0.0
563,150000,0.0804
571,152000,0.0804
579,154000,0.0
587,156000,0.1483
594,158000,0.0
602,160000,0.0
610,162000,0.1063
619,164000,0.1852
626,166000,0.0
634,168000,0.0408
642,170000,0.1108
651,172000,0.1448
658,174000,0.0
666,176000,0.1037
674,178000,0.0483
681,180000,0.0
690,182000,0.1722
698,184000,0.0638
706,186000,0.0617
713,188000,0.0471
722,190000,0.1541
731,192000,0.1611
741,194000,0.2673
749,196000,0.0842
757,198000,0.135
766,200000,0.1774
774,202000,0.1125
782,204000,0.0933
791,206000,0.1293
799,208000,0.1258
809,210000,0.2403
816,212000,0.0
827,214000,0.3385
836,216000,0.1141
845,218000,0.2589
855,220000,0.249
866,222000,0.3791
876,224000,0.2587
884,226000,0.0833
893,228000,0.2093
904,230000,0.2667
913,232000,0.2344
922,234000,0.2189
931,236000,0.1707
942,238000,0.3524
952,240000,0.2617
960,242000,0.0792
971,244000,0.2994
979,246000,0.1879
991,248000,0.3661
1002,250000,0.3624
1011,252000,0.1837
1020,254000,0.1904
1030,256000,0.2237
1038,258000,0.1062
1046,260000,0.1267
1054,262000,0.0363
1061,264000,0.0443
1070,266000,0.1619
1081,268000,0.3348
1090,270000,0.1841
1098,272000,0.1504
1110,274000,0.4036
1119,276000,0.1885
1128,278000,0.1948
1137,280000,0.1041
1150,282000,0.4654
1160,284000,0.2687
1170,286000,0.2693
1179,288000,0.1811
1188,290000,0.2619
1198,292000,0.294
1209,294000,0.3179
1217,296000,0.1013
1226,298000,0.1363
1234,300000,0.1429
1243,302000,0.1422
1254,304000,0.3473
1265,306000,0.3806
1275,308000,0.2187
1285,310000,0.249
1298,312000,0.48
1308,314000,0.3013
1317,316000,0.1115
1327,318000,0.359
1335,320000,0.0
1345,322000,0.2743
1356,324000,0.3758
1367,326000,0.3909
1377,328000,0.1703
1387,330000,0.3327
1398,332000,0.3482
1409,334000,0.3533
1421,336000,0.3686
1429,338000,0.0638
1441,340000,0.4333
1452,342000,0.3361
1463,344000,0.3491
1474,346000,0.3633
1482,348000,0.13
1492,350000,0.1913
1502,352000,0.31
1514,354000,0.4056
1524,356000,0.2607
1535,358000,0.3603
1543,360000,0.19
1555,362000,0.3272
1565,364000,0.3373
1575,366000,0.225
1583,368000,0.1246
1594,370000,0.39
1604,372000,0.261
1615,374000,0.3345
1626,376000,0.3703
1636,378000,0.242
1645,380000,0.2396
1657,382000,0.3883
1669,384000,0.3719
1679,386000,0.2847
1691,388000,0.4925
1704,390000,0.4477
1719,392000,0.4729
1733,394000,0.4876
1748,396000,0.5824
1763,398000,0.4609
1772,400000,0.2111
1782,402000,0.3523
1793,404000,0.3339
1805,406000,0.3783
1816,408000,0.3052
1827,410000,0.3588
1843,412000,0.5831
1855,414000,0.3794
1868,416000,0.4308
1875,418000,0.0852
1889,420000,0.4333
1901,422000,0.4533
1915,424000,0.4829
1928,426000,0.4328
1938,428000,0.253
1949,430000,0.3379
1963,432000,0.5231
1975,434000,0.36
1994,436000,0.6358
2015,438000,0.6748
2030,440000,0.5456
2046,442000,0.5358
2059,444000,0.4838
2076,446000,0.5598
2089,448000,0.4795
2101,450000,0.3983
2113,452000,0.4047
2122,454000,0.1533
2135,456000,0.5277
2146,458000,0.3273
2164,460000,0.5598
2180,462000,0.5546
2196,464000,0.5733
2212,466000,0.5571
2225,468000,0.4544
2238,470000,0.4538
2256,472000,0.6367
2274,474000,0.5565
2290,476000,0.5877
2308,478000,0.5976
2326,480000,0.6106
2343,482000,0.6186
2361,484000,0.6035
2380,486000,0.6216
2397,488000,0.6012
2412,490000,0.4733
2430,492000,0.6228
2447,494000,0.5804
2467,496000,0.6547
2486,498000,0.6677
2503,500000,0.5657
2522,502000,0.646
2542,504000,0.6203
2565,506000,0.6874
2581,508000,0.5723
2603,510000,0.6732
2620,512000,0.5949
2638,514000,0.5983
2655,516000,0.6288
2671,518000,0.5356
2687,520000,0.5317
2704,522000,0.5733
2720,524000,0.561
2742,526000,0.6918
2757,528000,0.5344
2777,530000,0.6627
