episode,timestep,reward
7,2000,0.0
14,4000,0.0
22,6000,0.0
29,8000,0.0
37,10000,0.0
44,12000,0.0
51,14000,0.0
59,16000,0.0
66,18000,0.0
74,20000,0.0
81,22000,0.0
88,24000,0.0
96,26000,0.0
103,28000,0.0
111,30000,0.0
118,32000,0.0
125,34000,0.0
133,36000,0.0421
141,38000,0.0
148,40000,0.0
155,42000,0.0
163,44000,0.0
170,46000,0.0
178,48000,0.0
185,50000,0.0
192,52000,0.0
200,54000,0.0
207,56000,0.0271
215,58000,0.0821
223,60000,0.0
230,62000,0.0
238,64000,0.0
245,66000,0.0
252,68000,0.0
260,70000,0.0
267,72000,0.0
275,74000,0.0
282,76000,0.0
289,78000,0.0
297,80000,0.0
304,82000,0.0
312,84000,0.0246
319,86000,0.0
327,88000,0.0
335,90000,0.0979
342,92000,0.0
349,94000,0.0
357,96000,0.0
364,98000,0.0286
372,100000,0.0654
380,102000,0.0
387,104000,0.0424
395,106000,0.1033
404,108000,0.093
411,110000,0.0295
418,112000,0.0
426,114000,0.0
433,116000,0.0
441,118000,0.0
448,120000,0.0
456,122000,0.0
463,124000,0.0
471,126000,0.0596
478,128000,0.0
486,130000,0.0
493,132000,0.0
500,134000,0.0
508,136000,0.0
516,138000,0.0971
524,140000,0.1067
532,142000,0.0942
540,144000,0.0
548,146000,0.0846
555,148000,0.0152
563,150000,0.0617
570,152000,0.0
579,154000,0.1611
587,156000,0.1025
596,158000,0.1426
604,160000,0.0779
611,162000,0.0
619,164000,0.0846
627,166000,0.08
635,168000,0.0479
643,170000,0.0929
651,172000,0.0587
659,174000,0.1725
667,176000,0.0296
675,178000,0.1533
683,180000,0.0267
690,182000,0.0
699,184000,0.1259
708,186000,0.2389
715,188000,0.0
727,190000,0.3381
735,192000,0.1796
745,194000,0.235
754,196000,0.2122
765,198000,0.2885
773,200000,0.1062
782,202000,0.1848
790,204000,0.0829
797,206000,0.0
805,208000,0.1
813,210000,0.0562
823,212000,0.2277
831,214000,0.1567
842,216000,0.3412
850,218000,0.175
858,220000,0.06
867,222000,0.25
875,224000,0.0
886,226000,0.3133
895,228000,0.2352
905,230000,0.237
913,232000,0.1871
923,234000,0.23
935,236000,0.3853
945,238000,0.305
956,240000,0.3818
965,242000,0.2344
975,244000,0.2063
986,246000,0.3191
995,248000,0.2911
1004,250000,0.1952
1014,252000,0.305
1025,254000,0.287
1034,256000,0.2507
1043,258000,0.1181
1056,260000,0.4867
1068,262000,0.3575
1081,264000,0.4746
1092,266000,0.3791
1102,268000,0.2523
1112,270000,0.2707
1122,272000,0.2937
1129,274000,0.0
1141,276000,0.4036
1150,278000,0.1904
1161,280000,0.333
1168,282000,0.0424
1177,284000,0.1348
1185,286000,0.1542
1196,288000,0.3285
1206,290000,0.2347
1218,292000,0.3897
1227,294000,0.237
1238,296000,0.3076
1245,298000,0.02
1256,300000,0.3015
1268,302000,0.4558
1277,304000,0.2196
1290,306000,0.38
1301,308000,0.3455
1313,310000,0.4086
1323,312000,0.2673
1334,314000,0.4321
1344,316000,0.2107
1352,318000,0.14
1363,320000,0.3285
1372,322000,0.24
1381,324000,0.1356
1390,326000,0.2878
1401,328000,0.3315
1411,330000,0.2297
1423,332000,0.4106
1432,334000,0.1715
1442,336000,0.3217
1451,338000,0.1611
1462,340000,0.3779
1473,342000,0.3145
1486,344000,0.4772
1495,346000,0.1715
1505,348000,0.3137
1518,350000,0.4562
1530,352000,0.3831
1541,354000,0.3106
1555,356000,0.4652
1571,358000,0.5608
1583,360000,0.4497
1594,362000,0.2867
1605,364000,0.3682
1617,366000,0.3961
1631,368000,0.5095
1643,370000,0.3775
1656,372000,0.4795
1666,374000,0.2527
1677,376000,0.3936
1690,378000,0.461
1702,380000,0.34
1712,382000,0.2773
1724,384000,0.4058
1736,386000,0.3969
1747,388000,0.4088
1760,390000,0.4628
1773,392000,0.4192
1785,394000,0.4133
1800,396000,0.5311
1815,398000,0.5336
1825,400000,0.2857
1836,402000,0.3152
1845,404000,0.2352
1856,406000,0.313
1865,408000,0.1852
1876,410000,0.3291
1885,412000,0.283
1894,414000,0.173
1906,416000,0.4464
1919,418000,0.4277
1934,420000,0.5224
1944,422000,0.3133
1956,424000,0.3831
1971,426000,0.5424
1983,428000,0.3939
1995,430000,0.4133
2005,432000,0.2643
2015,434000,0.2317
2026,436000,0.3764
2038,438000,0.3897
2052,440000,0.4886
2062,442000,0.2643
2073,444000,0.3355
2085,446000,0.4158
2095,448000,0.2583
2104,450000,0.2252
2114,452000,0.2483
2131,454000,0.5757
2144,456000,0.5059
2156,458000,0.3561
2169,460000,0.4336
2183,462000,0.4957
2194,464000,0.3118
2205,466000,0.3652
2215,468000,0.255
2225,470000,0.329
2239,472000,0.5062
2250,474000,0.3376
2263,476000,0.4613
2273,478000,0.3057
2289,480000,0.5633
2300,482000,0.3258
2315,484000,0.5244
2328,486000,0.4956
2342,488000,0.44
2352,490000,0.334
2365,492000,0.4164
2377,494000,0.3553
2388,496000,0.4006
2400,498000,0.3664
2414,500000,0.5045
2432,502000,0.6167
2445,504000,0.4364
2456,506000,0.3839
2472,508000,0.5671
2484,510000,0.3578
2498,512000,0.5167
2513,514000,0.4998
2539,516000,0.7472
2554,518000,0.5091
2569,520000,0.5213
2584,522000,0.552
2597,524000,0.4862
2615,526000,0.5943
2627,528000,0.3789
2642,530000,0.5384
2655,532000,0.479
2677,534000,0.6886
