episode,timestep,reward
7,2000,0.0
14,4000,0.0
22,6000,0.0
29,8000,0.0
37,10000,0.0
44,12000,0.0
51,14000,0.0
59,16000,0.0
66,18000,0.0
74,20000,0.0
81,22000,0.0
88,24000,0.0
96,26000,0.0
103,28000,0.0
111,30000,0.0
118,32000,0.0
125,34000,0.0
133,36000,0.0
140,38000,0.0
148,40000,0.0
155,42000,0.0
162,44000,0.0
170,46000,0.0
177,48000,0.0
185,50000,0.0
192,52000,0.0
199,54000,0.0
207,56000,0.0
214,58000,0.0
222,60000,0.0
229,62000,0.0
237,64000,0.0771
245,66000,0.0
252,68000,0.0
259,70000,0.0
267,72000,0.0
274,74000,0.0
282,76000,0.0
289,78000,0.0
296,80000,0.0
304,82000,0.0
311,84000,0.0
319,86000,0.0
326,88000,0.0
333,90000,0.0
341,92000,0.0
348,94000,0.0
356,96000,0.0
363,98000,0.0
370,100000,0.0
378,102000,0.0
386,104000,0.0883
394,106000,0.1138
402,108000,0.0142
409,110000,0.0
416,112000,0.0
424,114000,0.0846
432,116000,0.0
439,118000,0.0
447,120000,0.0
454,122000,0.0
461,124000,0.0
469,126000,0.0
476,128000,0.0
484,130000,0.0
491,132000,0.0
498,134000,0.0
506,136000,0.0
513,138000,0.0
521,140000,0.0
528,142000,0.0
536,144000,0.0612
544,146000,0.0946
552,148000,0.0
559,150000,0.0
567,152000,0.0483
574,154000,0.0
581,156000,0.0
589,158000,0.0
597,160000,0.0417
604,162000,0.0
611,164000,0.0
619,166000,0.0
626,168000,0.0
634,170000,0.0
641,172000,0.0
648,174000,0.0
656,176000,0.0
664,178000,0.0558
671,180000,0.0
678,182000,0.0
686,184000,0.0
693,186000,0.0
701,188000,0.0
708,190000,0.0
715,192000,0.0
723,194000,0.0
730,196000,0.0
738,198000,0.0
745,200000,0.0
752,202000,0.0
760,204000,0.0
767,206000,0.0
775,208000,0.0
782,210000,0.0
790,212000,0.0
797,214000,0.0
804,216000,0.0
812,218000,0.0
819,220000,0.0
827,222000,0.0
834,224000,0.0
841,226000,0.0
849,228000,0.0
856,230000,0.0
864,232000,0.0
871,234000,0.0
878,236000,0.0
886,238000,0.0
893,240000,0.0
901,242000,0.0
908,244000,0.0
915,246000,0.0
923,248000,0.0
930,250000,0.0
938,252000,0.0
945,254000,0.0
952,256000,0.0
960,258000,0.0
967,260000,0.0
975,262000,0.0
982,264000,0.0
990,266000,0.0
997,268000,0.0
1004,270000,0.0
1012,272000,0.0
1019,274000,0.0
1027,276000,0.0
1034,278000,0.0
1041,280000,0.0
1049,282000,0.0
1056,284000,0.0
1064,286000,0.0
1071,288000,0.0
1078,290000,0.0
1086,292000,0.0
1093,294000,0.0
1101,296000,0.0
1108,298000,0.0
1115,300000,0.0
1123,302000,0.0
1130,304000,0.0
1138,306000,0.0
1145,308000,0.0
1152,310000,0.0
1160,312000,0.0
1167,314000,0.0
1175,316000,0.0
1182,318000,0.0
1190,320000,0.0
1197,322000,0.0
1204,324000,0.0
1212,326000,0.0
1219,328000,0.0
1227,330000,0.0
1234,332000,0.0
1241,334000,0.0
1249,336000,0.0
1256,338000,0.0
1264,340000,0.0
1271,342000,0.0
1278,344000,0.0
1286,346000,0.0
1293,348000,0.0
1301,350000,0.0
1308,352000,0.0
1315,354000,0.0
1323,356000,0.0
1330,358000,0.0
1338,360000,0.0
1345,362000,0.0
1352,364000,0.0
1360,366000,0.0
1367,368000,0.0
1375,370000,0.0
1382,372000,0.0
1390,374000,0.0
1397,376000,0.0
1404,378000,0.0
1412,380000,0.0
1419,382000,0.0
1427,384000,0.0
1434,386000,0.0
1441,388000,0.0
1449,390000,0.0
1456,392000,0.0
1464,394000,0.0
1471,396000,0.0
1478,398000,0.0
1486,400000,0.0
1493,402000,0.0
1501,404000,0.0
1508,406000,0.0
1515,408000,0.0
1523,410000,0.0
1530,412000,0.0
1538,414000,0.0
1545,416000,0.0
1552,418000,0.0
1560,420000,0.0
1567,422000,0.0
1575,424000,0.0
1582,426000,0.0
1590,428000,0.0
1597,430000,0.0
1604,432000,0.0
1612,434000,0.0
1619,436000,0.0
1627,438000,0.0
1634,440000,0.0
1641,442000,0.0
1649,444000,0.0
1656,446000,0.0
1664,448000,0.0
1671,450000,0.0
1678,452000,0.0
1686,454000,0.0
1693,456000,0.0
1701,458000,0.0
1708,460000,0.0
1715,462000,0.0
1723,464000,0.0
1730,466000,0.0
1738,468000,0.0
1745,470000,0.0
1752,472000,0.0
1760,474000,0.0
1767,476000,0.0
1775,478000,0.0
1782,480000,0.0
1790,482000,0.0
1797,484000,0.0
1804,486000,0.0
1812,488000,0.0
1819,490000,0.0
1827,492000,0.0
1834,494000,0.0
1841,496000,0.0
1849,498000,0.0
1856,500000,0.0
1864,502000,0.0
1871,504000,0.0
1878,506000,0.0
1886,508000,0.0
1893,510000,0.0
1901,512000,0.0
1908,514000,0.0
1915,516000,0.0
1923,518000,0.0
1930,520000,0.0
1938,522000,0.0
1945,524000,0.0
1952,526000,0.0
1960,528000,0.0
1967,530000,0.0
1975,532000,0.0
1982,534000,0.0
1990,536000,0.0
1997,538000,0.0
2004,540000,0.0
2012,542000,0.0
2019,544000,0.0
2027,546000,0.0
2034,548000,0.0
2041,550000,0.0
2049,552000,0.0
2056,554000,0.0
2064,556000,0.0
2071,558000,0.0
2078,560000,0.0
2086,562000,0.0
2093,564000,0.0
2101,566000,0.0
2108,568000,0.0
