episode,timestep,reward
7,2000,0.0
14,4000,0.0
22,6000,0.0
29,8000,0.0
37,10000,0.0
44,12000,0.0
51,14000,0.0
59,16000,0.0
66,18000,0.0
74,20000,0.0
81,22000,0.0
88,24000,0.0
96,26000,0.0
103,28000,0.0
111,30000,0.0
118,32000,0.0
125,34000,0.0
133,36000,0.0
140,38000,0.0
148,40000,0.0
155,42000,0.0
162,44000,0.0
170,46000,0.0
178,48000,0.0704
185,50000,0.0
193,52000,0.0
200,54000,0.0471
208,56000,0.0
215,58000,0.0
222,60000,0.0
230,62000,0.0
238,64000,0.0487
245,66000,0.0
253,68000,0.0746
260,70000,0.0
268,72000,0.0
275,74000,0.0
283,76000,0.0
290,78000,0.0
297,80000,0.0
305,82000,0.0
312,84000,0.0
320,86000,0.0
327,88000,0.0
334,90000,0.0
342,92000,0.0
349,94000,0.0338
357,96000,0.0
364,98000,0.0
372,100000,0.0
379,102000,0.0
386,104000,0.0
394,106000,0.0
401,108000,0.0
409,110000,0.0
416,112000,0.0
424,114000,0.0
431,116000,0.0
438,118000,0.0
446,120000,0.0
454,122000,0.0587
461,124000,0.0
468,126000,0.0
476,128000,0.0
483,130000,0.0
491,132000,0.0
498,134000,0.0
505,136000,0.0
513,138000,0.0225
520,140000,0.0
528,142000,0.0
535,144000,0.0
543,146000,0.0
550,148000,0.0
557,150000,0.0
565,152000,0.0
572,154000,0.0205
580,156000,0.0
587,158000,0.0
595,160000,0.1121
603,162000,0.0
610,164000,0.0171
618,166000,0.0933
626,168000,0.0
633,170000,0.0
641,172000,0.0
648,174000,0.0
655,176000,0.0
663,178000,0.0
670,180000,0.0
678,182000,0.0233
685,184000,0.0
692,186000,0.0
700,188000,0.0471
708,190000,0.0
715,192000,0.0376
723,194000,0.0296
730,196000,0.0
738,198000,0.0
745,200000,0.0
752,202000,0.0
760,204000,0.0
767,206000,0.0
775,208000,0.0
782,210000,0.0
790,212000,0.0679
797,214000,0.0
805,216000,0.0
812,218000,0.0
820,220000,0.0
827,222000,0.0
834,224000,0.0224
842,226000,0.0
849,228000,0.0
857,230000,0.0
864,232000,0.0
871,234000,0.0
879,236000,0.0
886,238000,0.0
894,240000,0.0338
901,242000,0.0
910,244000,0.0989
917,246000,0.0567
925,248000,0.0
933,250000,0.1017
940,252000,0.0
948,254000,0.0
955,256000,0.0648
963,258000,0.0
970,260000,0.0
978,262000,0.0629
986,264000,0.0237
993,266000,0.0
1001,268000,0.0742
1008,270000,0.0
1016,272000,0.0
1024,274000,0.0633
1031,276000,0.0
1038,278000,0.0
1046,280000,0.0
1054,282000,0.1579
1062,284000,0.0
1071,286000,0.1919
1079,288000,0.0592
1087,290000,0.0792
1094,292000,0.0719
1102,294000,0.0
1109,296000,0.0
1117,298000,0.0
1124,300000,0.0
1132,302000,0.0212
1139,304000,0.0786
1147,306000,0.0
1154,308000,0.0
1163,310000,0.1137
1170,312000,0.0
1177,314000,0.0
1185,316000,0.0
1193,318000,0.1221
1200,320000,0.0
1208,322000,0.0275
1215,324000,0.0162
1223,326000,0.0
1230,328000,0.0
1238,330000,0.0
1246,332000,0.1625
1254,334000,0.0
1262,336000,0.0813
1269,338000,0.0
1276,340000,0.0205
1284,342000,0.0
1292,344000,0.1504
1300,346000,0.0
1307,348000,0.0
1315,350000,0.0321
1322,352000,0.0
1330,354000,0.0517
1337,356000,0.0
1345,358000,0.0658
1353,360000,0.0804
1362,362000,0.1507
1369,364000,0.0
1377,366000,0.0946
1385,368000,0.0225
1392,370000,0.0
1400,372000,0.0
1407,374000,0.0
1415,376000,0.0912
1423,378000,0.0242
1431,380000,0.1013
1439,382000,0.1033
1448,384000,0.1241
1455,386000,0.0
1462,388000,0.0
1470,390000,0.0
1477,392000,0.0
1485,394000,0.0708
1493,396000,0.0375
1501,398000,0.1479
1509,400000,0.0
1517,402000,0.075
1525,404000,0.1796
1534,406000,0.0915
1542,408000,0.1517
1551,410000,0.163
1559,412000,0.055
1567,414000,0.1042
1575,416000,0.0979
1584,418000,0.1467
1593,420000,0.2011
1601,422000,0.1617
1610,424000,0.1037
1617,426000,0.0
1624,428000,0.0
1633,430000,0.1022
1641,432000,0.0621
1651,434000,0.3113
1659,436000,0.0612
1667,438000,0.1562
1676,440000,0.1385
1684,442000,0.0867
1695,444000,0.4164
1705,446000,0.229
1713,448000,0.1621
1722,450000,0.1007
1731,452000,0.1889
1740,454000,0.1948
1747,456000,0.0
1755,458000,0.1108
1764,460000,0.1211
1774,462000,0.2823
1782,464000,0.1087
1790,466000,0.1133
1801,468000,0.2609
1811,470000,0.358
1819,472000,0.0
1830,474000,0.4161
1838,476000,0.09
1846,478000,0.0617
1854,480000,0.0596
1861,482000,0.0
1870,484000,0.1548
1878,486000,0.0
1887,488000,0.1937
1895,490000,0.1062
1903,492000,0.1571
1912,494000,0.1433
1921,496000,0.1804
1930,498000,0.2778
1938,500000,0.0
1948,502000,0.267
1956,504000,0.1137
1966,506000,0.2373
1976,508000,0.3483
1987,510000,0.2888
1995,512000,0.1992
2004,514000,0.117
2011,516000,0.0
2020,518000,0.1326
2028,520000,0.0925
2038,522000,0.2963
2048,524000,0.2807
2056,526000,0.1346
2065,528000,0.1741
2072,530000,0.0
2080,532000,0.0938
2091,534000,0.3382
2099,536000,0.0525
2110,538000,0.2797
2119,540000,0.2596
2128,542000,0.1885
2142,544000,0.4569
2157,546000,0.5322
2167,548000,0.3007
