episode,timestep,reward
7,2000,0.0
14,4000,0.0362
22,6000,0.0
29,8000,0.0
37,10000,0.0
44,12000,0.0
52,14000,0.0
59,16000,0.0
66,18000,0.0
74,20000,0.0
81,22000,0.0
89,24000,0.0
96,26000,0.0
103,28000,0.0
111,30000,0.0
118,32000,0.0
126,34000,0.0
134,36000,0.1042
141,38000,0.0
149,40000,0.0
156,42000,0.0648
164,44000,0.0
171,46000,0.0
179,48000,0.0
186,50000,0.0571
194,52000,0.0633
201,54000,0.0
209,56000,0.0
216,58000,0.0
224,60000,0.0
231,62000,0.0
238,64000,0.0
247,66000,0.0848
254,68000,0.0
261,70000,0.0
269,72000,0.0
276,74000,0.0
284,76000,0.0925
292,78000,0.0
299,80000,0.0214
307,82000,0.0
314,84000,0.0148
321,86000,0.0
329,88000,0.0492
337,90000,0.0679
345,92000,0.1133
354,94000,0.1174
362,96000,0.1113
369,98000,0.0
377,100000,0.0
384,102000,0.0
392,104000,0.03
399,106000,0.0
406,108000,0.0
414,110000,0.0
423,112000,0.1485
432,114000,0.2533
440,116000,0.0
448,118000,0.0992
456,120000,0.0992
464,122000,0.1075
471,124000,0.0
479,126000,0.0904
487,128000,0.0
495,130000,0.1237
502,132000,0.0
510,134000,0.0638
518,136000,0.1017
526,138000,0.0363
533,140000,0.0
541,142000,0.1
550,144000,0.1022
557,146000,0.0229
566,148000,0.1359
574,150000,0.1342
583,152000,0.18
591,154000,0.0654
599,156000,0.0875
607,158000,0.0654
614,160000,0.0
623,162000,0.167
630,164000,0.0338
639,166000,0.1341
647,168000,0.045
655,170000,0.1437
663,172000,0.0
670,174000,0.0486
678,176000,0.0425
687,178000,0.1696
694,180000,0.0
703,182000,0.1574
710,184000,0.0414
718,186000,0.0
727,188000,0.2526
737,190000,0.2517
744,192000,0.0333
752,194000,0.0
761,196000,0.1667
770,198000,0.2293
778,200000,0.0842
786,202000,0.0933
793,204000,0.0
801,206000,0.0
809,208000,0.165
817,210000,0.0
826,212000,0.1533
834,214000,0.1588
842,216000,0.0504
849,218000,0.0
858,220000,0.1585
866,222000,0.1787
875,224000,0.1233
884,226000,0.1933
892,228000,0.1496
900,230000,0.0775
909,232000,0.1474
919,234000,0.284
927,236000,0.0992
935,238000,0.1033
944,240000,0.1744
953,242000,0.1456
960,244000,0.0
969,246000,0.1726
976,248000,0.0
984,250000,0.0758
992,252000,0.1267
1003,254000,0.3082
1011,256000,0.0954
1019,258000,0.115
1030,260000,0.3009
1039,262000,0.2489
1049,264000,0.2313
1058,266000,0.24
1067,268000,0.1637
1076,270000,0.2189
1085,272000,0.2452
1094,274000,0.1226
1103,276000,0.2085
1112,278000,0.2437
1122,280000,0.207
1129,282000,0.0557
1140,284000,0.2903
1148,286000,0.1183
1158,288000,0.224
1168,290000,0.3483
1179,292000,0.3494
1187,294000,0.0554
1194,296000,0.0
1203,298000,0.1456
1212,300000,0.1733
1223,302000,0.3567
1231,304000,0.1508
1240,306000,0.0911
1248,308000,0.1583
1258,310000,0.307
1269,312000,0.327
1281,314000,0.3572
1293,316000,0.4344
1303,318000,0.2873
1316,320000,0.4146
1325,322000,0.2385
1335,324000,0.2463
1345,326000,0.232
1354,328000,0.2041
1362,330000,0.1883
1373,332000,0.3203
1385,334000,0.3589
1393,336000,0.1717
1402,338000,0.177
1412,340000,0.2377
1423,342000,0.3352
1432,344000,0.2837
1441,346000,0.1867
1453,348000,0.3231
1465,350000,0.4006
1474,352000,0.193
1482,354000,0.1779
1493,356000,0.3515
1503,358000,0.2167
1510,360000,0.0538
1520,362000,0.2163
1530,364000,0.2467
1538,366000,0.1638
1547,368000,0.1004
1555,370000,0.115
1566,372000,0.3282
1576,374000,0.3397
1586,376000,0.239
1597,378000,0.3191
1608,380000,0.3448
1616,382000,0.185
1629,384000,0.4269
1637,386000,0.0583
1646,388000,0.1856
1654,390000,0.1037
1661,392000,0.0
1670,394000,0.1481
1678,396000,0.1537
1689,398000,0.3052
1698,400000,0.197
1711,402000,0.4577
1722,404000,0.3415
1731,406000,0.2267
1742,408000,0.2973
1752,410000,0.2977
1761,412000,0.2415
1773,414000,0.3419
1782,416000,0.2515
1791,418000,0.2163
1803,420000,0.335
1812,422000,0.2319
1822,424000,0.319
1833,426000,0.3148
1841,428000,0.0854
1852,430000,0.3721
1861,432000,0.1807
1873,434000,0.3825
1884,436000,0.3961
1896,438000,0.3447
1904,440000,0.0929
1915,442000,0.3303
1923,444000,0.1787
1935,446000,0.3506
1944,448000,0.2278
1955,450000,0.3245
1965,452000,0.2493
1977,454000,0.4831
1987,456000,0.2287
1998,458000,0.3085
2014,460000,0.5413
2025,462000,0.3752
2034,464000,0.2104
2045,466000,0.3252
2055,468000,0.3493
2069,470000,0.4274
2079,472000,0.2737
2091,474000,0.4364
2105,476000,0.4929
2118,478000,0.4621
2127,480000,0.1841
2137,482000,0.2053
2147,484000,0.2823
2159,486000,0.3994
2171,488000,0.4089
2182,490000,0.3415
2196,492000,0.5162
2210,494000,0.451
2224,496000,0.5076
2233,498000,0.2274
2244,500000,0.3218
2256,502000,0.4144
2265,504000,0.1526
2278,506000,0.4838
2290,508000,0.3633
2301,510000,0.3615
2320,512000,0.5935
2330,514000,0.344
2342,516000,0.3772
2355,518000,0.4456
2369,520000,0.484
2385,522000,0.5392
2397,524000,0.4561
2414,526000,0.5259
2425,528000,0.357
2440,530000,0.5142
2455,532000,0.5267
2469,534000,0.4971
2483,536000,0.4929
2495,538000,0.4561
2508,540000,0.3959
2519,542000,0.3561
2528,544000,0.1915
2541,546000,0.4308
2551,548000,0.3447
2565,550000,0.5036
2575,552000,0.26
2597,554000,0.6555
2610,556000,0.4313
2621,558000,0.3761
2639,560000,0.5893
2658,562000,0.6309
2669,564000,0.3809
2679,566000,0.2737
2692,568000,0.4636
2710,570000,0.5589
2720,572000,0.3037
2740,574000,0.6463
2754,576000,0.496
2770,578000,0.5715
2783,580000,0.471
2800,582000,0.5535
2813,584000,0.5167
2827,586000,0.4493
2840,588000,0.4203
2854,590000,0.5181
2870,592000,0.5519
2884,594000,0.5155
2902,596000,0.6228
2916,598000,0.4293
2935,600000,0.6298
2951,602000,0.5652
2971,604000,0.6625
2984,606000,0.5026
3003,608000,0.6065
3017,610000,0.4633
3039,612000,0.6817
3055,614000,0.5846
3073,616000,0.6369
3086,618000,0.3979
3103,620000,0.5743
3115,622000,0.4428
3136,624000,0.6611
3159,626000,0.6836
3175,628000,0.5508
3189,630000,0.5231
3199,632000,0.2953
3217,634000,0.5748
