episode,timestep,reward
21,2000,0.0
66,4000,0.0
103,6000,0.0
133,8000,0.0
195,10000,0.0
267,12000,0.0
380,14000,0.0
449,16000,0.0
543,18000,0.0
628,20000,0.0
681,22000,0.0
732,24000,0.0
753,26000,0.0
789,28000,0.0
802,30000,0.0
816,32000,0.0
826,34000,0.0
836,36000,0.0
852,38000,0.0
862,40000,0.0
868,42000,0.0
878,44000,0.0
887,46000,0.0
896,48000,0.0
902,50000,0.0
910,52000,0.0
918,54000,0.0
924,56000,0.0
930,58000,0.0
938,60000,0.0
945,62000,0.0
952,64000,0.0
959,66000,0.0
966,68000,0.0
972,70000,0.0
979,72000,0.0
986,74000,0.0
992,76000,0.0
998,78000,0.0
1004,80000,0.0
1010,82000,0.0
1017,84000,0.0
1023,86000,0.0
1029,88000,0.0
1036,90000,0.0
1043,92000,0.0
1049,94000,0.0
1056,96000,0.0
1062,98000,0.0
1068,100000,0.0
1074,102000,0.0
1080,104000,0.0
1087,106000,0.0
1093,108000,0.0
1100,110000,0.0
1107,112000,0.0
1113,114000,0.0
1120,116000,0.0
1126,118000,0.0
1132,120000,0.0
1139,122000,0.0
1146,124000,0.0
1154,126000,0.0865
1160,128000,0.0
1166,130000,0.0
1173,132000,0.0
1179,134000,0.0
1186,136000,0.0
1194,138000,0.0
1200,140000,0.0
1206,142000,0.0
1213,144000,0.0
1219,146000,0.0
1226,148000,0.0
1233,150000,0.0
1242,152000,0.0
1249,154000,0.0
1256,156000,0.0
1262,158000,0.0
1268,160000,0.0
1275,162000,0.0
1282,164000,0.0
1288,166000,0.0
1296,168000,0.0
1303,170000,0.0
1309,172000,0.0
1316,174000,0.0
1322,176000,0.0
1328,178000,0.0
1334,180000,0.0
1342,182000,0.0
1349,184000,0.0
1355,186000,0.0
1361,188000,0.0
1368,190000,0.0
1375,192000,0.0
1382,194000,0.0
1388,196000,0.0
1394,198000,0.0
1401,200000,0.0
1408,202000,0.0
1414,204000,0.0
1421,206000,0.0
1428,208000,0.0
1435,210000,0.0
1441,212000,0.0
1450,214000,0.0
1456,216000,0.0
1462,218000,0.0
1469,220000,0.0
1475,222000,0.0
1482,224000,0.0
1488,226000,0.0
1495,228000,0.0
1501,230000,0.0
1508,232000,0.0
1515,234000,0.0
1521,236000,0.0
1527,238000,0.0
1533,240000,0.0
1539,242000,0.0
1546,244000,0.0
1552,246000,0.0
1558,248000,0.0
1565,250000,0.0
1571,252000,0.0
1577,254000,0.0
1584,256000,0.0
1590,258000,0.0
1596,260000,0.0
1602,262000,0.0
1608,264000,0.0
1616,266000,0.0
1622,268000,0.0
1628,270000,0.0
1635,272000,0.0
1641,274000,0.0
1648,276000,0.0
1654,278000,0.0
1661,280000,0.0
1667,282000,0.0
1675,284000,0.0
1681,286000,0.0
1687,288000,0.0
1694,290000,0.0
1700,292000,0.0
1707,294000,0.0
1713,296000,0.0
1719,298000,0.0
1725,300000,0.0
1732,302000,0.0579
1738,304000,0.0
1744,306000,0.0
1751,308000,0.0
1757,310000,0.0
1763,312000,0.0694
1770,314000,0.0
1777,316000,0.0
1784,318000,0.0
1790,320000,0.0
1796,322000,0.0
1803,324000,0.1167
1810,326000,0.0
1817,328000,0.0837
1825,330000,0.2052
1832,332000,0.0603
1838,334000,0.0
1844,336000,0.0384
1851,338000,0.0492
1858,340000,0.1643
1866,342000,0.2069
1873,344000,0.0
1882,346000,0.1472
1889,348000,0.1079
1895,350000,0.0963
1904,352000,0.2321
1910,354000,0.1144
1919,356000,0.2821
1927,358000,0.0
1935,360000,0.1035
1944,362000,0.0901
1955,364000,0.3066
1964,366000,0.0861
1970,368000,0.1028
1977,370000,0.1095
1989,372000,0.3743
1997,374000,0.1049
2005,376000,0.0931
2012,378000,0.0
2020,380000,0.1156
2030,382000,0.2675
2037,384000,0.0
2045,386000,0.2576
2053,388000,0.1778
2063,390000,0.2428
2073,392000,0.3536
2081,394000,0.1917
2089,396000,0.174
2095,398000,0.0
2103,400000,0.1087
2110,402000,0.1167
2118,404000,0.3309
2128,406000,0.3194
2135,408000,0.0
2143,410000,0.2719
2150,412000,0.0817
2158,414000,0.2205
2167,416000,0.3043
2174,418000,0.098
2182,420000,0.2382
2190,422000,0.3208
2199,424000,0.2821
2212,426000,0.4714
2219,428000,0.0841
2226,430000,0.1222
2236,432000,0.2592
2244,434000,0.1965
2252,436000,0.1611
2259,438000,0.1373
2269,440000,0.3728
2276,442000,0.0187
2284,444000,0.3295
2291,446000,0.0671
2300,448000,0.3602
2311,450000,0.3326
2318,452000,0.0563
2327,454000,0.1898
2334,456000,0.2266
2343,458000,0.2731
2350,460000,0.2087
2361,462000,0.2894
2370,464000,0.2944
2381,466000,0.3399
2389,468000,0.184
2400,470000,0.222
2412,472000,0.4139
2422,474000,0.2889
2433,476000,0.4136
2442,478000,0.1105
2455,480000,0.294
2463,482000,0.1743
2475,484000,0.4343
2483,486000,0.225
2492,488000,0.3225
2498,490000,0.0
2507,492000,0.091
2518,494000,0.3902
2527,496000,0.2633
