episode,timestep,reward
46,2000,0.0
76,4000,0.0
111,6000,0.0
167,8000,0.0155
229,10000,0.0
269,12000,0.0
312,14000,0.0
358,16000,0.0
394,18000,0.0
431,20000,0.0
446,22000,0.0
468,24000,0.0
480,26000,0.0
493,28000,0.0
501,30000,0.0
511,32000,0.0
518,34000,0.0
527,36000,0.0
538,38000,0.0
546,40000,0.0
552,42000,0.0
559,44000,0.0
568,46000,0.0
575,48000,0.0
582,50000,0.0
592,52000,0.0
598,54000,0.0
605,56000,0.0
612,58000,0.0
618,60000,0.0
626,62000,0.0
633,64000,0.0
640,66000,0.0
647,68000,0.0
654,70000,0.0
660,72000,0.0
669,74000,0.0
675,76000,0.0
681,78000,0.0
687,80000,0.0
694,82000,0.0
700,84000,0.0
709,86000,0.0
716,88000,0.0
722,90000,0.0
730,92000,0.0
736,94000,0.0
743,96000,0.0
751,98000,0.0
759,100000,0.0
765,102000,0.0
772,104000,0.0
778,106000,0.0
784,108000,0.0
791,110000,0.0
797,112000,0.0
805,114000,0.0
811,116000,0.0
818,118000,0.0
825,120000,0.0
832,122000,0.0
838,124000,0.0
844,126000,0.0
851,128000,0.0
857,130000,0.0
864,132000,0.0
870,134000,0.0
876,136000,0.0
882,138000,0.0
888,140000,0.0
895,142000,0.0
903,144000,0.0
910,146000,0.0
917,148000,0.0
923,150000,0.0
929,152000,0.0
936,154000,0.0
943,156000,0.0
949,158000,0.0
955,160000,0.0
962,162000,0.0
968,164000,0.0
975,166000,0.0
982,168000,0.0
988,170000,0.0
995,172000,0.0
1002,174000,0.0
1008,176000,0.0
1014,178000,0.0
1020,180000,0.0
1027,182000,0.0
1033,184000,0.0
1039,186000,0.0
1046,188000,0.0
1053,190000,0.0
1059,192000,0.0
1065,194000,0.0
1071,196000,0.0
1078,198000,0.0
1084,200000,0.0
1091,202000,0.0
1098,204000,0.0
1104,206000,0.0
1110,208000,0.0
1116,210000,0.0
1122,212000,0.0
1129,214000,0.0
1135,216000,0.0
1143,218000,0.0
1150,220000,0.0
1156,222000,0.0
1162,224000,0.0
1168,226000,0.0
1175,228000,0.0
1182,230000,0.0
1188,232000,0.0
1195,234000,0.0
1202,236000,0.0
1208,238000,0.0
1215,240000,0.0
1221,242000,0.0
1228,244000,0.0
1234,246000,0.0
1240,248000,0.0
1247,250000,0.0
1254,252000,0.0
1260,254000,0.0
1267,256000,0.0
1274,258000,0.0
1280,260000,0.0
1287,262000,0.0
1294,264000,0.0
1300,266000,0.0
1306,268000,0.0
1312,270000,0.0
1319,272000,0.0
1325,274000,0.0
1332,276000,0.0
1338,278000,0.0
1344,280000,0.0
1350,282000,0.0
1356,284000,0.0
1363,286000,0.0
1369,288000,0.0
1376,290000,0.0
1382,292000,0.0
1388,294000,0.0
1394,296000,0.0
1401,298000,0.0
1409,300000,0.0
1415,302000,0.0
1423,304000,0.0
1429,306000,0.0
1435,308000,0.0
1441,310000,0.0
1448,312000,0.0
1455,314000,0.0
1461,316000,0.0
1469,318000,0.0
1476,320000,0.0
1482,322000,0.0
1489,324000,0.0
1495,326000,0.0
1502,328000,0.0
1508,330000,0.0
1514,332000,0.0
1520,334000,0.0
1526,336000,0.0
1533,338000,0.0
1539,340000,0.0
1546,342000,0.0
1552,344000,0.0
1558,346000,0.0
1564,348000,0.0
1571,350000,0.0
1577,352000,0.0
1585,354000,0.0
1591,356000,0.0
1597,358000,0.0
1604,360000,0.0
1610,362000,0.0
1616,364000,0.0
1622,366000,0.0
1629,368000,0.0
1637,370000,0.0
1644,372000,0.0
1650,374000,0.0
1657,376000,0.0
1663,378000,0.0
1669,380000,0.0
1675,382000,0.0
1681,384000,0.0
1688,386000,0.0
1694,388000,0.0
1701,390000,0.0
1707,392000,0.0
1713,394000,0.0
1720,396000,0.0
1727,398000,0.0
1734,400000,0.0
1740,402000,0.0
1747,404000,0.0
1753,406000,0.0
1759,408000,0.0
1766,410000,0.0
1772,412000,0.0
1779,414000,0.0
1785,416000,0.0
1791,418000,0.0
1799,420000,0.1156
