episode,timestep,reward
38,2000,0.0
87,4000,0.0
118,6000,0.0
154,8000,0.0
170,10000,0.0
180,12000,0.0
187,14000,0.0
196,16000,0.0
204,18000,0.0
212,20000,0.0
221,22000,0.0
231,24000,0.0
237,26000,0.0
243,28000,0.0
252,30000,0.0
260,32000,0.0
270,34000,0.0
280,36000,0.0
287,38000,0.0
294,40000,0.0
301,42000,0.0
310,44000,0.0
318,46000,0.0
326,48000,0.0
332,50000,0.0
341,52000,0.0
348,54000,0.0
356,56000,0.0
362,58000,0.0
368,60000,0.0
377,62000,0.0
385,64000,0.0
391,66000,0.0
397,68000,0.0
404,70000,0.0
412,72000,0.0
419,74000,0.0
428,76000,0.037
434,78000,0.0
440,80000,0.0
447,82000,0.0
453,84000,0.0
462,86000,0.0
469,88000,0.0
475,90000,0.0
481,92000,0.0
487,94000,0.0
494,96000,0.0
500,98000,0.0
506,100000,0.0
513,102000,0.0
519,104000,0.0
525,106000,0.0
532,108000,0.0
538,110000,0.0
545,112000,0.0
551,114000,0.0
557,116000,0.0
564,118000,0.0
570,120000,0.0
577,122000,0.0
583,124000,0.0
589,126000,0.0
596,128000,0.0
602,130000,0.0
609,132000,0.0
616,134000,0.0
623,136000,0.0
629,138000,0.0
635,140000,0.0
642,142000,0.0
648,144000,0.0
655,146000,0.0
661,148000,0.0
667,150000,0.0
674,152000,0.0
680,154000,0.0
687,156000,0.0
693,158000,0.0
699,160000,0.0
705,162000,0.0
712,164000,0.0
718,166000,0.0
724,168000,0.0
730,170000,0.0
737,172000,0.0
743,174000,0.0
750,176000,0.0
757,178000,0.0
763,180000,0.0
769,182000,0.0
776,184000,0.0
783,186000,0.0
789,188000,0.0
796,190000,0.0
802,192000,0.0
808,194000,0.0
815,196000,0.0
823,198000,0.0
829,200000,0.0
836,202000,0.0
843,204000,0.0
850,206000,0.0
857,208000,0.0
864,210000,0.0
870,212000,0.0
876,214000,0.0
883,216000,0.0
889,218000,0.0
895,220000,0.0
901,222000,0.0
908,224000,0.0
914,226000,0.0
921,228000,0.0
927,230000,0.0
933,232000,0.0
941,234000,0.0
948,236000,0.0
954,238000,0.0
960,240000,0.0
966,242000,0.0
972,244000,0.0
979,246000,0.0
985,248000,0.0
991,250000,0.0
998,252000,0.0
1004,254000,0.0
1010,256000,0.0
1016,258000,0.0
1022,260000,0.0
1030,262000,0.0
1037,264000,0.0
1043,266000,0.0
1049,268000,0.0
1055,270000,0.0
1062,272000,0.0
1069,274000,0.0
1075,276000,0.0
1081,278000,0.0
1087,280000,0.0
1093,282000,0.0
1099,284000,0.0
1106,286000,0.0
1112,288000,0.0
1119,290000,0.0
1125,292000,0.0
1131,294000,0.0
1138,296000,0.0
1144,298000,0.0
1150,300000,0.0
1156,302000,0.0
1163,304000,0.0
1169,306000,0.0
1175,308000,0.0
1181,310000,0.0
1187,312000,0.0
1193,314000,0.0
1200,316000,0.0
1206,318000,0.0
1212,320000,0.0
1218,322000,0.0
1224,324000,0.0
1231,326000,0.0
1237,328000,0.0
1244,330000,0.0
1250,332000,0.0
1256,334000,0.0
1263,336000,0.0
1269,338000,0.0
1275,340000,0.0
1282,342000,0.0
1288,344000,0.0
1294,346000,0.0
1301,348000,0.0
1307,350000,0.0
1313,352000,0.0
1319,354000,0.0
1325,356000,0.0
1332,358000,0.0
1338,360000,0.0
1344,362000,0.0
1351,364000,0.0
1357,366000,0.0
1364,368000,0.0
1370,370000,0.0
1378,372000,0.0
1385,374000,0.0
1391,376000,0.0
1397,378000,0.0
1404,380000,0.0
1410,382000,0.0
1417,384000,0.0
1423,386000,0.0
1430,388000,0.0
1436,390000,0.0
1442,392000,0.0
1449,394000,0.0
1456,396000,0.0
1463,398000,0.0
1469,400000,0.0
1475,402000,0.0
1481,404000,0.0
1487,406000,0.0
1493,408000,0.0
1500,410000,0.0
1506,412000,0.0
1512,414000,0.0
1518,416000,0.0
1524,418000,0.0
1531,420000,0.0
1537,422000,0.0
1543,424000,0.0
1549,426000,0.0
1555,428000,0.0
1561,430000,0.0
1568,432000,0.0
1574,434000,0.0
1580,436000,0.0
1586,438000,0.0
1592,440000,0.0
1599,442000,0.0
1605,444000,0.0
1611,446000,0.0
1618,448000,0.0
1624,450000,0.0
1631,452000,0.0
1637,454000,0.0
1643,456000,0.0
1649,458000,0.0
1655,460000,0.0
1661,462000,0.0
1668,464000,0.0
1674,466000,0.0
1680,468000,0.0
1686,470000,0.0
1693,472000,0.0
1700,474000,0.0
1706,476000,0.0
1712,478000,0.0
1719,480000,0.0
1725,482000,0.0
1731,484000,0.0
