episode,timestep,reward
38,2000,0.0
87,4000,0.0
106,6000,0.0
140,8000,0.0
161,10000,0.0
171,12000,0.0
179,14000,0.0
187,16000,0.0
194,18000,0.0
201,20000,0.0
208,22000,0.0
215,24000,0.0
222,26000,0.0
229,28000,0.0
238,30000,0.0
245,32000,0.0
252,34000,0.0
259,36000,0.0
267,38000,0.0
273,40000,0.0
282,42000,0.0
293,44000,0.0
300,46000,0.0
307,48000,0.0
316,50000,0.0
322,52000,0.0
329,54000,0.0
335,56000,0.0
344,58000,0.0
350,60000,0.0
356,62000,0.0
363,64000,0.0
370,66000,0.0
376,68000,0.0
382,70000,0.0
389,72000,0.0
396,74000,0.0
403,76000,0.0
410,78000,0.0
416,80000,0.0
423,82000,0.0
430,84000,0.0
436,86000,0.0
443,88000,0.0
449,90000,0.0
455,92000,0.0
463,94000,0.0
469,96000,0.0
476,98000,0.0
484,100000,0.0
491,102000,0.0
497,104000,0.0
505,106000,0.0
511,108000,0.0
517,110000,0.0
524,112000,0.0
530,114000,0.0
536,116000,0.0
543,118000,0.0
549,120000,0.0
555,122000,0.0
561,124000,0.0
568,126000,0.0
574,128000,0.0
581,130000,0.0
587,132000,0.0
594,134000,0.0
601,136000,0.0
607,138000,0.0
613,140000,0.0
621,142000,0.0
628,144000,0.0
634,146000,0.0
641,148000,0.0
647,150000,0.0
653,152000,0.0
660,154000,0.0
666,156000,0.0
673,158000,0.0
679,160000,0.0
685,162000,0.0
692,164000,0.0
699,166000,0.0
705,168000,0.0
711,170000,0.0
718,172000,0.0
724,174000,0.0
730,176000,0.0
736,178000,0.0
742,180000,0.0
749,182000,0.0
755,184000,0.0
761,186000,0.0
768,188000,0.0
775,190000,0.0
781,192000,0.0
788,194000,0.0
794,196000,0.0
802,198000,0.0
809,200000,0.0
816,202000,0.0
823,204000,0.0
829,206000,0.0
835,208000,0.0
841,210000,0.0
847,212000,0.0
854,214000,0.0
860,216000,0.0
868,218000,0.0
875,220000,0.0
881,222000,0.0
888,224000,0.0
894,226000,0.0
900,228000,0.0
906,230000,0.0
912,232000,0.0
920,234000,0.0
926,236000,0.0
932,238000,0.0
939,240000,0.0
946,242000,0.0
952,244000,0.0
958,246000,0.0
964,248000,0.0
970,250000,0.0
977,252000,0.0
984,254000,0.0
990,256000,0.0
996,258000,0.0
1002,260000,0.0
1008,262000,0.0
1016,264000,0.0
1022,266000,0.0
1028,268000,0.0
1034,270000,0.0
1040,272000,0.0
1047,274000,0.0
1054,276000,0.0
1060,278000,0.0
1067,280000,0.0
1073,282000,0.0
1079,284000,0.0
1085,286000,0.0
1092,288000,0.0
1098,290000,0.0
1105,292000,0.0
1112,294000,0.0
1119,296000,0.0
1125,298000,0.0
1132,300000,0.0
1138,302000,0.0
1144,304000,0.0
1150,306000,0.0
1156,308000,0.0
1163,310000,0.0
1169,312000,0.0
1175,314000,0.0
1182,316000,0.0
1188,318000,0.0
1194,320000,0.0
1200,322000,0.0
1207,324000,0.0
1213,326000,0.0
1219,328000,0.0
1225,330000,0.0
1233,332000,0.0
1239,334000,0.0
1245,336000,0.0
1251,338000,0.0
1258,340000,0.0
1264,342000,0.0
1271,344000,0.0
1278,346000,0.0
1284,348000,0.0
1290,350000,0.0
1296,352000,0.0
1302,354000,0.0
1309,356000,0.0
1315,358000,0.0
1321,360000,0.0
1327,362000,0.0
1333,364000,0.0
1339,366000,0.0
1346,368000,0.0
1352,370000,0.0
1358,372000,0.0
1364,374000,0.0
1371,376000,0.0
1378,378000,0.0
1384,380000,0.0
1390,382000,0.0
1396,384000,0.0
1403,386000,0.0
1409,388000,0.0
1415,390000,0.0
1421,392000,0.0
1427,394000,0.0
1434,396000,0.0
1440,398000,0.0
1446,400000,0.0
1452,402000,0.0
1459,404000,0.0
1466,406000,0.0
1472,408000,0.0
1479,410000,0.0
1485,412000,0.0
1492,414000,0.0
1498,416000,0.0
1505,418000,0.0
1511,420000,0.0
1518,422000,0.0
1525,424000,0.0
1532,426000,0.0
1538,428000,0.0
1545,430000,0.0
1551,432000,0.0
1558,434000,0.0
1564,436000,0.0
1570,438000,0.0
1576,440000,0.0
1583,442000,0.0
1589,444000,0.0
1595,446000,0.0
1602,448000,0.0
1609,450000,0.0
1617,452000,0.0
1624,454000,0.0
1631,456000,0.0
1637,458000,0.0
1643,460000,0.0
1649,462000,0.0
1657,464000,0.0
1663,466000,0.0
1670,468000,0.0
1676,470000,0.0
1682,472000,0.0
1690,474000,0.0
1699,476000,0.0
1706,478000,0.0
1714,480000,0.0
1720,482000,0.0
1726,484000,0.0
