episode,timestep,reward
21,2000,0.0
66,4000,0.0
100,6000,0.0
127,8000,0.0
197,10000,0.0
271,12000,0.0
400,14000,0.0
542,16000,0.0
672,18000,0.0
802,20000,0.0
877,22000,0.0
954,24000,0.0
995,26000,0.0
1046,28000,0.0
1075,30000,0.0
1099,32000,0.0066
1111,34000,0.0
1127,36000,0.0
1134,38000,0.0
1147,40000,0.0
1156,42000,0.034
1168,44000,0.0
1176,46000,0.0
1187,48000,0.0
1195,50000,0.0625
1205,52000,0.0
1215,54000,0.0
1223,56000,0.0
1232,58000,0.075
1241,60000,0.0
1247,62000,0.0296
1257,64000,0.0
1266,66000,0.0
1275,68000,0.0
1285,70000,0.0308
1292,72000,0.0
1298,74000,0.0
1304,76000,0.0
1314,78000,0.0
1323,80000,0.0
1330,82000,0.0
1337,84000,0.0
1345,86000,0.0
1352,88000,0.0
1358,90000,0.0
1365,92000,0.0433
1373,94000,0.0
1380,96000,0.0377
1388,98000,0.0802
1395,100000,0.0571
1403,102000,0.0
1411,104000,0.0
1418,106000,0.0
1425,108000,0.0397
1432,110000,0.0
1439,112000,0.0528
1445,114000,0.0
1455,116000,0.1289
1461,118000,0.0
1467,120000,0.0194
1474,122000,0.0
1482,124000,0.0444
1489,126000,0.0
1497,128000,0.0
1506,130000,0.2466
1514,132000,0.142
1525,134000,0.1556
1532,136000,0.1718
1541,138000,0.2614
1548,140000,0.2853
1558,142000,0.1683
1564,144000,0.0713
1576,146000,0.3926
1584,148000,0.0844
1594,150000,0.3469
1604,152000,0.1642
1616,154000,0.3998
1626,156000,0.1114
1636,158000,0.2219
1646,160000,0.3178
1654,162000,0.1427
1665,164000,0.3586
1675,166000,0.3794
1684,168000,0.3599
1695,170000,0.3838
1705,172000,0.3267
1717,174000,0.4475
1731,176000,0.5294
1740,178000,0.3923
1751,180000,0.3449
1763,182000,0.4477
1773,184000,0.2853
1781,186000,0.3076
1791,188000,0.3114
1803,190000,0.4826
1817,192000,0.5625
1824,194000,0.2147
1831,196000,0.1734
1840,198000,0.166
1851,200000,0.4162
1865,202000,0.521
1876,204000,0.2833
1893,206000,0.5158
1907,208000,0.3319
1923,210000,0.5724
1933,212000,0.3608
1944,214000,0.3152
1960,216000,0.5432
1975,218000,0.4702
1987,220000,0.5282
1998,222000,0.3826
2009,224000,0.4576
2021,226000,0.3153
2040,228000,0.6917
2057,230000,0.4868
2074,232000,0.6458
2083,234000,0.2645
2098,236000,0.4309
2108,238000,0.3342
2120,240000,0.4062
2134,242000,0.4421
2145,244000,0.3952
2155,246000,0.2031
2165,248000,0.2989
2175,250000,0.3217
2185,252000,0.3136
2198,254000,0.4222
2209,256000,0.4505
2219,258000,0.3431
2232,260000,0.2615
2244,262000,0.5419
2263,264000,0.6655
2271,266000,0.2247
2283,268000,0.4764
2303,270000,0.5267
2315,272000,0.2451
2326,274000,0.4644
2345,276000,0.6513
2363,278000,0.5906
2388,280000,0.6529
2400,282000,0.5167
2414,284000,0.5548
2436,286000,0.6713
2449,288000,0.5524
2457,290000,0.2743
2467,292000,0.3758
2483,294000,0.5365
2492,296000,0.3907
2505,298000,0.4996
2518,300000,0.5109
2529,302000,0.5129
2543,304000,0.5175
2556,306000,0.5515
2576,308000,0.699
2586,310000,0.3311
2598,312000,0.4877
2617,314000,0.7041
2634,316000,0.632
2643,318000,0.3756
2661,320000,0.6137
2683,322000,0.7332
2693,324000,0.4106
2712,326000,0.7079
2725,328000,0.5295
2736,330000,0.526
2753,332000,0.593
2769,334000,0.634
2784,336000,0.618
2801,338000,0.6384
2811,340000,0.4372
2826,342000,0.5817
2841,344000,0.5657
2852,346000,0.375
2863,348000,0.4268
2876,350000,0.5949
2886,352000,0.2831
2894,354000,0.2642
2906,356000,0.4053
2922,358000,0.6135
2934,360000,0.5081
2944,362000,0.3342
2956,364000,0.3414
2968,366000,0.475
2980,368000,0.4194
2992,370000,0.5352
3003,372000,0.3008
3014,374000,0.3816
3028,376000,0.5466
3039,378000,0.4634
3051,380000,0.5245
3063,382000,0.4252
3073,384000,0.4003
3084,386000,0.4447
3097,388000,0.5248
3111,390000,0.5262
3126,392000,0.4396
3142,394000,0.5389
3154,396000,0.5155
3165,398000,0.4778
3180,400000,0.5393
3195,402000,0.543
3206,404000,0.4336
3215,406000,0.3941
3224,408000,0.2846
3237,410000,0.2585
3248,412000,0.4699
3257,414000,0.3191
3267,416000,0.4392
3283,418000,0.5108
3300,420000,0.6454
3312,422000,0.4778
3320,424000,0.2733
3331,426000,0.4631
3342,428000,0.3253
3361,430000,0.6791
3372,432000,0.4381
3391,434000,0.6458
3408,436000,0.5721
3428,438000,0.6824
3448,440000,0.6947
3456,442000,0.234
3476,444000,0.5529
3490,446000,0.5565
3510,448000,0.5935
3527,450000,0.5042
3541,452000,0.5365
3554,454000,0.563
3567,456000,0.5515
3577,458000,0.3939
3593,460000,0.5823
3610,462000,0.7137
3625,464000,0.4302
3646,466000,0.7212
3661,468000,0.5417
3675,470000,0.576
3685,472000,0.3433
