episode,timestep,reward
3,2000,0.0
5,4000,0.0
8,6000,0.0
10,8000,0.0
14,10000,0.0
18,12000,0.0
20,14000,0.0
23,16000,0.452
26,18000,0.0
30,20000,0.1604
34,22000,0.0964
37,24000,0.0
42,26000,0.1498
47,28000,0.3218
53,30000,0.3733
56,32000,0.0
63,34000,0.2526
68,36000,0.4729
77,38000,0.6168
84,40000,0.3551
91,42000,0.2955
100,44000,0.2638
109,46000,0.2999
116,48000,0.3537
128,50000,0.5622
133,52000,0.4481
145,54000,0.6508
167,56000,0.3154
191,58000,0.4959
217,60000,0.4509
242,62000,0.5145
280,64000,0.416
309,66000,0.6467
352,68000,0.4202
401,70000,0.409
447,72000,0.4771
490,74000,0.6237
528,76000,0.4467
585,78000,0.4552
642,80000,0.4567
705,82000,0.4755
757,84000,0.4993
812,86000,0.5617
866,88000,0.5536
916,90000,0.4808
951,92000,0.5356
1012,94000,0.4589
1072,96000,0.5652
1131,98000,0.6069
1186,100000,0.4722
1247,102000,0.5723
1304,104000,0.4749
1369,106000,0.462
1425,108000,0.5003
1471,110000,0.5421
1531,112000,0.515
1587,114000,0.5518
1639,116000,0.6704
1700,118000,0.5076
1764,120000,0.454
1820,122000,0.5187
1875,124000,0.5086
1932,126000,0.4913
1998,128000,0.5293
2055,130000,0.5427
2122,132000,0.4194
2182,134000,0.5982
2233,136000,0.5304
2269,138000,0.5651
2331,140000,0.5474
2388,142000,0.5604
2452,144000,0.5604
2499,146000,0.5315
2562,148000,0.507
2626,150000,0.5453
2687,152000,0.5256
2753,154000,0.5294
2820,156000,0.5518
2881,158000,0.509
2939,160000,0.5843
3005,162000,0.3807
3063,164000,0.484
3123,166000,0.5814
3175,168000,0.518
3236,170000,0.4284
3293,172000,0.5429
3354,174000,0.492
3406,176000,0.5939
3460,178000,0.6458
3532,180000,0.4188
3592,182000,0.5481
3649,184000,0.5075
3723,186000,0.4208
3791,188000,0.412
3850,190000,0.4904
3910,192000,0.5332
3967,194000,0.5268
4015,196000,0.498
4083,198000,0.4716
4146,200000,0.4464
4219,202000,0.4526
4280,204000,0.4758
4346,206000,0.5292
4408,208000,0.4847
4469,210000,0.573
4539,212000,0.4582
4603,214000,0.5001
4654,216000,0.6454
4712,218000,0.5857
4770,220000,0.5499
4835,222000,0.5673
4894,224000,0.5424
4958,226000,0.485
5026,228000,0.4711
5086,230000,0.5479
5144,232000,0.552
5201,234000,0.5606
5261,236000,0.4518
5312,238000,0.5859
5370,240000,0.5844
5430,242000,0.5989
5495,244000,0.5227
5569,246000,0.4337
5627,248000,0.704
5692,250000,0.4771
5730,252000,0.562
5791,254000,0.5634
5852,256000,0.5724
5910,258000,0.6692
5969,260000,0.5578
6026,262000,0.5781
6082,264000,0.6562
6145,266000,0.4614
6204,268000,0.625
6263,270000,0.6584
6315,272000,0.539
6367,274000,0.6118
6420,276000,0.6018
6472,278000,0.6325
6524,280000,0.67
6585,282000,0.6027
6645,284000,0.5655
6708,286000,0.5394
6762,288000,0.6827
6819,290000,0.6638
6861,292000,0.7091
6922,294000,0.6049
6991,296000,0.607
7042,298000,0.78
7110,300000,0.4858
7158,302000,0.6829
7211,304000,0.6388
7259,306000,0.5813
7313,308000,0.5537
7365,310000,0.6888
7421,312000,0.569
7478,314000,0.6123
7525,316000,0.6372
7576,318000,0.662
7623,320000,0.5717
7669,322000,0.69
7719,324000,0.6209
7763,326000,0.785
7812,328000,0.7502
7869,330000,0.6119
7920,332000,0.6439
7959,334000,0.6858
8002,336000,0.5594
8058,338000,0.6237
8112,340000,0.6633
8153,342000,0.7247
8204,344000,0.8174
8245,346000,0.7502
8296,348000,0.5485
8335,350000,0.6862
8378,352000,0.7182
8439,354000,0.6535
8484,356000,0.7941
8545,358000,0.6534
8604,360000,0.5925
8666,362000,0.6279
8727,364000,0.5724
8774,366000,0.656
8823,368000,0.7297
8858,370000,0.684
8917,372000,0.6908
8957,374000,0.7679
9006,376000,0.6101
9057,378000,0.6634
9106,380000,0.6297
9153,382000,0.6152
9196,384000,0.7205
9240,386000,0.8317
9273,388000,0.7179
9321,390000,0.6856
9369,392000,0.7028
9418,394000,0.7309
9465,396000,0.6774
9511,398000,0.6535
9565,400000,0.7324
9598,402000,0.6885
9644,404000,0.6486
9681,406000,0.748
9734,408000,0.7139
9780,410000,0.8185
9841,412000,0.6049
9888,414000,0.6785
9931,416000,0.7605
9982,418000,0.6444
10027,420000,0.7076
10069,422000,0.6582
10111,424000,0.7582
10153,426000,0.6854
10195,428000,0.7358
10250,430000,0.7765
10301,432000,0.6645
10348,434000,0.6778
10397,436000,0.8079
10446,438000,0.6916
10498,440000,0.7273
10545,442000,0.8444
10591,444000,0.8408
10617,446000,0.7806
10673,448000,0.7282
10723,450000,0.6955
10774,452000,0.7983
10828,454000,0.7541
10870,456000,0.7579
10917,458000,0.656
10961,460000,0.7678
11012,462000,0.7782
11063,464000,0.7401
11111,466000,0.8072
11161,468000,0.8139
11225,470000,0.6998
11280,472000,0.6518
11336,474000,0.7452
11392,476000,0.7102
11449,478000,0.7321
11504,480000,0.7954
11552,482000,0.8473
11605,484000,0.7682
11661,486000,0.7271
11704,488000,0.783
11753,490000,0.7696
11799,492000,0.8001
11853,494000,0.7905
11902,496000,0.8911
11952,498000,0.8138
11998,500000,0.8225
12043,502000,0.8113
12090,504000,0.801
12142,506000,0.7451
12198,508000,0.7797
12224,510000,0.9089
12257,512000,0.7189
12302,514000,0.8346
12339,516000,0.7753
12376,518000,0.8822
12423,520000,0.7808
12459,522000,0.8516
12496,524000,0.8546
12519,526000,0.8671
12535,528000,0.6057
12579,530000,0.847
12626,532000,0.7605
12654,534000,0.7404
12677,536000,0.8064
12712,538000,0.7122
12751,540000,0.783
12781,542000,0.9202
12804,544000,0.7684
12830,546000,0.8015
12857,548000,0.8677
12873,550000,0.7908
12907,552000,0.781
12933,554000,0.7226
12968,556000,0.6206
12988,558000,0.8309
13028,560000,0.8157
13065,562000,0.7251
13097,564000,0.8327
13114,566000,0.6543
13146,568000,0.8405
13173,570000,0.6955
13201,572000,0.8441
13240,574000,0.8099
13276,576000,0.6383
13295,578000,0.8166
13309,580000,0.7488
13335,582000,0.7203
13365,584000,0.7881
13397,586000,0.8328
13426,588000,0.7615
13467,590000,0.6486
13512,592000,0.7101
13551,594000,0.8067
13584,596000,0.751
13618,598000,0.6982
13639,600000,0.6526
13689,602000,0.676
13728,604000,0.7616
13760,606000,0.8638
13789,608000,0.8519
13816,610000,0.8151
13850,612000,0.7424
13880,614000,0.8269
13921,616000,0.8171
13972,618000,0.7388
14014,620000,0.7578
14042,622000,0.8433
14074,624000,0.7404
14096,626000,0.7886
14135,628000,0.8625
14177,630000,0.7802
14218,632000,0.7482
14249,634000,0.8104
14286,636000,0.8603
14328,638000,0.826
14381,640000,0.75
14428,642000,0.7597
14469,644000,0.8485
14505,646000,0.8794
14551,648000,0.8402
14599,650000,0.8066
14641,652000,0.8252
14686,654000,0.8585
14732,656000,0.8422
14772,658000,0.9165
14806,660000,0.8997
14852,662000,0.8831
14889,664000,0.7473
14929,666000,0.8209
14978,668000,0.8682
15039,670000,0.8298
15092,672000,0.8241
15143,674000,0.8749
15196,676000,0.7868
15236,678000,0.8408
15279,680000,0.8751
15319,682000,0.9154
15360,684000,0.9177
15405,686000,0.9253
15449,688000,0.7432
15505,690000,0.8156
15560,692000,0.8128
15607,694000,0.9066
15643,696000,0.7707
15696,698000,0.7469
15744,700000,0.8683
15795,702000,0.8743
15836,704000,0.8935
15881,706000,0.8801
15910,708000,0.8849
15959,710000,0.8498
16014,712000,0.8482
16065,714000,0.9141
16113,716000,0.9091
16166,718000,0.9171
16225,720000,0.8433
16277,722000,0.839
16332,724000,0.8658
16387,726000,0.8306
16439,728000,0.8395
16493,730000,0.9376
16555,732000,0.8811
16610,734000,0.83
16669,736000,0.7579
16724,738000,0.8488
16782,740000,0.8384
16833,742000,0.7789
16886,744000,0.843
16935,746000,0.8286
16981,748000,0.8192
17026,750000,0.9025
17073,752000,0.8431
17117,754000,0.8558
17160,756000,0.9437
17202,758000,0.8733
17248,760000,0.8616
17297,762000,0.8696
17342,764000,0.8149
17390,766000,0.7646
17443,768000,0.7668
17478,770000,0.848
17520,772000,0.9184
17573,774000,0.8419
17616,776000,0.8981
17670,778000,0.7724
17722,780000,0.8391
17772,782000,0.8132
17820,784000,0.8463
17871,786000,0.8752
17920,788000,0.8709
17965,790000,0.8592
18014,792000,0.8516
18056,794000,0.9181
18110,796000,0.8085
18158,798000,0.8675
18205,800000,0.823
18258,802000,0.8612
18310,804000,0.9345
18354,806000,0.8815
18396,808000,0.7981
18451,810000,0.8668
18505,812000,0.8822
18561,814000,0.8334
18618,816000,0.8013
18669,818000,0.8363
18726,820000,0.9057
18783,822000,0.7843
18831,824000,0.8466
18880,826000,0.93
18925,828000,0.9474
18972,830000,0.8862
19031,832000,0.9085
19057,834000,0.8974
19118,836000,0.8626
19178,838000,0.8282
19242,840000,0.8385
19296,842000,0.8468
19325,844000,0.8713
19383,846000,0.8735
19439,848000,0.9038
19497,850000,0.822
19555,852000,0.8392
19612,854000,0.7845
19645,856000,0.7979
19680,858000,0.8294
19698,860000,0.7573
19749,862000,0.8375
19800,864000,0.9531
19843,866000,0.852
19893,868000,0.8932
19957,870000,0.8071
20014,872000,0.8536
20074,874000,0.8606
20125,876000,0.895
20177,878000,0.9158
20227,880000,0.9519
20284,882000,0.8535
20334,884000,0.9119
20390,886000,0.8507
20440,888000,0.8729
20502,890000,0.8011
20553,892000,0.8951
20607,894000,0.9007
20663,896000,0.8681
20720,898000,0.8362
20776,900000,0.9034
20836,902000,0.8938
20896,904000,0.8773
20956,906000,0.9271
21016,908000,0.91
21078,910000,0.8493
21111,912000,0.9182
21174,914000,0.8516
21234,916000,0.9098
21297,918000,0.8837
21359,920000,0.913
21417,922000,0.873
21475,924000,0.8905
21539,926000,0.8689
21601,928000,0.881
21655,930000,0.8457
21715,932000,0.8948
21771,934000,0.9567
21828,936000,0.8888
21887,938000,0.892
21950,940000,0.8051
22012,942000,0.8494
22074,944000,0.833
22131,946000,0.958
22189,948000,0.8565
22240,950000,0.9144
22292,952000,0.9539
22351,954000,0.9087
22407,956000,0.8687
22466,958000,0.8582
22516,960000,0.9326
22572,962000,0.8862
22627,964000,0.8485
22684,966000,0.9413
22744,968000,0.9265
22797,970000,0.9364
22859,972000,0.8805
22920,974000,0.8798
22984,976000,0.8542
23043,978000,0.876
23098,980000,0.849
23154,982000,0.9221
23214,984000,0.8442
23264,986000,0.892
23317,988000,0.8987
23376,990000,0.892
23430,992000,0.8643
23493,994000,0.9142
23554,996000,0.8152
23612,998000,0.8903
23669,1000000,0.9405
