episode,timestep,reward
2,2000,0.0
5,4000,0.0
8,6000,0.1447
11,8000,0.0
15,10000,0.0
19,12000,0.3513
21,14000,0.0
24,16000,0.1871
27,18000,0.1388
31,20000,0.1046
34,22000,0.3444
39,24000,0.0737
47,26000,0.2217
51,28000,0.4693
54,30000,0.1965
59,32000,0.2926
64,34000,0.3464
68,36000,0.2219
76,38000,0.2999
86,40000,0.3478
92,42000,0.2808
95,44000,0.2574
101,46000,0.0983
106,48000,0.1588
118,50000,0.2657
121,52000,0.4264
133,54000,0.381
144,56000,0.308
163,58000,0.2704
173,60000,0.1492
177,62000,0.0
187,64000,0.364
202,66000,0.2935
210,68000,0.5372
227,70000,0.5128
241,72000,0.5053
257,74000,0.5502
263,76000,0.2672
294,78000,0.3887
320,80000,0.5339
331,82000,0.3718
346,84000,0.4376
382,86000,0.4184
394,88000,0.5241
414,90000,0.641
433,92000,0.398
458,94000,0.4537
488,96000,0.4414
543,98000,0.2346
570,100000,0.4767
599,102000,0.4787
631,104000,0.5254
671,106000,0.5234
707,108000,0.5243
746,110000,0.4819
787,112000,0.6044
809,114000,0.4277
853,116000,0.6324
899,118000,0.5175
937,120000,0.5753
977,122000,0.5704
1004,124000,0.5014
1043,126000,0.4671
1083,128000,0.5771
1138,130000,0.5614
1193,132000,0.5438
1243,134000,0.4774
1298,136000,0.5088
1351,138000,0.6183
1405,140000,0.5713
1464,142000,0.5245
1527,144000,0.5693
1584,146000,0.5945
1635,148000,0.6826
1693,150000,0.5685
1760,152000,0.5054
1815,154000,0.5439
1866,156000,0.6239
1918,158000,0.6133
1969,160000,0.5659
2030,162000,0.5401
2078,164000,0.56
2126,166000,0.5203
2182,168000,0.6048
2235,170000,0.5456
2281,172000,0.6271
2346,174000,0.583
2387,176000,0.4726
2434,178000,0.5723
2491,180000,0.5598
2543,182000,0.6681
2597,184000,0.6102
2649,186000,0.6322
2698,188000,0.6891
2751,190000,0.6363
2804,192000,0.5838
2860,194000,0.6741
2917,196000,0.5259
2973,198000,0.5346
3006,200000,0.5892
3060,202000,0.6087
3113,204000,0.5442
3140,206000,0.6464
3203,208000,0.5852
3261,210000,0.5502
3315,212000,0.5353
3369,214000,0.553
3429,216000,0.4978
3471,218000,0.5691
3525,220000,0.5718
3584,222000,0.526
3644,224000,0.6471
3709,226000,0.6289
3773,228000,0.6086
3832,230000,0.5909
3889,232000,0.6462
3941,234000,0.6322
4007,236000,0.4537
4067,238000,0.6147
4115,240000,0.5379
4177,242000,0.5941
4240,244000,0.476
4297,246000,0.6289
4363,248000,0.5738
4426,250000,0.491
4485,252000,0.4626
4529,254000,0.5049
4582,256000,0.5272
4635,258000,0.5814
4693,260000,0.5678
4742,262000,0.5478
4795,264000,0.6737
4847,266000,0.6883
4901,268000,0.6628
4961,270000,0.5977
5031,272000,0.5694
5088,274000,0.6131
5148,276000,0.5646
5208,278000,0.565
5268,280000,0.5818
5327,282000,0.6414
5375,284000,0.6443
5437,286000,0.5312
5494,288000,0.6639
5560,290000,0.59
5623,292000,0.5863
5684,294000,0.5552
5748,296000,0.5605
5811,298000,0.6631
5860,300000,0.6698
5898,302000,0.7831
5952,304000,0.5177
6002,306000,0.6595
6047,308000,0.7253
6100,310000,0.6196
6155,312000,0.7247
6191,314000,0.6856
6244,316000,0.5652
6298,318000,0.6097
6356,320000,0.6514
6406,322000,0.7365
6458,324000,0.6877
6502,326000,0.7876
6554,328000,0.5572
6604,330000,0.7157
6639,332000,0.6863
6688,334000,0.7503
6733,336000,0.727
6785,338000,0.6883
6840,340000,0.6156
6896,342000,0.7448
6953,344000,0.6294
7002,346000,0.7691
7059,348000,0.6285
7103,350000,0.6103
7161,352000,0.6866
7213,354000,0.632
7269,356000,0.5877
7324,358000,0.6151
7376,360000,0.7067
7424,362000,0.7448
7479,364000,0.563
7524,366000,0.7502
7569,368000,0.7717
7619,370000,0.6765
7665,372000,0.7345
7719,374000,0.59
7768,376000,0.5513
7811,378000,0.7853
7867,380000,0.6038
7906,382000,0.6885
7951,384000,0.7273
7993,386000,0.7579
8042,388000,0.6917
8089,390000,0.7605
8140,392000,0.8179
8190,394000,0.7177
8238,396000,0.6849
8290,398000,0.5928
8335,400000,0.7077
8385,402000,0.577
8411,404000,0.7458
8449,406000,0.7281
8491,408000,0.7323
8544,410000,0.7118
8598,412000,0.6647
8647,414000,0.7706
8693,416000,0.7133
8743,418000,0.6971
8799,420000,0.6753
8829,422000,0.7271
8866,424000,0.7199
8911,426000,0.7707
8948,428000,0.6725
8979,430000,0.71
9021,432000,0.7584
9065,434000,0.8101
9104,436000,0.7668
9151,438000,0.7185
9201,440000,0.7146
9253,442000,0.6876
9295,444000,0.759
9350,446000,0.76
9400,448000,0.6788
9453,450000,0.6739
9501,452000,0.7854
9555,454000,0.6649
9597,456000,0.646
9636,458000,0.7416
9673,460000,0.7797
9716,462000,0.782
9766,464000,0.7744
9813,466000,0.7388
9863,468000,0.7551
9906,470000,0.8294
9955,472000,0.7292
9998,474000,0.7646
10023,476000,0.774
10078,478000,0.6687
10126,480000,0.7862
10156,482000,0.6563
10200,484000,0.6755
10250,486000,0.7957
10294,488000,0.7456
10335,490000,0.8224
10388,492000,0.768
10450,494000,0.6894
10507,496000,0.7151
10556,498000,0.6527
10605,500000,0.7112
10650,502000,0.8585
10704,504000,0.6653
10749,506000,0.7745
10797,508000,0.7898
10844,510000,0.8236
10888,512000,0.7914
10916,514000,0.8183
10960,516000,0.7901
10995,518000,0.9048
11047,520000,0.8024
11088,522000,0.7062
11141,524000,0.7504
11150,526000,0.6437
11187,528000,0.7631
11238,530000,0.7624
11274,532000,0.7538
11300,534000,0.7452
11328,536000,0.8097
11377,538000,0.8502
11418,540000,0.7096
11454,542000,0.7904
