episode,timestep,reward
3,2000,0.0
5,4000,0.0
8,6000,0.2961
12,8000,0.1505
14,10000,0.0
18,12000,0.0
20,14000,0.0
22,16000,0.0
26,18000,0.0
28,20000,0.0
30,22000,0.0
32,24000,0.0
36,26000,0.0
40,28000,0.0
43,30000,0.0
45,32000,0.0
47,34000,0.0
50,36000,0.0
52,38000,0.0
54,40000,0.0
59,42000,0.0
61,44000,0.0
63,46000,0.0
66,48000,0.0
69,50000,0.3653
72,52000,0.0
75,54000,0.1953
79,56000,0.2757
89,58000,0.1379
93,60000,0.1619
97,62000,0.0
101,64000,0.1549
103,66000,0.0
110,68000,0.0859
118,70000,0.0
120,72000,0.0
123,74000,0.1899
126,76000,0.0
128,78000,0.0
133,80000,0.0
135,82000,0.0
140,84000,0.0
144,86000,0.0
149,88000,0.0
151,90000,0.0
154,92000,0.0
157,94000,0.0
162,96000,0.1393
165,98000,0.0
167,100000,0.0
169,102000,0.0
172,104000,0.0
174,106000,0.0
177,108000,0.0
181,110000,0.0
183,112000,0.0
185,114000,0.0
187,116000,0.0
192,118000,0.0
199,120000,0.0
201,122000,0.0
203,124000,0.0
205,126000,0.0
208,128000,0.0
210,130000,0.0
213,132000,0.0
215,134000,0.0
218,136000,0.0
220,138000,0.0
222,140000,0.0
224,142000,0.0
227,144000,0.0
229,146000,0.0
231,148000,0.0
233,150000,0.0
235,152000,0.0
239,154000,0.0
241,156000,0.0
243,158000,0.0
245,160000,0.0
247,162000,0.0
249,164000,0.0
251,166000,0.0
253,168000,0.0
255,170000,0.0
257,172000,0.0
259,174000,0.0
261,176000,0.0
265,178000,0.2242
267,180000,0.0
269,182000,0.0
272,184000,0.2206
274,186000,0.0
277,188000,0.0
279,190000,0.0
281,192000,0.0
284,194000,0.0
286,196000,0.0
288,198000,0.0
290,200000,0.0
292,202000,0.0
296,204000,0.0
298,206000,0.0
302,208000,0.0
305,210000,0.0
308,212000,0.2811
312,214000,0.1981
315,216000,0.0
317,218000,0.0
319,220000,0.0
321,222000,0.0
324,224000,0.3054
326,226000,0.0
328,228000,0.0
330,230000,0.0
332,232000,0.0
334,234000,0.0
336,236000,0.0
339,238000,0.0
341,240000,0.0
343,242000,0.0
345,244000,0.0
347,246000,0.0
351,248000,0.2456
354,250000,0.5146
356,252000,0.0
363,254000,0.1302
365,256000,0.191
368,258000,0.267
370,260000,0.0
372,262000,0.0
374,264000,0.0
376,266000,0.0
378,268000,0.0
380,270000,0.0
382,272000,0.4216
386,274000,0.2018
390,276000,0.0
392,278000,0.0
397,280000,0.0
399,282000,0.0
401,284000,0.0
404,286000,0.0
407,288000,0.0
409,290000,0.0
411,292000,0.0
414,294000,0.0
418,296000,0.0
421,298000,0.0
423,300000,0.0
425,302000,0.0
427,304000,0.0
429,306000,0.0
431,308000,0.0
433,310000,0.0
435,312000,0.0
437,314000,0.0
439,316000,0.0
441,318000,0.0
445,320000,0.0
447,322000,0.0
450,324000,0.0
452,326000,0.0
454,328000,0.0
456,330000,0.0
459,332000,0.0
461,334000,0.0
464,336000,0.0
466,338000,0.0
468,340000,0.0
470,342000,0.0
472,344000,0.0
474,346000,0.0
476,348000,0.0
478,350000,0.0
480,352000,0.0
482,354000,0.0
485,356000,0.0
487,358000,0.0
489,360000,0.0
491,362000,0.0
493,364000,0.0
495,366000,0.0
497,368000,0.0
499,370000,0.0
501,372000,0.0
503,374000,0.0
505,376000,0.0
507,378000,0.0
509,380000,0.0
512,382000,0.0
514,384000,0.0
516,386000,0.0
518,388000,0.0
520,390000,0.0
522,392000,0.0
524,394000,0.0
526,396000,0.0
528,398000,0.0
531,400000,0.0
533,402000,0.0
535,404000,0.0
537,406000,0.0
542,408000,0.0
544,410000,0.0
546,412000,0.0
549,414000,0.0
552,416000,0.0
554,418000,0.0
556,420000,0.0
558,422000,0.0
560,424000,0.0
562,426000,0.0
566,428000,0.0
569,430000,0.0
571,432000,0.0
573,434000,0.0
575,436000,0.0
577,438000,0.0
580,440000,0.0
582,442000,0.0
584,444000,0.0
586,446000,0.0
588,448000,0.0
590,450000,0.0
592,452000,0.0
594,454000,0.0
596,456000,0.0
598,458000,0.0
600,460000,0.0
603,462000,0.0
606,464000,0.0
608,466000,0.0
610,468000,0.0
612,470000,0.0
614,472000,0.0
616,474000,0.0
618,476000,0.0
622,478000,0.0
624,480000,0.0
627,482000,0.0
629,484000,0.0
631,486000,0.0
633,488000,0.0
636,490000,0.0
638,492000,0.0
641,494000,0.0
646,496000,0.1563
648,498000,0.0
651,500000,0.0
654,502000,0.0
656,504000,0.0
658,506000,0.0
660,508000,0.0
662,510000,0.0
666,512000,0.0
668,514000,0.0
670,516000,0.0
672,518000,0.0
674,520000,0.0
676,522000,0.0
678,524000,0.0
681,526000,0.0
683,528000,0.0
686,530000,0.0
689,532000,0.0
692,534000,0.0
694,536000,0.0
697,538000,0.0
699,540000,0.0
701,542000,0.0
705,544000,0.1713
707,546000,0.0
709,548000,0.0
712,550000,0.0
718,552000,0.0
720,554000,0.0
722,556000,0.0
725,558000,0.3052
727,560000,0.0
730,562000,0.0
733,564000,0.0
736,566000,0.0
738,568000,0.0
740,570000,0.0
742,572000,0.2778
746,574000,0.2377
749,576000,0.2813
752,578000,0.0
755,580000,0.2004
757,582000,0.0
761,584000,0.214
763,586000,0.0
765,588000,0.0
770,590000,0.0
772,592000,0.0
774,594000,0.0
776,596000,0.0
778,598000,0.0
780,600000,0.0
785,602000,0.0
788,604000,0.2926
791,606000,0.0
793,608000,0.3453
797,610000,0.1542
800,612000,0.0
802,614000,0.0
804,616000,0.0
809,618000,0.3242
814,620000,0.1265
817,622000,0.0
822,624000,0.0
827,626000,0.0
831,628000,0.0
834,630000,0.0
837,632000,0.0
840,634000,0.0
843,636000,0.0
845,638000,0.0
848,640000,0.0
850,642000,0.0
852,644000,0.0
854,646000,0.0
856,648000,0.0
859,650000,0.0
863,652000,0.0
866,654000,0.0
868,656000,0.0
870,658000,0.0
872,660000,0.0
874,662000,0.0
877,664000,0.0
879,666000,0.3133
883,668000,0.0
886,670000,0.0
888,672000,0.2701
890,674000,0.0
892,676000,0.0
895,678000,0.0
897,680000,0.0
899,682000,0.0
901,684000,0.0
904,686000,0.0
906,688000,0.0
910,690000,0.179
912,692000,0.0
914,694000,0.0
916,696000,0.0
919,698000,0.0
921,700000,0.0
923,702000,0.0
926,704000,0.0
928,706000,0.0
930,708000,0.0
933,710000,0.0
935,712000,0.0
937,714000,0.0
940,716000,0.0
942,718000,0.0
944,720000,0.0
946,722000,0.0
948,724000,0.0
950,726000,0.0
952,728000,0.0
954,730000,0.0
956,732000,0.0
958,734000,0.0
960,736000,0.0
962,738000,0.0
964,740000,0.0
966,742000,0.0
969,744000,0.0
971,746000,0.0
975,748000,0.0
979,750000,0.0
981,752000,0.0
983,754000,0.0
987,756000,0.0
990,758000,0.1833
992,760000,0.0
994,762000,0.0
996,764000,0.0
998,766000,0.0
1000,768000,0.0
1004,770000,0.0
1007,772000,0.0
1009,774000,0.0
1011,776000,0.0
1013,778000,0.0
1015,780000,0.0
1019,782000,0.1978
1021,784000,0.0
1023,786000,0.0
1025,788000,0.0
1027,790000,0.0
1029,792000,0.0
1031,794000,0.0
1033,796000,0.0
1035,798000,0.0
1037,800000,0.0
1039,802000,0.0
1041,804000,0.0
1043,806000,0.2195
1045,808000,0.0
1047,810000,0.0
1049,812000,0.0
1051,814000,0.0
1053,816000,0.0
1055,818000,0.0
1058,820000,0.0
1060,822000,0.0
1063,824000,0.0
1065,826000,0.0
1070,828000,0.1203
1072,830000,0.0
1075,832000,0.162
1079,834000,0.0
1081,836000,0.0
1083,838000,0.0
1085,840000,0.0
1087,842000,0.0
1089,844000,0.0
1093,846000,0.2226
1098,848000,0.0
1100,850000,0.1854
1102,852000,0.0
1105,854000,0.3197
1107,856000,0.0
1112,858000,0.1827
1114,860000,0.0
1116,862000,0.0
1118,864000,0.0
1125,866000,0.0
1127,868000,0.0
1129,870000,0.0
1131,872000,0.0
1133,874000,0.0
1135,876000,0.0
1137,878000,0.0
1141,880000,0.0
1143,882000,0.0
1145,884000,0.0
1148,886000,0.0
1151,888000,0.2928
1154,890000,0.0
1156,892000,0.0
1158,894000,0.0
1162,896000,0.0
1164,898000,0.0
1167,900000,0.0
1170,902000,0.0
1173,904000,0.0
1175,906000,0.0
1178,908000,0.0
1181,910000,0.3031
1183,912000,0.0
1185,914000,0.0
1188,916000,0.0
1192,918000,0.2361
1194,920000,0.0
1196,922000,0.0
1198,924000,0.0
1201,926000,0.0
1203,928000,0.0
1207,930000,0.0
1210,932000,0.2342
1212,934000,0.0
1216,936000,0.2929
1218,938000,0.0
1220,940000,0.0
1224,942000,0.2222
1226,944000,0.0
1229,946000,0.2246
1232,948000,0.3181
1238,950000,0.1179
1241,952000,0.0
1247,954000,0.0801
1251,956000,0.0
1253,958000,0.4427
1258,960000,0.1557
1262,962000,0.0
1264,964000,0.0
1269,966000,0.0
1272,968000,0.1456
1274,970000,0.0
1277,972000,0.0
1280,974000,0.0
1285,976000,0.1827
1287,978000,0.0
1289,980000,0.0
1291,982000,0.0
1294,984000,0.0
1296,986000,0.0
1298,988000,0.0
1301,990000,0.0
1304,992000,0.0
1306,994000,0.0
1308,996000,0.0
1311,998000,0.0
1314,1000000,0.0
