episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
11,8000,0.2789
15,10000,0.125
17,12000,0.0
19,14000,0.0
23,16000,0.1588
25,18000,0.0
28,20000,0.0
32,22000,0.0
35,24000,0.0
38,26000,0.0
40,28000,0.0
43,30000,0.0
45,32000,0.0
47,34000,0.0
49,36000,0.0
52,38000,0.0
55,40000,0.0
58,42000,0.2562
60,44000,0.0
65,46000,0.2665
67,48000,0.0
72,50000,0.2538
77,52000,0.0
79,54000,0.0
82,56000,0.1095
86,58000,0.0
90,60000,0.0
95,62000,0.0
100,64000,0.1011
102,66000,0.1621
109,68000,0.245
113,70000,0.3886
118,72000,0.1355
121,74000,0.1215
126,76000,0.3715
134,78000,0.1942
137,80000,0.2731
142,82000,0.1018
153,84000,0.3014
158,86000,0.2539
166,88000,0.2002
178,90000,0.3491
183,92000,0.3332
188,94000,0.2627
194,96000,0.2797
200,98000,0.2647
205,100000,0.2726
209,102000,0.1792
214,104000,0.1896
228,106000,0.0685
237,108000,0.0984
243,110000,0.2978
248,112000,0.1212
256,114000,0.1112
261,116000,0.4836
266,118000,0.33
273,120000,0.2607
284,122000,0.4438
290,124000,0.506
295,126000,0.3193
302,128000,0.6355
332,130000,0.3066
352,132000,0.3915
372,134000,0.2697
383,136000,0.4188
397,138000,0.4877
408,140000,0.2952
422,142000,0.4211
439,144000,0.2594
455,146000,0.4063
472,148000,0.3177
498,150000,0.5715
519,152000,0.415
554,154000,0.4559
571,156000,0.2662
585,158000,0.6644
608,160000,0.4066
645,162000,0.4657
663,164000,0.4598
696,166000,0.3916
734,168000,0.4169
766,170000,0.4985
794,172000,0.4073
845,174000,0.3729
881,176000,0.4172
913,178000,0.2678
948,180000,0.5109
998,182000,0.4785
1031,184000,0.6892
1083,186000,0.4984
1128,188000,0.5508
1162,190000,0.5067
1198,192000,0.505
1241,194000,0.6229
1282,196000,0.58
1333,198000,0.5267
1375,200000,0.4736
1435,202000,0.4991
1480,204000,0.64
1536,206000,0.5349
1598,208000,0.5295
1658,210000,0.4667
1706,212000,0.4989
1761,214000,0.5434
1816,216000,0.5975
1868,218000,0.4993
1926,220000,0.5493
1972,222000,0.668
2023,224000,0.5861
2072,226000,0.6688
2126,228000,0.6251
2182,230000,0.5334
2233,232000,0.566
2294,234000,0.5552
2362,236000,0.5134
2412,238000,0.5974
2460,240000,0.6403
2510,242000,0.6763
2566,244000,0.5351
2625,246000,0.5237
2677,248000,0.6117
2737,250000,0.5643
2797,252000,0.5151
2826,254000,0.498
2884,256000,0.5001
2938,258000,0.5905
3000,260000,0.5634
3059,262000,0.5391
3111,264000,0.612
3167,266000,0.5872
3223,268000,0.6561
3274,270000,0.6431
3337,272000,0.5708
3408,274000,0.4921
3469,276000,0.6211
3519,278000,0.5821
3565,280000,0.6126
3632,282000,0.6837
3692,284000,0.5805
3748,286000,0.6403
3818,288000,0.5276
3877,290000,0.6237
3934,292000,0.612
3992,294000,0.685
4046,296000,0.6817
4101,298000,0.6334
4162,300000,0.6368
4232,302000,0.5414
4291,304000,0.5905
4348,306000,0.5764
4415,308000,0.4916
4477,310000,0.5618
4536,312000,0.6743
4590,314000,0.5901
4647,316000,0.6465
4706,318000,0.6237
4751,320000,0.6462
4794,322000,0.6627
4852,324000,0.6511
4918,326000,0.5608
4977,328000,0.6557
5042,330000,0.5836
5096,332000,0.7742
5151,334000,0.7041
5215,336000,0.6377
5269,338000,0.7008
5327,340000,0.6855
5387,342000,0.5972
5451,344000,0.6537
5519,346000,0.5863
5589,348000,0.5275
5646,350000,0.6449
5707,352000,0.6534
5773,354000,0.6482
5833,356000,0.6972
5884,358000,0.7391
5938,360000,0.7192
5996,362000,0.5835
6055,364000,0.657
6111,366000,0.6394
6167,368000,0.7448
6225,370000,0.6523
6275,372000,0.7949
6334,374000,0.674
6407,376000,0.5458
6467,378000,0.5313
6512,380000,0.6398
6567,382000,0.6873
6622,384000,0.6498
6679,386000,0.6449
6735,388000,0.6571
6800,390000,0.5669
6858,392000,0.6357
6921,394000,0.5848
6981,396000,0.6638
7036,398000,0.6154
7085,400000,0.7898
7135,402000,0.7546
7189,404000,0.6984
7249,406000,0.7289
7307,408000,0.7362
7369,410000,0.6584
7427,412000,0.6687
7492,414000,0.5833
7563,416000,0.5758
7614,418000,0.7979
7667,420000,0.7309
7729,422000,0.6581
7783,424000,0.6991
7850,426000,0.5953
7903,428000,0.7122
7963,430000,0.7139
8018,432000,0.6506
8076,434000,0.721
8129,436000,0.6575
8188,438000,0.6411
8236,440000,0.7445
8306,442000,0.669
8367,444000,0.7013
8421,446000,0.7174
8482,448000,0.7332
8553,450000,0.5345
8624,452000,0.7011
8688,454000,0.6998
8751,456000,0.7573
8814,458000,0.6956
8882,460000,0.6308
8915,462000,0.6487
8978,464000,0.6796
9045,466000,0.6104
9109,468000,0.6533
9170,470000,0.7334
9239,472000,0.5496
9303,474000,0.7448
9355,476000,0.7075
9421,478000,0.7381
9483,480000,0.674
9545,482000,0.7221
9609,484000,0.6373
9666,486000,0.699
9720,488000,0.7178
9781,490000,0.652
9827,492000,0.7773
9879,494000,0.7245
9926,496000,0.7609
9973,498000,0.738
10020,500000,0.6975
10076,502000,0.6574
10131,504000,0.5799
10186,506000,0.6512
10244,508000,0.5837
10304,510000,0.6631
10360,512000,0.7459
10408,514000,0.6409
10450,516000,0.829
10489,518000,0.6977
10543,520000,0.7002
10604,522000,0.7171
10667,524000,0.6321
10723,526000,0.7451
10780,528000,0.7497
10833,530000,0.7505
10881,532000,0.685
10936,534000,0.6682
10985,536000,0.7897
11040,538000,0.7052
11096,540000,0.6924
11146,542000,0.7753
11197,544000,0.778
11256,546000,0.6072
11304,548000,0.725
11352,550000,0.785
11403,552000,0.7014
11449,554000,0.7761
11498,556000,0.7684
11547,558000,0.791
11603,560000,0.7452
11659,562000,0.7449
11702,564000,0.8076
11758,566000,0.6923
11815,568000,0.6989
11868,570000,0.6568
11923,572000,0.7232
11974,574000,0.7206
12023,576000,0.7295
12081,578000,0.6699
12137,580000,0.7625
12186,582000,0.7707
12245,584000,0.8256
12296,586000,0.7785
12367,588000,0.604
12418,590000,0.836
12474,592000,0.7453
12530,594000,0.6212
12583,596000,0.769
12642,598000,0.6579
12703,600000,0.7979
12761,602000,0.6866
12811,604000,0.7938
12870,606000,0.6583
12922,608000,0.7256
12972,610000,0.8131
13023,612000,0.7016
13080,614000,0.7495
13141,616000,0.6362
13196,618000,0.7407
13246,620000,0.774
13298,622000,0.7827
13346,624000,0.8286
13410,626000,0.7141
13469,628000,0.7419
13537,630000,0.6592
13594,632000,0.715
13647,634000,0.7309
13703,636000,0.6756
13766,638000,0.6629
13820,640000,0.792
13872,642000,0.783
13930,644000,0.7033
13987,646000,0.8011
14041,648000,0.7361
14093,650000,0.8034
14157,652000,0.7
14206,654000,0.7492
14254,656000,0.7651
14315,658000,0.6528
14370,660000,0.7765
14419,662000,0.7709
14468,664000,0.8096
