episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
34,10000,0.0
41,12000,0.0
48,14000,0.0
55,16000,0.0
62,18000,0.0
69,20000,0.0
76,22000,0.0
83,24000,0.0
90,26000,0.0241
97,28000,0.0
104,30000,0.0
111,32000,0.0
118,34000,0.0
125,36000,0.0
132,38000,0.0
138,40000,0.0
145,42000,0.0
152,44000,0.0
159,46000,0.0
166,48000,0.0
173,50000,0.0
180,52000,0.0
187,54000,0.0
194,56000,0.0
202,58000,0.0875
209,60000,0.0
216,62000,0.0
222,64000,0.0
230,66000,0.0805
237,68000,0.0415
244,70000,0.0
251,72000,0.0
258,74000,0.0
265,76000,0.0
272,78000,0.0
279,80000,0.0
286,82000,0.0
293,84000,0.0
300,86000,0.0
307,88000,0.0
314,90000,0.0
321,92000,0.0
327,94000,0.0
334,96000,0.0
341,98000,0.0
348,100000,0.0
355,102000,0.0
363,104000,0.0555
370,106000,0.0469
377,108000,0.0
384,110000,0.0
390,112000,0.0
397,114000,0.0
404,116000,0.0
411,118000,0.0
418,120000,0.0
425,122000,0.0
432,124000,0.0
439,126000,0.0
446,128000,0.0
453,130000,0.0
460,132000,0.0
467,134000,0.0
474,136000,0.0
481,138000,0.0518
488,140000,0.0
495,142000,0.0
502,144000,0.0
509,146000,0.0
516,148000,0.0
523,150000,0.0
530,152000,0.0
537,154000,0.0
544,156000,0.0
550,158000,0.0
557,160000,0.0
565,162000,0.0426
572,164000,0.0
579,166000,0.0741
586,168000,0.0
593,170000,0.0
600,172000,0.0799
607,174000,0.0286
614,176000,0.0
621,178000,0.0
628,180000,0.0
635,182000,0.0
642,184000,0.0214
650,186000,0.077
657,188000,0.1205
665,190000,0.0605
672,192000,0.0902
679,194000,0.0
689,196000,0.2709
697,198000,0.1812
704,200000,0.0
711,202000,0.0
720,204000,0.2361
727,206000,0.0496
735,208000,0.1812
742,210000,0.0375
749,212000,0.0433
756,214000,0.0
764,216000,0.107
771,218000,0.0504
779,220000,0.1113
787,222000,0.0945
794,224000,0.1027
801,226000,0.0
809,228000,0.0754
816,230000,0.0723
823,232000,0.0
830,234000,0.0
837,236000,0.0
844,238000,0.0
851,240000,0.0
859,242000,0.2125
867,244000,0.0941
875,246000,0.1141
884,248000,0.2399
891,250000,0.1388
899,252000,0.1125
908,254000,0.1649
918,256000,0.3319
925,258000,0.1094
934,260000,0.2913
942,262000,0.0254
951,264000,0.2972
959,266000,0.0801
966,268000,0.1335
974,270000,0.0766
982,272000,0.1922
992,274000,0.3334
1002,276000,0.2756
1010,278000,0.148
1018,280000,0.1402
1027,282000,0.3042
1034,284000,0.0393
1044,286000,0.2803
1053,288000,0.2549
1062,290000,0.2785
1071,292000,0.2236
1081,294000,0.3359
1093,296000,0.4036
1106,298000,0.4769
1116,300000,0.3466
1129,302000,0.5113
1140,304000,0.4295
1149,306000,0.1483
1160,308000,0.4062
1168,310000,0.184
1177,312000,0.1872
1187,314000,0.3362
1199,316000,0.4633
1207,318000,0.2035
1222,320000,0.545
1232,322000,0.2947
1246,324000,0.5317
1257,326000,0.4241
1269,328000,0.4115
1281,330000,0.4628
1294,332000,0.4885
1306,334000,0.4549
1317,336000,0.3784
1333,338000,0.5879
1346,340000,0.5361
1361,342000,0.551
1373,344000,0.4268
1388,346000,0.5506
1399,348000,0.3946
1416,350000,0.6083
1432,352000,0.5896
1449,354000,0.6425
1465,356000,0.5559
1479,358000,0.5134
1501,360000,0.705
1519,362000,0.6172
1533,364000,0.5221
1552,366000,0.6503
1565,368000,0.5084
1582,370000,0.6368
1599,372000,0.5688
1616,374000,0.6042
1631,376000,0.5712
1654,378000,0.7427
1675,380000,0.7013
1699,382000,0.6932
1717,384000,0.6717
1732,386000,0.5165
1754,388000,0.6919
1774,390000,0.6709
1784,392000,0.3159
1818,394000,0.8109
1845,396000,0.7565
1863,398000,0.6458
1888,400000,0.73
1910,402000,0.6923
1927,404000,0.6006
1947,406000,0.7128
1966,408000,0.6012
1999,410000,0.8059
2041,412000,0.8459
2068,414000,0.7846
2108,416000,0.8227
2150,418000,0.8483
2189,420000,0.8358
2231,422000,0.8479
2263,424000,0.7973
2305,426000,0.8451
2342,428000,0.8405
2383,430000,0.828
2410,432000,0.7799
2434,434000,0.7335
2465,436000,0.7728
2503,438000,0.8299
2550,440000,0.871
2593,442000,0.848
2648,444000,0.8807
2695,446000,0.8529
2761,448000,0.9031
2819,450000,0.8918
2864,452000,0.8578
2904,454000,0.8336
2951,456000,0.8641
2979,458000,0.7757
3026,460000,0.8522
3075,462000,0.883
3126,464000,0.8615
3156,466000,0.7855
3191,468000,0.8211
3224,470000,0.7758
3277,472000,0.8857
3315,474000,0.8189
3367,476000,0.8746
3417,478000,0.8724
3457,480000,0.8353
3514,482000,0.8914
3567,484000,0.8788
3617,486000,0.8712
3668,488000,0.8884
3739,490000,0.9038
3782,492000,0.846
3832,494000,0.8704
3895,496000,0.8977
3951,498000,0.8851
4004,500000,0.878
4072,502000,0.9087
4105,504000,0.8119
4152,506000,0.8666
4208,508000,0.8675
4262,510000,0.8902
4327,512000,0.8937
4406,514000,0.9258
4470,516000,0.9066
4536,518000,0.8899
4602,520000,0.9028
4673,522000,0.9131
4745,524000,0.9089
4796,526000,0.8735
4857,528000,0.8926
4921,530000,0.8992
4973,532000,0.8739
5048,534000,0.9251
5123,536000,0.9075
5175,538000,0.8877
5237,540000,0.8841
5291,542000,0.8786
5355,544000,0.8994
5433,546000,0.9295
5501,548000,0.894
5562,550000,0.9053
5630,552000,0.8984
5706,554000,0.9159
5792,556000,0.9279
5837,558000,0.8726
5914,560000,0.9073
5998,562000,0.925
6083,564000,0.9263
6153,566000,0.9092
6239,568000,0.928
6306,570000,0.9048
6384,572000,0.9183
6463,574000,0.9202
6548,576000,0.9273
6635,578000,0.9273
6702,580000,0.9036
6787,582000,0.9265
6872,584000,0.9265
6966,586000,0.9344
7045,588000,0.9188
7128,590000,0.9244
7219,592000,0.9312
7305,594000,0.9259
7392,596000,0.9286
7487,598000,0.9337
7578,600000,0.9313
7663,602000,0.9328
7739,604000,0.9085
7820,606000,0.9215
7914,608000,0.9331
8005,610000,0.9314
8083,612000,0.9192
8177,614000,0.9332
8259,616000,0.9305
8351,618000,0.9248
8433,620000,0.9224
8494,622000,0.8946
8589,624000,0.9341
8684,626000,0.9346
8762,628000,0.9284
8852,630000,0.9218
8950,632000,0.9363
9047,634000,0.9357
9130,636000,0.9234
9225,638000,0.9351
9320,640000,0.9338
9418,642000,0.9358
9514,644000,0.9344
9589,646000,0.9276
9675,648000,0.9156
9765,650000,0.9312
9869,652000,0.9396
9973,654000,0.9398
10071,656000,0.9361
10162,658000,0.9315
10246,660000,0.9247
10330,662000,0.924
10428,664000,0.9359
10527,666000,0.9373
10623,668000,0.9346
10725,670000,0.9387
10818,672000,0.9329
10887,674000,0.9081
10956,676000,0.9085
11038,678000,0.9221
11133,680000,0.9342
11217,682000,0.9246
11320,684000,0.9406
11407,686000,0.9258
11482,688000,0.9132
11567,690000,0.9269
11664,692000,0.9355
11754,694000,0.9291
11836,696000,0.9325
11936,698000,0.9296
12025,700000,0.9287
12122,702000,0.9352
12222,704000,0.9382
12307,706000,0.9244
12395,708000,0.9295
12494,710000,0.9366
12581,712000,0.9271
12666,714000,0.9328
12749,716000,0.9166
12845,718000,0.9352
12947,720000,0.9386
13042,722000,0.9341
13122,724000,0.9211
13208,726000,0.9258
13310,728000,0.9389
13408,730000,0.9364
13487,732000,0.9277
13588,734000,0.9318
13687,736000,0.9368
13791,738000,0.9396
13882,740000,0.9303
13955,742000,0.9121
14029,744000,0.9124
14130,746000,0.9383
14210,748000,0.9207
14314,750000,0.94
14419,752000,0.9406
14509,754000,0.93
14608,756000,0.9367
14706,758000,0.9363
14798,760000,0.9343
14885,762000,0.9248
14966,764000,0.9249
15056,766000,0.9277
15156,768000,0.9377
15231,770000,0.9138
15330,772000,0.9371
15421,774000,0.93
15510,776000,0.9295
15609,778000,0.9371
15691,780000,0.9226
15788,782000,0.9355
15891,784000,0.9397
15991,786000,0.9371
16085,788000,0.9338
16186,790000,0.9381
16276,792000,0.9288
16376,794000,0.9376
16479,796000,0.9397
16578,798000,0.9365
