episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
34,10000,0.0
41,12000,0.0
48,14000,0.0
55,16000,0.0
62,18000,0.0
69,20000,0.0
76,22000,0.0
83,24000,0.0
90,26000,0.0451
97,28000,0.0
104,30000,0.1022
111,32000,0.0
119,34000,0.0996
126,36000,0.0
133,38000,0.0
140,40000,0.1112
148,42000,0.0957
155,44000,0.0
162,46000,0.0
169,48000,0.1214
177,50000,0.0898
186,52000,0.1875
194,54000,0.2594
203,56000,0.2177
210,58000,0.0
218,60000,0.1926
227,62000,0.234
237,64000,0.3
245,66000,0.2199
254,68000,0.1934
261,70000,0.0902
269,72000,0.0738
277,74000,0.2168
285,76000,0.091
297,78000,0.4685
308,80000,0.4082
319,82000,0.3889
328,84000,0.274
337,86000,0.2625
348,88000,0.3423
357,90000,0.2545
367,92000,0.3659
378,94000,0.3744
389,96000,0.394
401,98000,0.4779
412,100000,0.3849
429,102000,0.5912
439,104000,0.3013
451,106000,0.456
467,108000,0.5893
482,110000,0.6204
497,112000,0.5083
515,114000,0.6535
531,116000,0.5861
547,118000,0.599
559,120000,0.4161
573,122000,0.5643
596,124000,0.7183
615,126000,0.6321
628,128000,0.505
642,130000,0.5373
654,132000,0.4422
673,134000,0.6449
689,136000,0.5809
706,138000,0.6138
733,140000,0.7639
755,142000,0.7074
778,144000,0.7287
804,146000,0.7403
834,148000,0.7848
855,150000,0.717
875,152000,0.6559
903,154000,0.7689
937,156000,0.7987
972,158000,0.8196
995,160000,0.717
1027,162000,0.8031
1052,164000,0.748
1084,166000,0.8063
1121,168000,0.8223
1161,170000,0.8255
1191,172000,0.7835
1234,174000,0.85
1271,176000,0.8401
1315,178000,0.8427
1358,180000,0.8684
1402,182000,0.8344
1438,184000,0.8493
1485,186000,0.845
1527,188000,0.855
1558,190000,0.7773
1611,192000,0.8833
1659,194000,0.8663
1704,196000,0.8753
1752,198000,0.8503
1794,200000,0.8488
1849,202000,0.8868
1884,204000,0.8176
1937,206000,0.8789
1978,208000,0.8434
2035,210000,0.8867
2080,212000,0.8606
2148,214000,0.9052
2218,216000,0.9103
2294,218000,0.9185
2370,220000,0.9174
2450,222000,0.9226
2510,224000,0.8931
2583,226000,0.9141
2661,228000,0.9212
2742,230000,0.9222
2824,232000,0.924
2891,234000,0.9047
2971,236000,0.9215
3056,238000,0.9268
3125,240000,0.9099
3202,242000,0.9182
3280,244000,0.9206
3360,246000,0.9214
3441,248000,0.923
3526,250000,0.9263
3608,252000,0.9238
3665,254000,0.8902
3748,256000,0.9222
3834,258000,0.9277
3926,260000,0.9316
4012,262000,0.9277
4100,264000,0.9289
4180,266000,0.9226
4271,268000,0.9306
4361,270000,0.935
4435,272000,0.909
4520,274000,0.9365
4600,276000,0.9084
4692,278000,0.9328
4769,280000,0.9175
4856,282000,0.9279
4950,284000,0.9332
5030,286000,0.921
5118,288000,0.9286
5219,290000,0.9381
5301,292000,0.9231
5394,294000,0.9335
5489,296000,0.9329
5584,298000,0.935
5679,300000,0.934
5763,302000,0.9246
5855,304000,0.9318
5951,306000,0.9347
6045,308000,0.9334
6125,310000,0.9278
6202,312000,0.9114
6289,314000,0.9284
6383,316000,0.9334
6486,318000,0.9389
6579,320000,0.933
6679,322000,0.9376
6770,324000,0.9313
6865,326000,0.9342
6964,328000,0.9367
7051,330000,0.9283
7146,332000,0.9343
7246,334000,0.9374
7334,336000,0.9291
7415,338000,0.9231
7506,340000,0.9314
7581,342000,0.9157
7641,344000,0.8898
7733,346000,0.9323
7832,348000,0.9374
7922,350000,0.9299
8017,352000,0.9338
8115,354000,0.9367
8218,356000,0.9392
8306,358000,0.9275
8375,360000,0.9177
8459,362000,0.9204
8542,364000,0.9219
8636,366000,0.9335
8732,368000,0.9352
8832,370000,0.9376
8933,372000,0.9379
9025,374000,0.9325
9129,376000,0.9395
9234,378000,0.9406
9334,380000,0.9375
9436,382000,0.9385
9539,384000,0.9395
9624,386000,0.9258
9721,388000,0.9353
9819,390000,0.9364
9916,392000,0.9357
10020,394000,0.9396
10121,396000,0.9384
10218,398000,0.9349
10313,400000,0.9341
10419,402000,0.9416
10516,404000,0.9355
10618,406000,0.9383
10722,408000,0.9403
10826,410000,0.9395
10914,412000,0.928
11022,414000,0.9423
11110,416000,0.9276
11200,418000,0.9294
11292,420000,0.9314
11384,422000,0.935
11463,424000,0.9148
11561,426000,0.9364
11667,428000,0.941
11758,430000,0.9297
11860,432000,0.9388
11963,434000,0.9395
12066,436000,0.9391
12165,438000,0.9371
12264,440000,0.9368
12364,442000,0.9379
12461,444000,0.9351
12560,446000,0.9371
12662,448000,0.9384
12766,450000,0.9399
12863,452000,0.9359
12970,454000,0.9418
13069,456000,0.9367
13159,458000,0.9303
13249,460000,0.9309
13351,462000,0.9385
13448,464000,0.9355
13546,466000,0.9365
13647,468000,0.9379
13744,470000,0.9355
13843,472000,0.9369
13944,474000,0.9386
14043,476000,0.9369
14147,478000,0.9395
14252,480000,0.9409
14340,482000,0.9273
14397,484000,0.8872
14466,486000,0.9064
14555,488000,0.9299
14658,490000,0.9395
14712,492000,0.8783
14816,494000,0.94
14905,496000,0.9281
15009,498000,0.9402
15113,500000,0.9396
15187,502000,0.913
15263,504000,0.9155
15350,506000,0.9269
15430,508000,0.9298
15536,510000,0.9338
15640,512000,0.9403
15737,514000,0.9351
15837,516000,0.9378
15933,518000,0.9351
16031,520000,0.9357
16126,522000,0.9347
16217,524000,0.9297
16323,526000,0.9412
16430,528000,0.9416
16509,530000,0.9201
16616,532000,0.9417
16717,534000,0.9381
16822,536000,0.9401
16913,538000,0.9303
17011,540000,0.9364
17115,542000,0.9399
17222,544000,0.9419
17310,546000,0.9271
17410,548000,0.9375
17505,550000,0.9347
17600,552000,0.9339
17714,554000,0.9453
17817,556000,0.9391
17922,558000,0.9404
18011,560000,0.9289
18117,562000,0.9408
18223,564000,0.9415
18327,566000,0.9397
18434,568000,0.9415
18539,570000,0.9406
18641,572000,0.9388
18741,574000,0.9379
18841,576000,0.9371
18941,578000,0.937
19046,580000,0.9407
19153,582000,0.942
19251,584000,0.9355
19354,586000,0.9394
19456,588000,0.9389
19562,590000,0.9412
19665,592000,0.939
19772,594000,0.9414
19872,596000,0.938
19975,598000,0.9389
20077,600000,0.939
20177,602000,0.9375
20270,604000,0.9367
20360,606000,0.925
20460,608000,0.9377
20564,610000,0.94
20667,612000,0.9393
20761,614000,0.9322
20869,616000,0.9424
20972,618000,0.9394
21083,620000,0.9434
21183,622000,0.9375
21290,624000,0.9419
21400,626000,0.9431
21509,628000,0.9426
21611,630000,0.9392
21714,632000,0.9386
21819,634000,0.9413
21925,636000,0.9409
22017,638000,0.9305
22124,640000,0.9415
22231,642000,0.9416
22337,644000,0.9413
22447,646000,0.9428
22556,648000,0.9428
22660,650000,0.9399
22745,652000,0.9251
22850,654000,0.9405
22946,656000,0.9342
23047,658000,0.9382
23157,660000,0.9429
23269,662000,0.9443
23376,664000,0.9416
23473,666000,0.9397
23576,668000,0.9346
23683,670000,0.9417
23789,672000,0.9407
23898,674000,0.9425
24005,676000,0.942
24112,678000,0.9415
24216,680000,0.9395
24313,682000,0.9357
24410,684000,0.9354
24521,686000,0.944
24634,688000,0.9447
24745,690000,0.9436
24857,692000,0.9442
24966,694000,0.9425
25073,696000,0.9416
25181,698000,0.9422
25292,700000,0.9436
25399,702000,0.9419
25508,704000,0.9426
25613,706000,0.9401
25721,708000,0.9425
25829,710000,0.9422
25931,712000,0.9386
26036,714000,0.9401
26144,716000,0.9423
26252,718000,0.942
26362,720000,0.9435
26470,722000,0.942
26570,724000,0.9378
26681,726000,0.9436
26777,728000,0.9338
26881,730000,0.9402
26977,732000,0.9333
27085,734000,0.9423
27191,736000,0.9407
27271,738000,0.9195
27380,740000,0.9426
27475,742000,0.9331
27585,744000,0.9436
27671,746000,0.9257
27778,748000,0.942
27872,750000,0.9335
27976,752000,0.9396
28082,754000,0.9415
28192,756000,0.9428
28288,758000,0.9338
28391,760000,0.9398
28484,762000,0.9356
28586,764000,0.9356
28684,766000,0.9362
28741,768000,0.894
28831,770000,0.9249
28930,772000,0.9369
29034,774000,0.9403
29146,776000,0.9438
29245,778000,0.9387
