episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
34,10000,0.0
41,12000,0.0
48,14000,0.0
55,16000,0.0
62,18000,0.0
69,20000,0.0
76,22000,0.0
83,24000,0.0
90,26000,0.0
97,28000,0.0
104,30000,0.0469
111,32000,0.0
118,34000,0.0
125,36000,0.0
132,38000,0.0531
139,40000,0.0281
146,42000,0.0
153,44000,0.0
160,46000,0.0
167,48000,0.0
174,50000,0.0
181,52000,0.0308
188,54000,0.0
195,56000,0.0
202,58000,0.0
209,60000,0.0
216,62000,0.0
223,64000,0.0
229,66000,0.0
237,68000,0.1117
244,70000,0.0
251,72000,0.0
258,74000,0.0652
265,76000,0.0
272,78000,0.0
279,80000,0.0
287,82000,0.0648
294,84000,0.1188
301,86000,0.0
308,88000,0.0
316,90000,0.1281
323,92000,0.0
330,94000,0.0536
337,96000,0.0317
345,98000,0.0742
352,100000,0.0
359,102000,0.0326
367,104000,0.1055
374,106000,0.0603
381,108000,0.0
388,110000,0.0
395,112000,0.0996
403,114000,0.0742
410,116000,0.0335
417,118000,0.0
424,120000,0.0
431,122000,0.0
438,124000,0.1094
447,126000,0.142
454,128000,0.0705
461,130000,0.0
468,132000,0.0
475,134000,0.0826
483,136000,0.0672
490,138000,0.0746
498,140000,0.159
506,142000,0.1512
514,144000,0.0652
521,146000,0.075
530,148000,0.3264
537,150000,0.0
545,152000,0.0387
552,154000,0.0
559,156000,0.0393
566,158000,0.0795
574,160000,0.0801
583,162000,0.2618
591,164000,0.1527
598,166000,0.0
606,168000,0.0918
613,170000,0.0
621,172000,0.1687
628,174000,0.0
637,176000,0.2979
644,178000,0.0
652,180000,0.1824
660,182000,0.1289
668,184000,0.1266
676,186000,0.1973
687,188000,0.3375
695,190000,0.2113
704,192000,0.2399
712,194000,0.1156
720,196000,0.1793
727,198000,0.0786
735,200000,0.068
742,202000,0.0
751,204000,0.267
758,206000,0.0692
769,208000,0.3545
777,210000,0.1109
786,212000,0.2285
795,214000,0.2774
806,216000,0.3443
814,218000,0.2746
823,220000,0.1969
832,222000,0.2785
843,224000,0.3514
853,226000,0.4025
861,228000,0.1305
871,230000,0.3116
883,232000,0.4099
895,234000,0.4242
904,236000,0.3111
918,238000,0.5114
926,240000,0.2086
940,242000,0.5018
950,244000,0.2794
958,246000,0.2727
972,248000,0.506
984,250000,0.4049
997,252000,0.4531
1012,254000,0.5938
1025,256000,0.5053
1044,258000,0.6544
1057,260000,0.4906
1073,262000,0.5664
1090,264000,0.6252
1110,266000,0.6766
1123,268000,0.5175
1140,270000,0.5737
1157,272000,0.63
1169,274000,0.4784
1184,276000,0.546
1200,278000,0.5824
1226,280000,0.7508
1248,282000,0.7061
1263,284000,0.5573
1279,286000,0.5697
1304,288000,0.7209
1324,290000,0.6705
1350,292000,0.7523
1369,294000,0.6298
1392,296000,0.744
1419,298000,0.7407
1450,300000,0.7798
1471,302000,0.7048
1499,304000,0.7526
1528,306000,0.7883
1549,308000,0.6751
1567,310000,0.6302
1584,312000,0.6336
1615,314000,0.7929
1639,316000,0.6971
1666,318000,0.7666
1697,320000,0.7768
1729,322000,0.7947
1761,324000,0.8009
1797,326000,0.8215
1814,328000,0.6182
1839,330000,0.7236
1873,332000,0.8073
1910,334000,0.8242
1953,336000,0.8534
2000,338000,0.8601
2045,340000,0.8592
2103,342000,0.8914
2151,344000,0.8644
2193,346000,0.8565
2226,348000,0.7954
2254,350000,0.7749
2278,352000,0.7227
2327,354000,0.8621
2370,356000,0.8433
2405,358000,0.8272
2442,360000,0.8242
2479,362000,0.8008
2519,364000,0.8506
2571,366000,0.8698
2622,368000,0.8721
2674,370000,0.8894
2716,372000,0.8453
2762,374000,0.8427
2806,376000,0.8533
2849,378000,0.8546
2902,380000,0.8739
2957,382000,0.8855
2996,384000,0.8292
3043,386000,0.8691
3095,388000,0.8727
3145,390000,0.8664
3189,392000,0.8536
3259,394000,0.9078
3308,396000,0.8673
3360,398000,0.88
3393,400000,0.7901
3451,402000,0.8935
3508,404000,0.886
3585,406000,0.9187
3607,408000,0.7342
3685,410000,0.9089
3721,412000,0.8198
3802,414000,0.9238
3846,416000,0.8512
3898,418000,0.8882
3963,420000,0.8897
4025,422000,0.9044
4095,424000,0.9012
4167,426000,0.9128
4228,428000,0.9029
4282,430000,0.8754
4343,432000,0.891
4396,434000,0.8834
4462,436000,0.8986
4524,438000,0.8953
4592,440000,0.9067
4646,442000,0.8813
4692,444000,0.8677
4763,446000,0.9028
4819,448000,0.8886
4867,450000,0.8564
4944,452000,0.9201
4995,454000,0.872
5037,456000,0.843
5087,458000,0.8734
5133,460000,0.8605
5171,462000,0.8461
5201,464000,0.7777
5255,466000,0.8688
5303,468000,0.867
5348,470000,0.8583
5398,472000,0.8713
5451,474000,0.8854
5492,476000,0.8412
5517,478000,0.7547
5559,480000,0.8382
5607,482000,0.8644
5662,484000,0.8866
5722,486000,0.8926
5772,488000,0.8737
5808,490000,0.8201
5862,492000,0.8782
5908,494000,0.862
5949,496000,0.8604
6007,498000,0.8752
6068,500000,0.8946
6118,502000,0.8699
6169,504000,0.8757
6227,506000,0.8889
6287,508000,0.8966
6348,510000,0.8953
6411,512000,0.905
6464,514000,0.87
6511,516000,0.8608
6583,518000,0.911
6654,520000,0.9127
6734,522000,0.9204
6787,524000,0.877
6854,526000,0.9035
6935,528000,0.9212
7020,530000,0.9315
7078,532000,0.8894
7143,534000,0.8934
7216,536000,0.9137
7294,538000,0.9194
7375,540000,0.923
7470,542000,0.9342
7554,544000,0.9242
7642,546000,0.9287
7699,548000,0.8853
7762,550000,0.8995
7824,552000,0.8975
7901,554000,0.9179
7967,556000,0.9019
8050,558000,0.9276
8121,560000,0.9062
8202,562000,0.9218
8271,564000,0.9059
8362,566000,0.9311
8445,568000,0.9239
8525,570000,0.9218
8603,572000,0.9183
8690,574000,0.9287
8757,576000,0.9038
8830,578000,0.9208
8902,580000,0.9023
8968,582000,0.9022
9032,584000,0.8989
9123,586000,0.9314
9213,588000,0.9304
9295,590000,0.925
9388,592000,0.9321
9468,594000,0.9288
9559,596000,0.9237
9653,598000,0.9334
9746,600000,0.933
9829,602000,0.9249
9892,604000,0.8969
9977,606000,0.9294
10057,608000,0.9218
10128,610000,0.9058
10223,612000,0.9347
10298,614000,0.9181
10389,616000,0.9292
10461,618000,0.9128
10546,620000,0.9272
10612,622000,0.902
10688,624000,0.9156
10762,626000,0.9141
10824,628000,0.8976
10872,630000,0.8669
10929,632000,0.8994
10984,634000,0.8712
11017,636000,0.807
11087,638000,0.9053
11124,640000,0.8423
11188,642000,0.8924
11257,644000,0.9081
11342,646000,0.9263
11416,648000,0.9177
11495,650000,0.9188
11567,652000,0.9132
11626,654000,0.8986
11666,656000,0.8295
11702,658000,0.8365
11751,660000,0.8575
11785,662000,0.8116
11817,664000,0.7978
11857,666000,0.8455
11906,668000,0.8559
11964,670000,0.8903
12034,672000,0.9107
12083,674000,0.8684
12120,676000,0.8295
12167,678000,0.8685
12210,680000,0.8556
12239,682000,0.7724
12275,684000,0.8289
12310,686000,0.8117
12347,688000,0.8325
12395,690000,0.8715
12425,692000,0.7718
12452,694000,0.7586
12498,696000,0.8619
12529,698000,0.794
12564,700000,0.8239
12599,702000,0.8337
12628,704000,0.7464
12655,706000,0.758
12676,708000,0.6868
12698,710000,0.7327
12719,712000,0.6562
12733,714000,0.573
12756,716000,0.6889
12767,718000,0.4486
12789,720000,0.669
12801,722000,0.4508
12821,724000,0.6639
12834,726000,0.4899
12858,728000,0.7187
12871,730000,0.4671
12890,732000,0.6714
12913,734000,0.7043
12924,736000,0.3847
12936,738000,0.4984
12950,740000,0.4971
12966,742000,0.5639
12986,744000,0.6664
13007,746000,0.706
13031,748000,0.7254
13051,750000,0.6619
13070,752000,0.6526
13096,754000,0.7794
13120,756000,0.687
13146,758000,0.7488
13173,760000,0.7729
13193,762000,0.6941
13221,764000,0.7424
13242,766000,0.69
13270,768000,0.7723
13292,770000,0.7136
13308,772000,0.6131
13334,774000,0.732
13354,776000,0.6678
13376,778000,0.7011
13404,780000,0.7703
13427,782000,0.6931
13450,784000,0.7122
13477,786000,0.7528
13496,788000,0.6803
13512,790000,0.5891
13534,792000,0.6754
