episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
34,10000,0.0
41,12000,0.0
48,14000,0.0
55,16000,0.0
62,18000,0.0
69,20000,0.0
76,22000,0.0
83,24000,0.0
90,26000,0.0
97,28000,0.0714
104,30000,0.0
111,32000,0.0
118,34000,0.0
125,36000,0.0
132,38000,0.0
139,40000,0.0
146,42000,0.0
153,44000,0.0
160,46000,0.0
167,48000,0.0
174,50000,0.1
181,52000,0.0
188,54000,0.0
196,56000,0.1004
203,58000,0.0
210,60000,0.0
217,62000,0.0
224,64000,0.0
231,66000,0.0
238,68000,0.0
244,70000,0.0
251,72000,0.0
258,74000,0.0
265,76000,0.0
272,78000,0.0397
280,80000,0.0793
287,82000,0.017
294,84000,0.0
301,86000,0.0
308,88000,0.071
315,90000,0.0
322,92000,0.0
329,94000,0.0277
336,96000,0.0375
345,98000,0.1687
352,100000,0.1375
359,102000,0.0321
367,104000,0.118
374,106000,0.0558
382,108000,0.0789
390,110000,0.1145
398,112000,0.1199
405,114000,0.0594
412,116000,0.0321
419,118000,0.0795
428,120000,0.1795
435,122000,0.0
444,124000,0.2639
453,126000,0.2906
462,128000,0.1944
469,130000,0.0464
476,132000,0.0942
483,134000,0.0
491,136000,0.1449
499,138000,0.0402
506,140000,0.1205
515,142000,0.1781
522,144000,0.0424
529,146000,0.0241
536,148000,0.071
544,150000,0.0883
552,152000,0.1531
559,154000,0.0576
567,156000,0.102
574,158000,0.0
581,160000,0.0
588,162000,0.0732
595,164000,0.0
602,166000,0.0
610,168000,0.1441
617,170000,0.0607
624,172000,0.0549
631,174000,0.0
640,176000,0.176
647,178000,0.0777
656,180000,0.2295
664,182000,0.1586
672,184000,0.1066
680,186000,0.0949
689,188000,0.266
698,190000,0.224
705,192000,0.0379
712,194000,0.0937
721,196000,0.2316
729,198000,0.1605
737,200000,0.2164
745,202000,0.1105
755,204000,0.2934
763,206000,0.2145
771,208000,0.0965
780,210000,0.2649
788,212000,0.1051
798,214000,0.3928
808,216000,0.265
819,218000,0.4358
828,220000,0.192
838,222000,0.2931
847,224000,0.2622
858,226000,0.3852
869,228000,0.4196
883,230000,0.5145
891,232000,0.2195
903,234000,0.4294
910,236000,0.0232
921,238000,0.454
930,240000,0.1545
942,242000,0.4539
951,244000,0.291
965,246000,0.4779
973,248000,0.193
985,250000,0.4628
996,252000,0.3523
1012,254000,0.6232
1022,256000,0.2766
1033,258000,0.3756
1048,260000,0.5781
1063,262000,0.56
1072,264000,0.2701
1086,266000,0.5009
1095,268000,0.1792
1110,270000,0.5621
1121,272000,0.3776
1134,274000,0.5163
1148,276000,0.5395
1162,278000,0.4998
1172,280000,0.2966
1186,282000,0.5359
1202,284000,0.5545
1216,286000,0.5964
1230,288000,0.4795
1247,290000,0.6572
1261,292000,0.5337
1281,294000,0.6416
1295,296000,0.5502
1314,298000,0.6377
1329,300000,0.5498
1346,302000,0.602
1361,304000,0.5458
1380,306000,0.6551
1405,308000,0.7304
1426,310000,0.6838
1453,312000,0.7578
1479,314000,0.7514
1502,316000,0.7178
1521,318000,0.6816
1544,320000,0.7034
1579,322000,0.8086
1601,324000,0.708
1633,326000,0.8047
1661,328000,0.7642
1684,330000,0.7175
1722,332000,0.8415
1744,334000,0.6875
1782,336000,0.8325
1824,338000,0.8471
1855,340000,0.8159
1892,342000,0.8095
1926,344000,0.8097
1965,346000,0.8365
2002,348000,0.8276
2045,350000,0.8522
2080,352000,0.8154
2139,354000,0.8945
2197,356000,0.898
2245,358000,0.862
2296,360000,0.8763
2343,362000,0.8703
2383,364000,0.8298
2416,366000,0.8264
2460,368000,0.8322
2515,370000,0.8847
2560,372000,0.8565
2628,374000,0.9078
2696,376000,0.908
2760,378000,0.9122
2828,380000,0.8997
2874,382000,0.8696
2934,384000,0.889
2987,386000,0.881
3056,388000,0.9101
3119,390000,0.898
3164,392000,0.8577
3226,394000,0.8995
3286,396000,0.8938
3342,398000,0.8882
3415,400000,0.9226
3487,402000,0.9047
3561,404000,0.9157
3618,406000,0.8906
3704,408000,0.9269
3767,410000,0.9025
3831,412000,0.8995
3914,414000,0.9245
3977,416000,0.8994
4054,418000,0.9196
4135,420000,0.9222
4220,422000,0.9259
4303,424000,0.9247
4340,426000,0.8271
4378,428000,0.8354
4452,430000,0.9127
4525,432000,0.914
4603,434000,0.92
4688,436000,0.9269
4771,438000,0.9244
4851,440000,0.9218
4937,442000,0.9279
5004,444000,0.9047
5083,446000,0.9205
5161,448000,0.9183
5251,450000,0.9309
5329,452000,0.931
5417,454000,0.9183
5505,456000,0.9285
5594,458000,0.9301
5677,460000,0.9256
5766,462000,0.9288
5863,464000,0.9354
5952,466000,0.93
6032,468000,0.922
6123,470000,0.9316
6203,472000,0.9214
6296,474000,0.9326
6385,476000,0.93
6482,478000,0.9364
6569,480000,0.9274
6666,482000,0.9355
6760,484000,0.9336
6860,486000,0.9376
6956,488000,0.9348
7050,490000,0.9345
7146,492000,0.9337
7245,494000,0.9369
7347,496000,0.9386
7441,498000,0.9353
7538,500000,0.9338
7632,502000,0.9345
7723,504000,0.9304
7809,506000,0.9273
7907,508000,0.9366
8002,510000,0.934
8090,512000,0.9298
8177,514000,0.9258
8275,516000,0.9363
8363,518000,0.9293
8460,520000,0.9354
8555,522000,0.9343
8650,524000,0.9343
8749,526000,0.9367
8846,528000,0.9356
8952,530000,0.9413
9056,532000,0.9397
9156,534000,0.9374
9256,536000,0.9374
9334,538000,0.9186
9423,540000,0.9298
9510,542000,0.9283
9613,544000,0.9393
9712,546000,0.9373
9815,548000,0.9392
9919,550000,0.9396
10001,552000,0.9225
10097,554000,0.9348
10197,556000,0.9378
10299,558000,0.9386
10403,560000,0.9397
10484,562000,0.9219
10573,564000,0.9314
10641,566000,0.9048
10721,568000,0.9204
10819,570000,0.9364
10895,572000,0.9148
10997,574000,0.9389
11102,576000,0.9404
11205,578000,0.9394
11297,580000,0.9318
11388,582000,0.93
11489,584000,0.9381
11574,586000,0.9253
11658,588000,0.9248
11734,590000,0.915
11815,592000,0.9215
11918,594000,0.9394
12006,596000,0.9277
12104,598000,0.9363
12207,600000,0.9393
12290,602000,0.9247
12364,604000,0.9147
12468,606000,0.9396
12556,608000,0.9328
12634,610000,0.9146
12729,612000,0.9334
12835,614000,0.9409
12944,616000,0.9426
13032,618000,0.9279
13123,620000,0.9299
13213,622000,0.9297
13318,624000,0.9404
13419,626000,0.938
13521,628000,0.9386
13624,630000,0.9398
13723,632000,0.9367
13831,634000,0.942
13934,636000,0.9392
14019,638000,0.9256
14116,640000,0.9357
14230,642000,0.9449
14337,644000,0.9416
14441,646000,0.9398
14532,648000,0.9318
14634,650000,0.9383
14729,652000,0.9346
14822,654000,0.9394
14925,656000,0.9323
15014,658000,0.9291
15115,660000,0.9384
15222,662000,0.941
15329,664000,0.9416
15418,666000,0.9286
15523,668000,0.9406
15628,670000,0.9401
15732,672000,0.9398
15841,674000,0.9429
15950,676000,0.9426
16039,678000,0.929
16111,680000,0.9102
16219,682000,0.9421
16326,684000,0.9418
16413,686000,0.9268
16517,688000,0.9398
16590,690000,0.9117
16665,692000,0.9141
16763,694000,0.9363
16853,696000,0.9294
16953,698000,0.9376
17058,700000,0.9401
17166,702000,0.9424
17272,704000,0.9408
17377,706000,0.9405
17480,708000,0.9396
17569,710000,0.9285
17674,712000,0.9404
17749,714000,0.9157
17856,716000,0.9415
17888,718000,0.7884
17925,720000,0.8402
17958,722000,0.7899
17990,724000,0.8044
18050,726000,0.8827
18117,728000,0.8977
18203,730000,0.9258
18271,732000,0.9051
18369,734000,0.9362
18469,736000,0.9378
18547,738000,0.9181
18628,740000,0.9231
18719,742000,0.9313
18814,744000,0.9356
18904,746000,0.9288
19006,748000,0.9386
19110,750000,0.9404
19211,752000,0.938
19312,754000,0.9381
19412,756000,0.9373
19512,758000,0.9376
19616,760000,0.9404
19718,762000,0.938
19825,764000,0.9416
19921,766000,0.9352
20027,768000,0.9411
20127,770000,0.9375
20208,772000,0.9223
20311,774000,0.9398
20399,776000,0.9267
20504,778000,0.9403
20587,780000,0.9285
20679,782000,0.9277
20783,784000,0.94
20891,786000,0.9421
20999,788000,0.9418
21099,790000,0.938
21202,792000,0.939
