episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
35,10000,0.0723
42,12000,0.0
49,14000,0.0
56,16000,0.0
63,18000,0.0
70,20000,0.0665
77,22000,0.0
84,24000,0.0411
91,26000,0.0304
98,28000,0.0
105,30000,0.0
112,32000,0.0
119,34000,0.05
127,36000,0.1621
134,38000,0.0
142,40000,0.0793
149,42000,0.0
156,44000,0.0
163,46000,0.1219
170,48000,0.0379
178,50000,0.0887
186,52000,0.102
193,54000,0.0317
203,56000,0.3519
211,58000,0.1016
218,60000,0.1549
226,62000,0.0578
235,64000,0.234
242,66000,0.0804
251,68000,0.2278
258,70000,0.0848
266,72000,0.1676
276,74000,0.3409
285,76000,0.2392
294,78000,0.1642
302,80000,0.1883
310,82000,0.0867
318,84000,0.1566
325,86000,0.0504
335,88000,0.2844
344,90000,0.2976
351,92000,0.1009
362,94000,0.3241
369,96000,0.0531
377,98000,0.2168
385,100000,0.1188
395,102000,0.3456
404,104000,0.225
415,106000,0.3472
423,108000,0.1578
430,110000,0.0
438,112000,0.2559
447,114000,0.2069
457,116000,0.3
467,118000,0.3431
476,120000,0.2719
484,122000,0.1613
493,124000,0.1955
506,126000,0.5243
518,128000,0.4177
528,130000,0.35
538,132000,0.3678
545,134000,0.0719
558,136000,0.4077
570,138000,0.524
581,140000,0.3767
595,142000,0.5279
604,144000,0.2292
615,146000,0.4003
625,148000,0.3403
637,150000,0.457
650,152000,0.5303
662,154000,0.4083
679,156000,0.6028
693,158000,0.585
704,160000,0.3469
718,162000,0.5158
733,164000,0.5527
751,166000,0.6505
763,168000,0.4487
777,170000,0.5496
795,172000,0.6339
818,174000,0.7111
838,176000,0.7233
854,178000,0.5371
869,180000,0.6092
886,182000,0.623
906,184000,0.6305
925,186000,0.6944
944,188000,0.6268
958,190000,0.5906
979,192000,0.6576
995,194000,0.6314
1009,196000,0.5022
1031,198000,0.6741
1046,200000,0.5654
1062,202000,0.64
1080,204000,0.5866
1095,206000,0.5988
1116,208000,0.6521
1141,210000,0.7452
1170,212000,0.7703
1204,214000,0.8166
1230,216000,0.7466
1258,218000,0.7647
1279,220000,0.697
1309,222000,0.793
1337,224000,0.7544
1371,226000,0.804
1404,228000,0.8218
1427,230000,0.7207
1450,232000,0.6893
1479,234000,0.7767
1517,236000,0.8265
1549,238000,0.8174
1591,240000,0.8312
1630,242000,0.8381
1669,244000,0.8385
1700,246000,0.811
1750,248000,0.8595
1771,250000,0.7128
1823,252000,0.8669
1859,254000,0.8137
1890,256000,0.8158
1937,258000,0.8486
1977,260000,0.84
2019,262000,0.8452
2062,264000,0.8525
2105,266000,0.8491
2160,268000,0.8819
2226,270000,0.9055
2269,272000,0.8579
2326,274000,0.8899
2370,276000,0.8444
2412,278000,0.8465
2444,280000,0.8126
2497,282000,0.8684
2543,284000,0.8746
2601,286000,0.8765
2659,288000,0.8949
2713,290000,0.8784
2784,292000,0.9118
2856,294000,0.9132
2904,296000,0.8633
2965,298000,0.896
3040,300000,0.9173
3110,302000,0.9105
3170,304000,0.8947
3224,306000,0.8961
3286,308000,0.8872
3360,310000,0.9146
3436,312000,0.9178
3508,314000,0.9128
3572,316000,0.9011
3638,318000,0.9056
3723,320000,0.9251
3801,322000,0.9268
3874,324000,0.9057
3943,326000,0.9091
4014,328000,0.9106
4102,330000,0.9326
4175,332000,0.9096
4247,334000,0.9149
4335,336000,0.9259
4423,338000,0.9292
4504,340000,0.922
4601,342000,0.9348
4667,344000,0.9159
4755,346000,0.9203
4830,348000,0.9166
4908,350000,0.9183
5002,352000,0.9342
5093,354000,0.9313
5187,356000,0.9328
5285,358000,0.9372
5376,360000,0.9303
5465,362000,0.9297
5556,364000,0.9315
5644,366000,0.9293
5729,368000,0.9251
5809,370000,0.9207
5892,372000,0.9233
5991,374000,0.9367
6084,376000,0.9328
6174,378000,0.9305
6269,380000,0.9347
6367,382000,0.9363
6458,384000,0.9313
6555,386000,0.9351
6653,388000,0.9369
6738,390000,0.9269
6833,392000,0.9337
6930,394000,0.9352
7023,396000,0.9327
7091,398000,0.9072
7179,400000,0.9282
7266,402000,0.9266
7361,404000,0.9342
7464,406000,0.9391
7558,408000,0.9337
7652,410000,0.9331
7754,412000,0.9388
7853,414000,0.9368
7954,416000,0.9387
8054,418000,0.937
8153,420000,0.9372
8256,422000,0.9393
8356,424000,0.9374
8435,426000,0.9195
8539,428000,0.9399
8642,430000,0.9394
8744,432000,0.9388
8842,434000,0.936
8935,436000,0.9331
9037,438000,0.9388
9137,440000,0.937
9225,442000,0.9307
9323,444000,0.9339
9399,446000,0.9255
9459,448000,0.8835
9545,450000,0.9335
9628,452000,0.9152
9731,454000,0.9397
9838,456000,0.9412
9915,458000,0.9191
10010,460000,0.9332
10094,462000,0.9242
10182,464000,0.9292
10274,466000,0.932
10373,468000,0.9369
10470,470000,0.9354
10558,472000,0.9296
10645,474000,0.9268
10748,476000,0.939
10853,478000,0.9405
10956,480000,0.9394
11057,482000,0.938
11147,484000,0.9299
11249,486000,0.9385
11353,488000,0.9399
11457,490000,0.9401
11557,492000,0.9374
11649,494000,0.9308
11724,496000,0.9141
11832,498000,0.942
11939,500000,0.9422
12040,502000,0.9377
12141,504000,0.938
12243,506000,0.9393
12338,508000,0.9335
12443,510000,0.9405
12543,512000,0.9372
12644,514000,0.9382
12750,516000,0.9413
12859,518000,0.9425
12967,520000,0.9422
13051,522000,0.924
13120,524000,0.9067
13215,526000,0.9342
13316,528000,0.9384
13416,530000,0.9373
13512,532000,0.9413
13616,534000,0.9341
13720,536000,0.94
13825,538000,0.9403
13907,540000,0.9282
14004,542000,0.9296
14108,544000,0.94
14217,546000,0.9427
14318,548000,0.9381
14422,550000,0.9397
14523,552000,0.9384
14626,554000,0.9396
14733,556000,0.941
14839,558000,0.941
14941,560000,0.9393
15042,562000,0.9378
15140,564000,0.9365
15250,566000,0.943
15357,568000,0.9418
15459,570000,0.9389
15551,572000,0.9312
15654,574000,0.9394
15758,576000,0.9402
15848,578000,0.9293
15938,580000,0.9297
16045,582000,0.9416
16142,584000,0.9353
16229,586000,0.9282
16295,588000,0.9132
16394,590000,0.9306
16483,592000,0.9287
16589,594000,0.9416
16698,596000,0.9421
16782,598000,0.9243
16869,600000,0.9273
16895,602000,0.7659
16942,604000,0.86
17018,606000,0.9123
17094,608000,0.9152
17195,610000,0.9381
17279,612000,0.9243
17369,614000,0.9293
17478,616000,0.9427
17577,618000,0.9371
17668,620000,0.9296
17766,622000,0.9365
17869,624000,0.9395
17978,626000,0.9423
18089,628000,0.9437
18196,630000,0.9417
18293,632000,0.9356
18398,634000,0.9406
18503,636000,0.9401
18610,638000,0.9421
18716,640000,0.9405
18821,642000,0.9407
18928,644000,0.9415
19036,646000,0.9424
19139,648000,0.9391
19237,650000,0.9359
19327,652000,0.931
19387,654000,0.8903
19442,656000,0.8812
19516,658000,0.9139
19614,660000,0.9368
19705,662000,0.9299
19809,664000,0.9445
19909,666000,0.9329
20018,668000,0.9426
20117,670000,0.9366
20194,672000,0.9276
20286,674000,0.9248
20394,676000,0.9421
20505,678000,0.9439
20611,680000,0.9407
20705,682000,0.9339
20810,684000,0.9401
20898,686000,0.928
20993,688000,0.9349
21085,690000,0.9316
21184,692000,0.9368
21272,694000,0.9281
21382,696000,0.9432
21491,698000,0.9423
21600,700000,0.9426
21706,702000,0.9413
21811,704000,0.9405
21917,706000,0.9409
22022,708000,0.9404
22129,710000,0.9419
22237,712000,0.942
22340,714000,0.9396
22451,716000,0.9438
22563,718000,0.9437
22667,720000,0.9403
22778,722000,0.9436
22884,724000,0.9428
22991,726000,0.9399
23101,728000,0.9429
23208,730000,0.9416
23295,732000,0.9273
23397,734000,0.9388
23505,736000,0.9417
23577,738000,0.9124
23665,740000,0.928
23748,742000,0.9229
23840,744000,0.933
23944,746000,0.9405
24053,748000,0.9412
24151,750000,0.9368
24253,752000,0.9386
24360,754000,0.9415
24448,756000,0.9277
24525,758000,0.9162
24635,760000,0.9433
24742,762000,0.9419
24841,764000,0.9352
24942,766000,0.9388
25041,768000,0.9364
25153,770000,0.9445
25263,772000,0.9428
25358,774000,0.9333
25461,776000,0.9412
25556,778000,0.9313
25649,780000,0.9326
