episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
24,16000,0.0
28,18000,0.0
31,20000,0.0
34,22000,0.0
37,24000,0.0
40,26000,0.0
43,28000,0.0
47,30000,0.2352
50,32000,0.0
54,34000,0.0
57,36000,0.0
60,38000,0.1735
64,40000,0.1509
67,42000,0.1397
72,44000,0.2366
75,46000,0.0
78,48000,0.1093
82,50000,0.1175
86,52000,0.3246
89,54000,0.1627
94,56000,0.2928
99,58000,0.4028
103,60000,0.1277
108,62000,0.4681
111,64000,0.1205
115,66000,0.1751
120,68000,0.4656
125,70000,0.3407
128,72000,0.0516
133,74000,0.384
137,76000,0.1315
141,78000,0.3815
148,80000,0.461
152,82000,0.4129
156,84000,0.3021
160,86000,0.2243
167,88000,0.5532
174,90000,0.5696
183,92000,0.5992
188,94000,0.514
195,96000,0.5506
204,98000,0.712
211,100000,0.5258
222,102000,0.6957
232,104000,0.7891
240,106000,0.5292
248,108000,0.6124
251,110000,0.2644
256,112000,0.373
272,114000,0.7719
280,116000,0.6433
290,118000,0.7305
295,120000,0.3862
301,122000,0.4815
308,124000,0.6303
313,126000,0.3359
321,128000,0.5677
335,130000,0.7827
353,132000,0.8409
383,134000,0.9123
403,136000,0.8388
433,138000,0.9044
448,140000,0.8107
463,142000,0.8097
484,144000,0.8667
507,146000,0.883
535,148000,0.9032
567,150000,0.9047
595,152000,0.8962
636,154000,0.9321
667,156000,0.9052
702,158000,0.9198
747,160000,0.9377
801,162000,0.9485
854,164000,0.9464
904,166000,0.9433
961,168000,0.9513
1017,170000,0.9511
1079,172000,0.9545
1135,174000,0.9479
1194,176000,0.9523
1256,178000,0.9554
1323,180000,0.9577
1390,182000,0.9584
1467,184000,0.9628
1540,186000,0.9615
1610,188000,0.96
1685,190000,0.9633
1748,192000,0.9543
1825,194000,0.9637
1900,196000,0.9631
1979,198000,0.9636
2062,200000,0.9661
2122,202000,0.9514
2214,204000,0.9695
2288,206000,0.9621
2369,208000,0.9653
2461,210000,0.9693
2552,212000,0.9692
2640,214000,0.968
2726,216000,0.9673
2828,218000,0.9725
2929,220000,0.972
3023,222000,0.9701
3112,224000,0.9686
3209,226000,0.9711
3306,228000,0.9708
3361,230000,0.963
3416,232000,0.9466
3514,234000,0.9624
3589,236000,0.9625
3681,238000,0.9694
3772,240000,0.9693
3874,242000,0.9724
3970,244000,0.9707
4059,246000,0.9683
4153,248000,0.9702
4214,250000,0.9522
4307,252000,0.97
4410,254000,0.9726
4510,256000,0.9718
4612,258000,0.9723
4711,260000,0.9717
4803,262000,0.9695
4874,264000,0.959
4967,266000,0.9697
5068,268000,0.9725
5146,270000,0.9639
5249,272000,0.9724
5349,274000,0.972
5452,276000,0.9726
5554,278000,0.9723
5655,280000,0.9722
5758,282000,0.9727
5859,284000,0.9722
5963,286000,0.973
6058,288000,0.9705
6164,290000,0.9733
6260,292000,0.9708
6361,294000,0.9723
6456,296000,0.9702
6558,298000,0.9725
6661,300000,0.9727
6766,302000,0.9733
6875,304000,0.9741
6978,306000,0.9726
7076,308000,0.9715
7180,310000,0.9728
7258,312000,0.964
7362,314000,0.9729
7462,316000,0.9719
7557,318000,0.9705
7653,320000,0.9706
7759,322000,0.9735
7860,324000,0.9722
7964,326000,0.973
8067,328000,0.9726
8167,330000,0.9719
8269,332000,0.9723
8370,334000,0.9722
8475,336000,0.9732
8576,338000,0.9723
8673,340000,0.971
8769,342000,0.9706
8871,344000,0.9723
8967,346000,0.9708
9065,348000,0.9712
9168,350000,0.9729
9261,352000,0.9696
9367,354000,0.9736
9471,356000,0.973
9540,358000,0.9659
9632,360000,0.9632
9726,362000,0.97
9829,364000,0.9728
9922,366000,0.9695
10022,368000,0.9719
10121,370000,0.9716
10220,372000,0.9719
10318,374000,0.9711
10424,376000,0.9734
10530,378000,0.9735
10630,380000,0.972
10725,382000,0.9704
10830,384000,0.9733
10934,386000,0.9727
11036,388000,0.9727
11142,390000,0.9734
11243,392000,0.972
11347,394000,0.973
11451,396000,0.9729
11553,398000,0.9725
11661,400000,0.974
11763,402000,0.9724
11867,404000,0.9729
11973,406000,0.9736
12081,408000,0.9738
12153,410000,0.972
12252,412000,0.9625
12351,414000,0.9717
12457,416000,0.9734
12567,418000,0.9745
12672,420000,0.9732
12781,422000,0.9741
12884,424000,0.9729
12985,426000,0.972
13092,428000,0.9738
13195,430000,0.9726
13287,432000,0.9694
13389,434000,0.9725
13492,436000,0.9725
13595,438000,0.9727
13700,440000,0.9733
13798,442000,0.9715
13891,444000,0.9697
13995,446000,0.9729
14102,448000,0.9736
14209,450000,0.974
14308,452000,0.9714
14409,454000,0.9721
14513,456000,0.9731
14612,458000,0.9716
14720,460000,0.9738
14776,462000,0.9554
14830,464000,0.9365
14937,466000,0.974
15043,468000,0.9732
15142,470000,0.9716
15216,472000,0.9676
15301,474000,0.9609
15406,476000,0.9735
15458,478000,0.9435
15520,480000,0.9533
15618,482000,0.9711
15724,484000,0.9734
15819,486000,0.9706
15915,488000,0.972
16021,490000,0.9721
16131,492000,0.9746
16202,494000,0.9587
16273,496000,0.9594
16387,498000,0.9751
16494,500000,0.9737
16601,502000,0.9738
16706,504000,0.9733
16804,506000,0.9712
16906,508000,0.9725
17005,510000,0.9716
17107,512000,0.9722
17212,514000,0.9734
17317,516000,0.9731
17422,518000,0.9734
17529,520000,0.9737
17635,522000,0.9733
17739,524000,0.9731
17845,526000,0.9733
17946,528000,0.9724
18052,530000,0.9733
18160,532000,0.9742
18264,534000,0.9728
18368,536000,0.9728
18475,538000,0.9736
18579,540000,0.9731
18685,542000,0.9733
18790,544000,0.9734
18892,546000,0.9723
18992,548000,0.9719
19103,550000,0.9749
19207,552000,0.9727
19279,554000,0.9596
19378,556000,0.9715
19482,558000,0.9731
19584,560000,0.9723
19658,562000,0.9608
19758,564000,0.9718
19861,566000,0.9727
19969,568000,0.9739
20072,570000,0.9727
20176,572000,0.9729
20288,574000,0.975
20390,576000,0.9724
20497,578000,0.9738
20610,580000,0.9751
20721,582000,0.9746
20826,584000,0.9733
20933,586000,0.9736
21028,588000,0.9705
21133,590000,0.9732
21232,592000,0.9717
21334,594000,0.9723
21437,596000,0.9726
21544,598000,0.9739
21646,600000,0.9723
21754,602000,0.974
21863,604000,0.9743
21963,606000,0.9716
22065,608000,0.9725
22172,610000,0.9737
22278,612000,0.9735
22385,614000,0.9735
22491,616000,0.9735
22601,618000,0.9744
22710,620000,0.9743
22821,622000,0.9746
22924,624000,0.9729
22997,626000,0.96
23100,628000,0.9727
23209,630000,0.9741
23317,632000,0.9739
23425,634000,0.974
23533,636000,0.9738
23636,638000,0.9728
23711,640000,0.961
23820,642000,0.9742
23917,644000,0.971
24023,646000,0.9735
24130,648000,0.9738
24231,650000,0.9721
24334,652000,0.9727
24428,654000,0.97
24525,656000,0.9711
24629,658000,0.9729
24731,660000,0.9723
24834,662000,0.973
