episode,timestep,reward
1,2000,0.0
3,4000,0.0
5,6000,0.0
7,8000,0.0
9,10000,0.0
11,12000,0.0
13,14000,0.0
15,16000,0.0
17,18000,0.0
19,20000,0.0
21,22000,0.0
23,24000,0.0
25,26000,0.0
27,28000,0.0
29,30000,0.0
31,32000,0.0
33,34000,0.0
35,36000,0.0
37,38000,0.0
39,40000,0.0
41,42000,0.0
43,44000,0.0
45,46000,0.0
47,48000,0.0
49,50000,0.0
51,52000,0.0
53,54000,0.0
55,56000,0.0
57,58000,0.0
59,60000,0.0
61,62000,0.0
63,64000,0.0
65,66000,0.0
67,68000,0.0
69,70000,0.0
71,72000,0.0
73,74000,0.0
76,76000,0.309
78,78000,0.0
82,80000,0.464
86,82000,0.4653
92,84000,0.6007
109,86000,0.8924
114,88000,0.8093
136,90000,0.8758
147,92000,0.8309
183,94000,0.9531
210,96000,0.9318
254,98000,0.9602
298,100000,0.9599
349,102000,0.9654
394,104000,0.9614
444,106000,0.9645
497,108000,0.9673
553,110000,0.9684
610,112000,0.9688
667,114000,0.9692
727,116000,0.9707
788,118000,0.9712
849,120000,0.9714
910,122000,0.9713
973,124000,0.9719
1037,126000,0.9726
1101,128000,0.9725
1167,130000,0.9732
1231,132000,0.9728
1298,134000,0.9736
1364,136000,0.9734
1432,138000,0.974
1499,140000,0.974
1568,142000,0.9744
1637,144000,0.9746
1707,146000,0.9747
1776,148000,0.9747
1846,150000,0.975
1917,152000,0.9751
1988,154000,0.9752
2059,156000,0.9755
2131,158000,0.9753
2200,160000,0.9747
2273,162000,0.9758
2345,164000,0.9756
2417,166000,0.9755
2486,168000,0.9748
2559,170000,0.9756
2631,172000,0.9758
2704,174000,0.9759
2777,176000,0.9759
2849,178000,0.9756
2922,180000,0.9759
2995,182000,0.9758
3067,184000,0.9757
3140,186000,0.9758
3212,188000,0.9757
3285,190000,0.976
3358,192000,0.9758
3431,194000,0.9758
3503,196000,0.9759
3576,198000,0.9759
3649,200000,0.9759
