episode,timestep,reward
2,2000,0.0
5,4000,0.0
7,6000,0.0
11,8000,0.0
13,10000,0.0
15,12000,0.0
18,14000,0.0
20,16000,0.0
22,18000,0.0
24,20000,0.0
26,22000,0.0
29,24000,0.0
32,26000,0.0
34,28000,0.0
36,30000,0.0
38,32000,0.0
40,34000,0.0
42,36000,0.0
44,38000,0.0
47,40000,0.0
49,42000,0.0
53,44000,0.0
55,46000,0.0
57,48000,0.0
59,50000,0.0
61,52000,0.0
64,54000,0.0
66,56000,0.0
70,58000,0.0
74,60000,0.0
78,62000,0.0
80,64000,0.0
82,66000,0.0
84,68000,0.0
86,70000,0.0
88,72000,0.0
90,74000,0.1639
92,76000,0.0
94,78000,0.0
96,80000,0.0
99,82000,0.0
102,84000,0.0
106,86000,0.0
110,88000,0.1625
114,90000,0.0
117,92000,0.0
119,94000,0.0
122,96000,0.0
125,98000,0.0
127,100000,0.0
129,102000,0.0
133,104000,0.0
135,106000,0.0
137,108000,0.0
141,110000,0.0
147,112000,0.0
150,114000,0.0
154,116000,0.0
156,118000,0.0
160,120000,0.0
164,122000,0.0
166,124000,0.0
168,126000,0.0
170,128000,0.0
172,130000,0.0
174,132000,0.0
176,134000,0.0
179,136000,0.0
183,138000,0.0
187,140000,0.0
190,142000,0.0
194,144000,0.0
197,146000,0.0
207,148000,0.0
209,150000,0.0
211,152000,0.0
213,154000,0.0
216,156000,0.0
218,158000,0.0
223,160000,0.1037
226,162000,0.0
231,164000,0.0
234,166000,0.0
236,168000,0.0
241,170000,0.1632
244,172000,0.0
247,174000,0.0
250,176000,0.0
252,178000,0.0
254,180000,0.0
256,182000,0.0
261,184000,0.0
264,186000,0.0
268,188000,0.0
271,190000,0.2649
273,192000,0.0
276,194000,0.0
285,196000,0.0
291,198000,0.0
298,200000,0.0
303,202000,0.0
306,204000,0.0
308,206000,0.0
310,208000,0.0
313,210000,0.0
315,212000,0.0
317,214000,0.0
320,216000,0.0
322,218000,0.0
326,220000,0.0
329,222000,0.0
333,224000,0.0
335,226000,0.1551
339,228000,0.0
343,230000,0.0
345,232000,0.3284
349,234000,0.0
352,236000,0.0
354,238000,0.0
356,240000,0.0
359,242000,0.0
363,244000,0.0
366,246000,0.1728
369,248000,0.2975
376,250000,0.1272
380,252000,0.2337
385,254000,0.0633
390,256000,0.0
396,258000,0.1357
403,260000,0.0903
411,262000,0.0
413,264000,0.0
415,266000,0.0
419,268000,0.0
422,270000,0.0
428,272000,0.0
433,274000,0.2718
438,276000,0.0802
440,278000,0.1738
446,280000,0.2672
452,282000,0.1344
455,284000,0.1557
458,286000,0.3613
463,288000,0.0
468,290000,0.1543
473,292000,0.0
478,294000,0.2529
481,296000,0.5045
487,298000,0.0
489,300000,0.0
496,302000,0.0
501,304000,0.1242
506,306000,0.1176
513,308000,0.1491
515,310000,0.1614
518,312000,0.5635
522,314000,0.3987
528,316000,0.3283
532,318000,0.0
537,320000,0.2833
546,322000,0.2312
552,324000,0.211
557,326000,0.1942
564,328000,0.0794
573,330000,0.1306
579,332000,0.2262
587,334000,0.4626
590,336000,0.2138
593,338000,0.0
597,340000,0.3639
604,342000,0.5904
612,344000,0.5798
627,346000,0.3976
637,348000,0.3593
649,350000,0.4124
667,352000,0.4403
670,354000,0.2501
680,356000,0.4841
693,358000,0.6028
697,360000,0.6763
713,362000,0.3904
733,364000,0.4914
760,366000,0.4411
787,368000,0.5119
809,370000,0.6338
847,372000,0.5412
877,374000,0.6888
916,376000,0.5351
955,378000,0.5611
1005,380000,0.44
1049,382000,0.563
1090,384000,0.5366
1138,386000,0.5379
1190,388000,0.5357
1248,390000,0.4995
1311,392000,0.4606
1364,394000,0.5442
1422,396000,0.5673
1487,398000,0.5374
1535,400000,0.5189
1583,402000,0.5381
1643,404000,0.5974
1710,406000,0.4468
1777,408000,0.4781
1836,410000,0.5746
1876,412000,0.4387
1941,414000,0.5216
1996,416000,0.6687
2058,418000,0.4993
2121,420000,0.5391
2180,422000,0.5746
2251,424000,0.5337
2310,426000,0.4902
2375,428000,0.506
2429,430000,0.5156
2461,432000,0.6185
2525,434000,0.4528
2585,436000,0.4827
2640,438000,0.5435
2693,440000,0.6385
2748,442000,0.5621
2807,444000,0.5065
2865,446000,0.5667
2916,448000,0.5841
2967,450000,0.7206
3018,452000,0.5848
3047,454000,0.5337
3096,456000,0.6285
3153,458000,0.5938
3204,460000,0.6028
3255,462000,0.6628
3299,464000,0.7213
3356,466000,0.6117
3415,468000,0.5904
3479,470000,0.5138
3532,472000,0.694
3594,474000,0.6267
3654,476000,0.6631
3718,478000,0.607
3787,480000,0.5928
3857,482000,0.6262
3931,484000,0.5665
3992,486000,0.6207
4053,488000,0.5881
4112,490000,0.6246
4165,492000,0.7124
4223,494000,0.5837
4283,496000,0.7122
4337,498000,0.6634
4393,500000,0.7267
4450,502000,0.6977
4509,504000,0.6745
4583,506000,0.5656
4647,508000,0.6223
4706,510000,0.6581
4771,512000,0.6747
4843,514000,0.5541
4903,516000,0.696
4969,518000,0.6042
5025,520000,0.621
5081,522000,0.675
5152,524000,0.4928
5215,526000,0.5855
5275,528000,0.6803
5324,530000,0.7091
5392,532000,0.5717
5453,534000,0.6196
5513,536000,0.6629
5564,538000,0.6823
5627,540000,0.5856
5687,542000,0.6466
5744,544000,0.6798
5806,546000,0.6422
5870,548000,0.6835
5921,550000,0.7984
5979,552000,0.6352
6042,554000,0.6641
6091,556000,0.7509
6148,558000,0.6636
6203,560000,0.6864
6262,562000,0.6912
6325,564000,0.664
6389,566000,0.6538
6443,568000,0.6447
6509,570000,0.6193
6569,572000,0.6477
6628,574000,0.657
6685,576000,0.7492
6747,578000,0.6738
6809,580000,0.7063
6873,582000,0.6225
6934,584000,0.6523
6990,586000,0.6579
