episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
34,10000,0.0
41,12000,0.0
48,14000,0.0
55,16000,0.0
62,18000,0.0
69,20000,0.0
76,22000,0.0
83,24000,0.0
90,26000,0.0
97,28000,0.0
104,30000,0.0
111,32000,0.0
118,34000,0.0
125,36000,0.0714
133,38000,0.1168
140,40000,0.0
147,42000,0.0
154,44000,0.0
160,46000,0.0
167,48000,0.0
174,50000,0.0
182,52000,0.0805
189,54000,0.0
196,56000,0.0888
203,58000,0.0286
210,60000,0.0
217,62000,0.0
226,64000,0.1587
233,66000,0.0
240,68000,0.0
246,70000,0.0
253,72000,0.0
261,74000,0.0816
269,76000,0.116
276,78000,0.0589
283,80000,0.0
290,82000,0.0
298,84000,0.0879
304,86000,0.0
311,88000,0.0
319,90000,0.0523
326,92000,0.0
334,94000,0.1414
342,96000,0.1312
349,98000,0.1058
357,100000,0.1195
364,102000,0.0
371,104000,0.0518
378,106000,0.0
386,108000,0.0941
393,110000,0.0
400,112000,0.104
407,114000,0.0
414,116000,0.0312
421,118000,0.0
428,120000,0.0
435,122000,0.0
443,124000,0.1
451,126000,0.1266
459,128000,0.2367
466,130000,0.0
474,132000,0.0688
481,134000,0.0
488,136000,0.129
496,138000,0.1078
504,140000,0.0805
511,142000,0.0527
518,144000,0.0281
526,146000,0.2246
535,148000,0.1476
542,150000,0.0737
550,152000,0.1055
558,154000,0.1191
567,156000,0.3167
574,158000,0.0442
583,160000,0.1889
591,162000,0.1934
600,164000,0.1858
607,166000,0.0
616,168000,0.2823
626,170000,0.2734
633,172000,0.0567
642,174000,0.2747
650,176000,0.1676
660,178000,0.2616
669,180000,0.2257
677,182000,0.1863
690,184000,0.5029
702,186000,0.4383
711,188000,0.2757
722,190000,0.3781
732,192000,0.3009
747,194000,0.5656
758,196000,0.3895
768,198000,0.3181
781,200000,0.4918
793,202000,0.4393
808,204000,0.56
825,206000,0.6132
840,208000,0.5744
853,210000,0.4817
869,212000,0.5854
884,214000,0.6233
900,216000,0.5303
918,218000,0.6375
934,220000,0.6271
949,222000,0.5452
963,224000,0.5076
982,226000,0.6816
994,228000,0.4294
1014,230000,0.6772
1035,232000,0.6979
1047,234000,0.4945
1069,236000,0.6661
1091,238000,0.7051
1107,240000,0.61
1127,242000,0.6495
1145,244000,0.6389
1161,246000,0.6252
1182,248000,0.692
1203,250000,0.6564
1229,252000,0.737
1251,254000,0.7122
1274,256000,0.7105
1295,258000,0.6734
1326,260000,0.7978
1355,262000,0.7856
1373,264000,0.6095
1400,266000,0.7619
1423,268000,0.7019
1453,270000,0.7955
1475,272000,0.6703
1510,274000,0.8406
1544,276000,0.779
1580,278000,0.8198
1609,280000,0.7685
1636,282000,0.7562
1667,284000,0.7871
1704,286000,0.8229
1747,288000,0.8503
1782,290000,0.834
1817,292000,0.7905
1845,294000,0.7902
1876,296000,0.7675
1912,298000,0.818
1951,300000,0.8346
1985,302000,0.8085
2028,304000,0.8589
2064,306000,0.8274
2106,308000,0.8421
2143,310000,0.8137
2192,312000,0.8604
2222,314000,0.8077
2250,316000,0.7471
2286,318000,0.803
2318,320000,0.812
2341,322000,0.7135
2387,324000,0.844
2419,326000,0.8113
2471,328000,0.8646
2516,330000,0.852
2566,332000,0.8672
2599,334000,0.7981
2643,336000,0.8478
2683,338000,0.8552
2716,340000,0.7836
2749,342000,0.7975
2774,344000,0.7523
2812,346000,0.8236
2856,348000,0.8425
2885,350000,0.7782
2910,352000,0.7309
2940,354000,0.7589
2979,356000,0.8438
3031,358000,0.8698
3075,360000,0.8511
3104,362000,0.7628
3141,364000,0.8463
3172,366000,0.758
3208,368000,0.8128
3256,370000,0.8633
3292,372000,0.8161
3349,374000,0.8967
3376,376000,0.7272
3416,378000,0.8455
3449,380000,0.8148
3495,382000,0.8571
3529,384000,0.7796
3580,386000,0.8711
3625,388000,0.8627
3666,390000,0.8419
3696,392000,0.7704
3738,394000,0.8356
3767,396000,0.7626
3808,398000,0.8387
3836,400000,0.776
3876,402000,0.8237
3909,404000,0.817
3956,406000,0.8598
3997,408000,0.8261
4032,410000,0.8087
4082,412000,0.8697
4124,414000,0.8408
4156,416000,0.8098
4187,418000,0.7788
4244,420000,0.8907
4291,422000,0.8486
4326,424000,0.8191
4360,426000,0.8131
4422,428000,0.8847
4461,430000,0.831
4541,432000,0.9197
4593,434000,0.8742
4617,436000,0.7375
4659,438000,0.8359
4723,440000,0.8989
4770,442000,0.857
4826,444000,0.8829
4870,446000,0.8526
4912,448000,0.8499
4974,450000,0.8919
5013,452000,0.8395
5055,454000,0.8387
5090,456000,0.8279
5138,458000,0.8462
5168,460000,0.8049
5221,462000,0.8594
5253,464000,0.7975
5292,466000,0.8377
5338,468000,0.8463
5382,470000,0.8656
5418,472000,0.7995
5467,474000,0.87
5500,476000,0.7907
5565,478000,0.9013
5621,480000,0.8973
5671,482000,0.8559
5721,484000,0.8796
5756,486000,0.797
5791,488000,0.8205
5835,490000,0.8447
5890,492000,0.8792
5926,494000,0.8181
5994,496000,0.9048
6034,498000,0.834
6081,500000,0.8612
6132,502000,0.8707
6191,504000,0.9026
6249,506000,0.8776
6317,508000,0.9143
6354,510000,0.8072
6388,512000,0.8146
6447,514000,0.8804
6517,516000,0.9076
6549,518000,0.7904
6611,520000,0.8965
6687,522000,0.9176
6740,524000,0.8735
6816,526000,0.9168
6879,528000,0.9
6938,530000,0.8862
6994,532000,0.8826
7014,534000,0.6927
7064,536000,0.8547
7124,538000,0.8931
7189,540000,0.902
7249,542000,0.8894
7320,544000,0.9086
7385,546000,0.9007
7452,548000,0.9041
7528,550000,0.919
7574,552000,0.8521
7629,554000,0.8801
7689,556000,0.8931
7729,558000,0.8541
7778,560000,0.8603
7836,562000,0.8788
7905,564000,0.9061
7954,566000,0.8825
7999,568000,0.8458
8064,570000,0.8926
8128,572000,0.8988
8194,574000,0.9169
8280,576000,0.9166
8356,578000,0.9209
8381,580000,0.7116
8462,582000,0.9219
8524,584000,0.8959
8587,586000,0.9001
8632,588000,0.8694
8687,590000,0.8632
8747,592000,0.9052
8800,594000,0.8768
8870,596000,0.8967
8917,598000,0.8624
8967,600000,0.8719
9016,602000,0.8582
9065,604000,0.8721
9120,606000,0.8763
9178,608000,0.8879
9236,610000,0.8871
9286,612000,0.8689
9329,614000,0.8457
9395,616000,0.9024
9448,618000,0.8784
9503,620000,0.8795
9557,622000,0.886
9643,624000,0.9236
9706,626000,0.8957
9774,628000,0.9049
9844,630000,0.908
9922,632000,0.9187
9993,634000,0.9103
10062,636000,0.9073
10139,638000,0.925
10166,640000,0.7508
10214,642000,0.8669
10281,644000,0.8935
10343,646000,0.9015
10418,648000,0.916
10488,650000,0.905
10544,652000,0.8834
10596,654000,0.8743
10675,656000,0.9203
10719,658000,0.8468
10773,660000,0.8894
10828,662000,0.8748
10884,664000,0.8843
10957,666000,0.9113
11022,668000,0.9011
11098,670000,0.9169
11161,672000,0.9117
11214,674000,0.8596
11306,676000,0.9322
11389,678000,0.9228
11465,680000,0.9174
11538,682000,0.9122
11607,684000,0.9066
11678,686000,0.9096
11760,688000,0.9251
11828,690000,0.903
11888,692000,0.891
11946,694000,0.8874
12027,696000,0.9315
12078,698000,0.8577
12153,700000,0.919
12188,702000,0.8203
12255,704000,0.8941
12325,706000,0.9092
12381,708000,0.8834
12438,710000,0.8848
12528,712000,0.9314
12604,714000,0.9155
12670,716000,0.9025
12740,718000,0.9214
12792,720000,0.8564
12853,722000,0.8936
12921,724000,0.9054
12970,726000,0.8815
13012,728000,0.8231
13103,730000,0.932
13171,732000,0.9044
13257,734000,0.9281
13325,736000,0.9045
13376,738000,0.8782
13443,740000,0.9042
13503,742000,0.8882
13566,744000,0.8975
13638,746000,0.9106
13727,748000,0.9295
13819,750000,0.9325
13895,752000,0.9158
13974,754000,0.921
14072,756000,0.9351
14171,758000,0.9373
14249,760000,0.9189
14347,762000,0.9369
14436,764000,0.9288
14532,766000,0.9347
14631,768000,0.9369
14727,770000,0.9352
14826,772000,0.9365
14926,774000,0.938
15001,776000,0.9137
15095,778000,0.9334
15169,780000,0.9127
15266,782000,0.9359
15353,784000,0.9282
15441,786000,0.9294
15540,788000,0.9361
15618,790000,0.9232
