episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
25,16000,0.0271
28,18000,0.0
31,20000,0.1876
35,22000,0.1196
38,24000,0.1163
42,26000,0.0865
45,28000,0.083
48,30000,0.0826
52,32000,0.1316
55,34000,0.203
59,36000,0.0746
62,38000,0.0797
66,40000,0.2954
70,42000,0.2521
74,44000,0.0974
78,46000,0.3502
81,48000,0.0
86,50000,0.2701
89,52000,0.2311
96,54000,0.4676
99,56000,0.1281
103,58000,0.3059
109,60000,0.4058
112,62000,0.0408
122,64000,0.6843
128,66000,0.6433
133,68000,0.4163
138,70000,0.2704
147,72000,0.688
151,74000,0.2349
156,76000,0.4518
164,78000,0.6541
174,80000,0.7036
187,82000,0.766
200,84000,0.7802
220,86000,0.8551
241,88000,0.881
256,90000,0.7961
278,92000,0.8646
295,94000,0.8465
313,96000,0.8555
342,98000,0.8903
380,100000,0.9204
426,102000,0.9382
454,104000,0.8957
499,106000,0.9373
521,108000,0.8951
576,110000,0.9402
614,112000,0.9328
665,114000,0.9376
723,116000,0.9526
783,118000,0.9519
854,120000,0.9604
921,122000,0.9585
992,124000,0.9605
1070,126000,0.9638
1145,128000,0.9621
1206,130000,0.9553
1268,132000,0.9536
1345,134000,0.965
1419,136000,0.9601
1516,138000,0.9709
1592,140000,0.9629
1679,142000,0.9676
1769,144000,0.9691
1862,146000,0.9695
1952,148000,0.9688
2050,150000,0.9714
2149,152000,0.9717
2248,154000,0.9715
2338,156000,0.969
2427,158000,0.9681
2525,160000,0.9714
2626,162000,0.9722
2721,164000,0.9701
2823,166000,0.9727
2921,168000,0.9712
2999,170000,0.964
3093,172000,0.9699
3197,174000,0.9729
3289,176000,0.9696
3387,178000,0.9713
3483,180000,0.9708
3584,182000,0.9721
3680,184000,0.9706
3778,186000,0.9715
3876,188000,0.9712
3977,190000,0.9723
4079,192000,0.9724
4181,194000,0.9725
4276,196000,0.9702
4372,198000,0.9707
4458,200000,0.9676
4556,202000,0.9712
4656,204000,0.9718
4755,206000,0.9714
4852,208000,0.9714
4944,210000,0.969
5047,212000,0.9729
5148,214000,0.972
5252,216000,0.973
5353,218000,0.9722
5460,220000,0.9739
5560,222000,0.9716
5657,224000,0.9711
5760,226000,0.9726
5857,228000,0.9716
5960,230000,0.9724
6060,232000,0.9717
6161,234000,0.9722
6259,236000,0.9714
6368,238000,0.9741
6458,240000,0.9689
6566,242000,0.9739
6669,244000,0.9725
6772,246000,0.9727
6873,248000,0.9723
6977,250000,0.973
7072,252000,0.9704
7178,254000,0.9736
7282,256000,0.9727
7386,258000,0.9731
7496,260000,0.9745
7585,262000,0.9682
7683,264000,0.9714
7791,266000,0.974
7892,268000,0.972
7995,270000,0.9727
8067,272000,0.961
8175,274000,0.9739
8277,276000,0.9725
8378,278000,0.9721
8478,280000,0.9721
8577,282000,0.9714
8675,284000,0.9713
8742,286000,0.9567
8843,288000,0.972
8937,290000,0.9702
9036,292000,0.9716
9142,294000,0.9734
9242,296000,0.9718
9348,298000,0.9736
9450,300000,0.9725
9555,302000,0.973
9658,304000,0.9727
9748,306000,0.9729
9830,308000,0.96
9896,310000,0.9573
9956,312000,0.9535
10006,314000,0.9465
10024,316000,0.8133
10050,318000,0.8933
10063,320000,0.7744
10110,322000,0.9478
10176,324000,0.9528
10247,326000,0.9507
10315,328000,0.9572
10405,330000,0.9687
10496,332000,0.9693
10582,334000,0.9673
10672,336000,0.9688
10771,338000,0.9718
10869,340000,0.9708
10963,342000,0.9709
11056,344000,0.9693
11162,346000,0.9732
11259,348000,0.971
11360,350000,0.9722
11459,352000,0.9716
11562,354000,0.9728
11669,356000,0.9736
11770,358000,0.972
11873,360000,0.973
11979,362000,0.9733
12089,364000,0.9744
12193,366000,0.9731
12294,368000,0.9721
12394,370000,0.9717
12502,372000,0.9741
12610,374000,0.974
12696,376000,0.9671
12802,378000,0.9736
12895,380000,0.9697
12999,382000,0.9729
13106,384000,0.9737
13210,386000,0.973
13309,388000,0.9717
13416,390000,0.9736
13517,392000,0.9723
13624,394000,0.9736
13724,396000,0.9722
13823,398000,0.9713
13925,400000,0.9726
14029,402000,0.9729
14130,404000,0.9721
14242,406000,0.9749
14347,408000,0.9733
14454,410000,0.9737
14555,412000,0.9721
14651,414000,0.9708
14753,416000,0.9724
14855,418000,0.9723
14964,420000,0.9742
15032,422000,0.9594
15076,424000,0.928
15181,426000,0.9734
15285,428000,0.973
15394,430000,0.9741
15492,432000,0.9715
15597,434000,0.9732
15700,436000,0.9726
15808,438000,0.974
15914,440000,0.9734
16022,442000,0.9739
16130,444000,0.9741
16237,446000,0.9737
16350,448000,0.9753
16460,450000,0.9742
16571,452000,0.9748
16673,454000,0.9724
16771,456000,0.9712
16857,458000,0.9672
16961,460000,0.9729
17062,462000,0.9723
17172,464000,0.9743
17276,466000,0.9733
17383,468000,0.9734
17491,470000,0.9742
17598,472000,0.9737
17698,474000,0.9718
17805,476000,0.9736
17917,478000,0.9749
18019,480000,0.9727
18128,482000,0.974
18235,484000,0.9737
18343,486000,0.9741
18448,488000,0.9732
18547,490000,0.9716
18647,492000,0.9721
18719,494000,0.9592
18825,496000,0.9735
18925,498000,0.972
19031,500000,0.9736
19142,502000,0.9745
19247,504000,0.9733
19350,506000,0.9726
19458,508000,0.9739
19562,510000,0.9731
19661,512000,0.9716
19765,514000,0.9729
19873,516000,0.974
19983,518000,0.9743
20087,520000,0.9732
20187,522000,0.9719
20301,524000,0.9751
20406,526000,0.9733
20512,528000,0.9734
20621,530000,0.9744
20732,532000,0.9746
20837,534000,0.9732
20942,536000,0.9731
21048,538000,0.9735
21155,540000,0.9738
21255,542000,0.9719
21355,544000,0.972
21462,546000,0.9735
21567,548000,0.9732
21671,550000,0.9729
21780,552000,0.9745
21890,554000,0.9743
21986,556000,0.9707
22087,558000,0.9722
22195,560000,0.974
22298,562000,0.9725
22398,564000,0.9719
22508,566000,0.9745
22614,568000,0.9734
22722,570000,0.9742
22831,572000,0.9739
22934,574000,0.9727
23037,576000,0.9728
23112,578000,0.9613
23216,580000,0.9728
23323,582000,0.9737
23430,584000,0.9739
23534,586000,0.9728
23639,588000,0.9732
23747,590000,0.9741
23853,592000,0.9734
23958,594000,0.9731
24070,596000,0.9749
24174,598000,0.973
24280,600000,0.9734
24380,602000,0.9722
24480,604000,0.9715
24588,606000,0.974
24693,608000,0.9732
24799,610000,0.9736
24907,612000,0.9738
25007,614000,0.972
25110,616000,0.9726
25214,618000,0.973
25321,620000,0.9738
25425,622000,0.973
25534,624000,0.9741
25617,626000,0.9663
25723,628000,0.9733
25834,630000,0.9747
25941,632000,0.9736
26046,634000,0.9734
26150,636000,0.9729
26264,638000,0.9753
26365,640000,0.9723
26468,642000,0.9725
26571,644000,0.9727
26672,646000,0.9723
26775,648000,0.9726
26880,650000,0.9731
26986,652000,0.9737
27090,654000,0.9728
27196,656000,0.9734
