episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
24,16000,0.0
28,18000,0.0
31,20000,0.0
34,22000,0.0
37,24000,0.0
40,26000,0.0
43,28000,0.0
46,30000,0.0
49,32000,0.0
53,34000,0.0
56,36000,0.0
59,38000,0.0
62,40000,0.0
65,42000,0.0
68,44000,0.0
71,46000,0.0
74,48000,0.0
78,50000,0.0
81,52000,0.0
84,54000,0.0
87,56000,0.0
90,58000,0.0
93,60000,0.0858
97,62000,0.0
100,64000,0.0
103,66000,0.0
106,68000,0.0
110,70000,0.1649
113,72000,0.0
116,74000,0.0
119,76000,0.0
122,78000,0.0
125,80000,0.0
128,82000,0.0
132,84000,0.0
135,86000,0.0
138,88000,0.0
141,90000,0.0
144,92000,0.0
147,94000,0.0
150,96000,0.0
153,98000,0.0
157,100000,0.0
160,102000,0.0915
163,104000,0.0
166,106000,0.0
169,108000,0.0
172,110000,0.0
175,112000,0.0
179,114000,0.0
182,116000,0.1824
185,118000,0.0
188,120000,0.0
192,122000,0.0
195,124000,0.0
198,126000,0.0
201,128000,0.0
204,130000,0.0
207,132000,0.0
210,134000,0.0
213,136000,0.0
217,138000,0.0
220,140000,0.0
223,142000,0.0
226,144000,0.0
229,146000,0.0
232,148000,0.0
235,150000,0.0
239,152000,0.0334
242,154000,0.0
245,156000,0.0
248,158000,0.0
251,160000,0.1449
255,162000,0.0
258,164000,0.0
261,166000,0.0
265,168000,0.333
268,170000,0.0
271,172000,0.0
275,174000,0.0
278,176000,0.0
281,178000,0.1908
284,180000,0.0
288,182000,0.1382
291,184000,0.0
294,186000,0.0
297,188000,0.0
301,190000,0.2085
304,192000,0.0
308,194000,0.1076
312,196000,0.1864
316,198000,0.1572
319,200000,0.1458
322,202000,0.0
325,204000,0.0
329,206000,0.1653
333,208000,0.2022
336,210000,0.0
339,212000,0.0
342,214000,0.0
346,216000,0.1716
349,218000,0.0
352,220000,0.0
355,222000,0.0
359,224000,0.1902
363,226000,0.1045
367,228000,0.2982
372,230000,0.348
375,232000,0.0
380,234000,0.4498
385,236000,0.4473
389,238000,0.2173
393,240000,0.1794
397,242000,0.2286
401,244000,0.2148
405,246000,0.2434
409,248000,0.3316
413,250000,0.2243
417,252000,0.1987
422,254000,0.4974
428,256000,0.4792
437,258000,0.635
445,260000,0.6204
457,262000,0.816
468,264000,0.6857
473,266000,0.5283
482,268000,0.5811
496,270000,0.7875
502,272000,0.5326
522,274000,0.8526
533,276000,0.7675
550,278000,0.8196
565,280000,0.794
597,282000,0.9194
623,284000,0.9131
662,286000,0.9084
690,288000,0.919
720,290000,0.8939
747,292000,0.8957
785,294000,0.9252
835,296000,0.9419
886,298000,0.9441
925,300000,0.9252
977,302000,0.9456
1014,304000,0.9212
1069,306000,0.9487
1117,308000,0.9416
1166,310000,0.9571
1216,312000,0.9274
1257,314000,0.9301
1323,316000,0.957
1379,318000,0.9493
1437,320000,0.9525
1502,322000,0.9566
1557,324000,0.9497
1628,326000,0.9591
1690,328000,0.9546
1768,330000,0.9643
1838,332000,0.9599
1914,334000,0.9625
1981,336000,0.9594
2058,338000,0.9626
2120,340000,0.9547
2169,342000,0.9416
2248,344000,0.9637
2320,346000,0.9607
2403,348000,0.9662
2482,350000,0.9644
2565,352000,0.9658
2645,354000,0.9651
2719,356000,0.9617
2802,358000,0.9664
2880,360000,0.9637
2966,362000,0.9672
3044,364000,0.9641
3137,366000,0.9698
3221,368000,0.9663
3299,370000,0.9677
3370,372000,0.9553
3465,374000,0.9703
3551,376000,0.9671
3634,378000,0.966
3720,380000,0.9673
3813,382000,0.9699
3902,384000,0.9684
3996,386000,0.9701
4084,388000,0.9678
4170,390000,0.9687
4266,392000,0.9696
4358,394000,0.9694
4454,396000,0.9706
4548,398000,0.9704
4641,400000,0.9695
4731,402000,0.9688
4830,404000,0.9716
4927,406000,0.9711
5022,408000,0.9702
5115,410000,0.9699
5190,412000,0.9624
5260,414000,0.971
5354,416000,0.9606
5448,418000,0.9703
5548,420000,0.9719
5642,422000,0.9699
5744,424000,0.9727
5843,426000,0.9715
5910,428000,0.9567
5983,430000,0.9598
6051,432000,0.9573
6140,434000,0.9684
6224,436000,0.9666
6324,438000,0.9718
6425,440000,0.9725
6522,442000,0.9708
6619,444000,0.9707
6682,446000,0.9539
6782,448000,0.9717
6880,450000,0.9714
6982,452000,0.9724
7079,454000,0.9711
7183,456000,0.9728
7281,458000,0.9716
7380,460000,0.9715
7446,462000,0.9558
7543,464000,0.9711
7615,466000,0.9592
7712,468000,0.9709
7818,470000,0.9735
7917,472000,0.9716
8021,474000,0.973
8123,476000,0.9724
8225,478000,0.9724
8328,480000,0.9727
8428,482000,0.9718
8526,484000,0.9712
8596,486000,0.9584
8691,488000,0.9705
8792,490000,0.9722
8897,492000,0.9733
9001,494000,0.9729
9105,496000,0.973
9205,498000,0.9718
9305,500000,0.9719
9404,502000,0.9718
9509,504000,0.9729
9614,506000,0.9735
9722,508000,0.9737
9824,510000,0.9734
9927,512000,0.9718
10034,514000,0.9736
10135,516000,0.9723
10243,518000,0.9739
10344,520000,0.9721
10443,522000,0.9715
10549,524000,0.9736
10651,526000,0.9723
10755,528000,0.9729
10857,530000,0.9725
10961,532000,0.973
11062,534000,0.9722
11164,536000,0.9724
11271,538000,0.9736
11371,540000,0.972
11470,542000,0.9715
11570,544000,0.9719
11669,546000,0.9715
11771,548000,0.9726
11873,550000,0.9725
11969,552000,0.9706
12069,554000,0.9719
12168,556000,0.9719
12266,558000,0.971
12367,560000,0.9722
12471,562000,0.9729
12578,564000,0.9738
12650,566000,0.9596
12728,568000,0.9713
12826,570000,0.9645
12930,572000,0.9728
13031,574000,0.9723
13136,576000,0.973
13241,578000,0.9731
13350,580000,0.9742
13452,582000,0.9724
13557,584000,0.9734
13661,586000,0.9728
13762,588000,0.9723
13868,590000,0.9734
13977,592000,0.9743
14084,594000,0.9736
14187,596000,0.973
14293,598000,0.9734
14397,600000,0.9727
14501,602000,0.9733
14612,604000,0.9744
14720,606000,0.9739
14827,608000,0.9737
14927,610000,0.972
15028,612000,0.9721
15133,614000,0.9732
15228,616000,0.9722
15301,618000,0.9575
15405,620000,0.973
15508,622000,0.9727
15609,624000,0.9722
15713,626000,0.9731
15814,628000,0.9721
15908,630000,0.9702
16015,632000,0.9737
16119,634000,0.973
16228,636000,0.9742
16329,638000,0.9721
16433,640000,0.973
16538,642000,0.9733
16640,644000,0.9725
16743,646000,0.9726
16846,648000,0.9727
16954,650000,0.974
17065,652000,0.9746
17168,654000,0.9728
17265,656000,0.9715
17375,658000,0.974
17481,660000,0.9734
17587,662000,0.9734
17663,664000,0.9617
17759,666000,0.971
17862,668000,0.9724
17972,670000,0.9744
18078,672000,0.9735
18188,674000,0.9744
18297,676000,0.9741
18404,678000,0.9739
18510,680000,0.9735
18623,682000,0.975
18733,684000,0.9744
18839,686000,0.9736
