episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
22,14000,0.1301
25,16000,0.0
28,18000,0.0
32,20000,0.1266
35,22000,0.1571
38,24000,0.0521
42,26000,0.0387
45,28000,0.242
48,30000,0.0
52,32000,0.1182
55,34000,0.091
59,36000,0.1882
63,38000,0.1671
67,40000,0.3042
72,42000,0.3936
76,44000,0.1519
79,46000,0.2279
84,48000,0.301
88,50000,0.2173
93,52000,0.339
99,54000,0.5903
103,56000,0.2268
109,58000,0.5378
117,60000,0.5786
122,62000,0.5427
129,64000,0.5057
137,66000,0.6001
148,68000,0.7609
154,70000,0.5835
162,72000,0.5282
173,74000,0.7365
190,76000,0.847
199,78000,0.659
218,80000,0.8637
237,82000,0.8464
249,84000,0.7602
260,86000,0.7379
277,88000,0.859
298,90000,0.8497
325,92000,0.8875
358,94000,0.9135
380,96000,0.9076
412,98000,0.9031
435,100000,0.8519
457,102000,0.8734
499,104000,0.9331
534,106000,0.9253
578,108000,0.9331
614,110000,0.9409
664,112000,0.9273
719,114000,0.9493
766,116000,0.9388
815,118000,0.9427
864,120000,0.9422
904,122000,0.9272
966,124000,0.9564
1019,126000,0.945
1075,128000,0.9499
1146,130000,0.9616
1211,132000,0.9575
1271,134000,0.9514
1352,136000,0.9649
1434,138000,0.9658
1508,140000,0.9627
1582,142000,0.9613
1662,144000,0.9648
1717,146000,0.9467
1795,148000,0.9641
1875,150000,0.9649
1962,152000,0.9677
2056,154000,0.97
2148,156000,0.9694
2242,158000,0.9702
2321,160000,0.9656
2411,162000,0.9679
2502,164000,0.9688
2597,166000,0.9705
2691,168000,0.9702
2786,170000,0.9702
2876,172000,0.9689
2969,174000,0.9696
3065,176000,0.9707
3161,178000,0.9707
3252,180000,0.9692
3350,182000,0.9713
3451,184000,0.9722
3556,186000,0.9732
3656,188000,0.9718
3762,190000,0.9737
3862,192000,0.9718
3958,194000,0.9705
4055,196000,0.971
4155,198000,0.9721
4244,200000,0.9681
4333,202000,0.9685
4433,204000,0.9718
4529,206000,0.9706
4628,208000,0.9719
4729,210000,0.9719
4822,212000,0.9697
4919,214000,0.9714
5016,216000,0.9707
5111,218000,0.9704
5211,220000,0.972
5314,222000,0.9727
5422,224000,0.974
5526,226000,0.9728
5627,228000,0.9723
5728,230000,0.972
5827,232000,0.9718
5934,234000,0.9737
6034,236000,0.9717
6133,238000,0.9717
6228,240000,0.9702
6327,242000,0.9717
6428,244000,0.9722
6526,246000,0.9713
6626,248000,0.9718
6729,250000,0.9728
6835,252000,0.9733
6940,254000,0.9734
7044,256000,0.9729
7145,258000,0.972
7243,260000,0.9713
7349,262000,0.9735
7454,264000,0.9732
7560,266000,0.9737
7658,268000,0.9712
7767,270000,0.9743
7868,272000,0.9721
7968,274000,0.9718
8071,276000,0.9728
8179,278000,0.9739
8282,280000,0.9727
8382,282000,0.9718
8481,284000,0.9717
8578,286000,0.9712
8675,288000,0.9708
8776,290000,0.9722
8878,292000,0.9725
8976,294000,0.9714
9078,296000,0.9722
9185,298000,0.9739
9265,300000,0.9708
9352,302000,0.962
9450,304000,0.9714
9556,306000,0.9733
9657,308000,0.9722
9759,310000,0.9724
9859,312000,0.9721
9965,314000,0.9733
10066,316000,0.9721
10166,318000,0.9719
10268,320000,0.9725
10310,322000,0.9286
10415,324000,0.973
10521,326000,0.9735
10624,328000,0.9729
10728,330000,0.9727
10832,332000,0.973
10936,334000,0.973
11041,336000,0.9731
11146,338000,0.9732
11246,340000,0.9719
11346,342000,0.972
11451,344000,0.973
11556,346000,0.9732
11661,348000,0.9732
11762,350000,0.9724
11868,352000,0.9733
11975,354000,0.9739
12082,356000,0.9736
12187,358000,0.9733
12289,360000,0.9726
12393,362000,0.9728
12467,364000,0.9605
12580,366000,0.9751
12684,368000,0.973
12791,370000,0.9736
12895,372000,0.973
13001,374000,0.9735
13107,376000,0.9733
13211,378000,0.9731
13312,380000,0.972
13416,382000,0.973
13521,384000,0.9732
13621,386000,0.9719
13726,388000,0.9732
13831,390000,0.9734
13933,392000,0.9724
14037,394000,0.973
14143,396000,0.9734
14253,398000,0.9743
14351,400000,0.9715
14459,402000,0.9737
14561,404000,0.9725
14653,406000,0.9711
14742,408000,0.967
14832,410000,0.9684
14935,412000,0.973
15034,414000,0.9715
15137,416000,0.9725
15243,418000,0.9735
15344,420000,0.9723
15448,422000,0.9729
15543,424000,0.9703
15647,426000,0.973
15753,428000,0.9734
15857,430000,0.9732
15963,432000,0.9733
16074,434000,0.9747
16182,436000,0.9739
16291,438000,0.9743
16403,440000,0.9748
16512,442000,0.9742
16621,444000,0.9741
16725,446000,0.9729
16830,448000,0.9735
16929,450000,0.9714
17031,452000,0.9724
17136,454000,0.9734
17241,456000,0.973
17347,458000,0.9735
17456,460000,0.9741
17561,462000,0.9733
17660,464000,0.9716
17761,466000,0.9723
17875,468000,0.9752
17979,470000,0.973
18082,472000,0.9727
18191,474000,0.974
18290,476000,0.9716
18397,478000,0.9737
18503,480000,0.9736
18601,482000,0.9714
18700,484000,0.9723
18790,486000,0.9677
18892,488000,0.9726
18996,490000,0.9728
19105,492000,0.9742
19209,494000,0.973
19315,496000,0.9734
19423,498000,0.9741
19528,500000,0.9732
19633,502000,0.973
19735,504000,0.9725
19837,506000,0.9725
19947,508000,0.9743
20053,510000,0.9736
20156,512000,0.9728
20263,514000,0.9736
20356,516000,0.97
20462,518000,0.9733
20570,520000,0.9739
20676,522000,0.9736
20788,524000,0.9748
20893,526000,0.9735
21000,528000,0.9734
21073,530000,0.9601
21147,532000,0.9607
21251,534000,0.9729
21356,536000,0.9734
21468,538000,0.9748
21575,540000,0.9737
21680,542000,0.9732
21787,544000,0.9738
21897,546000,0.9744
22002,548000,0.973
22072,550000,0.9586
22180,552000,0.9739
22207,554000,0.9022
22267,556000,0.9561
22371,558000,0.9657
22476,560000,0.9734
22589,562000,0.975
22701,564000,0.9747
22809,566000,0.9742
22912,568000,0.9726
23021,570000,0.9741
23126,572000,0.9734
23233,574000,0.9737
23347,576000,0.9752
23453,578000,0.9734
23558,580000,0.9733
23658,582000,0.9718
23751,584000,0.9697
23856,586000,0.9732
23962,588000,0.9735
24075,590000,0.9751
24148,592000,0.9725
24184,594000,0.8941
24198,596000,0.7912
24225,598000,0.8989
24261,600000,0.9261
24273,602000,0.7663
24303,604000,0.8749
24360,606000,0.9606
24380,608000,0.8259
24478,610000,0.9693
24516,612000,0.9462
24617,614000,0.9626
24721,616000,0.973
24802,618000,0.9653
24905,620000,0.9728
25007,622000,0.9723
25115,624000,0.9739
25227,626000,0.9749
25333,628000,0.9733
25431,630000,0.9715
25540,632000,0.9741
25643,634000,0.9731
25753,636000,0.9743
25863,638000,0.9743
25967,640000,0.973
26071,642000,0.9728
26178,644000,0.9737
26287,646000,0.9743
26395,648000,0.9739
26500,650000,0.9731
26608,652000,0.974
26714,654000,0.9736
26819,656000,0.9731
