episode,timestep,reward
1,2000,0.0
3,4000,0.0
5,6000,0.0
7,8000,0.0
9,10000,0.0
11,12000,0.0
13,14000,0.0
15,16000,0.0
17,18000,0.0
19,20000,0.0
21,22000,0.0
23,24000,0.0
25,26000,0.0
27,28000,0.0
29,30000,0.0
31,32000,0.0
33,34000,0.0
35,36000,0.0
37,38000,0.0
39,40000,0.0
41,42000,0.0
43,44000,0.0
45,46000,0.0
47,48000,0.0
49,50000,0.0
51,52000,0.0
54,54000,0.1836
56,56000,0.0
58,58000,0.0
60,60000,0.0724
63,62000,0.3673
65,64000,0.0
70,66000,0.5829
74,68000,0.5571
79,70000,0.595
85,72000,0.7502
93,74000,0.7585
102,76000,0.7922
111,78000,0.8119
120,80000,0.8056
134,82000,0.8706
149,84000,0.8804
163,86000,0.8799
179,88000,0.8867
199,90000,0.9133
221,92000,0.9186
248,94000,0.9353
278,96000,0.9415
313,98000,0.9499
349,100000,0.9499
390,102000,0.9572
431,104000,0.9573
477,106000,0.9621
523,108000,0.962
575,110000,0.9657
626,112000,0.9654
683,114000,0.9692
740,116000,0.9691
799,118000,0.9703
859,120000,0.9707
920,122000,0.9714
981,124000,0.9713
1045,126000,0.9723
1108,128000,0.9723
1173,130000,0.973
1237,132000,0.9726
1303,134000,0.9733
1369,136000,0.9732
1436,138000,0.9738
1503,140000,0.9737
1571,142000,0.974
1638,144000,0.9738
1706,146000,0.9743
1774,148000,0.9742
1842,150000,0.974
1911,152000,0.9744
1979,154000,0.9744
2048,156000,0.9746
2117,158000,0.9745
2186,160000,0.9745
2255,162000,0.9743
2324,164000,0.9745
2393,166000,0.9747
2463,168000,0.9747
2533,170000,0.975
2602,172000,0.9747
2672,174000,0.9748
2742,176000,0.9748
2811,178000,0.9747
2881,180000,0.9748
2951,182000,0.9748
3020,184000,0.9748
3089,186000,0.9745
3159,188000,0.9747
3228,190000,0.9748
3298,192000,0.9746
3367,194000,0.9747
3437,196000,0.975
3507,198000,0.9747
3576,200000,0.9748
