episode,timestep,reward
1,2000,0.0
3,4000,0.0
5,6000,0.0
7,8000,0.0
10,10000,0.1001
12,12000,0.0
14,14000,0.0
16,16000,0.1111
18,18000,0.1695
20,20000,0.0
23,22000,0.2521
26,24000,0.5374
30,26000,0.4647
34,28000,0.5423
39,30000,0.6655
47,32000,0.7715
59,34000,0.859
71,36000,0.8469
86,38000,0.8835
103,40000,0.8952
122,42000,0.9079
142,44000,0.9147
166,46000,0.9247
188,48000,0.9196
218,50000,0.9408
247,52000,0.9391
282,54000,0.9508
314,56000,0.945
356,58000,0.9575
396,60000,0.9565
442,62000,0.9614
488,64000,0.9619
539,66000,0.9658
588,68000,0.964
644,70000,0.9682
697,72000,0.967
754,74000,0.9692
812,76000,0.9695
871,78000,0.9705
930,80000,0.9702
992,82000,0.9715
1053,84000,0.9711
1116,86000,0.9722
1179,88000,0.972
1243,90000,0.9728
1310,92000,0.9734
1374,94000,0.9727
1440,96000,0.9732
1506,98000,0.9734
1571,100000,0.9731
1638,102000,0.9738
1705,104000,0.9738
1772,106000,0.9738
1839,108000,0.9738
1906,110000,0.9737
1974,112000,0.9741
2042,114000,0.974
2109,116000,0.9738
2177,118000,0.9741
2245,120000,0.9741
2313,122000,0.9742
2381,124000,0.9743
2450,126000,0.9744
2519,128000,0.9745
2587,130000,0.9743
2656,132000,0.9744
2725,134000,0.9747
2794,136000,0.9746
2864,138000,0.9746
2934,140000,0.9749
3003,142000,0.9747
3073,144000,0.9748
3142,146000,0.9748
3212,148000,0.9746
3282,150000,0.9748
3351,152000,0.9748
3421,154000,0.9749
3491,156000,0.9749
3560,158000,0.9746
3630,160000,0.9749
3700,162000,0.9748
3770,164000,0.9747
3840,166000,0.9749
3910,168000,0.9749
3980,170000,0.975
4050,172000,0.975
4120,174000,0.9749
4190,176000,0.9748
4260,178000,0.975
4331,180000,0.975
4401,182000,0.975
4471,184000,0.975
4542,186000,0.9751
4612,188000,0.975
4683,190000,0.9752
4754,192000,0.9751
