episode,timestep,reward
1,2000,0.0
3,4000,0.0
5,6000,0.0
7,8000,0.0
9,10000,0.0
11,12000,0.0
13,14000,0.0
15,16000,0.0
17,18000,0.0
19,20000,0.0
21,22000,0.0
24,24000,0.2141
26,26000,0.2064
28,28000,0.0
31,30000,0.1608
33,32000,0.0
35,34000,0.0
37,36000,0.0
39,38000,0.0
41,40000,0.2987
43,42000,0.0
45,44000,0.0
48,46000,0.2053
50,48000,0.0
52,50000,0.1392
54,52000,0.0
57,54000,0.4786
59,56000,0.0
61,58000,0.0
64,60000,0.2018
70,62000,0.6741
73,64000,0.4464
77,66000,0.5815
80,68000,0.1918
85,70000,0.6534
88,72000,0.3418
94,74000,0.6873
104,76000,0.8397
116,78000,0.8398
131,80000,0.8809
146,82000,0.8859
167,84000,0.9128
192,86000,0.9323
218,88000,0.9315
250,90000,0.9435
281,92000,0.9438
312,94000,0.9436
348,96000,0.9508
386,98000,0.9537
424,100000,0.9542
466,102000,0.9582
508,104000,0.9582
553,106000,0.9608
592,108000,0.9595
638,110000,0.9576
683,112000,0.9611
729,114000,0.9618
778,116000,0.9643
829,118000,0.9651
880,120000,0.9658
930,122000,0.9648
980,124000,0.9647
1031,126000,0.9655
1081,128000,0.9649
1133,130000,0.9665
1185,132000,0.9658
1237,134000,0.9665
1288,136000,0.9656
1341,138000,0.9666
1393,140000,0.9665
1448,142000,0.9677
1504,144000,0.9687
1555,146000,0.9656
1610,148000,0.9677
1665,150000,0.9684
1719,152000,0.9673
1777,154000,0.9695
1835,156000,0.97
1893,158000,0.9695
1949,160000,0.9686
2005,162000,0.9687
2062,164000,0.9692
2119,166000,0.9693
2178,168000,0.9701
2236,170000,0.9696
2294,172000,0.9698
2351,174000,0.9688
2410,176000,0.9703
2470,178000,0.9708
2531,180000,0.9713
2592,182000,0.971
2653,184000,0.971
2714,186000,0.9711
2773,188000,0.9703
2830,190000,0.9692
2891,192000,0.971
2951,194000,0.971
3014,196000,0.9719
3077,198000,0.9722
