episode,timestep,reward
7,2000,0.0
15,4000,0.0358
22,6000,0.0
29,8000,0.0
37,10000,0.0
44,12000,0.0
52,14000,0.0
59,16000,0.0
66,18000,0.0
74,20000,0.0
81,22000,0.0
89,24000,0.0
97,26000,0.0938
104,28000,0.0
112,30000,0.0
119,32000,0.0
126,34000,0.0
134,36000,0.0
141,38000,0.0
149,40000,0.0
156,42000,0.0
163,44000,0.0
171,46000,0.0
178,48000,0.0
186,50000,0.0
193,52000,0.0681
201,54000,0.0
208,56000,0.0
216,58000,0.0587
223,60000,0.0
231,62000,0.0
239,64000,0.0817
246,66000,0.019
254,68000,0.0188
261,70000,0.0219
269,72000,0.035
277,74000,0.0975
284,76000,0.0
292,78000,0.0571
299,80000,0.0
307,82000,0.0304
314,84000,0.0
322,86000,0.0504
330,88000,0.0342
339,90000,0.187
347,92000,0.0696
354,94000,0.0
361,96000,0.0271
369,98000,0.0
376,100000,0.0348
384,102000,0.0
391,104000,0.0
399,106000,0.1125
407,108000,0.0412
414,110000,0.0
422,112000,0.0
429,114000,0.0
437,116000,0.0
444,118000,0.0
451,120000,0.0224
459,122000,0.0
466,124000,0.0
474,126000,0.0
482,128000,0.1246
491,130000,0.1348
498,132000,0.08
506,134000,0.0
514,136000,0.0692
522,138000,0.1971
530,140000,0.0342
538,142000,0.0346
546,144000,0.1583
555,146000,0.1348
563,148000,0.0854
571,150000,0.0846
582,152000,0.387
593,154000,0.3191
601,156000,0.1363
610,158000,0.16
621,160000,0.3558
629,162000,0.1142
638,164000,0.1944
646,166000,0.09
654,168000,0.07
664,170000,0.2163
673,172000,0.2311
682,174000,0.2281
689,176000,0.0
697,178000,0.0688
707,180000,0.1987
715,182000,0.185
726,184000,0.2982
735,186000,0.1904
746,188000,0.3503
755,190000,0.233
765,192000,0.278
773,194000,0.0221
781,196000,0.1996
790,198000,0.1722
798,200000,0.0638
806,202000,0.0
814,204000,0.1579
825,206000,0.2903
833,208000,0.12
844,210000,0.3267
854,212000,0.3033
864,214000,0.2797
872,216000,0.0829
882,218000,0.3077
892,220000,0.228
901,222000,0.2581
913,224000,0.3589
922,226000,0.2944
934,228000,0.3367
945,230000,0.4109
958,232000,0.4036
967,234000,0.247
979,236000,0.3694
990,238000,0.3906
1001,240000,0.3252
1010,242000,0.2259
1020,244000,0.2303
1030,246000,0.2937
1040,248000,0.256
1048,250000,0.1937
1059,252000,0.2936
1071,254000,0.4531
1083,256000,0.4122
1094,258000,0.3521
1105,260000,0.3148
1115,262000,0.2243
1130,264000,0.5476
1143,266000,0.4197
1153,268000,0.2773
1162,270000,0.2807
1175,272000,0.4151
1184,274000,0.2615
1199,276000,0.4867
1210,278000,0.363
1220,280000,0.259
1231,282000,0.3421
1240,284000,0.223
1250,286000,0.2327
1260,288000,0.2833
1272,290000,0.4375
1283,292000,0.3088
1293,294000,0.2887
1307,296000,0.5429
1320,298000,0.4015
1335,300000,0.5267
1347,302000,0.4197
1359,304000,0.3897
1368,306000,0.22
1377,308000,0.2456
1390,310000,0.4544
1401,312000,0.2782
1413,314000,0.4039
1429,316000,0.5585
1438,318000,0.2267
1450,320000,0.3883
1466,322000,0.5633
1482,324000,0.571
1492,326000,0.2783
1504,328000,0.4042
1516,330000,0.3961
1529,332000,0.5038
1544,334000,0.5031
1560,336000,0.5733
1576,338000,0.5381
1590,340000,0.4848
1603,342000,0.5113
1620,344000,0.5478
1631,346000,0.3891
1645,348000,0.4824
1666,350000,0.7029
1679,352000,0.3849
1691,354000,0.4567
1707,356000,0.5202
1721,358000,0.4864
1734,360000,0.4623
1751,362000,0.5867
1773,364000,0.678
1789,366000,0.5721
1812,368000,0.6894
1828,370000,0.5865
1845,372000,0.5698
1860,374000,0.55
1883,376000,0.6838
1897,378000,0.4907
1911,380000,0.5279
1939,382000,0.7287
1954,384000,0.5449
1974,386000,0.6397
1992,388000,0.6398
2008,390000,0.5292
2026,392000,0.607
2044,394000,0.6189
2069,396000,0.7167
2093,398000,0.7353
2109,400000,0.5527
2126,402000,0.6033
2145,404000,0.6253
2169,406000,0.6724
2190,408000,0.6683
2215,410000,0.7204
2233,412000,0.6069
2253,414000,0.6715
2274,416000,0.6427
2295,418000,0.6665
2322,420000,0.7681
2343,422000,0.6605
2363,424000,0.6728
2387,426000,0.6876
2406,428000,0.6161
2435,430000,0.7556
2454,432000,0.6309
2478,434000,0.7229
2498,436000,0.659
2527,438000,0.7638
2556,440000,0.73
2577,442000,0.6683
2607,444000,0.7881
2639,446000,0.7742
2657,448000,0.6035
2681,450000,0.7032
2702,452000,0.6597
2730,454000,0.7505
2748,456000,0.6431
2769,458000,0.6762
2793,460000,0.6997
2820,462000,0.714
2847,464000,0.7365
2869,466000,0.7124
2897,468000,0.7273
2936,470000,0.8415
2970,472000,0.7783
3000,474000,0.7772
3035,476000,0.8164
3064,478000,0.7359
3105,480000,0.834
3132,482000,0.7728
3161,484000,0.7522
3180,486000,0.6033
3211,488000,0.7761
3246,490000,0.8092
3279,492000,0.7886
3299,494000,0.645
3328,496000,0.7589
3365,498000,0.8262
3398,500000,0.7854
3424,502000,0.7421
3454,504000,0.7619
3497,506000,0.8519
3537,508000,0.8237
3571,510000,0.8082
3598,512000,0.7326
3631,514000,0.7921
3657,516000,0.7549
3684,518000,0.7484
3713,520000,0.7514
3755,522000,0.8336
3789,524000,0.799
3822,526000,0.7993
3858,528000,0.7972
3891,530000,0.7935
3926,532000,0.801
3950,534000,0.7208
3970,536000,0.6767
4006,538000,0.7881
4043,540000,0.8152
4074,542000,0.7785
4106,544000,0.7829
4139,546000,0.7911
4178,548000,0.8239
4207,550000,0.7589
4239,552000,0.8044
4275,554000,0.7916
4301,556000,0.7474
4322,558000,0.6368
4350,560000,0.7523
4387,562000,0.8112
4415,564000,0.7514
4449,566000,0.8163
4493,568000,0.8433
4524,570000,0.7742
4559,572000,0.7996
4596,574000,0.8059
4633,576000,0.8312
4662,578000,0.7449
4696,580000,0.7943
4722,582000,0.7492
4764,584000,0.833
4802,586000,0.8111
4843,588000,0.8304
4880,590000,0.8122
4913,592000,0.7901
4939,594000,0.7308
4967,596000,0.7505
5011,598000,0.844
5058,600000,0.876
5102,602000,0.8249
5136,604000,0.7951
5170,606000,0.8028
5199,608000,0.7571
5225,610000,0.7444
5256,612000,0.7703
5292,614000,0.806
5322,616000,0.784
5358,618000,0.8207
5391,620000,0.7681
5427,622000,0.809
5473,624000,0.8553
5517,626000,0.8463
5563,628000,0.8593
5596,630000,0.7855
5640,632000,0.8452
5681,634000,0.8349
5714,636000,0.7957
5756,638000,0.8421
5793,640000,0.8274
5820,642000,0.736
5849,644000,0.7787
5880,646000,0.7518
