episode,timestep,reward
7,2000,0.0
14,4000,0.0
22,6000,0.0
29,8000,0.0
37,10000,0.0
44,12000,0.0
51,14000,0.0
59,16000,0.0
66,18000,0.0
74,20000,0.0
81,22000,0.0
88,24000,0.0
96,26000,0.0217
103,28000,0.0
111,30000,0.0
118,32000,0.0
126,34000,0.0
133,36000,0.0
141,38000,0.0654
148,40000,0.0
156,42000,0.0229
163,44000,0.0
171,46000,0.0546
178,48000,0.0
186,50000,0.0
193,52000,0.0
201,54000,0.0
208,56000,0.0
215,58000,0.0
223,60000,0.0
230,62000,0.0
238,64000,0.0
245,66000,0.0
252,68000,0.0
260,70000,0.0
267,72000,0.0
275,74000,0.0
282,76000,0.0
289,78000,0.0
297,80000,0.0371
304,82000,0.0
312,84000,0.0
319,86000,0.0
327,88000,0.0
334,90000,0.0
341,92000,0.0
349,94000,0.0
356,96000,0.0
364,98000,0.0
371,100000,0.0
379,102000,0.0
386,104000,0.0
393,106000,0.0
401,108000,0.0
408,110000,0.0
416,112000,0.0
423,114000,0.0
430,116000,0.0
438,118000,0.0
445,120000,0.0
453,122000,0.0
460,124000,0.0
467,126000,0.0
475,128000,0.0
482,130000,0.0
490,132000,0.0375
497,134000,0.0
505,136000,0.0
512,138000,0.0
519,140000,0.0
527,142000,0.0
534,144000,0.0
542,146000,0.0
549,148000,0.0
557,150000,0.0
564,152000,0.0
571,154000,0.0
579,156000,0.0
586,158000,0.0
594,160000,0.0
601,162000,0.0
608,164000,0.0
616,166000,0.0
623,168000,0.0
631,170000,0.0
638,172000,0.0
645,174000,0.0
653,176000,0.0
660,178000,0.0
668,180000,0.0
675,182000,0.0
682,184000,0.0
690,186000,0.0
697,188000,0.0
705,190000,0.0
712,192000,0.0
719,194000,0.0
727,196000,0.0
734,198000,0.0
742,200000,0.0
749,202000,0.0
757,204000,0.0
764,206000,0.0
771,208000,0.0
779,210000,0.0
786,212000,0.0
794,214000,0.0
801,216000,0.0
808,218000,0.0
816,220000,0.0
823,222000,0.0
831,224000,0.0
838,226000,0.0
845,228000,0.0
853,230000,0.0
860,232000,0.0
868,234000,0.0
875,236000,0.0
882,238000,0.0
890,240000,0.0
897,242000,0.0
905,244000,0.0
912,246000,0.0
919,248000,0.0
927,250000,0.0
934,252000,0.0
942,254000,0.0
949,256000,0.0
957,258000,0.0
964,260000,0.0
971,262000,0.0
979,264000,0.0
986,266000,0.0
994,268000,0.0
1001,270000,0.0
1008,272000,0.0
1016,274000,0.0
1023,276000,0.0
1031,278000,0.0
1038,280000,0.0
1045,282000,0.0
1053,284000,0.0
1060,286000,0.0
1068,288000,0.0
1075,290000,0.0
1082,292000,0.0
1090,294000,0.0
1097,296000,0.0
1105,298000,0.0
1112,300000,0.0
1119,302000,0.0
1127,304000,0.0
1134,306000,0.0
1142,308000,0.0
1149,310000,0.0
1157,312000,0.0
1164,314000,0.0
1171,316000,0.0
1179,318000,0.0
1186,320000,0.0
1194,322000,0.0
1201,324000,0.0
1208,326000,0.0
1216,328000,0.0
1223,330000,0.0
1231,332000,0.0
1238,334000,0.0
1245,336000,0.0
1253,338000,0.0
1260,340000,0.0
1268,342000,0.0
1275,344000,0.0
1282,346000,0.0
1290,348000,0.0
1297,350000,0.0
1305,352000,0.0
1312,354000,0.0
1319,356000,0.0
1327,358000,0.0
1334,360000,0.0
1342,362000,0.0
1349,364000,0.0
1357,366000,0.0
1364,368000,0.0
1371,370000,0.0
1379,372000,0.0
1386,374000,0.0
1394,376000,0.0
1401,378000,0.0
1408,380000,0.0
1416,382000,0.0
1423,384000,0.0
1431,386000,0.0
1438,388000,0.0
1445,390000,0.0
1453,392000,0.0
1460,394000,0.0
1468,396000,0.0
1475,398000,0.0
1482,400000,0.0
1490,402000,0.0
1497,404000,0.0
1505,406000,0.0
1512,408000,0.0
1519,410000,0.0
1527,412000,0.0
1534,414000,0.0
1542,416000,0.0
1549,418000,0.0
1557,420000,0.0
1564,422000,0.0
1571,424000,0.0
1579,426000,0.0
1586,428000,0.0
1594,430000,0.0
1601,432000,0.0
1608,434000,0.0
1616,436000,0.0
1623,438000,0.0
1631,440000,0.0
1638,442000,0.0
1645,444000,0.0
1653,446000,0.0
1660,448000,0.0
1668,450000,0.0
1675,452000,0.0
1682,454000,0.0
1690,456000,0.0
1697,458000,0.0
1705,460000,0.0
1712,462000,0.0
1719,464000,0.0
1727,466000,0.0
1734,468000,0.0
1742,470000,0.0
1749,472000,0.0
1757,474000,0.0
1764,476000,0.0
1771,478000,0.0
1779,480000,0.0
1786,482000,0.0
1794,484000,0.0
1801,486000,0.0
1808,488000,0.0
1816,490000,0.0
1823,492000,0.0
1831,494000,0.0
1838,496000,0.0
1845,498000,0.0
1853,500000,0.0
1860,502000,0.0
1868,504000,0.0
1875,506000,0.0
1882,508000,0.0
1890,510000,0.0
1897,512000,0.0
1905,514000,0.0
1912,516000,0.0
1919,518000,0.0
1927,520000,0.0
1934,522000,0.0
1942,524000,0.0
1949,526000,0.0
1957,528000,0.0
1964,530000,0.0
1971,532000,0.0
1979,534000,0.0
1986,536000,0.0
1994,538000,0.0
2001,540000,0.0
2008,542000,0.0
2016,544000,0.0
2023,546000,0.0
2031,548000,0.0
2038,550000,0.0
2045,552000,0.0
2053,554000,0.0
2060,556000,0.0
2068,558000,0.0
2075,560000,0.0
2082,562000,0.0
2090,564000,0.0
2097,566000,0.0
2105,568000,0.0
