episode,timestep,reward
26,2000,0.0
69,4000,0.0
140,6000,0.0
218,8000,0.0
364,10000,0.0
481,12000,0.0
671,14000,0.0
845,16000,0.0
1058,18000,0.0
1287,20000,0.0
1411,22000,0.0
1519,24000,0.0
1619,26000,0.0
1696,28000,0.0
1760,30000,0.0
1805,32000,0.0
1843,34000,0.0
1875,36000,0.0
1894,38000,0.0
1917,40000,0.0
1930,42000,0.0
1944,44000,0.0
1956,46000,0.0
1969,48000,0.0
1979,50000,0.0
1991,52000,0.0
1999,54000,0.0
2009,56000,0.0
2020,58000,0.0
2029,60000,0.0
2035,62000,0.0
2042,64000,0.0
2048,66000,0.0
2055,68000,0.0
2061,70000,0.0
2068,72000,0.0
2075,74000,0.0
2081,76000,0.0
2089,78000,0.0
2096,80000,0.0
2105,82000,0.0
2111,84000,0.0
2119,86000,0.0
2126,88000,0.0
2133,90000,0.0
2142,92000,0.0
2149,94000,0.0
2155,96000,0.0
2162,98000,0.0
2169,100000,0.0
2175,102000,0.0
2181,104000,0.0
2188,106000,0.0
2194,108000,0.0
2201,110000,0.0
2207,112000,0.0
2214,114000,0.0
2221,116000,0.0
2227,118000,0.0
2235,120000,0.0
2243,122000,0.0
2250,124000,0.0
2256,126000,0.0
2262,128000,0.0
2268,130000,0.0
2275,132000,0.0
2283,134000,0.0
2290,136000,0.0
2297,138000,0.0
2304,140000,0.0
2310,142000,0.0
2317,144000,0.0
2323,146000,0.0
2329,148000,0.0
2335,150000,0.0
2341,152000,0.0
2349,154000,0.0
2356,156000,0.0
2362,158000,0.0
2370,160000,0.0743
2377,162000,0.0
2384,164000,0.0
2390,166000,0.0
2398,168000,0.0
2405,170000,0.0
2411,172000,0.0
2417,174000,0.0
2425,176000,0.0
2434,178000,0.0
2441,180000,0.0
2449,182000,0.0
2455,184000,0.0
2462,186000,0.0
2468,188000,0.0
2475,190000,0.0
2482,192000,0.0
2488,194000,0.0
2495,196000,0.0
2502,198000,0.0
2508,200000,0.0
2515,202000,0.0
2521,204000,0.0
2528,206000,0.0
2537,208000,0.0
2543,210000,0.0
2549,212000,0.0
2557,214000,0.0
2564,216000,0.0
2570,218000,0.0
2576,220000,0.0
2583,222000,0.0
2592,224000,0.0
2600,226000,0.0
2607,228000,0.0
2615,230000,0.0
2622,232000,0.0
2629,234000,0.0
2635,236000,0.0
2642,238000,0.0
2649,240000,0.0
2655,242000,0.0
2662,244000,0.0
2668,246000,0.0
2674,248000,0.0
2681,250000,0.0
2687,252000,0.0
2693,254000,0.0
2700,256000,0.0
2706,258000,0.0
2712,260000,0.0
2718,262000,0.0
2724,264000,0.0
2731,266000,0.0
2737,268000,0.0
2743,270000,0.0
2750,272000,0.0
2756,274000,0.0
2762,276000,0.0
2769,278000,0.0
2775,280000,0.0523
2781,282000,0.0
2787,284000,0.0
2793,286000,0.0
2800,288000,0.0
2808,290000,0.0
2815,292000,0.1163
2822,294000,0.0
2828,296000,0.0
2834,298000,0.0
2841,300000,0.0
2848,302000,0.0
2854,304000,0.0
2862,306000,0.0
2869,308000,0.0
2875,310000,0.0
2882,312000,0.0
2888,314000,0.0
2894,316000,0.0
2901,318000,0.0
2908,320000,0.0
2915,322000,0.0563
2921,324000,0.0
2928,326000,0.0
2936,328000,0.0
2943,330000,0.0
2949,332000,0.0
2955,334000,0.0
2962,336000,0.0
2970,338000,0.0
2976,340000,0.0
2983,342000,0.0
2989,344000,0.0
2996,346000,0.0
3002,348000,0.0
3009,350000,0.0
3017,352000,0.0
3023,354000,0.0
3029,356000,0.0
3035,358000,0.0
3041,360000,0.0
3048,362000,0.0
3055,364000,0.0
3061,366000,0.0
3067,368000,0.0
3073,370000,0.0
3080,372000,0.0
3086,374000,0.0
