episode,timestep,reward
21,2000,0.0
66,4000,0.0
93,6000,0.0
130,8000,0.0
181,10000,0.0
243,12000,0.0
361,14000,0.0
458,16000,0.0
594,18000,0.0
732,20000,0.0
860,22000,0.0
999,24000,0.0
1073,26000,0.0
1167,28000,0.0
1201,30000,0.0
1233,32000,0.0
1254,34000,0.0
1269,36000,0.0
1286,38000,0.0
1306,40000,0.0
1315,42000,0.0
1326,44000,0.0
1332,46000,0.0
1339,48000,0.0
1346,50000,0.0
1354,52000,0.0
1360,54000,0.0
1367,56000,0.0
1374,58000,0.0
1382,60000,0.0
1391,62000,0.0
1399,64000,0.0
1406,66000,0.0
1417,68000,0.0
1424,70000,0.0
1432,72000,0.0
1438,74000,0.0
1446,76000,0.0
1452,78000,0.0
1459,80000,0.0
1467,82000,0.0
1474,84000,0.0
1481,86000,0.0
1487,88000,0.0
1493,90000,0.0
1501,92000,0.0
1512,94000,0.0
1520,96000,0.0
1527,98000,0.0
1534,100000,0.0
1542,102000,0.0
1548,104000,0.0
1555,106000,0.0
1562,108000,0.0
1569,110000,0.0
1575,112000,0.0
1583,114000,0.0
1589,116000,0.0
1595,118000,0.0
1601,120000,0.0
1608,122000,0.0
1614,124000,0.0
1620,126000,0.0
1628,128000,0.0
1637,130000,0.0
1644,132000,0.0
1650,134000,0.0
1657,136000,0.0
1663,138000,0.0
1669,140000,0.0
1675,142000,0.0
1682,144000,0.0
1692,146000,0.0
1699,148000,0.0
1706,150000,0.0
1712,152000,0.0
1719,154000,0.0
1727,156000,0.0
1734,158000,0.0
1741,160000,0.0
1747,162000,0.0
1754,164000,0.0
1761,166000,0.0
1768,168000,0.0
1775,170000,0.0
1781,172000,0.0
1788,174000,0.0
1794,176000,0.0
1800,178000,0.0
1806,180000,0.0
1815,182000,0.0
1823,184000,0.0
1834,186000,0.0
1841,188000,0.0
1848,190000,0.0
1854,192000,0.0
1861,194000,0.0
1867,196000,0.0
1873,198000,0.0
1882,200000,0.0
1888,202000,0.0
1895,204000,0.0
1901,206000,0.0
1908,208000,0.0
1914,210000,0.0
1921,212000,0.0
1927,214000,0.0
1933,216000,0.0
1939,218000,0.0
1945,220000,0.0
1952,222000,0.0
1958,224000,0.0
1964,226000,0.0
1970,228000,0.0
1976,230000,0.0
1983,232000,0.0
1989,234000,0.0
1995,236000,0.0
2001,238000,0.0
2008,240000,0.0
2014,242000,0.0
2021,244000,0.0
2027,246000,0.0
2033,248000,0.0
2039,250000,0.0
2046,252000,0.0
2053,254000,0.0
2059,256000,0.0
2065,258000,0.0
2072,260000,0.0
2078,262000,0.0
2085,264000,0.0
2092,266000,0.0
2098,268000,0.0
2104,270000,0.0
2110,272000,0.0
2116,274000,0.0
2124,276000,0.0
2130,278000,0.0
2137,280000,0.0
2144,282000,0.0
2151,284000,0.0
2158,286000,0.0
2165,288000,0.0
2171,290000,0.0
2179,292000,0.0
2185,294000,0.0
2192,296000,0.0
2198,298000,0.0
2205,300000,0.0
2211,302000,0.0
2217,304000,0.0
2225,306000,0.0
2231,308000,0.0
2239,310000,0.0
2245,312000,0.0
2251,314000,0.0
2257,316000,0.0
2264,318000,0.0
2270,320000,0.0
2277,322000,0.0
2284,324000,0.0
2290,326000,0.0
2296,328000,0.0
2303,330000,0.0
2309,332000,0.0
2315,334000,0.0
2322,336000,0.0
2328,338000,0.0
2335,340000,0.0
2342,342000,0.0
2348,344000,0.0
2354,346000,0.0
2361,348000,0.0
2368,350000,0.0
2374,352000,0.0
2382,354000,0.0
2388,356000,0.0
2394,358000,0.0
2400,360000,0.0
2407,362000,0.0
2413,364000,0.0
2420,366000,0.0
2426,368000,0.0
2433,370000,0.0
2439,372000,0.0
2445,374000,0.0
2451,376000,0.0
2457,378000,0.0
2464,380000,0.0
2470,382000,0.0
2476,384000,0.0
2482,386000,0.0
2488,388000,0.0
2494,390000,0.0
2501,392000,0.0
2507,394000,0.0
2513,396000,0.0
2519,398000,0.0
2526,400000,0.0
2532,402000,0.0
2538,404000,0.0
2545,406000,0.0
2551,408000,0.0
2558,410000,0.0
2564,412000,0.0
2570,414000,0.0
2576,416000,0.0
2582,418000,0.0
2589,420000,0.0
2595,422000,0.0
2602,424000,0.0
2608,426000,0.0
2616,428000,0.0
2625,430000,0.0
2632,432000,0.0
2639,434000,0.0
2645,436000,0.0
2651,438000,0.0
2658,440000,0.0
2664,442000,0.0
2670,444000,0.0
2678,446000,0.0
2684,448000,0.0
2690,450000,0.0
2696,452000,0.0
2702,454000,0.0
2708,456000,0.0
2715,458000,0.0
2722,460000,0.0
2729,462000,0.0
2736,464000,0.0
2744,466000,0.0
2750,468000,0.0
2756,470000,0.0
2763,472000,0.0
2770,474000,0.0
2776,476000,0.0
2783,478000,0.0
2790,480000,0.0
2797,482000,0.0
2803,484000,0.0
2810,486000,0.0
2816,488000,0.0
2823,490000,0.0
2829,492000,0.0
2836,494000,0.0
2842,496000,0.0
2848,498000,0.0
2854,500000,0.0
2862,502000,0.0
2868,504000,0.0
2874,506000,0.0
