episode,timestep,reward
42,2000,0.0
75,4000,0.0
108,6000,0.0
151,8000,0.0
195,10000,0.0
239,12000,0.0
284,14000,0.0
322,16000,0.0
352,18000,0.0047
377,20000,0.0
399,22000,0.0533
414,24000,0.0
428,26000,0.0
450,28000,0.0256
462,30000,0.0
480,32000,0.0735
493,34000,0.0
509,36000,0.033
521,38000,0.0
534,40000,0.0669
542,42000,0.0
554,44000,0.0
562,46000,0.0
573,48000,0.0
582,50000,0.0
594,52000,0.0583
605,54000,0.0775
613,56000,0.0
623,58000,0.0
632,60000,0.091
646,62000,0.027
656,64000,0.07
666,66000,0.08
674,68000,0.0958
683,70000,0.087
693,72000,0.06
700,74000,0.0
711,76000,0.1157
718,78000,0.0
727,80000,0.0941
734,82000,0.0643
742,84000,0.0646
750,86000,0.0
758,88000,0.3288
765,90000,0.0385
772,92000,0.0468
779,94000,0.0
787,96000,0.1167
796,98000,0.1725
804,100000,0.0
816,102000,0.0736
826,104000,0.1978
833,106000,0.1087
843,108000,0.2511
855,110000,0.2931
863,112000,0.0604
871,114000,0.0736
881,116000,0.0653
888,118000,0.029
895,120000,0.1135
903,122000,0.1146
911,124000,0.0792
918,126000,0.1254
926,128000,0.1799
932,130000,0.038
942,132000,0.0758
951,134000,0.2895
958,136000,0.0687
965,138000,0.0
973,140000,0.0
981,142000,0.2698
989,144000,0.109
1002,146000,0.3912
1011,148000,0.0852
1023,150000,0.1817
1034,152000,0.277
1043,154000,0.2904
1057,156000,0.3482
1069,158000,0.3694
1081,160000,0.2676
1092,162000,0.3535
1103,164000,0.4374
1115,166000,0.4016
1125,168000,0.3661
1133,170000,0.2938
1141,172000,0.1958
1148,174000,0.0901
1159,176000,0.2795
1175,178000,0.4012
1187,180000,0.3956
1201,182000,0.6018
1217,184000,0.4858
1228,186000,0.4379
1241,188000,0.3784
1248,190000,0.1313
1262,192000,0.5798
1278,194000,0.459
1288,196000,0.3244
1299,198000,0.4093
1310,200000,0.3182
1322,202000,0.3215
1332,204000,0.4131
1344,206000,0.553
1355,208000,0.3889
1367,210000,0.3949
1383,212000,0.5887
1393,214000,0.3933
1402,216000,0.3272
1416,218000,0.425
1425,220000,0.1546
1437,222000,0.3306
1450,224000,0.5128
1462,226000,0.4762
1469,228000,0.1627
1481,230000,0.3109
1495,232000,0.5722
1510,234000,0.5024
1526,236000,0.5026
1535,238000,0.3389
1545,240000,0.3967
1562,242000,0.543
1576,244000,0.5915
1591,246000,0.5144
1604,248000,0.4346
1614,250000,0.4153
1626,252000,0.469
1644,254000,0.5907
1657,256000,0.425
1670,258000,0.503
1682,260000,0.4863
1690,262000,0.3372
1698,264000,0.2375
1709,266000,0.304
1723,268000,0.5861
1734,270000,0.3621
1751,272000,0.66
1764,274000,0.3795
1774,276000,0.3758
1789,278000,0.6357
1803,280000,0.5302
1816,282000,0.4429
1826,284000,0.3583
1840,286000,0.4901
1851,288000,0.4179
1860,290000,0.4142
1872,292000,0.4637
1886,294000,0.4679
1896,296000,0.3703
1905,298000,0.4108
1923,300000,0.6492
1936,302000,0.491
1947,304000,0.4455
1960,306000,0.4857
1976,308000,0.5884
1985,310000,0.3028
1996,312000,0.5212
2012,314000,0.5689
2028,316000,0.6125
2042,318000,0.5014
2060,320000,0.5471
2079,322000,0.657
2099,324000,0.686
2112,326000,0.5417
2122,328000,0.2125
2139,330000,0.6129
2154,332000,0.5209
2173,334000,0.575
2187,336000,0.5518
2202,338000,0.6069
2216,340000,0.5562
2230,342000,0.5054
2258,344000,0.619
2271,346000,0.5077
2282,348000,0.5141
2299,350000,0.6348
2316,352000,0.6516
2334,354000,0.5312
2354,356000,0.7065
2365,358000,0.4139
2381,360000,0.5045
2398,362000,0.6611
2417,364000,0.6443
2443,366000,0.7424
2464,368000,0.719
2480,370000,0.647
2494,372000,0.471
2513,374000,0.5867
2529,376000,0.601
2540,378000,0.3601
2559,380000,0.6307
2581,382000,0.7299
2603,384000,0.6817
2620,386000,0.6497
2638,388000,0.7056
2657,390000,0.7006
2673,392000,0.5785
2688,394000,0.5387
2714,396000,0.7956
2733,398000,0.6585
2751,400000,0.667
2775,402000,0.7692
2792,404000,0.5016
2817,406000,0.7401
2831,408000,0.5996
2856,410000,0.7234
2872,412000,0.6361
2893,414000,0.6951
2918,416000,0.7383
2935,418000,0.6712
2953,420000,0.5565
2968,422000,0.6543
2998,424000,0.7755
3018,426000,0.6308
3036,428000,0.6177
3060,430000,0.7602
3079,432000,0.6566
3091,434000,0.5162
3116,436000,0.7831
3132,438000,0.5628
3154,440000,0.7241
3167,442000,0.5639
3180,444000,0.4669
3194,446000,0.572
3208,448000,0.5851
3224,450000,0.5668
3248,452000,0.7021
3266,454000,0.6179
3292,456000,0.7658
3311,458000,0.6718
3339,460000,0.7785
3361,462000,0.7404
3376,464000,0.555
3390,466000,0.5317
3403,468000,0.5122
3425,470000,0.6241
3446,472000,0.7151
3462,474000,0.6738
3489,476000,0.7298
3504,478000,0.6128
3529,480000,0.7246
3550,482000,0.7345
3565,484000,0.5644
3609,486000,0.8288
3632,488000,0.7656
3651,490000,0.668
3674,492000,0.7812
3691,494000,0.5402
3708,496000,0.64
3735,498000,0.7468
3758,500000,0.703
3783,502000,0.6834
3806,504000,0.7635
3826,506000,0.686
3852,508000,0.7127
3876,510000,0.717
3893,512000,0.7051
3907,514000,0.5006
3928,516000,0.6934
3941,518000,0.5226
3967,520000,0.7246
3993,522000,0.7216
4013,524000,0.6272
4026,526000,0.5585
4053,528000,0.7338
4079,530000,0.7333
4098,532000,0.6882
4112,534000,0.556
4125,536000,0.5199
4136,538000,0.4313
4153,540000,0.6752
4181,542000,0.6882
4206,544000,0.7301
4216,546000,0.3978
4231,548000,0.5304
4252,550000,0.6127
4285,552000,0.8022
4307,554000,0.6194
4338,556000,0.7979
4364,558000,0.7684
4387,560000,0.7481
4405,562000,0.6241
4427,564000,0.7261
4440,566000,0.5107
4458,568000,0.6225
4481,570000,0.7159
4517,572000,0.826
4538,574000,0.7231
4572,576000,0.766
4601,578000,0.7978
4621,580000,0.7019
4638,582000,0.6423
4656,584000,0.6948
4680,586000,0.7551
4692,588000,0.4683
4708,590000,0.6583
4723,592000,0.5809
4742,594000,0.5715
4770,596000,0.803
4785,598000,0.6283
4803,600000,0.6694
4833,602000,0.7898
4851,604000,0.6549
4870,606000,0.7146
4902,608000,0.7635
4934,610000,0.8258
4949,612000,0.6226
4962,614000,0.5017
4976,616000,0.5234
4993,618000,0.6624
5006,620000,0.5712
5025,622000,0.6187
5042,624000,0.6673
5069,626000,0.7693
5080,628000,0.5162
5100,630000,0.6633
5129,632000,0.7757
5147,634000,0.685
5165,636000,0.6742
5183,638000,0.6215
5209,640000,0.7236
5222,642000,0.5432
5238,644000,0.6613
5251,646000,0.5068
5279,648000,0.7608
5299,650000,0.7101
5318,652000,0.6785
5336,654000,0.6653
5359,656000,0.7554
5379,658000,0.6729
5398,660000,0.6436
5420,662000,0.6926
5440,664000,0.7057
5458,666000,0.7029
5494,668000,0.8066
5521,670000,0.7722
5540,672000,0.7149
5554,674000,0.6071
5569,676000,0.6061
5586,678000,0.6096
5604,680000,0.6372
5620,682000,0.6073
5652,684000,0.8463
5673,686000,0.6894
5690,688000,0.6791
5709,690000,0.6424
5736,692000,0.7487
5761,694000,0.7259
5780,696000,0.6902
5803,698000,0.7751
5819,700000,0.6172
5844,702000,0.7489
5871,704000,0.7494
5895,706000,0.7566
5915,708000,0.7396
5930,710000,0.6067
5951,712000,0.6899
5973,714000,0.7588
6004,716000,0.7476
6034,718000,0.77
6066,720000,0.7911
6086,722000,0.7003
6112,724000,0.7848
6139,726000,0.7313
6160,728000,0.702
6184,730000,0.7492
6198,732000,0.5837
6223,734000,0.7517
6251,736000,0.811
6271,738000,0.5897
6298,740000,0.8189
6329,742000,0.7858
6342,744000,0.5406
6360,746000,0.7023
6397,748000,0.8212
6422,750000,0.7446
6448,752000,0.7715
6476,754000,0.7926
6508,756000,0.8151
6534,758000,0.7775
6565,760000,0.7704
6595,762000,0.806
6615,764000,0.7478
