episode,timestep,reward
3,2000,0.0
5,4000,0.0
8,6000,0.0
10,8000,0.0
13,10000,0.0
15,12000,0.0
20,14000,0.0764
22,16000,0.0
27,18000,0.2954
31,20000,0.1589
36,22000,0.2318
39,24000,0.0
43,26000,0.1101
46,28000,0.0
49,30000,0.0
53,32000,0.499
58,34000,0.4006
64,36000,0.2477
67,38000,0.5605
71,40000,0.2623
78,42000,0.3482
82,44000,0.0953
91,46000,0.1195
99,48000,0.2068
107,50000,0.2023
113,52000,0.0
116,54000,0.6234
120,56000,0.0
127,58000,0.2364
134,60000,0.3429
143,62000,0.1742
148,64000,0.264
156,66000,0.1458
166,68000,0.4044
179,70000,0.3814
192,72000,0.4647
202,74000,0.2404
215,76000,0.4192
220,78000,0.2356
228,80000,0.3474
250,82000,0.2916
266,84000,0.4223
273,86000,0.5614
284,88000,0.2579
292,90000,0.5107
314,92000,0.3321
331,94000,0.5596
348,96000,0.6333
376,98000,0.3582
394,100000,0.4908
418,102000,0.4964
450,104000,0.5266
486,106000,0.3889
518,108000,0.4063
550,110000,0.5285
576,112000,0.6056
611,114000,0.5385
647,116000,0.525
690,118000,0.5817
734,120000,0.4775
778,122000,0.454
827,124000,0.4466
863,126000,0.6325
908,128000,0.5095
955,130000,0.5939
1001,132000,0.5203
1051,134000,0.4812
1094,136000,0.5097
1114,138000,0.5711
1158,140000,0.5213
1202,142000,0.52
1261,144000,0.4073
1309,146000,0.5609
1339,148000,0.481
1391,150000,0.5941
1446,152000,0.5268
1499,154000,0.6566
1562,156000,0.4763
1618,158000,0.6234
1681,160000,0.5699
1741,162000,0.5483
1796,164000,0.652
1854,166000,0.4817
1921,168000,0.4923
1988,170000,0.5504
2048,172000,0.5494
2105,174000,0.594
2173,176000,0.5722
2234,178000,0.5874
2292,180000,0.583
2341,182000,0.6292
2400,184000,0.6076
2430,186000,0.4515
2492,188000,0.5004
2552,190000,0.5973
2611,192000,0.6411
2662,194000,0.586
2721,196000,0.5242
2773,198000,0.6889
2832,200000,0.5079
2887,202000,0.5781
2944,204000,0.5433
2998,206000,0.6439
3053,208000,0.5974
3108,210000,0.5801
3163,212000,0.58
3212,214000,0.6687
3264,216000,0.6514
3324,218000,0.6133
3381,220000,0.5952
3442,222000,0.6696
3505,224000,0.5225
3561,226000,0.6404
3609,228000,0.7651
3668,230000,0.6586
3725,232000,0.7679
3789,234000,0.6386
3858,236000,0.5496
3909,238000,0.7026
3963,240000,0.6813
4018,242000,0.6336
4079,244000,0.636
4134,246000,0.6687
4178,248000,0.698
4232,250000,0.5921
4283,252000,0.7216
4344,254000,0.6189
4400,256000,0.6925
4465,258000,0.598
4524,260000,0.6921
4578,262000,0.5888
4622,264000,0.677
4669,266000,0.7611
4712,268000,0.7819
4770,270000,0.6691
4831,272000,0.5875
4881,274000,0.7155
4941,276000,0.7287
4999,278000,0.6179
5069,280000,0.5567
5128,282000,0.7088
5186,284000,0.6536
5237,286000,0.7984
5300,288000,0.6944
5356,290000,0.6756
5419,292000,0.6326
5466,294000,0.7189
5523,296000,0.7151
5576,298000,0.619
5621,300000,0.6165
5678,302000,0.6638
5724,304000,0.7754
5780,306000,0.6567
5829,308000,0.7097
5889,310000,0.6137
5945,312000,0.7104
6007,314000,0.626
6069,316000,0.6103
6124,318000,0.5982
6177,320000,0.7501
6227,322000,0.7356
6274,324000,0.7392
6330,326000,0.8163
6393,328000,0.5851
6448,330000,0.7765
6498,332000,0.6947
6537,334000,0.7884
6575,336000,0.7808
6631,338000,0.7977
6690,340000,0.5905
6747,342000,0.7148
6794,344000,0.8446
6853,346000,0.6237
6901,348000,0.7648
6958,350000,0.6975
7016,352000,0.7039
7073,354000,0.7842
7126,356000,0.7122
7180,358000,0.6992
7238,360000,0.7712
7292,362000,0.7545
7353,364000,0.7013
7408,366000,0.6872
7459,368000,0.8367
7514,370000,0.7408
7571,372000,0.7321
7625,374000,0.7535
7681,376000,0.6564
7737,378000,0.7279
7796,380000,0.7249
7849,382000,0.7132
7906,384000,0.6277
7954,386000,0.725
8003,388000,0.7499
8054,390000,0.7412
8099,392000,0.7707
8145,394000,0.8617
8197,396000,0.7266
8250,398000,0.6945
8302,400000,0.7458
8354,402000,0.7061
8410,404000,0.6234
8462,406000,0.7066
8515,408000,0.806
8568,410000,0.7305
8612,412000,0.7887
8658,414000,0.7539
8712,416000,0.6635
8756,418000,0.8785
8804,420000,0.8268
8860,422000,0.7277
8913,424000,0.7311
8966,426000,0.7316
9013,428000,0.7815
9067,430000,0.8466
9121,432000,0.7005
9177,434000,0.7624
9233,436000,0.728
9296,438000,0.7885
9356,440000,0.8114
9413,442000,0.7852
9472,444000,0.7077
9526,446000,0.7351
9586,448000,0.7616
9642,450000,0.7802
9695,452000,0.8242
9754,454000,0.7583
9813,456000,0.6741
9869,458000,0.7627
9924,460000,0.7959
9982,462000,0.8048
10035,464000,0.8611
10087,466000,0.8588
10148,468000,0.8465
10208,470000,0.7626
10265,472000,0.8191
10327,474000,0.7847
10391,476000,0.7769
10452,478000,0.782
10515,480000,0.7107
10582,482000,0.698
10638,484000,0.7809
10694,486000,0.816
10749,488000,0.8126
10807,490000,0.7373
10862,492000,0.7942
10919,494000,0.7838
10977,496000,0.8397
11036,498000,0.7742
11085,500000,0.8296
11146,502000,0.7338
11205,504000,0.8079
11259,506000,0.7552
11310,508000,0.6846
11366,510000,0.8127
11425,512000,0.7079
11485,514000,0.6963
11544,516000,0.7746
11601,518000,0.7319
11652,520000,0.7402
11711,522000,0.742
11771,524000,0.6952
11828,526000,0.8544
11887,528000,0.8086
11941,530000,0.7915
11988,532000,0.8652
12044,534000,0.7629
12103,536000,0.8081
12166,538000,0.6627
12232,540000,0.6642
12293,542000,0.75
12349,544000,0.8159
12402,546000,0.8234
12464,548000,0.738
12517,550000,0.8242
12573,552000,0.7638
12634,554000,0.7483
12694,556000,0.7614
12750,558000,0.8333
12819,560000,0.692
12882,562000,0.773
12939,564000,0.8187
12998,566000,0.7581
13055,568000,0.8356
13116,570000,0.7503
13173,572000,0.767
13225,574000,0.8011
13284,576000,0.7256
13316,578000,0.7899
13376,580000,0.7149
13434,582000,0.7682
13489,584000,0.8664
13545,586000,0.7104
13605,588000,0.7783
13666,590000,0.7981
13722,592000,0.8338
13774,594000,0.8969
13828,596000,0.8635
13886,598000,0.7883
13942,600000,0.8863
14002,602000,0.8282
14057,604000,0.8484
14120,606000,0.7738
14183,608000,0.8048
14248,610000,0.6886
14309,612000,0.8146
14372,614000,0.805
14434,616000,0.7061
14502,618000,0.7903
14565,620000,0.8051
14626,622000,0.75
14685,624000,0.7914
14742,626000,0.7319
14797,628000,0.7587
14849,630000,0.878
14903,632000,0.8641
14955,634000,0.7833
15009,636000,0.8454
15067,638000,0.8049
15122,640000,0.8844
15182,642000,0.8116
15239,644000,0.8184
15289,646000,0.8727
15343,648000,0.7914
15400,650000,0.7501
15428,652000,0.8329
15484,654000,0.7833
15535,656000,0.8346
15589,658000,0.846
15642,660000,0.787
15701,662000,0.8418
15765,664000,0.7922
15822,666000,0.8886
15874,668000,0.8776
15927,670000,0.8431
15984,672000,0.8188
16042,674000,0.754
16104,676000,0.8181
16169,678000,0.7654
16229,680000,0.8114
16283,682000,0.8468
16339,684000,0.7802
16396,686000,0.8534
16444,688000,0.827
16502,690000,0.771
16559,692000,0.8198
16619,694000,0.7461
16676,696000,0.8533
16736,698000,0.8282
16798,700000,0.7702
16855,702000,0.836
16910,704000,0.7948
16976,706000,0.739
17037,708000,0.8308
17094,710000,0.8538
17151,712000,0.8201
17219,714000,0.7892
17279,716000,0.8281
17338,718000,0.775
17403,720000,0.7495
17449,722000,0.8616
17510,724000,0.8147
17557,726000,0.7802
17609,728000,0.745
17664,730000,0.7766
17722,732000,0.7545
17775,734000,0.8608
17833,736000,0.8052
17879,738000,0.8406
17929,740000,0.7554
17986,742000,0.8196
18041,744000,0.8129
18093,746000,0.8397
18153,748000,0.7956
18211,750000,0.7372
18269,752000,0.8053
18316,754000,0.928
18365,756000,0.8301
18422,758000,0.7842
18477,760000,0.7942
18530,762000,0.8432
18586,764000,0.7981
18645,766000,0.9085
18700,768000,0.8664
18758,770000,0.805
18815,772000,0.8365
18848,774000,0.7975
18903,776000,0.8668
18965,778000,0.7383
19025,780000,0.8282
19077,782000,0.8776
19139,784000,0.8493
19200,786000,0.8305
19264,788000,0.8694
19325,790000,0.8151
19383,792000,0.839
19440,794000,0.8363
19501,796000,0.7976
19568,798000,0.7719
19633,800000,0.811
19694,802000,0.8143
19746,804000,0.8588
19790,806000,0.9228
19847,808000,0.7501
19903,810000,0.8512
19949,812000,0.7748
19998,814000,0.8503
20049,816000,0.7587
20107,818000,0.8221
20162,820000,0.812
20217,822000,0.7055
20266,824000,0.8507
20327,826000,0.7329
20385,828000,0.7708
20436,830000,0.7402
20489,832000,0.8248
20543,834000,0.7533
20593,836000,0.8933
20644,838000,0.778
20698,840000,0.7908
20743,842000,0.7939
20797,844000,0.791
20851,846000,0.8633
20909,848000,0.8216
20962,850000,0.805
21016,852000,0.7542
21071,854000,0.8303
21128,856000,0.8372
21184,858000,0.7799
21234,860000,0.8726
21291,862000,0.8186
21349,864000,0.7374
21408,866000,0.7415
21459,868000,0.8753
21514,870000,0.8481
21564,872000,0.8136
21620,874000,0.7984
21678,876000,0.8056
21729,878000,0.8363
21783,880000,0.792
21839,882000,0.8507
21898,884000,0.8421
21948,886000,0.8137
22002,888000,0.754
22047,890000,0.8591
22089,892000,0.848
22142,894000,0.8068
22203,896000,0.7818
22255,898000,0.7652
22303,900000,0.9086
22359,902000,0.851
22419,904000,0.7452
22477,906000,0.8224
22535,908000,0.7882
22598,910000,0.8201
22660,912000,0.8012
22728,914000,0.7321
22791,916000,0.6945
22844,918000,0.824
22898,920000,0.8642
22938,922000,0.7907
22984,924000,0.8212
23041,926000,0.7655
23096,928000,0.7414
23148,930000,0.7828
23203,932000,0.7942
23255,934000,0.8781
23310,936000,0.9202
23359,938000,0.8501
23419,940000,0.8114
23481,942000,0.8654
23545,944000,0.8543
23604,946000,0.7421
23664,948000,0.8112
23721,950000,0.8023
23776,952000,0.8127
23833,954000,0.7147
23895,956000,0.7534
23960,958000,0.7042
24025,960000,0.7045
24084,962000,0.7749
24140,964000,0.798
24193,966000,0.8428
24248,968000,0.7955
24300,970000,0.7635
24352,972000,0.8213
24411,974000,0.8084
24469,976000,0.686
24526,978000,0.7668
24582,980000,0.7278
24636,982000,0.7545
24698,984000,0.8018
24759,986000,0.8788
24822,988000,0.8206
24876,990000,0.8646
24943,992000,0.6836
25007,994000,0.8081
25066,996000,0.8422
25119,998000,0.8616
25173,1000000,0.8089
