episode,timestep,reward
4,2000,0.0
6,4000,0.0
8,6000,0.0
10,8000,0.0
12,10000,0.0
14,12000,0.0
16,14000,0.0
18,16000,0.0
20,18000,0.0
22,20000,0.0
24,22000,0.0
26,24000,0.0
29,26000,0.0
31,28000,0.0
33,30000,0.0
35,32000,0.0
38,34000,0.0
40,36000,0.0
42,38000,0.0
44,40000,0.0
46,42000,0.0
49,44000,0.0
52,46000,0.1672
55,48000,0.0
57,50000,0.0
61,52000,0.0
63,54000,0.0
65,56000,0.0
68,58000,0.0
71,60000,0.0
73,62000,0.0
75,64000,0.0
80,66000,0.1314
83,68000,0.0
86,70000,0.0
88,72000,0.0
94,74000,0.1226
98,76000,0.0
101,78000,0.0
108,80000,0.0
110,82000,0.0
114,84000,0.0
119,86000,0.0
121,88000,0.0
124,90000,0.0
126,92000,0.0
128,94000,0.0
130,96000,0.0
132,98000,0.0
135,100000,0.0
137,102000,0.0
140,104000,0.0
142,106000,0.0
144,108000,0.0
147,110000,0.0
150,112000,0.2344
152,114000,0.0
154,116000,0.0
158,118000,0.1922
160,120000,0.0
162,122000,0.0
166,124000,0.0
169,126000,0.0
171,128000,0.0
173,130000,0.0
176,132000,0.0
179,134000,0.0
182,136000,0.0
185,138000,0.0
189,140000,0.0
192,142000,0.0
196,144000,0.0
199,146000,0.0
201,148000,0.0
204,150000,0.0
207,152000,0.0
209,154000,0.0
211,156000,0.0
213,158000,0.0
215,160000,0.0
217,162000,0.0
219,164000,0.0
222,166000,0.0
225,168000,0.0
227,170000,0.0
229,172000,0.0
232,174000,0.0
235,176000,0.0
238,178000,0.0
240,180000,0.0
242,182000,0.0
244,184000,0.0
246,186000,0.0
249,188000,0.0
252,190000,0.0
254,192000,0.0
256,194000,0.0
258,196000,0.1505
260,198000,0.0
263,200000,0.0
265,202000,0.0
270,204000,0.0
272,206000,0.0
274,208000,0.0
276,210000,0.0
278,212000,0.0
280,214000,0.0
282,216000,0.0
284,218000,0.0
286,220000,0.0
288,222000,0.0
290,224000,0.0
292,226000,0.0
294,228000,0.0
298,230000,0.2126
301,232000,0.0
303,234000,0.0
308,236000,0.1093
310,238000,0.0
312,240000,0.0
314,242000,0.0
316,244000,0.0
320,246000,0.0
323,248000,0.0
325,250000,0.0
327,252000,0.0
332,254000,0.0
337,256000,0.0
339,258000,0.0
341,260000,0.0
343,262000,0.0
345,264000,0.0
347,266000,0.0
349,268000,0.0
353,270000,0.2314
357,272000,0.0
359,274000,0.0
363,276000,0.0
365,278000,0.0
367,280000,0.0
371,282000,0.0
373,284000,0.0
375,286000,0.0
377,288000,0.0
382,290000,0.0
384,292000,0.0
387,294000,0.0
389,296000,0.0
391,298000,0.0
394,300000,0.0
396,302000,0.0
398,304000,0.0
403,306000,0.0
405,308000,0.0
408,310000,0.0
410,312000,0.0
412,314000,0.0
415,316000,0.0
417,318000,0.0
419,320000,0.0
421,322000,0.0
424,324000,0.0
426,326000,0.0
429,328000,0.0
431,330000,0.0
434,332000,0.0
436,334000,0.0
438,336000,0.0
441,338000,0.0
443,340000,0.0
447,342000,0.1997
450,344000,0.0
455,346000,0.0
458,348000,0.0
461,350000,0.2365
