episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
34,10000,0.0
41,12000,0.0
48,14000,0.0
55,16000,0.0
62,18000,0.0
69,20000,0.0
77,22000,0.0895
84,24000,0.0
90,26000,0.0
97,28000,0.0
105,30000,0.0457
112,32000,0.0
119,34000,0.0688
126,36000,0.0
133,38000,0.0723
141,40000,0.1023
148,42000,0.0
155,44000,0.0625
163,46000,0.1383
171,48000,0.127
178,50000,0.0723
186,52000,0.0836
193,54000,0.0
201,56000,0.1848
208,58000,0.0
216,60000,0.0691
223,62000,0.0473
230,64000,0.0
237,66000,0.0277
244,68000,0.0299
252,70000,0.1043
259,72000,0.058
267,74000,0.125
274,76000,0.0656
283,78000,0.2007
290,80000,0.0478
297,82000,0.0
304,84000,0.0603
311,86000,0.0482
318,88000,0.0513
327,90000,0.1757
336,92000,0.2559
343,94000,0.0688
350,96000,0.0746
357,98000,0.0179
366,100000,0.1556
376,102000,0.3703
384,104000,0.191
394,106000,0.2691
403,108000,0.2427
411,110000,0.1437
418,112000,0.0321
428,114000,0.3194
437,116000,0.3038
447,118000,0.3206
459,120000,0.4302
469,122000,0.3822
480,124000,0.3443
489,126000,0.2854
500,128000,0.3898
512,130000,0.4411
521,132000,0.2826
533,134000,0.406
548,136000,0.6058
558,138000,0.3416
574,140000,0.5693
586,142000,0.4445
598,144000,0.4758
612,146000,0.5163
625,148000,0.5139
636,150000,0.3835
647,152000,0.4804
660,154000,0.494
672,156000,0.3823
690,158000,0.6516
707,160000,0.6033
722,162000,0.6117
741,164000,0.6539
758,166000,0.5888
773,168000,0.5635
788,170000,0.5792
799,172000,0.3793
814,174000,0.5317
828,176000,0.5621
848,178000,0.6558
858,180000,0.3912
877,182000,0.616
891,184000,0.5263
909,186000,0.6347
924,188000,0.6042
946,190000,0.6743
961,192000,0.5706
981,194000,0.6789
1010,196000,0.77
1039,198000,0.7792
1059,200000,0.6703
1083,202000,0.7367
1105,204000,0.7087
1123,206000,0.6158
1144,208000,0.693
1164,210000,0.7053
1201,212000,0.8183
1241,214000,0.8362
1276,216000,0.8152
1317,218000,0.8447
1352,220000,0.8133
1380,222000,0.7739
1418,224000,0.8266
1453,226000,0.8166
1491,228000,0.8315
1532,230000,0.8636
1559,232000,0.7306
1604,234000,0.8586
1650,236000,0.8622
1684,238000,0.8002
1715,240000,0.7942
1762,242000,0.8609
1811,244000,0.869
1848,246000,0.8378
1885,248000,0.8283
1915,250000,0.7783
1954,252000,0.8306
2015,254000,0.8856
2077,256000,0.8997
2138,258000,0.8942
2193,260000,0.8847
2253,262000,0.9062
2304,264000,0.8586
2356,266000,0.8797
2395,268000,0.8544
2429,270000,0.7993
2486,272000,0.8772
2515,274000,0.7927
2560,276000,0.8415
2613,278000,0.8785
2654,280000,0.8425
2679,282000,0.7401
2736,284000,0.8872
2789,286000,0.8772
2826,288000,0.8222
2887,290000,0.8975
2948,292000,0.8964
3017,294000,0.9185
3079,296000,0.8867
3146,298000,0.9043
3197,300000,0.8719
3245,302000,0.866
3318,304000,0.9125
3378,306000,0.8949
3423,308000,0.8753
3489,310000,0.8887
3568,312000,0.9212
3620,314000,0.8759
3666,316000,0.8608
3733,318000,0.9058
3773,320000,0.8498
3822,322000,0.854
3872,324000,0.8723
3915,326000,0.8508
3968,328000,0.883
4044,330000,0.9093
4102,332000,0.8881
4172,334000,0.9092
4238,336000,0.9151
4276,338000,0.8248
4338,340000,0.8868
4407,342000,0.9057
4475,344000,0.911
4542,346000,0.9125
4591,348000,0.868
4657,350000,0.8889
4714,352000,0.8911
4752,354000,0.8204
4792,356000,0.8332
4850,358000,0.8887
4910,360000,0.8922
4985,362000,0.915
5035,364000,0.8698
5090,366000,0.8935
5145,368000,0.8694
5196,370000,0.8887
5269,372000,0.9012
5336,374000,0.9166
5403,376000,0.8999
5471,378000,0.8978
5544,380000,0.9136
5609,382000,0.9007
5672,384000,0.897
5741,386000,0.9172
5823,388000,0.9147
5879,390000,0.8917
5949,392000,0.9027
6024,394000,0.915
6097,396000,0.9137
6184,398000,0.9282
6265,400000,0.9213
6343,402000,0.9185
6404,404000,0.8949
6466,406000,0.9005
6539,408000,0.9073
6607,410000,0.9051
6674,412000,0.9039
6738,414000,0.8997
6794,416000,0.8829
6881,418000,0.928
6921,420000,0.8361
6972,422000,0.8694
7034,424000,0.8969
7118,426000,0.9291
7191,428000,0.9068
7259,430000,0.9055
7323,432000,0.8987
7400,434000,0.9175
7454,436000,0.8791
7521,438000,0.9035
7594,440000,0.9184
7663,442000,0.9106
7741,444000,0.9102
7775,446000,0.8238
7835,448000,0.8887
7888,450000,0.8785
7943,452000,0.8688
8021,454000,0.9187
8077,456000,0.9003
8162,458000,0.9141
8224,460000,0.8961
8281,462000,0.8855
8324,464000,0.8445
8391,466000,0.9043
8469,468000,0.9209
8548,470000,0.9168
8624,472000,0.9176
8682,474000,0.8853
8736,476000,0.8953
8791,478000,0.8778
8843,480000,0.86
8922,482000,0.9202
9000,484000,0.9188
9091,486000,0.9313
9151,488000,0.8899
9219,490000,0.9058
9275,492000,0.8826
9330,494000,0.8811
9389,496000,0.8907
9434,498000,0.8524
9530,500000,0.9346
9614,502000,0.9245
9705,504000,0.931
9785,506000,0.9213
9873,508000,0.932
9934,510000,0.8887
10015,512000,0.9261
10086,514000,0.9047
10170,516000,0.9245
10259,518000,0.9295
10331,520000,0.9107
10415,522000,0.9246
10485,524000,0.916
10544,526000,0.8886
10618,528000,0.9066
10692,530000,0.9125
10765,532000,0.912
10821,534000,0.8835
10882,536000,0.8926
10965,538000,0.9235
11060,540000,0.9348
11131,542000,0.9085
11216,544000,0.9249
11275,546000,0.8894
11336,548000,0.9027
11369,550000,0.7947
11434,552000,0.8913
11502,554000,0.9052
11580,556000,0.9219
11653,558000,0.9093
11725,560000,0.9141
11798,562000,0.911
11845,564000,0.8739
11887,566000,0.8274
11974,568000,0.9267
12053,570000,0.9236
12114,572000,0.8952
12190,574000,0.9113
12257,576000,0.9039
12335,578000,0.9185
12426,580000,0.9321
12477,582000,0.8785
12549,584000,0.9105
12614,586000,0.8936
12676,588000,0.9075
12771,590000,0.9263
12830,592000,0.8877
12888,594000,0.8891
12952,596000,0.8955
13035,598000,0.9237
13122,600000,0.9267
13194,602000,0.9109
13255,604000,0.8921
13313,606000,0.8873
13396,608000,0.9238
13456,610000,0.8901
13516,612000,0.9018
13578,614000,0.8884
13652,616000,0.9107
13712,618000,0.8916
13814,620000,0.9383
13888,622000,0.9237
13973,624000,0.9156
14057,626000,0.9249
14125,628000,0.9045
14225,630000,0.9378
14298,632000,0.9111
14367,634000,0.9067
14425,636000,0.8867
14485,638000,0.8998
14544,640000,0.8815
14612,642000,0.9055
14669,644000,0.8888
14722,646000,0.8726
14801,648000,0.9202
14883,650000,0.9259
14972,652000,0.9251
15041,654000,0.9064
15121,656000,0.9208
15187,658000,0.9025
15251,660000,0.8987
15323,662000,0.9102
15403,664000,0.9217
15488,666000,0.9259
15553,668000,0.8991
15624,670000,0.9086
15695,672000,0.9095
15768,674000,0.9119
15853,676000,0.9254
15956,678000,0.9392
16027,680000,0.9092
16085,682000,0.887
16145,684000,0.9067
16226,686000,0.9122
16296,688000,0.9066
16383,690000,0.9269
16468,692000,0.9257
16511,694000,0.8488
16538,696000,0.7597
16572,698000,0.8127
16633,700000,0.8911
16682,702000,0.8716
16730,704000,0.8738
16811,706000,0.9143
16884,708000,0.9116
16961,710000,0.9175
17004,712000,0.8669
17075,714000,0.8961
17135,716000,0.8914
17193,718000,0.8867
17277,720000,0.9358
17348,722000,0.896
17407,724000,0.8894
17481,726000,0.922
17574,728000,0.9249
17649,730000,0.9141
17728,732000,0.9199
17811,734000,0.9232
17891,736000,0.9215
17964,738000,0.9107
18045,740000,0.9217
18119,742000,0.9125
18165,744000,0.8567
18249,746000,0.9244
18331,748000,0.9224
18391,750000,0.8903
18474,752000,0.9238
18542,754000,0.9047
18596,756000,0.8788
18679,758000,0.9234
18764,760000,0.9265
18848,762000,0.9235
18928,764000,0.9243
19015,766000,0.9239
19054,768000,0.8345
19129,770000,0.9107
19210,772000,0.9223
19261,774000,0.8709
19315,776000,0.8793
19373,778000,0.8864
19471,780000,0.9362
