episode,timestep,reward
6,2000,0.0
13,4000,0.0
20,6000,0.0
27,8000,0.0
34,10000,0.0
41,12000,0.0
48,14000,0.0
55,16000,0.0
62,18000,0.0
69,20000,0.0
76,22000,0.0
83,24000,0.0
90,26000,0.0
97,28000,0.0
104,30000,0.0
111,32000,0.0
118,34000,0.0
124,36000,0.0
131,38000,0.0
138,40000,0.0
145,42000,0.0
153,44000,0.0621
160,46000,0.0
167,48000,0.0768
174,50000,0.0
181,52000,0.0
188,54000,0.0
195,56000,0.0
203,58000,0.1434
211,60000,0.0996
218,62000,0.0
224,64000,0.0
232,66000,0.0734
240,68000,0.0961
247,70000,0.0772
254,72000,0.0723
262,74000,0.1457
271,76000,0.1753
280,78000,0.2271
287,80000,0.046
294,82000,0.0732
302,84000,0.0582
309,86000,0.0
316,88000,0.0
323,90000,0.1438
331,92000,0.1324
340,94000,0.2604
348,96000,0.1426
356,98000,0.0859
366,100000,0.2863
375,102000,0.2337
384,104000,0.2674
393,106000,0.3462
402,108000,0.1663
413,110000,0.454
425,112000,0.3729
433,114000,0.1727
443,116000,0.36
456,118000,0.5024
466,120000,0.2966
478,122000,0.4547
487,124000,0.3396
501,126000,0.5223
516,128000,0.5067
526,130000,0.34
543,132000,0.6213
552,134000,0.3358
566,136000,0.5078
576,138000,0.3825
588,140000,0.4359
603,142000,0.5069
615,144000,0.5039
630,146000,0.515
646,148000,0.5955
660,150000,0.573
675,152000,0.5183
695,154000,0.6877
714,156000,0.6582
732,158000,0.651
760,160000,0.7682
775,162000,0.5502
789,164000,0.544
811,166000,0.7263
841,168000,0.773
858,170000,0.5972
878,172000,0.7031
902,174000,0.7254
930,176000,0.7667
956,178000,0.7397
982,180000,0.7566
1013,182000,0.7968
1048,184000,0.8132
1077,186000,0.7766
1106,188000,0.7981
1146,190000,0.82
1176,192000,0.7981
1202,194000,0.7416
1228,196000,0.7618
1266,198000,0.8267
1285,200000,0.6544
1315,202000,0.797
1355,204000,0.8302
1388,206000,0.8198
1425,208000,0.8142
1455,210000,0.8123
1486,212000,0.7597
1509,214000,0.7128
1562,216000,0.8836
1595,218000,0.8208
1644,220000,0.8592
1681,222000,0.8249
1727,224000,0.8613
1765,226000,0.834
1818,228000,0.8919
1867,230000,0.8654
1900,232000,0.8126
1955,234000,0.8702
2005,236000,0.8732
2048,238000,0.8483
2095,240000,0.8736
2138,242000,0.8433
2178,244000,0.8352
2219,246000,0.861
2261,248000,0.8249
2309,250000,0.8673
2353,252000,0.8528
2393,254000,0.8467
2429,256000,0.83
2465,258000,0.7945
2525,260000,0.8968
2594,262000,0.9091
2651,264000,0.8896
2721,266000,0.9124
2782,268000,0.8921
2849,270000,0.9069
2902,272000,0.8817
2954,274000,0.8853
3012,276000,0.8831
3083,278000,0.9111
3146,280000,0.8985
3200,282000,0.8818
3275,284000,0.9159
3328,286000,0.8853
3379,288000,0.8721
3449,290000,0.9112
3503,292000,0.8918
3560,294000,0.8775
3638,296000,0.9199
3713,298000,0.9165
3787,300000,0.9144
3862,302000,0.916
3941,304000,0.9204
4000,306000,0.8907
4080,308000,0.9207
4156,310000,0.9154
4245,312000,0.9304
4331,314000,0.9271
4420,316000,0.9294
4499,318000,0.9214
4587,320000,0.9287
4671,322000,0.9242
4762,324000,0.9314
4845,326000,0.9251
4934,328000,0.9293
5020,330000,0.9274
5101,332000,0.9294
5188,334000,0.922
5282,336000,0.9335
5371,338000,0.93
5466,340000,0.9345
5546,342000,0.9205
5637,344000,0.9316
5725,346000,0.9289
5827,348000,0.939
5901,350000,0.9137
5987,352000,0.9259
6085,354000,0.9366
6173,356000,0.9285
6271,358000,0.9363
6368,360000,0.9353
6466,362000,0.9367
6562,364000,0.9346
6647,366000,0.9251
6743,368000,0.9356
6838,370000,0.9336
6937,372000,0.9373
7036,374000,0.9366
7130,376000,0.9336
7225,378000,0.9341
7307,380000,0.9224
7390,382000,0.9239
7470,384000,0.9211
7555,386000,0.9243
7635,388000,0.9209
7733,390000,0.9362
7824,392000,0.9311
7925,394000,0.9381
8027,396000,0.9388
8125,398000,0.9362
8220,400000,0.9344
8313,402000,0.9333
8410,404000,0.9352
8503,406000,0.9334
8599,408000,0.9348
8696,410000,0.935
8797,412000,0.9382
8899,414000,0.9387
9003,416000,0.94
9094,418000,0.9315
9197,420000,0.9394
9296,422000,0.9366
9385,424000,0.93
9482,426000,0.9353
9576,428000,0.9337
9674,430000,0.936
9774,432000,0.9377
9879,434000,0.9403
9976,436000,0.936
10073,438000,0.9351
10170,440000,0.9358
10265,442000,0.9341
10364,444000,0.9366
10467,446000,0.9394
10555,448000,0.9277
10656,450000,0.9383
10728,452000,0.9107
10835,454000,0.9412
10940,456000,0.9407
11051,458000,0.9437
11152,460000,0.9383
11258,462000,0.9408
11359,464000,0.9382
11462,466000,0.9391
11566,468000,0.9401
11671,470000,0.9409
11775,472000,0.9393
11882,474000,0.9416
11986,476000,0.94
12095,478000,0.9426
12202,480000,0.9416
12302,482000,0.9374
12406,484000,0.9402
12493,486000,0.9273
12571,488000,0.9178
12677,490000,0.9417
12766,492000,0.9291
12828,494000,0.8965
12926,496000,0.936
13031,498000,0.9405
13132,500000,0.9382
13235,502000,0.939
13332,504000,0.9359
13439,506000,0.9416
13540,508000,0.9378
13629,510000,0.9288
13736,512000,0.9414
13841,514000,0.9409
13934,516000,0.9317
14025,518000,0.9303
14134,520000,0.9425
14221,522000,0.9284
14291,524000,0.9065
14384,526000,0.9326
14476,528000,0.9311
14589,530000,0.9447
14701,532000,0.944
14811,534000,0.9434
14915,536000,0.9398
15018,538000,0.9391
15125,540000,0.9424
15231,542000,0.9407
15340,544000,0.9423
15446,546000,0.9411
15551,548000,0.9405
15656,550000,0.9401
15756,552000,0.9378
15866,554000,0.9431
15973,556000,0.9418
16077,558000,0.9396
16179,560000,0.9386
16279,562000,0.9378
16384,564000,0.9404
16471,566000,0.927
16582,568000,0.9436
16684,570000,0.9387
16770,572000,0.9265
16862,574000,0.9309
16969,576000,0.9413
17066,578000,0.9356
17171,580000,0.9407
17264,582000,0.9326
17369,584000,0.9408
17479,586000,0.943
17571,588000,0.9309
17590,590000,0.6697
17628,592000,0.8201
17652,594000,0.7026
17670,596000,0.6266
17690,598000,0.6498
17715,600000,0.749
17746,602000,0.768
17762,604000,0.5818
17797,606000,0.8046
17829,608000,0.795
17882,610000,0.8825
17937,612000,0.8828
18008,614000,0.9093
18055,616000,0.8746
18121,618000,0.8966
18198,620000,0.9192
18297,622000,0.937
18376,624000,0.9195
18469,626000,0.9325
18565,628000,0.9349
18666,630000,0.9383
18767,632000,0.9383
18856,634000,0.9291
18952,636000,0.935
19044,638000,0.9322
19143,640000,0.937
19246,642000,0.939
19353,644000,0.9419
19459,646000,0.9409
19550,648000,0.9316
19643,650000,0.9344
19742,652000,0.9342
19842,654000,0.9375
19922,656000,0.9191
20027,658000,0.9407
20136,660000,0.9423
20236,662000,0.938
20321,664000,0.9248
20426,666000,0.9407
20538,668000,0.9442
20651,670000,0.9447
20742,672000,0.9299
20850,674000,0.9423
20960,676000,0.9434
21072,678000,0.9441
21182,680000,0.9432
21281,682000,0.9365
21393,684000,0.9446
21500,686000,0.9414
21599,688000,0.937
21708,690000,0.9428
21805,692000,0.9354
21905,694000,0.9377
22012,696000,0.9412
22120,698000,0.9422
22224,700000,0.94
22330,702000,0.941
22439,704000,0.9428
22549,706000,0.9434
22654,708000,0.9405
22753,710000,0.9352
22859,712000,0.9414
22961,714000,0.9384
23070,716000,0.9429
23172,718000,0.9384
23276,720000,0.9398
23380,722000,0.9403
23475,724000,0.9342
23568,726000,0.9317
23678,728000,0.9429
23745,730000,0.9037
23831,732000,0.9271
23939,734000,0.9413
24045,736000,0.9417
24144,738000,0.9365
24253,740000,0.9427
24361,742000,0.9424
24464,744000,0.9391
24573,746000,0.9423
24683,748000,0.9432
24758,750000,0.9148
24853,752000,0.9324
24955,754000,0.9411
25054,756000,0.9336
25162,758000,0.9423
25271,760000,0.9426
25379,762000,0.9422
25486,764000,0.9417
25576,766000,0.9292
25682,768000,0.9412
25743,770000,0.8936
25815,772000,0.9112
25906,774000,0.93
25994,776000,0.9277
26077,778000,0.9234
26183,780000,0.9411
26286,782000,0.9394
