episode,timestep,reward
3,2000,0.0
6,4000,0.0
9,6000,0.0
12,8000,0.0
15,10000,0.0
18,12000,0.0
21,14000,0.0
24,16000,0.0
28,18000,0.0
31,20000,0.0
34,22000,0.0
37,24000,0.0
40,26000,0.0
43,28000,0.0
46,30000,0.0
49,32000,0.0
53,34000,0.0
56,36000,0.0
59,38000,0.0
62,40000,0.0
65,42000,0.0
68,44000,0.0
71,46000,0.0
74,48000,0.0
78,50000,0.0
81,52000,0.0
84,54000,0.0
87,56000,0.0
90,58000,0.0
93,60000,0.0
96,62000,0.0
99,64000,0.0
103,66000,0.0
106,68000,0.0
109,70000,0.0
112,72000,0.0
115,74000,0.0
118,76000,0.0
121,78000,0.0
124,80000,0.0
128,82000,0.0
131,84000,0.0
134,86000,0.0
137,88000,0.0
140,90000,0.0
143,92000,0.0
146,94000,0.0
149,96000,0.0
153,98000,0.0
156,100000,0.0
159,102000,0.0
162,104000,0.0
165,106000,0.0
168,108000,0.0
171,110000,0.0
174,112000,0.0
178,114000,0.0
181,116000,0.0
184,118000,0.0
187,120000,0.0
190,122000,0.0
193,124000,0.0
196,126000,0.0
199,128000,0.0
203,130000,0.0
206,132000,0.0
209,134000,0.0
212,136000,0.0
215,138000,0.0
218,140000,0.0
221,142000,0.0
224,144000,0.0
228,146000,0.0
231,148000,0.0
234,150000,0.0
237,152000,0.0
240,154000,0.0
243,156000,0.0
246,158000,0.0
249,160000,0.0
253,162000,0.0
256,164000,0.0
259,166000,0.0
262,168000,0.0
265,170000,0.0
268,172000,0.0
271,174000,0.0
274,176000,0.0
278,178000,0.0
281,180000,0.0
284,182000,0.0
287,184000,0.0
290,186000,0.0
293,188000,0.0
296,190000,0.0
299,192000,0.0
303,194000,0.0
306,196000,0.0
309,198000,0.0
312,200000,0.0
315,202000,0.0
318,204000,0.0
321,206000,0.0
324,208000,0.0
328,210000,0.0
331,212000,0.0
334,214000,0.0
337,216000,0.0
340,218000,0.0
343,220000,0.0
346,222000,0.0
349,224000,0.0
353,226000,0.0
356,228000,0.0
359,230000,0.0
362,232000,0.0
365,234000,0.0
368,236000,0.0
371,238000,0.0
374,240000,0.0
378,242000,0.0
381,244000,0.0
384,246000,0.0
387,248000,0.0
390,250000,0.0
393,252000,0.0
396,254000,0.0
399,256000,0.0
403,258000,0.0
406,260000,0.0
409,262000,0.0
412,264000,0.0
415,266000,0.0
418,268000,0.0
421,270000,0.0
425,272000,0.0742
428,274000,0.0
431,276000,0.1215
435,278000,0.121
438,280000,0.0
441,282000,0.0
444,284000,0.0
447,286000,0.0
450,288000,0.0
454,290000,0.0
457,292000,0.0
460,294000,0.0
463,296000,0.0
467,298000,0.1804
470,300000,0.0
474,302000,0.16
477,304000,0.0582
480,306000,0.0
483,308000,0.174
487,310000,0.0
490,312000,0.0671
494,314000,0.1628
498,316000,0.313
501,318000,0.0
505,320000,0.2926
509,322000,0.1361
512,324000,0.0
516,326000,0.294
520,328000,0.2866
523,330000,0.0
528,332000,0.2718
531,334000,0.0
534,336000,0.0
538,338000,0.1575
542,340000,0.1923
546,342000,0.2268
551,344000,0.4808
555,346000,0.3421
559,348000,0.255
565,350000,0.4517
573,352000,0.5812
577,354000,0.4385
582,356000,0.2659
588,358000,0.5659
594,360000,0.5343
601,362000,0.5514
611,364000,0.6951
623,366000,0.7565
632,368000,0.6601
638,370000,0.5432
646,372000,0.5818
651,374000,0.4594
660,376000,0.6218
667,378000,0.6366
674,380000,0.5116
679,382000,0.5041
690,384000,0.6662
704,386000,0.8105
722,388000,0.8231
735,390000,0.8295
749,392000,0.733
764,394000,0.8029
777,396000,0.7726
789,398000,0.7836
814,400000,0.8777
824,402000,0.7172
854,404000,0.9058
868,406000,0.8214
901,408000,0.8984
941,410000,0.9313
976,412000,0.9157
998,414000,0.8667
1035,416000,0.9203
1069,418000,0.9182
1102,420000,0.9112
1138,422000,0.9392
1176,424000,0.9035
1234,426000,0.9523
1271,428000,0.9202
1338,430000,0.9582
1361,432000,0.871
1411,434000,0.9425
1468,436000,0.9509
1509,438000,0.929
1575,440000,0.9572
1628,442000,0.9507
1683,444000,0.9456
1757,446000,0.9617
1837,448000,0.9652
1910,450000,0.9616
1962,452000,0.9433
2011,454000,0.941
2092,456000,0.9653
2167,458000,0.9625
2240,460000,0.9666
2323,462000,0.9613
2405,464000,0.9657
2487,466000,0.9659
2576,468000,0.9684
2663,470000,0.9676
2722,472000,0.9506
2796,474000,0.962
2881,476000,0.9669
2962,478000,0.9656
3027,480000,0.9563
3126,482000,0.9719
3212,484000,0.967
3305,486000,0.9697
3386,488000,0.9655
3482,490000,0.9705
3574,492000,0.9695
3660,494000,0.9673
3752,496000,0.9694
3849,498000,0.9711
3945,500000,0.9708
4045,502000,0.9718
4142,504000,0.9713
4184,506000,0.9427
4273,508000,0.9611
4370,510000,0.9711
4464,512000,0.9702
4566,514000,0.9725
4661,516000,0.9701
4760,518000,0.9716
4858,520000,0.9712
4947,522000,0.9684
5047,524000,0.9719
5147,526000,0.9719
5251,528000,0.9729
5351,530000,0.9719
5448,532000,0.9709
5548,534000,0.9719
5647,536000,0.9717
5754,538000,0.9737
5856,540000,0.9724
5959,542000,0.9732
6059,544000,0.9715
6148,546000,0.9684
6239,548000,0.9692
6332,550000,0.9698
6429,552000,0.9707
6530,554000,0.9723
6634,556000,0.9729
6734,558000,0.9719
6833,560000,0.9716
6938,562000,0.9732
7038,564000,0.9718
7145,566000,0.9737
7247,568000,0.9726
7350,570000,0.9726
7454,572000,0.9731
7557,574000,0.9724
7663,576000,0.9735
7764,578000,0.9722
7861,580000,0.971
7956,582000,0.9705
8063,584000,0.9736
8165,586000,0.9724
8265,588000,0.9719
8362,590000,0.9713
8465,592000,0.9724
8569,594000,0.9736
8667,596000,0.9709
8770,598000,0.9726
8869,600000,0.9715
8971,602000,0.9726
9071,604000,0.9718
9168,606000,0.9712
9264,608000,0.9704
9366,610000,0.9725
9471,612000,0.9733
9572,614000,0.9721
9667,616000,0.9704
9764,618000,0.9714
9866,620000,0.9721
9948,622000,0.9658
10048,624000,0.9718
10151,626000,0.9726
10252,628000,0.9723
10354,630000,0.9726
10446,632000,0.9692
10549,634000,0.9727
10650,636000,0.9725
10758,638000,0.9735
10859,640000,0.9723
10965,642000,0.9734
11064,644000,0.972
11165,646000,0.9718
11268,648000,0.9726
11364,650000,0.9708
11467,652000,0.9726
11569,654000,0.9724
11671,656000,0.9723
11770,658000,0.9718
11873,660000,0.9727
11978,662000,0.9731
12085,664000,0.9738
12191,666000,0.9736
12293,668000,0.9724
12398,670000,0.9731
12502,672000,0.973
12606,674000,0.973
12707,676000,0.9721
12811,678000,0.9731
12904,680000,0.9696
13003,682000,0.972
13110,684000,0.9733
13211,686000,0.9722
13303,688000,0.9696
13406,690000,0.9726
13507,692000,0.9722
13611,694000,0.973
13715,696000,0.973
13813,698000,0.9714
13887,700000,0.9605
13993,702000,0.9737
14097,704000,0.9727
14202,706000,0.9735
