episode,timestep,reward
1,2000,0.0
3,4000,0.0
6,6000,0.1359
8,8000,0.0
10,10000,0.0
12,12000,0.303
14,14000,0.1269
17,16000,0.2008
19,18000,0.0641
21,20000,0.2086
25,22000,0.5379
29,24000,0.4127
34,26000,0.7006
39,28000,0.6064
51,30000,0.8581
62,32000,0.8465
77,34000,0.8733
91,36000,0.873
115,38000,0.9262
136,40000,0.9168
167,42000,0.9449
196,44000,0.9418
234,46000,0.9502
271,48000,0.9532
318,50000,0.9625
363,52000,0.9606
415,54000,0.9664
467,56000,0.9662
522,58000,0.968
578,60000,0.9684
638,62000,0.9711
698,64000,0.9703
761,66000,0.9721
823,68000,0.9718
886,70000,0.9721
950,72000,0.9726
1017,74000,0.9735
1082,76000,0.9733
1149,78000,0.9738
1216,80000,0.9738
1284,82000,0.9742
1353,84000,0.9742
1422,86000,0.9746
1491,88000,0.9746
1561,90000,0.9749
1631,92000,0.9748
1702,94000,0.9754
1773,96000,0.9751
1844,98000,0.9752
1914,100000,0.9751
1986,102000,0.9753
2058,104000,0.9757
2131,106000,0.9758
2203,108000,0.9757
2276,110000,0.976
2348,112000,0.9757
2421,114000,0.9758
2494,116000,0.9758
2566,118000,0.9759
2639,120000,0.9759
2712,122000,0.9758
2785,124000,0.9759
2858,126000,0.976
2930,128000,0.9757
3004,130000,0.976
3076,132000,0.9759
3149,134000,0.9759
3222,136000,0.9758
3295,138000,0.9759
3368,140000,0.9759
3441,142000,0.9758
3514,144000,0.9759
3587,146000,0.976
3660,148000,0.9759
3733,150000,0.9759
3805,152000,0.9757
3878,154000,0.976
3951,156000,0.976
4025,158000,0.976
4098,160000,0.9759
4170,162000,0.9759
4241,164000,0.9752
4315,166000,0.976
4388,168000,0.9759
4460,170000,0.9758
4533,172000,0.9759
4607,174000,0.976
4680,176000,0.9759
4753,178000,0.9759
4826,180000,0.976
4898,182000,0.9756
4971,184000,0.9759
5044,186000,0.9758
5116,188000,0.9757
5189,190000,0.9758
