episode,timestep,reward
32,2000,0.0
78,4000,0.0
104,6000,0.0
142,8000,0.0
159,10000,0.0
175,12000,0.0
188,14000,0.0
198,16000,0.0
205,18000,0.0
214,20000,0.0
221,22000,0.0
229,24000,0.0
238,26000,0.0
247,28000,0.0
254,30000,0.0
262,32000,0.0
269,34000,0.0
280,36000,0.0
288,38000,0.0
294,40000,0.0
302,42000,0.0
312,44000,0.0
319,46000,0.0
329,48000,0.0
337,50000,0.0
344,52000,0.0
352,54000,0.0
358,56000,0.0
364,58000,0.0
371,60000,0.0
378,62000,0.0
384,64000,0.0
390,66000,0.0
398,68000,0.0
405,70000,0.0
412,72000,0.0
418,74000,0.0
424,76000,0.0
430,78000,0.0
436,80000,0.0
443,82000,0.0
449,84000,0.0
455,86000,0.0
461,88000,0.0
469,90000,0.0
475,92000,0.0
481,94000,0.0
488,96000,0.0
494,98000,0.0
501,100000,0.0
508,102000,0.0
514,104000,0.0
520,106000,0.0
527,108000,0.0
534,110000,0.0
541,112000,0.0
547,114000,0.0
553,116000,0.0
560,118000,0.0
566,120000,0.0
573,122000,0.0
579,124000,0.0
585,126000,0.0
591,128000,0.0
597,130000,0.0
604,132000,0.0
611,134000,0.0
617,136000,0.0
625,138000,0.0
631,140000,0.0
638,142000,0.0
646,144000,0.0
653,146000,0.0
659,148000,0.0
666,150000,0.0
673,152000,0.0
679,154000,0.0
685,156000,0.0
691,158000,0.0
699,160000,0.0
705,162000,0.0
712,164000,0.0
718,166000,0.0
724,168000,0.0
730,170000,0.0
737,172000,0.0
743,174000,0.0
749,176000,0.0
755,178000,0.0
761,180000,0.0
768,182000,0.0
774,184000,0.0
780,186000,0.0
786,188000,0.0
793,190000,0.0
799,192000,0.0
806,194000,0.0
813,196000,0.0
819,198000,0.0
825,200000,0.0
831,202000,0.0
838,204000,0.0
844,206000,0.0
850,208000,0.0
856,210000,0.0
862,212000,0.0
869,214000,0.0
875,216000,0.0
882,218000,0.0
888,220000,0.0
894,222000,0.0
900,224000,0.0
907,226000,0.0
914,228000,0.0
920,230000,0.0
926,232000,0.0
933,234000,0.0
939,236000,0.0
945,238000,0.0
951,240000,0.0
957,242000,0.0
963,244000,0.0
971,246000,0.0
978,248000,0.0
984,250000,0.0
990,252000,0.0
996,254000,0.0
1003,256000,0.0
1009,258000,0.0
1017,260000,0.0
1023,262000,0.0
1029,264000,0.0
1036,266000,0.0
1045,268000,0.0
1051,270000,0.0
1060,272000,0.0
1066,274000,0.0
1073,276000,0.0
1080,278000,0.0
1086,280000,0.0
1092,282000,0.0
1098,284000,0.0
1105,286000,0.0
1111,288000,0.0
1118,290000,0.0
1125,292000,0.0
1131,294000,0.0
1137,296000,0.0
1143,298000,0.0
1149,300000,0.0
1156,302000,0.0
1163,304000,0.0
1169,306000,0.0
1175,308000,0.0
1182,310000,0.0
1188,312000,0.0
1194,314000,0.0
1201,316000,0.0
1207,318000,0.0
1213,320000,0.0
1219,322000,0.0
1225,324000,0.0
1231,326000,0.0
1238,328000,0.0
1244,330000,0.0
1250,332000,0.0
1256,334000,0.0
1262,336000,0.0
1268,338000,0.0
1275,340000,0.0
1281,342000,0.0
1288,344000,0.0
1295,346000,0.0
1302,348000,0.0
1308,350000,0.0
1314,352000,0.0
1320,354000,0.0
1326,356000,0.0
1333,358000,0.0
1339,360000,0.0
1345,362000,0.0
1351,364000,0.0
1357,366000,0.0
1364,368000,0.0
1370,370000,0.0
1376,372000,0.0
1382,374000,0.0
1389,376000,0.0
1395,378000,0.0
1401,380000,0.0
1408,382000,0.0
1415,384000,0.0
1421,386000,0.0
1427,388000,0.0
1433,390000,0.0
1439,392000,0.0
1445,394000,0.0
1452,396000,0.0
1458,398000,0.0
1464,400000,0.0
1471,402000,0.0
1477,404000,0.0
1483,406000,0.0
1489,408000,0.0
1496,410000,0.0
1502,412000,0.0
1509,414000,0.0
1516,416000,0.0
1522,418000,0.0
1528,420000,0.0
1535,422000,0.0
1541,424000,0.0
1547,426000,0.0
1553,428000,0.0
1562,430000,0.0
1568,432000,0.0
1577,434000,0.0
1584,436000,0.0
1592,438000,0.0
1600,440000,0.0
1606,442000,0.0
1613,444000,0.0
1620,446000,0.0
1628,448000,0.0
1634,450000,0.0
1640,452000,0.0
1646,454000,0.0
1654,456000,0.0
1660,458000,0.0
1666,460000,0.0
1672,462000,0.0
1678,464000,0.0
1685,466000,0.0
1691,468000,0.0
1698,470000,0.0
1704,472000,0.0
1710,474000,0.0
1717,476000,0.0
1723,478000,0.0
1730,480000,0.0
1737,482000,0.0
1743,484000,0.0
1749,486000,0.0
1755,488000,0.0
1761,490000,0.0
1768,492000,0.0
1774,494000,0.0
1780,496000,0.0
1786,498000,0.0
1792,500000,0.0
1799,502000,0.0
1806,504000,0.0
1813,506000,0.0
1819,508000,0.0
1826,510000,0.0
1833,512000,0.0
1839,514000,0.0
1845,516000,0.0
1851,518000,0.0
1858,520000,0.0
1865,522000,0.0
1871,524000,0.0
1878,526000,0.0
1884,528000,0.0
1890,530000,0.0
1896,532000,0.0
1903,534000,0.0
1909,536000,0.0
1915,538000,0.0
1922,540000,0.0
1929,542000,0.0
1935,544000,0.0
1941,546000,0.0
1947,548000,0.0
1954,550000,0.0
1960,552000,0.0
1966,554000,0.0
1972,556000,0.0
1978,558000,0.0
1985,560000,0.0
1991,562000,0.0
1998,564000,0.0
2005,566000,0.0
2013,568000,0.0
2019,570000,0.0
2025,572000,0.0
2032,574000,0.0
2038,576000,0.0
2044,578000,0.0
2052,580000,0.0
2059,582000,0.0
2065,584000,0.0
2071,586000,0.0
2078,588000,0.0
2085,590000,0.0
2092,592000,0.0
2098,594000,0.0
2104,596000,0.0
2111,598000,0.0
2117,600000,0.0
2123,602000,0.0
2130,604000,0.0
2136,606000,0.0
2142,608000,0.0
2148,610000,0.0
2154,612000,0.0
2161,614000,0.0
2167,616000,0.0
2173,618000,0.0
2182,620000,0.0
2188,622000,0.0
2194,624000,0.0
2200,626000,0.0
2206,628000,0.0
2213,630000,0.0
2219,632000,0.0
2226,634000,0.0
2232,636000,0.0
2238,638000,0.0
2245,640000,0.0
2251,642000,0.0
2257,644000,0.0
2264,646000,0.0
2270,648000,0.0
2276,650000,0.0
2283,652000,0.0
2289,654000,0.0
2295,656000,0.0
2301,658000,0.0
2308,660000,0.0
2314,662000,0.0
2320,664000,0.0
2326,666000,0.0
2332,668000,0.0
2339,670000,0.0
2346,672000,0.0
2352,674000,0.0
2358,676000,0.0
2365,678000,0.0
2371,680000,0.0
2377,682000,0.0
2383,684000,0.0
2389,686000,0.0
2395,688000,0.0
2402,690000,0.0
2408,692000,0.0
2414,694000,0.0
2420,696000,0.0
2427,698000,0.0
2433,700000,0.0
2440,702000,0.0
2446,704000,0.0
2452,706000,0.0
2459,708000,0.0
2465,710000,0.0
2471,712000,0.0
2477,714000,0.0
2484,716000,0.0
2491,718000,0.0
2499,720000,0.0
2505,722000,0.0
2511,724000,0.0
2517,726000,0.0
2524,728000,0.0
2531,730000,0.0
2537,732000,0.0
2543,734000,0.0
2550,736000,0.0
2556,738000,0.0
2563,740000,0.0
2570,742000,0.0
2576,744000,0.0
2582,746000,0.0
2588,748000,0.0
2594,750000,0.0
2601,752000,0.0
2607,754000,0.0
2613,756000,0.0
2619,758000,0.0
2625,760000,0.0
2632,762000,0.0
2638,764000,0.0
2645,766000,0.0
2652,768000,0.0
2658,770000,0.0
2664,772000,0.0
2670,774000,0.0
2677,776000,0.0
2684,778000,0.0
2690,780000,0.0
2696,782000,0.0
2702,784000,0.0
2709,786000,0.0
2715,788000,0.0
2721,790000,0.0
2727,792000,0.0
2734,794000,0.0
2740,796000,0.0
2746,798000,0.0
2753,800000,0.0
2759,802000,0.0
2765,804000,0.0
2772,806000,0.0
2778,808000,0.0
2786,810000,0.0
2792,812000,0.0
2798,814000,0.0
2804,816000,0.0
2810,818000,0.0
2817,820000,0.0
2823,822000,0.0
2830,824000,0.0
2836,826000,0.0
2843,828000,0.0
2849,830000,0.0
2855,832000,0.0
2862,834000,0.0
2868,836000,0.0
2875,838000,0.0
2881,840000,0.0
2888,842000,0.0
2894,844000,0.0
2900,846000,0.0
2907,848000,0.0
2913,850000,0.0
2919,852000,0.0
2926,854000,0.0
2932,856000,0.0
2938,858000,0.0
2944,860000,0.0
2951,862000,0.0
2958,864000,0.0
2965,866000,0.0
2971,868000,0.0
2977,870000,0.0
2984,872000,0.0
2990,874000,0.0
2997,876000,0.0
3003,878000,0.0
3011,880000,0.0
3017,882000,0.0
3023,884000,0.0
3029,886000,0.0
3036,888000,0.0
3043,890000,0.0
3050,892000,0.0
3057,894000,0.0
3063,896000,0.0
3070,898000,0.0
3076,900000,0.0
3082,902000,0.0
3088,904000,0.0
3094,906000,0.0
3101,908000,0.0
3108,910000,0.0
3114,912000,0.0
3120,914000,0.0
3127,916000,0.0
3133,918000,0.0
3139,920000,0.0
3145,922000,0.0
3152,924000,0.0
3159,926000,0.0
3165,928000,0.0
3172,930000,0.0
3179,932000,0.0
3188,934000,0.0
3195,936000,0.0
3201,938000,0.0
3208,940000,0.0
3214,942000,0.0
3220,944000,0.0
3226,946000,0.0
3233,948000,0.0
3239,950000,0.0
3245,952000,0.0
3251,954000,0.0
3259,956000,0.0
3265,958000,0.0
3272,960000,0.0
3278,962000,0.0
3286,964000,0.0
3293,966000,0.0
3301,968000,0.0
3307,970000,0.0
3313,972000,0.0
3320,974000,0.0
3326,976000,0.0
3332,978000,0.0
3338,980000,0.0
3345,982000,0.0
3352,984000,0.0
3358,986000,0.0
3365,988000,0.0
3372,990000,0.0
3378,992000,0.0
3386,994000,0.0
3392,996000,0.0
3399,998000,0.0
3406,1000000,0.0
